DFE,WisdomTree Europe SmallCap Dividend Fund,NASDAQ
37.25,37.40,37.86,37.25
37.57,37.57,37.80,37.57
37.43,37.81,38.12,37.43
37.65,38.08,38.10,37.42
38.38,38.46,38.46,38.00
38.80,38.93,38.93,38.69
38.49,38.60,38.60,38.25
38.27,38.68,38.69,38.27
38.57,38.73,38.73,38.57
38.14,38.56,38.64,38.14
38.54,38.69,38.69,38.39
38.11,37.78,38.11,37.00
37.74,37.09,37.74,37.06
36.79,36.35,38.28,36.10
37.03,36.79,37.10,36.75
36.48,36.38,36.79,36.38
36.56,36.75,36.75,36.00
36.86,36.45,37.15,36.29
36.27,35.67,36.40,35.67
36.26,36.04,36.59,35.99
36.76,36.94,37.20,36.66
36.75,36.87,36.87,36.68
35.76,35.46,35.81,34.66
34.72,34.29,34.95,33.70
33.95,34.12,34.15,33.77
34.51,35.25,35.46,34.39
34.62,34.49,34.89,34.41
34.49,35.02,35.03,34.49
34.62,34.84,34.84,34.62
34.63,35.51,35.51,34.63
35.47,35.65,35.65,35.11
35.47,35.48,35.53,35.25
35.36,35.42,35.53,35.36
35.68,35.84,36.18,35.63
35.41,35.41,35.41,35.41
35.16,35.24,35.59,35.16
34.63,35.07,35.07,34.63
34.97,35.26,35.38,34.97
35.00,35.00,35.09,34.80
35.19,35.42,35.50,35.13
35.55,35.55,35.84,35.46
35.99,35.80,36.00,35.74
36.16,36.41,36.41,36.16
36.69,36.60,36.69,36.37
36.01,36.21,36.42,35.39
36.31,36.47,36.47,35.46
36.53,36.79,36.79,36.46
37.07,37.21,37.22,37.07
37.08,36.88,37.08,36.67
37.26,37.44,37.44,37.19
37.65,37.64,37.79,37.50
37.49,37.51,37.51,37.29
36.95,36.95,37.09,36.88
36.39,37.24,37.29,36.11
36.84,37.22,37.22,36.84
36.83,36.69,36.88,36.69
36.93,36.78,37.25,36.78
37.26,37.34,37.35,37.26
37.13,37.21,37.30,37.13
37.60,37.39,37.60,37.29
37.27,37.51,37.57,37.27
37.70,38.31,38.31,37.70
38.39,38.32,38.39,38.26
37.91,38.48,38.48,37.91
38.30,38.30,38.30,38.30
38.34,38.72,38.75,38.34
38.45,38.89,39.00,38.45
39.12,39.17,39.49,39.12
39.16,39.16,39.16,39.16
39.50,39.69,39.69,39.49
39.33,39.68,39.69,39.33
39.08,39.06,39.26,38.87
38.51,38.73,38.75,38.50
38.99,39.05,39.05,38.99
39.08,38.99,39.10,38.98
38.46,38.73,38.73,38.41
38.63,39.24,39.24,38.63
39.38,39.33,39.38,39.27
38.64,37.96,38.77,37.95
37.54,37.16,37.56,36.56
37.57,38.00,38.01,37.57
38.13,37.73,38.18,37.66
37.90,38.13,38.13,37.78
37.00,36.88,37.00,36.54
35.68,35.82,36.10,35.37
35.28,33.19,35.28,32.97
33.38,32.98,33.50,32.31
33.98,35.25,38.11,33.98
35.09,34.86,35.09,34.81
35.80,35.72,35.80,35.71
35.33,35.33,35.75,35.33
34.07,34.40,34.40,34.07
34.01,34.10,34.10,33.40
33.96,33.05,33.97,33.05
33.14,33.54,33.54,33.12
32.12,32.25,32.44,30.98
31.95,32.72,32.72,31.43
32.28,32.50,32.50,32.28
31.03,31.49,31.49,30.92
