DFFN,Diffusion Pharmaceuticals Inc. - Common Stock,NASDAQ
2.20,2.15,2.25,2.06
2.24,2.02,2.25,1.91
2.25,2.25,2.25,2.00
2.05,1.90,2.14,1.65
1.85,1.80,1.90,1.80
1.80,2.20,2.20,1.80
2.01,2.15,2.20,1.80
2.01,2.10,2.16,1.84
2.10,2.05,2.10,1.91
2.07,2.07,2.07,2.00
2.07,1.95,2.07,1.90
1.90,1.85,2.05,1.85
1.85,1.85,1.85,1.65
1.85,2.00,2.00,1.65
1.71,2.00,2.00,1.61
2.00,1.90,2.00,1.65
1.61,1.90,1.90,1.55
1.95,2.00,2.00,1.65
2.00,1.84,2.00,1.50
1.55,1.72,1.76,1.50
1.70,1.50,1.70,1.49
1.60,1.64,1.65,1.52
1.55,1.74,1.74,1.55
1.80,1.75,1.80,1.55
1.80,1.70,1.80,1.55
1.70,1.60,1.70,1.53
1.60,1.60,1.60,1.60
1.60,1.60,1.60,1.60
1.60,1.70,1.70,1.55
1.50,1.65,1.82,1.50
1.60,1.65,1.65,1.60
1.60,1.65,1.65,1.60
1.65,1.65,1.65,1.57
1.65,1.70,1.82,1.60
1.70,2.00,2.00,1.70
1.90,2.00,2.00,1.80
1.90,2.00,2.00,1.80
2.00,1.90,2.00,1.80
1.80,1.85,1.85,1.80
1.85,1.85,1.85,1.76
1.58,1.85,1.85,1.58
1.85,1.85,1.85,1.77
1.85,1.85,1.85,1.85
1.77,1.80,1.84,1.66
1.70,1.65,1.80,1.50
1.73,1.73,1.73,1.73
1.73,1.73,1.73,1.73
1.73,1.73,1.73,1.73
1.73,1.73,1.73,1.73
1.50,1.65,1.65,1.50
1.47,1.63,1.69,1.42
1.60,1.60,1.65,1.42
1.45,1.45,1.60,1.42
1.45,1.50,1.50,1.10
1.50,1.69,1.69,1.50
1.70,1.75,1.75,1.65
1.75,1.74,1.75,1.65
1.74,1.75,1.75,1.74
1.75,1.75,1.75,1.70
1.70,1.75,1.75,1.70
1.75,1.75,1.75,1.70
1.75,1.75,1.75,1.69
1.72,1.75,1.75,1.71
1.75,1.78,1.78,1.75
1.79,1.79,1.80,1.77
1.79,1.79,1.79,1.79
1.77,1.80,1.80,1.76
1.80,1.80,1.81,1.75
1.80,1.80,1.80,1.80
1.80,1.75,1.80,1.71
1.80,1.80,1.80,1.72
1.77,1.73,1.77,1.61
1.74,1.65,1.74,1.62
1.66,1.65,1.81,1.65
1.65,1.63,1.65,1.60
1.69,1.61,1.69,1.60
1.76,1.62,1.76,1.45
1.75,1.60,1.75,1.50
1.75,1.60,1.75,1.40
1.65,1.70,1.75,1.56
1.65,1.58,1.69,1.58
1.56,1.60,1.60,1.45
1.58,1.69,1.69,1.55
1.61,1.63,1.63,1.56
1.60,1.70,1.70,1.58
1.70,1.67,1.74,1.64
1.74,1.75,1.76,1.65
1.76,1.60,1.76,1.58
1.75,1.69,1.75,1.61
1.65,1.78,1.79,1.65
1.78,1.80,1.80,1.75
1.77,1.80,1.80,1.68
1.76,1.80,1.80,1.65
1.80,1.80,1.80,1.80
1.69,1.77,1.77,1.67
1.78,1.77,1.78,1.67
1.75,1.75,1.75,1.70
1.74,1.77,1.77,1.68
1.75,1.79,1.80,1.75
1.80,1.80,1.80,1.79
1.80,1.80,1.80,1.79
1.80,1.85,1.85,1.78
1.85,1.91,1.91,1.84
1.91,1.78,1.91,1.78
1.79,1.80,1.86,1.72
1.86,1.95,2.05,1.81
1.99,1.99,1.99,1.99
1.94,1.85,1.94,1.80
1.75,1.76,1.80,1.65
1.70,1.61,1.70,1.61
1.61,1.75,1.85,1.61
1.60,1.55,1.70,1.51
1.57,1.56,1.63,1.55
1.58,1.58,1.59,1.55
1.52,1.15,1.58,1.10
1.58,1.00,1.58,1.00
1.15,0.80,1.15,0.79
0.80,0.85,0.85,0.76
0.85,0.84,0.85,0.80
0.83,0.95,0.95,0.80
0.95,0.98,1.00,0.90
1.01,1.05,1.05,0.90
1.05,1.08,1.10,0.90
1.08,1.01,1.08,0.85
0.85,0.95,1.01,0.80
0.89,0.99,0.99,0.78
1.00,0.80,1.00,0.78
0.80,0.80,0.80,0.80
0.74,0.79,0.80,0.70
0.80,0.80,0.80,0.65
0.70,0.76,0.79,0.55
0.76,0.72,0.79,0.68
0.72,0.73,0.74,0.66
0.66,0.74,0.80,0.61
0.74,0.85,0.85,0.63
0.85,0.88,1.01,0.73
0.90,0.90,0.90,0.85
0.90,0.97,1.01,0.90
0.91,1.04,1.04,0.85
0.90,1.06,1.10,0.85
1.09,1.06,1.15,1.05
1.06,1.01,1.06,0.93
1.05,1.05,1.05,0.95
1.05,1.10,1.11,1.03
1.13,1.12,1.14,1.10
1.15,1.09,1.15,1.01
1.15,1.14,1.15,1.02
1.05,1.13,1.13,1.05
0.95,1.13,1.13,0.90
1.00,1.05,1.05,1.00
1.15,1.04,1.15,0.92
1.12,1.04,1.12,0.90
1.20,1.09,1.20,0.90
1.09,1.06,1.09,0.95
0.95,1.05,1.05,0.81
1.06,1.06,1.06,1.06
0.83,1.04,1.04,0.75
1.04,1.04,1.04,1.04
0.95,0.95,0.97,0.93
0.80,0.94,1.04,0.66
0.94,0.90,0.95,0.72
0.77,0.82,0.87,0.75
0.86,0.84,0.87,0.70
0.99,0.99,0.99,0.70
0.70,0.90,0.90,0.70
1.02,0.87,1.02,0.67
1.00,0.88,1.00,0.67
0.88,0.85,1.00,0.67
1.05,0.85,1.05,0.69
1.00,0.85,1.00,0.65
0.73,0.81,0.82,0.71
0.83,0.85,0.85,0.68
0.85,0.72,0.85,0.68
0.72,0.80,0.80,0.68
0.80,0.80,0.80,0.68
0.80,0.75,0.80,0.55
0.60,0.75,0.75,0.60
0.74,0.74,0.74,0.60
0.60,0.60,0.74,0.60
0.74,0.74,0.74,0.74
0.60,0.51,0.74,0.35
0.47,0.65,0.65,0.47
0.65,0.65,0.65,0.65
0.40,0.58,0.58,0.40
0.44,0.50,0.65,0.41
0.55,0.50,0.55,0.41
0.50,0.42,0.50,0.33
0.39,0.50,0.50,0.39
0.39,0.50,0.50,0.39
0.39,0.48,0.49,0.35
0.39,0.48,0.48,0.39
0.39,0.47,0.47,0.39
0.39,0.47,0.47,0.39
0.47,0.47,0.47,0.43
0.46,0.68,0.70,0.40
0.68,0.68,0.68,0.43
0.68,0.51,0.68,0.44
0.45,0.47,0.53,0.40
0.40,0.52,0.52,0.40
0.45,0.52,0.53,0.40
0.53,0.53,0.53,0.53
0.53,0.40,0.53,0.34
0.40,0.44,0.45,0.39
0.40,0.44,0.44,0.40
0.44,0.44,0.44,0.44
0.40,0.44,0.44,0.34
0.43,0.44,0.44,0.39
0.44,0.44,0.44,0.30
0.44,0.52,0.53,0.35
0.52,0.52,0.52,0.52
0.53,0.51,0.53,0.30
0.50,0.50,0.50,0.30
0.50,0.44,0.53,0.30
0.43,0.43,0.43,0.43
0.43,0.43,0.43,0.30
0.43,0.43,0.43,0.43
0.40,0.39,0.43,0.27
0.33,0.39,0.39,0.33
0.39,0.30,0.39,0.27
0.30,0.35,0.35,0.30
0.31,0.42,0.42,0.27
0.28,0.40,0.40,0.28
0.40,0.40,0.40,0.34
0.40,0.33,0.40,0.33
0.37,0.40,0.40,0.31
0.40,0.45,0.45,0.40
0.40,0.45,0.45,0.40
0.45,0.45,0.45,0.45
0.44,0.50,0.50,0.44
0.50,0.53,0.53,0.42
0.40,0.46,0.47,0.40
0.41,0.45,0.46,0.40
0.45,0.45,0.45,0.40
0.40,0.45,0.45,0.38
0.41,0.38,0.41,0.38
0.39,0.45,0.46,0.38
0.40,0.40,0.40,0.38
0.40,0.47,0.47,0.37
0.47,0.51,0.55,0.43
0.56,0.56,0.56,0.56
0.40,0.51,0.51,0.40
0.56,0.65,0.65,0.56
0.65,0.64,0.65,0.64
0.64,0.64,0.64,0.64
0.38,0.63,0.63,0.38
0.63,0.63,0.63,0.63
0.65,0.65,0.65,0.65
0.44,0.61,0.65,0.38
0.65,0.65,0.65,0.65
0.44,0.64,0.64,0.44
0.38,0.64,0.65,0.38
0.65,0.64,0.65,0.38
0.65,0.65,0.65,0.65
0.65,0.65,0.65,0.65
0.42,0.60,0.60,0.42
0.60,0.60,0.60,0.60
0.60,0.55,0.60,0.44
0.55,0.55,0.55,0.55
0.55,0.55,0.55,0.55
0.47,0.45,0.47,0.39
0.45,0.52,0.55,0.39
0.51,0.52,0.52,0.51
0.51,0.51,0.51,0.38
0.40,0.51,0.51,0.40
0.44,0.45,0.52,0.37
0.35,0.54,0.54,0.35
0.42,0.54,0.54,0.40
0.46,0.48,0.49,0.42
0.49,0.45,0.49,0.42
0.48,0.48,0.49,0.41
0.49,0.45,0.49,0.41
0.41,0.49,0.55,0.41
0.42,0.49,0.49,0.41
0.40,0.42,0.42,0.40
0.42,0.44,0.44,0.37
0.37,0.38,0.39,0.37
0.39,0.44,0.44,0.35
0.35,0.44,0.44,0.35
0.35,0.44,0.44,0.35
0.35,0.44,0.44,0.32
0.32,0.44,0.44,0.30
0.38,0.35,0.39,0.30
0.30,0.30,0.38,0.27
0.38,0.38,0.38,0.31
0.35,0.49,0.49,0.35
0.48,0.52,0.54,0.45
0.54,0.48,0.54,0.40
0.48,0.48,0.48,0.48
0.48,0.48,0.48,0.48
0.37,0.48,0.48,0.37
0.48,0.48,0.48,0.48
0.37,0.50,0.50,0.35
0.55,0.50,0.55,0.38
0.50,0.50,0.50,0.41
0.53,0.46,0.53,0.35
0.53,0.53,0.53,0.53
0.53,0.53,0.53,0.41
0.35,0.52,0.53,0.35
0.52,0.52,0.52,0.40
0.52,0.52,0.52,0.52
0.38,0.40,0.52,0.35
0.35,0.40,0.40,0.35
0.40,0.52,0.52,0.35
0.40,0.52,0.52,0.40
0.39,0.38,0.40,0.38
0.49,0.39,0.49,0.33
0.49,0.40,0.49,0.33
0.52,0.51,0.52,0.33
0.35,0.49,0.49,0.35
0.33,0.33,0.44,0.33
0.51,0.49,0.51,0.35
0.48,0.50,0.51,0.33
0.52,0.55,0.55,0.35
0.45,0.53,0.55,0.40
0.53,0.58,0.58,0.51
0.60,0.58,0.60,0.52
0.58,0.58,0.58,0.55
0.60,0.55,0.60,0.45
0.55,0.55,0.55,0.41
0.45,0.55,0.55,0.35
0.46,0.47,0.55,0.43
0.47,0.55,0.55,0.47
0.55,0.55,0.55,0.55
0.47,0.54,0.54,0.47
0.47,0.54,0.54,0.47
0.55,0.72,0.74,0.47
0.72,0.85,0.85,0.71
0.85,0.90,0.90,0.80
0.90,0.90,0.90,0.89
0.91,0.90,0.96,0.77
0.90,0.90,0.96,0.75
1.00,1.00,1.02,0.78
0.95,0.95,0.95,0.80
0.95,0.95,0.95,0.80
0.95,1.00,1.00,0.94
1.00,1.00,1.00,0.85
0.85,0.95,0.99,0.85
0.95,0.85,0.99,0.75
0.80,0.90,0.90,0.70
0.90,0.80,0.90,0.70
0.85,0.90,0.90,0.75
0.85,0.79,0.90,0.76
0.90,0.90,0.90,0.90
0.84,0.87,0.87,0.80
0.76,0.88,0.88,0.75
0.70,0.84,0.85,0.60
0.60,0.84,0.85,0.60
0.85,0.85,0.85,0.60
0.81,0.85,0.85,0.70
0.85,0.75,0.85,0.60
0.75,0.85,0.85,0.75
0.85,1.00,1.00,0.74
0.90,0.90,0.90,0.90
0.90,1.00,1.00,0.90
1.00,0.95,1.00,0.70
0.95,0.93,0.95,0.69
0.68,0.93,0.93,0.64
0.70,0.70,0.70,0.59
0.64,0.70,0.70,0.60
0.59,0.70,0.70,0.59
0.59,0.61,0.70,0.50
0.50,0.61,0.69,0.50
0.69,0.69,0.69,0.60
0.69,0.69,0.69,0.50
0.67,0.69,0.69,0.67
0.69,0.69,0.69,0.69
0.67,0.69,0.69,0.65
0.69,0.68,0.69,0.56
0.69,0.69,0.69,0.64
0.70,0.70,0.70,0.68
0.70,0.80,0.80,0.60
0.80,0.80,0.80,0.60
0.80,0.90,0.90,0.80
0.60,0.80,0.80,0.60
0.66,0.70,0.79,0.58
0.70,0.70,0.70,0.55
0.70,0.70,0.70,0.70
0.62,0.75,0.75,0.55
0.69,0.74,0.75,0.64
0.65,0.78,0.79,0.58
0.79,0.65,0.79,0.51
0.65,0.65,0.65,0.60
0.55,0.55,0.55,0.55
0.63,0.65,0.65,0.63
0.60,0.55,0.65,0.54
0.60,0.55,0.60,0.51
0.55,0.55,0.55,0.55
0.55,0.48,0.55,0.44
0.44,0.48,0.51,0.37
0.54,0.54,0.54,0.45
0.60,0.55,0.60,0.46
0.60,0.64,0.65,0.55
0.55,0.54,0.60,0.51
0.55,0.60,0.65,0.47
0.53,0.60,0.63,0.53
0.58,0.60,0.60,0.56
0.62,0.60,0.62,0.56
0.56,0.60,0.61,0.55
0.58,0.62,0.65,0.46
0.65,0.55,0.65,0.55
0.65,0.55,0.65,0.54
0.62,0.55,0.65,0.46
0.46,0.55,0.55,0.46
0.55,0.64,0.64,0.55
0.64,0.64,0.64,0.52
0.52,0.64,0.64,0.46
0.60,0.59,0.64,0.53
0.59,0.54,0.59,0.53
0.55,0.54,0.59,0.52
0.59,0.52,0.59,0.45
0.52,0.59,0.59,0.50
0.46,0.68,0.68,0.46
0.68,0.89,0.89,0.55
0.65,0.56,0.89,0.55
0.65,0.85,0.85,0.55
0.85,0.79,0.85,0.55
0.75,0.80,0.80,0.65
0.75,0.75,0.80,0.60
0.75,0.75,0.75,0.55
0.55,0.60,0.75,0.55
0.70,0.80,0.80,0.70
0.83,0.71,0.83,0.55
0.70,0.70,0.70,0.70
0.60,0.70,0.70,0.60
0.70,0.70,0.70,0.70
0.70,0.70,0.70,0.60
0.60,0.82,0.82,0.60
0.57,0.75,0.80,0.57
0.75,0.75,0.75,0.75
0.56,0.70,0.70,0.56
0.70,0.70,0.70,0.56
0.59,0.56,0.70,0.56
0.70,0.65,0.70,0.56
0.70,0.70,0.70,0.52
0.45,0.70,0.70,0.45
0.47,0.58,0.58,0.47
0.68,0.68,0.68,0.68
0.68,0.67,0.68,0.47
0.45,0.70,0.70,0.45
0.45,0.61,0.75,0.45
0.61,0.64,0.70,0.61
0.55,0.54,0.69,0.54
0.54,0.69,0.69,0.47
0.69,0.69,0.69,0.69
0.51,0.69,0.69,0.47
0.49,0.67,0.67,0.45
0.65,0.65,0.65,0.60
0.68,0.65,0.68,0.55
0.68,0.70,0.70,0.63
0.55,0.70,0.70,0.55
0.69,0.61,0.69,0.55
0.61,0.73,0.75,0.60
0.73,0.81,0.82,0.70
0.82,0.80,0.82,0.74
0.80,0.80,0.80,0.80
0.79,0.75,0.80,0.68
0.75,0.70,0.75,0.62
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.72,0.72,0.72,0.60
0.65,0.72,0.72,0.65
0.75,0.75,0.75,0.60
0.55,0.75,0.75,0.55
0.61,0.74,0.74,0.61
