DIA,SPDR Dow Jones Industrial Average ETF,NASDAQ
104.84,105.66,105.87,104.76
105.61,105.49,105.67,104.97
105.50,105.56,105.85,105.36
105.38,105.94,106.02,104.95
105.67,106.11,106.11,105.44
106.40,106.54,106.66,105.82
105.85,106.14,106.42,105.58
106.33,106.75,106.99,106.04
106.64,107.03,107.15,106.58
106.94,106.01,106.98,105.54
105.90,107.17,107.23,105.86
106.50,106.02,106.54,105.13
105.97,103.71,106.11,103.71
103.38,101.63,103.86,101.55
102.39,101.91,102.52,101.67
101.66,101.88,103.06,101.48
101.67,102.30,102.51,100.99
102.59,101.20,102.62,100.51
101.56,100.55,102.36,100.41
101.21,101.84,102.35,101.07
101.95,102.88,103.10,101.68
102.62,102.63,103.06,102.34
101.95,100.04,102.07,100.01
100.15,100.16,100.34,98.36
100.00,99.22,100.38,99.12
100.16,100.65,101.49,99.84
100.55,100.52,100.97,99.75
100.42,101.58,101.75,99.87
100.53,101.27,101.37,99.99
102.01,102.81,102.97,101.59
103.16,103.38,103.44,102.95
103.17,104.17,104.30,103.16
103.70,103.99,104.39,103.42
104.38,103.84,104.38,103.71
103.61,102.87,104.14,102.69
103.18,103.70,103.95,102.99
102.25,103.30,103.34,101.92
103.35,103.30,103.61,102.78
103.67,104.02,104.20,103.58
104.43,104.01,104.64,103.95
104.35,104.09,104.77,103.83
104.24,104.50,104.57,103.96
104.99,105.76,105.77,104.87
105.72,105.59,105.96,105.50
105.44,105.71,106.23,105.41
105.82,105.77,106.14,105.38
105.64,106.28,106.29,105.24
106.64,106.42,106.68,106.13
106.30,106.57,106.63,105.87
106.78,107.07,107.12,106.41
107.31,107.52,107.87,107.23
107.53,107.95,108.03,107.46
107.34,107.34,108.17,106.92
106.95,107.79,108.07,106.92
108.03,108.87,108.92,107.83
108.52,108.40,108.81,108.22
108.99,108.44,109.53,108.32
108.63,108.43,109.07,108.13
108.79,108.92,109.16,108.67
109.01,109.13,109.38,108.67
108.82,108.61,109.04,108.32
109.24,109.28,109.58,108.66
109.59,109.73,109.88,109.25
109.45,109.72,109.87,109.28
109.55,109.05,109.70,108.52
108.71,109.37,109.57,108.50
109.52,110.06,110.08,109.41
110.14,110.18,110.36,109.98
110.00,110.25,110.44,109.53
110.60,111.29,111.32,110.43
111.08,111.56,111.62,111.04
111.26,110.18,111.50,109.70
109.86,110.84,110.91,109.74
111.22,111.10,111.43,110.78
111.14,111.16,111.50,110.69
110.61,111.35,111.51,110.15
111.29,111.96,112.04,111.05
112.11,112.08,112.58,112.02
111.76,109.87,112.18,109.73
110.38,110.55,110.84,109.69
110.94,111.69,112.00,110.92
111.81,110.10,112.00,110.04
110.57,111.54,111.82,110.57
110.51,109.36,110.54,108.70
108.55,108.80,109.56,108.25
108.37,105.26,109.15,99.16
105.02,103.78,105.94,102.54
107.57,108.00,108.47,107.00
107.14,107.67,108.93,106.98
108.08,109.26,109.35,107.95
108.95,108.10,109.46,107.97
107.45,106.51,107.67,105.62
106.69,106.52,106.92,104.66
107.29,105.39,107.51,105.14
104.96,104.77,105.58,103.59
102.97,101.11,103.25,101.00
99.30,101.84,101.97,99.02
101.37,100.68,101.98,100.53
98.53,100.46,100.57,97.75
100.88,99.68,101.80,99.52
101.44,102.72,102.73,101.07
102.59,101.47,102.63,101.04
100.67,100.32,102.29,100.23
100.86,102.61,102.65,100.41
102.99,102.69,103.26,101.84
100.97,99.44,101.18,99.00
99.66,98.27,99.92,98.20
98.36,99.44,99.67,97.70
99.98,99.15,100.78,98.80
100.60,101.88,101.98,100.60
101.07,102.31,102.35,101.02
102.99,102.14,103.49,102.04
102.81,104.17,104.29,102.10
103.69,104.29,104.48,103.52
104.51,104.56,104.62,103.38
104.51,104.49,104.84,104.23
105.73,104.45,105.96,103.96
104.50,102.93,104.94,102.84
103.08,102.99,103.68,102.27
102.51,101.56,102.64,101.30
101.80,101.72,102.03,100.83
101.69,101.44,102.05,101.04
100.19,98.73,100.23,98.13
98.51,97.73,99.13,97.59
97.75,97.34,98.00,96.26
97.53,96.87,97.74,96.17
97.99,97.45,98.62,96.61
97.54,100.29,100.37,97.50
100.90,101.51,101.51,100.40
101.46,102.11,102.13,101.28
101.85,102.25,102.30,101.55
103.22,103.73,104.18,103.17
103.53,103.75,104.09,103.12
103.72,103.70,103.88,102.49
103.01,101.01,103.11,100.83
101.41,101.62,101.90,100.76
100.10,102.33,102.40,100.04
102.67,101.23,102.70,100.72
102.25,103.25,103.71,102.22
103.11,104.27,104.50,102.92
104.41,105.26,105.33,104.21
105.75,105.44,105.84,105.00
105.24,105.09,105.55,104.69
105.66,104.67,105.93,103.92
103.80,104.70,105.13,103.54
106.08,106.73,106.99,105.88
106.48,106.39,106.83,106.06
106.65,106.96,107.15,106.38
106.43,106.88,106.88,106.23
105.92,106.69,106.73,105.31
107.00,107.12,107.37,106.64
106.36,106.66,107.18,105.67
105.19,104.13,105.21,103.91
102.85,103.45,103.87,102.78
103.21,103.35,103.80,103.10
102.81,103.28,103.59,102.38
103.99,104.33,105.12,103.67
