DMRC,Digimarc Corporation - Common Stock,NASDAQ
14.76,15.00,15.00,14.75
15.00,15.04,15.15,14.95
14.99,15.00,15.12,14.95
15.08,15.06,15.15,15.06
15.19,15.16,15.20,15.08
15.14,15.20,15.20,15.05
15.10,15.12,15.18,15.10
15.04,15.23,15.23,15.04
15.24,15.22,15.25,15.15
15.16,15.24,15.25,15.15
15.25,15.51,15.98,15.22
15.41,15.61,15.62,15.19
15.31,15.36,15.65,14.86
15.25,15.50,15.50,15.04
15.57,15.66,15.68,15.15
15.66,15.53,15.79,15.32
15.63,15.79,15.82,15.25
15.93,15.92,15.96,15.63
15.37,15.94,15.95,15.26
15.73,15.70,15.83,15.43
15.83,15.90,15.95,15.45
15.90,15.87,15.93,15.68
15.73,15.69,15.87,15.52
15.65,15.39,15.65,15.38
15.64,15.62,15.64,15.48
15.65,15.68,15.69,15.53
15.45,15.79,15.79,15.39
15.74,15.72,15.80,15.50
15.69,15.70,15.72,15.46
15.48,15.70,15.72,15.45
15.50,15.49,15.73,14.75
15.32,15.32,15.66,14.93
15.13,15.69,15.69,15.09
15.45,15.54,15.55,15.13
15.55,15.89,15.90,15.50
15.74,15.74,15.77,15.20
15.88,15.99,16.00,15.51
16.00,17.45,17.46,15.83
17.40,16.85,17.73,16.84
16.81,17.45,17.60,16.70
17.51,18.10,18.45,17.36
18.00,18.05,18.27,17.62
18.31,18.95,19.15,18.07
18.98,20.33,20.33,18.95
20.31,20.28,20.32,19.62
20.11,19.02,20.20,18.63
19.36,19.31,19.36,18.74
18.81,19.31,19.31,18.76
19.28,18.91,19.30,18.75
19.00,18.75,19.22,18.59
18.62,18.45,18.85,18.32
18.56,18.51,18.72,18.04
18.70,19.52,19.59,18.19
19.66,18.81,19.66,18.30
19.47,18.81,22.00,18.50
18.67,18.27,18.67,17.55
18.20,17.54,18.20,17.47
17.60,17.20,17.60,16.68
17.15,16.79,17.20,16.62
16.99,17.51,17.82,16.86
17.50,17.27,17.71,17.25
17.47,17.44,17.55,17.07
17.46,17.40,17.46,17.15
17.25,17.90,17.90,17.25
17.62,17.62,17.82,17.25
17.50,17.31,17.69,17.15
17.25,17.50,17.60,17.25
17.39,17.38,17.80,17.11
17.36,16.87,17.53,16.45
