DPS,Dr Pepper Snapple Group,NASDAQ
28.53,29.10,29.14,28.20
28.96,28.76,29.17,28.65
28.90,29.40,29.44,28.78
29.10,29.08,29.16,28.77
28.55,28.87,28.89,28.49
28.82,28.68,28.99,28.20
28.59,28.21,28.76,28.18
28.35,28.46,28.59,28.29
28.37,28.50,28.64,28.23
28.52,28.44,28.59,28.14
28.25,28.40,28.52,28.20
28.15,28.34,28.43,27.86
28.42,27.75,28.47,27.66
27.55,27.36,27.69,27.26
27.59,27.36,27.59,27.20
27.25,27.43,27.56,27.05
27.33,27.50,27.57,26.99
27.84,27.61,27.90,27.42
27.59,27.66,28.00,27.45
27.84,27.80,27.91,27.58
27.78,28.06,28.13,27.75
27.99,28.06,28.25,27.82
27.85,26.84,27.93,26.78
26.73,27.10,27.14,26.38
26.98,26.84,27.27,26.82
27.04,26.86,27.12,26.64
26.81,26.84,26.91,26.48
26.81,27.17,27.30,26.56
26.94,27.08,27.14,26.71
27.23,27.44,27.54,27.01
27.42,28.59,28.71,27.39
28.51,29.14,29.18,28.51
28.99,28.93,29.22,28.89
28.89,28.65,29.05,28.48
28.58,28.42,28.69,28.21
28.59,28.65,28.69,28.31
31.21,31.83,32.02,30.38
31.31,31.75,32.03,30.95
31.90,31.18,32.18,31.15
31.30,31.50,31.73,31.29
31.57,31.65,32.00,31.49
31.73,31.95,32.14,31.63
32.08,32.35,32.45,31.96
32.40,32.85,33.05,32.16
32.71,33.47,33.93,32.64
33.51,33.65,33.85,33.25
34.44,35.03,35.24,34.31
35.21,34.97,35.33,34.92
35.40,34.95,35.70,34.74
35.45,36.47,36.58,35.30
36.80,36.68,36.80,36.32
36.68,36.67,37.06,36.35
36.69,36.18,36.85,36.05
36.19,36.80,36.93,36.12
36.69,36.57,36.97,36.26
36.62,36.33,36.62,36.01
36.72,36.13,36.75,36.08
36.31,35.80,36.39,35.41
35.97,35.64,35.99,35.56
35.76,35.63,36.01,35.35
35.68,35.17,35.68,35.12
35.24,35.48,35.54,35.16
35.69,35.47,35.93,35.38
35.29,35.45,35.59,35.19
35.52,34.95,35.52,34.95
34.89,35.22,35.48,34.66
35.23,35.15,35.23,34.89
35.24,35.02,35.28,34.88
35.09,34.87,35.11,34.77
34.90,34.75,35.12,34.68
34.64,34.23,34.68,34.05
34.05,34.03,34.40,33.88
33.98,34.09,34.20,33.64
34.20,34.01,34.29,33.86
34.05,33.79,34.36,33.68
33.62,33.40,33.72,33.06
33.49,33.59,33.77,33.20
33.74,34.04,34.20,33.65
33.90,33.22,33.90,33.13
33.27,33.51,33.58,33.01
33.59,34.35,34.35,33.51
34.27,32.73,34.44,32.69
33.91,34.19,34.54,33.63
34.06,33.23,34.10,33.02
33.00,33.99,34.55,32.71
34.00,34.37,36.00,33.73
34.49,35.72,36.40,34.31
36.77,36.62,36.77,35.93
36.13,36.78,37.45,36.02
37.40,37.87,38.14,36.87
38.50,37.89,38.90,37.80
37.76,37.25,37.79,36.75
37.28,38.00,38.20,37.28
38.23,38.12,38.93,38.03
38.01,38.07,38.19,37.34
37.33,36.27,37.64,36.22
35.66,36.72,36.93,35.50
36.62,36.83,37.15,36.31
35.94,37.11,37.14,35.29
37.34,37.29,37.84,37.22
37.78,38.17,38.34,37.57
38.00,37.86,38.43,37.78
37.59,37.65,38.31,37.21
37.71,37.94,38.00,37.29
38.00,37.20,38.42,37.07
36.51,36.49,37.22,35.84
36.29,35.85,36.31,35.62
35.88,36.54,37.04,35.73
36.70,36.14,36.78,36.01
36.52,36.87,37.13,36.52
36.59,37.29,37.37,36.59
37.78,37.44,37.91,37.34
37.59,37.78,37.91,37.43
37.65,38.02,38.25,37.65
37.95,38.24,38.25,37.63
38.17,37.96,38.37,37.89
38.25,38.14,38.50,37.93
38.16,37.42,38.38,37.36
37.08,37.29,37.69,36.75
37.09,37.18,37.54,36.78
37.16,36.57,37.22,36.39
36.71,38.07,38.20,36.52
37.60,37.79,38.06,37.35
37.68,37.39,38.08,37.27
37.49,37.44,37.55,36.90
37.60,37.28,38.03,37.25
37.71,37.97,38.09,37.50
38.02,38.00,38.06,37.51
38.04,38.20,38.25,37.86
38.20,38.54,38.74,38.12
38.60,38.58,38.69,38.21
38.96,39.16,39.31,38.90
39.02,39.25,39.54,38.89
39.24,38.98,39.49,38.71
38.79,38.25,39.03,38.02
38.37,38.88,38.98,38.37
38.37,39.60,39.66,38.37
39.80,38.88,39.89,38.72
39.15,39.60,39.80,39.10
39.63,39.82,39.82,39.30
39.82,40.10,40.24,39.65
40.01,39.70,40.01,39.32
39.76,38.23,39.88,37.94
38.02,37.12,38.28,36.40
36.97,37.55,37.84,36.49
38.03,37.71,38.30,37.32
37.54,37.63,37.85,37.28
37.62,37.77,37.83,37.31
37.60,37.29,37.62,37.04
37.05,36.87,37.28,36.58
37.09,36.73,37.46,36.67
36.56,37.26,37.59,36.31
36.85,36.85,37.16,36.36
36.33,36.99,37.03,36.19
36.98,36.84,37.07,36.58
36.69,36.82,36.89,36.32
36.93,36.77,37.04,36.44
36.74,36.92,37.05,36.53
36.77,36.80,37.02,36.47
36.49,36.76,36.85,36.23
36.78,36.53,37.00,36.53
36.08,36.90,37.15,36.01
36.65,37.22,37.43,36.65
37.42,37.07,37.61,36.96
37.17,37.38,37.45,36.72
37.38,37.00,37.54,37.00
36.76,36.82,37.10,36.54
37.08,37.71,37.74,36.79
37.61,38.05,38.05,37.37
38.21,38.30,38.38,37.85
38.24,38.19,38.48,37.88
38.19,38.13,38.77,38.08
38.44,35.59,38.52,35.55
35.17,34.73,35.27,34.34
35.23,34.86,35.23,34.59
34.76,34.64,34.91,34.56
34.60,35.60,35.69,34.50
35.19,35.19,35.26,34.75
35.22,35.31,35.40,35.02
35.28,35.39,35.54,35.13
35.29,34.80,35.33,34.65
34.63,34.43,34.97,34.29
34.22,33.94,34.24,33.60
35.04,34.95,35.29,34.80
34.85,34.82,35.08,34.41
34.90,35.72,35.74,34.58
35.61,35.38,35.70,35.16
35.36,35.52,35.86,35.33
35.56,35.11,36.03,34.83
34.94,34.64,35.02,34.54
34.94,35.49,35.60,34.91
35.35,35.08,35.49,34.93
34.63,34.60,35.01,34.50
34.55,34.73,34.99,34.23
34.80,34.88,34.94,34.73
34.79,34.78,34.94,34.72
34.85,35.34,35.50,34.75
35.38,35.03,35.56,34.92
35.27,34.97,35.37,34.87
35.04,34.36,35.04,34.33
34.07,33.89,34.17,33.66
33.95,35.11,35.12,33.89
35.24,35.86,35.86,35.18
35.78,35.89,35.98,35.59
36.22,35.97,36.22,35.82
35.90,35.69,36.06,35.62
34.03,36.48,36.79,34.00
36.77,36.50,37.00,36.35
36.50,36.59,36.60,36.27
36.86,36.57,36.86,36.44
36.84,37.22,37.31,36.70
37.20,37.05,37.48,36.77
37.34,37.22,37.54,37.08
37.27,37.15,37.45,37.00
37.12,36.58,37.22,36.53
36.64,36.09,36.80,35.99
36.03,36.54,36.68,35.90
36.36,36.19,36.51,36.09
35.99,36.18,36.42,35.99
36.24,36.57,36.77,36.24
36.61,36.43,37.08,36.33
36.28,36.42,36.55,36.24
36.74,37.11,37.33,36.68
37.14,37.98,38.15,36.90
37.80,38.08,38.23,37.68
37.72,37.37,37.73,37.24
37.15,37.66,37.77,37.15
37.43,37.29,37.51,37.25
37.02,36.57,37.02,36.22
36.41,36.63,36.76,36.14
36.94,37.06,37.24,36.56
37.03,37.79,37.86,36.76
37.62,37.64,37.90,37.50
37.51,36.88,37.51,36.85
37.09,36.73,37.30,36.60
36.71,36.59,36.89,35.91
36.78,37.63,37.64,36.56
37.60,37.42,37.60,37.11
37.52,37.04,37.64,36.62
37.13,37.28,37.28,36.84
37.15,37.25,37.36,36.91
37.20,37.11,37.20,36.79
36.97,37.97,38.03,36.86
38.01,37.00,38.04,36.79
