DRR,Market Vectors Double Short Euro ETN,NASDAQ
41.06,41.07,41.22,40.90
41.20,41.48,41.53,41.03
41.56,41.13,41.58,40.92
41.61,41.75,41.85,41.52
41.39,41.19,41.82,41.02
40.50,40.45,40.68,40.31
40.77,40.65,40.77,40.41
40.41,40.58,40.80,40.21
40.70,40.58,40.87,40.52
nan,41.38,nan,nan
41.73,41.80,42.00,41.61
42.80,42.96,42.99,42.71
43.03,42.86,43.30,42.50
42.90,42.65,42.91,42.39
42.70,42.50,42.70,42.41
42.97,43.07,43.21,42.82
43.29,43.70,43.80,43.14
43.80,43.85,44.97,43.61
43.85,44.59,44.80,43.85
45.15,43.89,45.15,43.89
44.00,43.74,44.00,43.33
43.92,44.29,44.29,43.80
44.92,45.35,45.86,44.67
45.63,45.62,47.34,45.36
47.03,45.86,47.03,45.45
45.05,44.81,45.51,44.43
45.20,45.32,45.80,45.12
45.68,45.47,46.24,45.41
nan,46.05,nan,nan
45.97,44.91,45.98,44.86
45.03,45.99,46.29,45.03
46.34,46.07,46.42,45.67
46.78,46.23,47.33,45.93
46.34,46.20,46.42,45.80
46.53,46.68,46.82,46.24
46.50,46.64,46.69,45.88
47.08,46.35,47.19,46.27
46.37,46.00,46.74,45.37
46.62,46.37,47.32,46.27
46.36,45.92,46.71,45.82
46.17,45.28,46.17,45.08
45.78,46.05,46.80,45.27
47.26,45.81,47.26,45.75
45.40,45.80,45.96,45.30
45.92,45.89,46.20,45.86
45.85,45.57,45.86,45.49
45.56,45.40,45.67,45.38
44.90,44.91,45.12,44.62
45.14,45.40,45.71,44.77
44.96,44.68,45.10,44.68
44.84,44.92,45.00,44.69
45.39,45.81,45.97,45.33
46.16,46.43,46.60,46.16
46.83,46.33,46.83,46.19
46.59,46.68,46.74,46.30
47.73,47.83,47.87,47.45
47.77,48.14,48.20,47.30
49.13,47.20,49.13,47.08
46.80,46.70,46.98,46.63
46.66,47.15,47.25,46.59
46.54,46.54,46.57,46.18
nan,46.00,nan,nan
46.54,46.64,46.73,46.30
47.51,47.11,47.60,47.10
47.67,47.62,47.72,47.32
47.77,47.70,47.99,47.51
47.52,46.62,47.52,46.55
46.22,46.03,46.22,45.61
45.62,45.90,46.12,45.62
45.51,45.30,45.72,45.10
45.95,46.00,46.17,45.89
46.55,46.36,46.60,46.31
47.02,46.64,47.19,46.53
46.56,46.80,46.95,46.54
47.20,47.10,47.37,47.02
47.72,47.67,48.15,47.63
48.14,47.23,48.14,47.12
47.80,47.38,47.85,47.31
47.86,48.83,48.88,47.58
48.58,48.54,49.24,48.36
48.50,48.23,48.52,48.01
47.79,47.73,47.99,47.49
48.23,48.66,48.80,48.23
49.61,50.06,50.10,49.47
51.50,51.48,51.61,50.82
52.47,52.83,58.50,51.76
52.33,51.94,53.14,51.61
50.35,51.69,51.91,50.00
52.17,52.53,52.55,51.96
52.71,52.99,53.07,52.25
53.58,53.61,53.82,53.24
54.11,55.10,55.23,53.97
55.42,55.07,55.98,54.70
54.48,56.61,56.91,54.48
56.00,54.97,56.50,54.70
55.02,53.95,55.73,53.00
53.47,53.08,53.67,52.90
54.60,54.79,55.00,54.40
55.68,55.25,56.50,55.25
55.72,56.79,56.80,55.62
56.48,54.89,56.65,54.51
nan,55.65,nan,nan
56.71,56.22,56.73,55.00
56.52,55.96,56.56,55.82
55.82,56.86,56.97,55.82
57.01,58.57,58.70,57.01
59.00,59.20,59.24,58.55
59.30,58.83,59.30,58.01
57.99,58.59,58.63,57.50
57.64,56.88,57.64,56.66
57.23,57.46,57.79,56.60
55.97,56.03,56.19,55.27
55.36,54.66,55.78,54.54
54.90,55.22,55.46,54.57
54.72,54.45,54.96,54.25
54.56,54.70,54.80,54.40
54.49,55.32,55.39,54.14
55.36,55.64,55.81,55.21
55.74,55.49,58.01,55.00
55.86,55.05,55.86,54.70
55.50,54.74,55.79,54.68
54.87,55.44,55.50,54.87
56.15,56.12,56.68,55.99
56.11,55.83,56.11,55.23
54.71,53.24,54.71,53.12
nan,52.84,nan,nan
52.40,52.29,52.80,51.89
52.42,52.16,52.58,51.98
52.07,51.72,52.14,51.48
52.24,52.22,52.34,52.10
52.75,52.61,52.95,52.53
52.49,51.60,52.49,51.40
51.63,51.37,51.66,50.77
50.36,49.79,50.42,49.73
49.48,49.92,50.00,49.41
49.56,49.74,49.93,49.31
50.24,50.17,50.31,49.87
50.74,51.13,51.31,50.55
50.55,50.11,50.55,49.44
50.60,49.86,50.79,49.80
49.65,49.24,49.76,49.18
49.24,49.19,49.56,48.96
49.30,49.39,49.39,48.97
48.54,48.56,48.74,48.41
49.13,48.89,49.24,48.66
48.40,48.00,48.40,47.73
47.63,47.52,47.84,47.45
47.61,48.03,48.21,47.61
47.89,47.87,48.16,47.81
47.18,47.00,47.27,46.73
47.08,47.53,47.60,47.08
48.27,47.85,48.54,47.52
49.51,50.03,50.25,49.30
50.46,50.44,50.48,50.13
50.48,50.99,51.00,50.40
50.50,50.50,50.61,50.09
49.81,49.93,50.21,49.81
49.78,50.08,50.19,49.78
50.04,50.47,50.69,49.95
51.46,51.35,51.70,51.31
51.86,51.74,51.95,51.27
51.96,51.56,52.12,51.28
51.75,51.83,52.00,51.19
51.29,51.17,51.48,50.86
51.32,51.13,51.66,50.78
51.45,51.66,51.70,51.30
51.11,51.62,51.62,51.11
50.35,50.52,50.62,50.17
50.30,50.38,50.51,50.29
nan,49.78,nan,nan
50.94,51.40,51.41,50.77
