ECPG,Encore Capital Group Inc - Common Stock,NASDAQ
17.59,17.61,17.93,17.36
17.61,17.40,17.84,17.32
17.32,16.84,17.50,16.81
16.90,16.89,16.94,16.35
16.74,17.20,17.29,16.51
17.27,17.11,17.68,16.92
16.86,16.23,17.25,16.19
16.30,16.54,16.71,16.20
16.51,17.13,17.23,16.51
17.14,16.31,17.34,16.18
16.27,16.35,16.54,16.01
16.22,15.93,16.38,15.81
16.01,15.80,16.06,15.45
15.87,15.63,15.95,15.50
15.77,15.81,15.86,15.22
15.70,15.59,16.01,15.40
15.50,15.62,15.66,15.11
15.66,15.01,15.66,14.71
15.04,15.77,15.97,14.90
15.89,15.89,16.08,15.55
15.86,16.16,16.34,15.70
16.02,16.30,16.33,15.60
16.08,15.69,16.08,15.57
15.69,15.42,15.83,14.90
15.19,14.66,15.23,14.65
16.85,17.13,17.50,16.42
17.09,16.93,17.15,16.55
16.88,17.82,17.90,16.71
17.77,18.02,18.03,17.20
18.25,18.08,18.25,17.77
18.11,18.11,18.25,17.80
18.04,18.11,18.22,17.61
18.10,17.99,18.21,17.84
17.94,17.95,18.09,17.82
18.00,18.45,18.53,17.98
18.44,18.48,18.66,18.37
18.13,17.90,18.19,17.55
17.99,18.04,18.20,17.39
18.01,17.65,18.01,17.41
17.61,18.06,18.18,17.61
18.16,17.82,18.64,17.73
17.92,17.58,17.96,17.47
17.79,17.81,17.98,17.69
17.76,17.76,18.08,17.71
17.64,18.01,18.45,17.62
17.99,17.46,18.00,17.30
17.31,17.70,17.72,17.10
17.72,17.40,17.82,17.17
17.29,17.04,17.39,17.00
17.00,16.81,17.06,16.57
16.80,16.87,17.23,16.66
16.77,17.20,17.34,16.77
17.32,16.76,17.36,16.54
16.56,16.72,16.89,16.54
16.68,16.97,17.02,16.68
16.99,16.94,17.14,16.85
17.04,16.97,17.29,16.93
17.10,16.77,17.27,16.59
16.88,16.89,17.13,16.58
16.95,16.62,17.06,16.52
16.51,16.45,16.78,16.42
N/A,N/A,N/A,N/A
17.54,17.60,17.87,17.17
17.53,17.22,17.77,17.18
17.19,17.10,17.23,16.91
16.97,17.00,17.05,16.83
16.99,16.98,17.08,16.87
17.04,16.99,17.05,16.76
16.99,16.72,16.99,16.58
16.88,17.07,17.14,16.82
17.07,17.25,17.25,17.03
17.19,17.25,17.57,16.95
17.11,17.31,17.38,16.93
17.35,18.12,18.12,17.35
18.24,19.92,19.92,18.12
19.69,20.62,20.70,19.40
20.69,22.03,22.14,20.58
21.97,22.70,22.92,21.51
22.70,21.54,22.85,21.46
22.28,22.20,22.36,21.49
22.97,23.90,24.08,22.97
23.92,23.01,24.07,22.56
23.02,22.33,23.48,21.71
22.04,21.83,22.19,21.25
21.28,21.19,21.55,20.81
21.06,21.00,21.59,20.26
20.90,20.17,21.27,19.94
21.31,21.18,21.69,20.88
20.92,21.14,21.84,20.54
21.28,21.93,22.00,21.28
21.84,21.29,21.86,21.29
21.14,20.95,21.24,20.64
21.09,21.21,21.34,20.36
21.44,20.67,21.46,20.56
20.56,20.82,21.16,20.44
20.23,20.01,20.69,20.00
19.75,20.33,20.76,19.75
20.27,20.16,20.71,20.08
19.75,20.56,20.62,19.67
20.50,20.51,20.62,20.18
21.05,21.19,21.27,20.58
21.18,20.90,21.18,20.66
20.65,20.14,21.27,20.10
20.25,20.30,20.43,19.95
20.32,20.49,20.92,20.22
19.95,19.19,20.24,19.09
19.24,18.43,19.87,18.42
18.46,18.11,18.81,17.72
18.24,17.92,18.72,17.75
18.18,18.20,18.42,17.89
17.99,18.74,18.78,17.98
18.89,18.48,19.10,18.42
18.53,18.95,19.02,18.32
18.75,19.75,19.80,18.75
19.95,21.44,21.53,19.95
21.50,21.55,21.60,21.20
21.78,21.81,22.13,21.57
21.98,21.72,22.32,21.70
21.75,21.20,21.75,21.18
21.14,21.82,22.03,20.67
22.00,21.81,22.25,21.45
21.97,21.36,22.26,21.14
21.02,20.46,21.02,20.38
20.52,20.61,20.91,20.28
20.51,20.29,21.06,19.76
20.48,20.00,20.48,19.68
20.40,19.68,20.40,19.63
19.82,20.15,20.16,18.70
20.36,20.64,20.68,20.01
20.66,21.14,21.20,20.42
21.12,20.58,21.28,20.58
20.92,21.55,21.66,20.77
21.42,21.18,21.42,20.83
21.15,21.08,21.16,20.72
20.85,20.19,21.11,20.14
20.27,19.68,20.27,19.51
19.37,19.93,19.96,19.18
20.00,19.05,20.07,19.04
19.41,19.82,19.98,19.37
19.69,20.00,20.99,19.32
20.00,20.31,20.35,19.78
20.53,21.40,21.44,20.43
21.31,20.70,21.39,20.60
20.89,20.71,21.42,20.52
