EDN,Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor) Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor) American Depositary Shares,NASDAQ
7.98,8.20,8.51,7.98
8.22,8.17,8.65,8.17
8.20,8.39,8.47,7.95
8.26,8.48,8.48,7.90
8.41,8.22,8.41,8.00
8.14,7.60,8.14,7.60
7.38,7.63,7.80,7.38
7.72,7.82,7.89,7.53
7.88,8.11,8.11,7.77
8.03,7.80,8.05,7.72
8.05,8.00,8.20,7.88
7.90,7.71,7.90,7.61
7.71,7.69,7.90,7.40
7.59,7.48,7.70,7.44
7.55,7.53,7.60,7.21
7.49,7.56,7.56,7.39
7.50,7.50,7.60,7.45
7.50,7.48,8.16,7.45
7.48,7.53,7.65,7.48
7.65,7.65,7.65,7.55
7.63,7.15,7.65,7.10
7.23,7.57,7.57,7.16
7.46,7.13,7.46,7.11
7.10,7.02,7.46,6.88
6.96,6.91,7.10,6.80
6.91,6.88,7.18,6.61
6.93,6.97,7.21,6.93
6.98,7.24,7.26,6.98
7.20,7.18,7.20,7.00
7.16,7.25,7.25,6.89
7.22,7.19,7.22,7.06
7.17,7.17,7.32,7.03
7.05,7.47,7.47,7.05
7.59,7.30,7.59,7.10
7.09,7.16,7.18,7.05
7.14,6.99,7.14,6.89
6.97,6.76,7.04,6.71
6.82,6.75,6.82,6.64
6.56,6.78,6.90,6.41
6.71,6.90,6.90,6.71
6.86,6.82,6.95,6.71
6.77,6.84,6.92,6.76
6.77,7.03,7.03,6.72
7.08,6.88,7.08,6.75
6.78,6.92,7.01,6.77
6.96,6.89,6.96,6.67
6.75,6.83,6.85,6.72
6.77,6.85,6.95,6.77
6.80,7.25,7.25,6.77
7.32,7.40,7.46,7.00
7.41,7.56,7.61,7.41
7.72,7.35,7.72,7.25
7.42,7.38,7.51,7.30
7.42,7.53,7.62,7.32
7.57,7.62,7.69,7.43
7.65,7.58,7.69,7.48
7.62,7.47,7.68,7.47
7.44,7.50,7.61,7.41
7.41,7.41,7.55,7.27
7.37,7.36,7.49,7.31
7.29,7.03,7.36,7.03
7.21,7.05,7.21,6.96
7.04,7.20,7.25,7.04
7.10,7.61,7.73,7.10
7.61,7.67,7.99,7.61
7.61,7.73,7.81,7.44
7.77,7.90,8.00,7.77
7.85,7.85,7.93,7.80
7.85,7.80,7.88,7.74
7.80,7.62,7.80,7.62
7.67,7.71,7.71,7.62
7.64,7.63,7.70,7.54
7.60,7.65,7.68,7.50
7.68,7.68,7.68,7.58
7.65,7.63,7.70,7.63
7.60,7.59,7.60,7.50
7.60,7.50,7.60,7.32
7.55,7.52,7.55,7.39
7.50,7.52,7.52,7.40
7.53,7.49,7.53,7.42
7.47,7.50,7.52,7.44
7.52,7.72,7.80,7.49
7.84,7.98,8.06,7.75
7.77,7.75,7.90,7.70
7.72,7.71,7.96,7.61
7.77,7.37,7.82,5.54
7.50,7.22,7.50,7.11
7.41,7.75,7.89,7.41
7.69,7.69,7.71,7.55
7.70,7.54,7.75,7.45
7.59,7.46,7.65,7.43
7.42,7.35,7.43,7.29
7.32,7.31,7.35,7.12
7.30,7.18,7.38,7.17
7.11,7.29,7.35,7.09
7.22,7.02,7.22,6.95
6.82,7.03,7.10,6.82
7.00,7.05,7.08,7.00
6.95,7.14,7.17,6.95
7.18,7.16,7.18,7.00
7.18,7.46,7.46,7.00
7.40,7.24,7.40,7.17
7.16,7.12,7.23,7.10
7.16,7.25,7.36,6.99
7.28,7.27,7.47,7.22
7.16,7.15,7.37,7.00
7.10,7.25,7.40,7.00
7.20,7.20,7.33,7.04
7.26,7.00,7.36,7.00
7.07,7.15,7.46,7.01
7.08,7.21,7.25,6.98
7.21,7.27,7.34,7.08
7.30,7.20,7.45,7.14
7.17,7.15,7.36,7.11
7.15,7.18,7.32,7.07
7.16,7.45,7.45,6.96
7.40,7.12,7.40,7.07
7.11,6.91,7.15,6.90
6.90,6.91,7.35,6.57
6.83,6.82,6.95,6.81
6.85,6.78,6.86,6.70
6.75,6.66,6.90,6.56
6.62,6.50,6.64,6.42
6.38,6.36,6.62,6.34
6.24,6.50,6.56,6.24
6.50,6.52,6.53,6.41
6.65,6.55,6.66,6.43
6.55,6.70,6.73,6.46
6.79,6.65,6.79,6.65
6.69,6.70,6.76,6.69
6.80,6.75,6.80,6.71
6.72,6.69,6.76,6.62
6.64,6.63,6.75,6.63
6.66,6.58,6.66,6.42
6.58,6.52,6.58,6.44
6.46,6.58,6.67,6.45
6.56,6.55,6.63,6.43
6.61,6.55,6.81,6.54
6.60,6.61,6.67,6.52
6.60,6.66,6.71,6.45
6.70,6.64,6.70,6.59
6.70,6.61,6.70,6.60
6.59,6.57,6.61,6.50
6.58,7.08,7.13,6.57
7.02,7.05,7.20,7.00
7.07,6.88,7.15,6.82
6.90,6.75,6.93,6.68
6.79,6.70,6.84,6.68
6.63,6.59,6.76,6.58
6.52,6.75,6.77,6.52
6.74,6.71,6.78,6.65
6.81,6.70,6.86,6.69
6.61,6.46,6.61,6.40
6.34,6.53,6.53,6.33
6.47,6.56,6.57,6.47
6.50,6.66,6.67,6.42
6.69,6.65,6.70,6.59
6.68,6.59,6.68,6.51
6.49,6.41,6.53,6.28
6.37,6.78,6.90,6.19
6.85,6.52,6.85,6.41
6.45,6.37,6.50,6.36
6.37,6.45,6.45,6.36
6.36,6.47,6.52,6.36
6.48,6.51,6.61,6.48
6.56,6.42,6.57,6.42
6.36,6.45,6.53,6.36
6.47,6.40,6.60,6.38
6.39,6.52,6.56,6.36
6.59,6.72,6.72,6.54
6.68,6.75,6.78,6.65
6.76,6.72,6.77,6.66
6.80,6.92,6.92,6.66
6.94,6.90,6.99,6.80
6.95,6.92,7.03,6.89
6.95,6.90,6.95,6.83
6.86,6.89,6.93,6.84
6.73,6.70,6.95,6.70
6.72,6.90,6.96,6.62
6.88,7.11,7.20,6.75
7.32,6.99,7.34,6.95
7.01,7.16,7.17,6.98
7.12,7.00,7.13,7.00
7.02,7.04,7.06,7.00
6.98,7.76,7.80,6.98
7.80,7.94,8.15,7.64
7.88,7.86,8.15,7.49
7.86,7.84,7.88,7.57
7.84,7.87,8.00,7.79
7.92,7.90,8.08,7.89
7.97,8.34,8.42,7.97
8.32,8.50,8.50,8.22
8.43,8.37,8.50,8.30
8.45,8.59,8.62,8.39
8.58,8.65,8.67,8.56
8.60,8.86,8.90,8.45
8.91,9.07,9.16,8.91
8.99,8.86,9.17,8.79
8.91,9.10,9.14,8.87
9.08,9.40,9.40,9.08
9.40,9.50,9.75,9.40
9.62,9.49,9.75,9.42
9.53,9.10,9.60,9.00
9.13,9.08,9.39,9.06
9.13,9.12,9.40,9.00
9.10,9.64,9.70,9.10
9.75,11.26,13.28,9.75
11.27,10.25,11.27,10.01
10.15,10.22,10.51,9.68
10.28,10.99,11.25,10.28
11.26,10.66,11.51,10.22
10.56,10.89,11.48,10.50
10.87,11.15,11.35,10.87
11.15,10.90,11.15,10.80
10.96,10.70,11.00,10.24
10.70,10.62,10.80,10.57
10.65,10.41,10.71,10.29
10.17,10.12,10.32,10.08
9.87,9.91,10.09,9.77
9.90,10.25,10.50,9.89
10.39,9.88,10.39,9.50
9.98,9.85,10.31,9.82
9.85,10.21,10.27,9.80
10.27,10.11,10.27,10.05
10.11,10.20,10.25,10.10
10.14,10.74,10.76,10.01
11.01,11.75,11.86,10.95
12.00,12.45,12.56,11.87
12.66,12.84,12.84,11.86
13.00,12.75,13.00,12.40
12.82,13.16,13.43,12.82
13.24,13.90,14.59,13.24
14.02,14.20,14.20,13.70
14.20,14.32,14.65,14.20
14.51,13.50,14.51,13.48
13.45,13.75,14.02,13.32
13.85,13.20,13.96,13.20
13.03,13.37,13.76,13.03
13.30,12.85,13.86,12.70
12.69,12.56,12.87,12.54
12.50,12.25,12.50,12.01
12.15,12.80,13.08,12.15
12.84,13.49,13.49,12.82
13.68,12.98,13.68,12.95
12.83,13.01,13.08,12.73
13.03,13.72,13.76,12.94
13.51,13.75,13.85,13.51
13.84,13.90,13.91,13.57
14.12,13.70,14.12,13.70
13.73,13.78,14.00,13.68
13.85,13.59,13.92,13.42
13.64,13.63,13.71,13.55
13.66,13.49,13.67,13.49
13.76,13.07,13.76,12.51
13.18,12.75,13.18,12.72
12.56,12.78,12.91,12.55
12.71,12.67,12.80,12.60
12.70,12.60,12.70,12.45
12.90,12.52,12.90,12.48
12.55,12.55,12.70,12.46
12.50,12.80,13.15,12.36
12.93,12.80,12.95,12.70
12.85,12.87,12.95,12.77
12.95,12.70,13.00,12.66
12.90,12.86,13.50,12.80
13.06,13.09,13.61,13.00
13.14,12.80,13.33,12.78
12.80,12.80,13.00,12.54
12.90,12.75,12.95,12.34
12.75,12.94,13.21,12.74
12.95,12.11,12.95,12.01
12.40,12.48,13.28,12.30
12.70,12.87,13.00,12.67
12.75,12.77,12.83,12.53
12.77,12.88,12.88,12.57
12.78,12.51,12.78,12.42
12.38,12.50,12.63,12.34
12.50,12.40,12.52,12.08
12.22,11.83,12.22,11.70
11.83,11.00,11.83,10.97
11.04,11.07,11.31,10.98
11.46,11.24,11.55,10.95
11.30,11.05,11.30,11.01
11.03,11.15,11.26,11.02
11.02,11.26,11.47,11.02
11.24,11.29,11.47,11.20
10.80,10.83,11.14,10.80
10.79,10.84,11.05,10.40
10.78,10.44,10.83,10.41
10.46,10.96,10.97,10.46
10.88,10.99,11.07,10.74
10.94,10.68,10.94,10.68
10.69,10.50,10.82,10.43
10.47,10.87,10.87,10.45
10.96,10.21,10.96,10.17
10.38,10.24,10.38,10.23
10.10,10.20,10.30,10.10
10.20,10.33,10.46,10.20
