EFU,ProShares UltraShort MSCI EAFE,NASDAQ
147.80,146.04,147.80,144.96
145.48,145.60,146.60,144.16
146.04,144.44,146.08,144.20
146.28,145.68,147.36,145.32
144.92,143.16,145.52,143.00
140.56,140.96,142.00,140.23
143.76,143.84,144.88,142.76
143.20,141.32,144.03,140.76
141.28,139.64,141.72,139.24
nan,143.48,nan,nan
144.44,140.96,144.72,140.88
147.20,148.04,150.56,146.84
148.44,154.40,156.00,148.36
156.00,160.24,160.76,154.14
154.80,156.48,156.56,154.00
159.48,158.48,161.68,154.04
160.56,158.28,165.60,155.20
158.28,163.87,165.70,158.28
163.76,168.92,169.38,161.76
164.04,162.12,164.28,160.00
160.12,157.16,161.13,156.24
158.80,160.04,161.75,157.52
166.32,173.36,173.36,166.04
175.28,176.30,184.00,174.04
177.20,180.72,180.76,173.80
172.76,169.76,176.00,166.24
171.36,171.20,174.56,170.00
172.48,168.15,175.01,167.60
nan,171.32,nan,nan
169.68,163.52,170.36,162.88
161.56,163.04,164.08,161.30
164.08,161.00,164.08,160.60
165.44,163.00,166.24,162.44
161.40,162.56,163.16,161.00
163.92,167.04,167.96,163.72
166.36,164.68,167.21,163.32
171.40,167.00,172.12,167.00
167.64,164.32,169.00,163.76
163.88,162.24,164.88,161.68
159.80,159.72,161.16,157.48
157.00,155.96,157.20,154.00
155.44,156.52,158.08,155.32
154.40,150.56,154.64,150.12
149.92,150.40,151.28,149.48
153.24,151.00,153.32,149.80
150.64,149.92,150.88,148.44
150.88,148.76,150.88,148.44
146.56,146.92,148.00,146.32
149.08,148.72,150.84,148.72
147.24,145.12,147.40,144.80
143.84,143.48,144.00,142.32
144.60,144.96,146.84,144.12
145.40,148.04,148.96,145.40
152.04,147.00,152.04,146.80
147.12,145.12,147.68,145.08
149.96,149.72,150.60,148.84
147.40,150.16,150.32,146.40
148.12,147.16,148.44,145.92
145.44,144.48,145.84,144.40
143.52,144.44,145.40,143.16
145.52,144.24,145.68,143.52
nan,139.28,nan,nan
139.40,138.84,140.12,138.08
141.68,139.52,141.76,139.48
140.84,141.64,142.48,140.68
144.56,142.04,145.12,141.84
141.08,138.32,141.08,137.84
137.24,137.20,137.78,136.56
136.88,137.44,139.08,136.88
135.32,133.64,135.48,133.60
135.32,134.16,135.32,133.76
136.28,139.92,140.68,135.76
143.04,140.64,143.64,140.44
138.40,138.76,139.30,138.12
140.08,140.48,141.88,139.92
144.84,142.84,146.36,142.64
144.40,141.08,144.44,140.88
140.04,140.76,140.88,139.72
144.76,151.68,152.40,143.00
149.52,151.92,155.04,148.91
148.60,147.16,148.71,146.30
147.08,150.72,151.20,144.56
150.16,148.76,150.34,147.77
156.24,160.16,161.41,156.16
167.64,166.68,168.24,162.80
168.28,182.12,199.40,167.00
177.84,181.88,188.64,174.12
157.72,158.36,161.60,154.92
165.52,163.64,165.56,158.64
160.72,159.60,161.00,157.80
161.76,163.72,164.44,160.00
167.96,173.03,175.84,167.32
172.08,172.52,180.60,170.54
169.20,180.04,181.28,168.48
180.80,178.68,184.33,177.28
188.96,191.16,194.00,185.04
194.44,181.52,194.92,180.92
186.68,189.80,189.80,184.00
201.20,190.96,202.96,190.80
190.60,196.52,197.80,186.00
182.56,174.72,184.80,174.68
nan,181.32,nan,nan
184.76,184.84,184.84,176.08
183.04,175.00,187.81,174.92
172.96,176.16,179.16,170.60
184.52,190.96,192.48,182.96
189.60,195.88,196.00,187.80
193.72,189.64,196.48,189.40
187.16,190.84,192.40,183.24
179.60,174.80,180.56,174.40
178.52,174.16,179.17,173.96
168.88,172.08,172.32,167.00
166.56,161.15,167.55,160.88
165.00,162.28,165.36,161.20
160.92,161.68,164.44,160.88
161.76,161.64,162.88,160.76
157.08,161.88,163.04,156.38
161.36,165.96,166.60,160.16
163.64,163.76,166.84,162.08
166.09,169.56,170.20,165.88
170.08,167.88,171.88,167.04
168.52,170.16,170.76,166.04
176.46,181.64,182.90,176.46
181.28,184.24,184.25,177.84
179.52,178.84,184.32,178.40
nan,179.74,nan,nan
169.44,172.48,174.84,166.88
170.44,161.40,170.60,161.24
160.20,158.52,162.70,158.48
161.44,158.24,161.60,158.12
160.60,159.20,161.48,158.84
155.36,153.40,155.66,152.64
154.60,152.32,155.14,152.00
151.92,150.76,155.36,150.40
154.44,160.24,160.64,154.40
157.80,158.44,160.84,157.04
163.20,156.16,163.20,155.84
156.16,161.64,162.80,156.12
154.08,151.12,154.08,149.64
152.00,147.44,152.12,147.44
148.80,145.28,149.48,145.13
143.64,144.56,146.04,143.28
145.12,145.76,146.60,144.32
141.56,144.56,146.72,140.68
147.76,145.24,148.10,143.88
