EGP,EastGroup Properties,NASDAQ
38.60,38.22,38.80,37.97
38.04,37.39,38.28,36.76
37.36,37.33,37.46,37.00
37.23,37.45,37.79,36.72
37.27,37.37,37.51,37.05
37.71,37.45,37.71,37.13
37.04,36.93,37.37,36.59
37.05,37.31,37.40,36.87
37.28,38.18,38.73,37.25
38.25,38.53,38.67,38.14
38.66,38.94,39.14,38.43
38.48,38.60,38.86,38.29
38.55,38.55,38.99,38.34
38.59,38.00,39.00,37.96
38.47,38.25,38.50,37.58
38.22,38.32,38.64,37.95
38.22,38.62,38.76,38.00
38.82,38.18,38.82,37.81
38.45,38.26,38.86,37.98
38.63,38.81,38.91,38.38
38.75,38.41,39.00,38.29
38.16,37.61,38.53,37.60
37.30,35.97,37.46,35.84
36.13,36.34,36.63,35.27
36.23,35.80,36.29,35.74
36.30,35.54,36.31,35.42
35.48,35.32,35.48,34.56
34.80,33.65,34.80,33.11
34.35,34.16,34.35,33.60
34.37,34.83,34.93,34.01
35.14,35.06,35.45,34.88
35.06,35.16,35.55,35.06
35.16,34.95,35.28,34.77
35.16,35.18,35.31,34.78
35.02,35.06,35.57,34.97
35.27,35.30,35.32,34.68
34.86,35.75,35.75,34.71
35.82,35.90,36.11,35.41
35.98,36.75,36.78,35.91
36.77,37.18,37.19,36.56
37.21,36.86,37.30,36.77
37.06,36.98,37.06,36.65
37.09,37.41,37.58,36.94
37.49,37.33,37.57,37.19
37.09,37.41,37.58,36.95
37.31,38.03,38.03,37.25
37.80,38.08,38.22,37.63
38.30,38.46,38.54,37.95
38.28,37.90,38.55,37.73
38.07,38.83,38.88,37.75
38.22,38.56,38.76,38.04
38.58,38.63,38.78,38.41
38.73,38.62,38.74,38.04
38.39,38.69,38.74,38.05
38.65,38.44,38.65,38.12
38.34,38.38,38.64,38.20
38.62,39.09,39.38,38.62
39.30,38.64,39.44,38.53
38.87,38.73,38.89,38.40
38.85,38.58,39.06,38.47
38.33,37.74,38.79,37.74
37.83,37.70,38.02,37.36
37.74,38.56,38.56,37.71
38.30,39.55,39.61,38.14
39.25,39.02,39.68,38.86
38.95,39.13,39.17,38.79
39.14,39.47,39.54,38.78
39.46,39.22,39.60,39.11
39.28,39.80,39.91,39.12
39.99,39.91,39.99,39.66
39.85,39.08,39.85,39.05
39.13,38.05,39.65,37.98
37.78,38.53,38.72,37.64
38.61,38.97,38.98,38.32
38.90,39.45,39.68,38.88
39.01,39.18,39.48,38.92
39.32,39.08,39.41,38.72
38.86,40.08,40.42,38.86
39.89,39.58,40.69,39.37
39.73,39.75,40.83,39.59
40.33,41.81,41.92,40.13
41.69,40.88,41.97,40.85
41.19,42.02,42.09,41.03
41.05,41.27,42.23,40.59
40.99,39.42,40.99,39.24
39.29,38.06,39.47,36.38
37.96,37.41,38.38,36.57
38.58,39.75,39.75,38.58
39.04,40.19,40.69,38.95
40.27,40.85,40.89,39.86
40.71,40.15,40.96,39.97
39.90,38.83,39.90,38.53
39.11,38.43,39.54,37.42
38.96,37.63,39.12,37.42
37.40,37.20,37.98,36.60
36.36,35.65,36.97,35.60
35.23,36.49,36.61,34.96
