EL,Estee Lauder Companies,NASDAQ
24.34,24.27,24.44,24.12
24.20,24.18,24.24,23.82
24.31,24.25,24.44,24.08
24.21,24.56,24.60,23.94
24.44,24.66,24.68,24.28
24.74,24.89,24.92,24.27
24.80,24.78,25.21,24.68
24.84,24.98,25.05,24.68
24.98,24.95,25.08,24.71
25.02,24.88,25.20,24.76
24.90,25.00,25.24,24.71
24.76,24.52,24.87,24.40
26.28,26.76,26.88,26.14
26.74,26.58,26.99,26.44
26.80,26.58,26.92,26.48
26.56,26.78,26.98,26.42
26.72,26.82,26.88,26.38
26.58,26.52,26.87,26.40
26.64,26.26,26.66,26.06
26.42,26.90,26.97,26.22
26.77,28.00,28.14,26.76
27.79,28.28,28.46,27.66
28.04,27.92,28.19,27.71
27.82,27.70,27.85,27.10
27.70,27.84,28.49,27.68
28.06,28.12,28.31,27.78
27.96,28.03,28.27,27.75
28.04,28.44,28.48,27.82
28.10,28.33,28.42,27.92
28.47,29.18,29.22,28.47
29.26,29.43,29.50,29.14
29.38,29.76,29.82,29.32
29.70,29.42,29.70,29.34
29.42,29.54,29.65,29.41
29.48,29.33,29.74,29.30
29.45,30.00,30.04,29.45
29.81,30.28,30.34,29.50
30.37,30.06,30.37,30.00
30.22,31.08,31.12,30.14
31.06,30.86,31.10,30.72
30.81,30.59,30.94,30.54
30.68,30.54,30.80,30.50
30.72,30.83,30.97,30.18
31.00,31.17,31.18,30.64
31.00,30.82,31.09,30.72
30.74,30.93,31.03,30.66
30.87,31.60,31.64,30.85
31.68,31.76,31.80,31.48
31.76,31.56,31.76,31.26
31.54,31.72,31.76,31.44
31.74,31.96,32.10,31.69
32.00,31.90,32.14,31.70
31.94,31.56,32.50,31.37
31.42,32.48,32.53,31.00
32.40,32.65,32.69,32.23
32.56,31.84,32.62,31.84
31.98,31.70,32.30,31.68
31.73,31.96,32.02,31.60
32.08,32.54,32.58,32.04
32.61,32.75,32.88,32.42
32.68,32.44,32.74,32.22
32.58,32.79,32.87,32.54
32.84,32.38,32.99,32.30
32.20,31.64,32.34,31.42
31.68,31.74,31.84,31.27
31.63,32.02,32.18,31.26
32.12,32.73,32.78,32.06
32.76,32.96,33.10,32.68
32.90,32.92,33.08,32.70
32.94,33.36,33.40,32.93
33.35,33.60,33.72,33.20
33.43,33.94,34.06,33.42
33.86,33.71,34.04,33.22
33.86,34.28,34.32,33.64
34.25,33.82,34.25,33.49
33.68,34.48,34.50,33.41
34.47,34.75,34.80,34.25
34.60,34.99,35.64,34.60
32.86,33.53,33.96,32.32
33.78,33.30,33.92,32.98
33.40,33.10,33.57,33.00
33.00,32.96,33.32,32.84
33.05,33.06,33.18,32.86
32.74,32.53,32.85,32.25
32.30,31.40,32.47,31.33
31.30,30.40,31.44,28.25
30.38,29.26,30.38,29.02
30.46,31.41,31.49,30.29
31.36,31.57,31.94,31.00
31.68,31.95,31.98,31.46
31.85,31.60,32.21,31.60
31.46,30.52,31.46,30.32
30.50,30.88,30.92,30.07
31.08,30.22,31.31,30.04
30.08,30.04,30.22,29.60
29.46,29.02,29.61,28.92
28.68,29.45,29.52,28.25
29.38,29.30,29.54,29.06
28.42,28.78,28.82,28.18
28.96,28.24,29.23,28.23
28.68,29.34,29.39,28.68
29.32,29.14,29.52,29.08
28.82,28.96,29.49,28.59
29.02,29.34,29.40,28.66
29.50,29.76,29.86,29.50
29.08,27.67,29.18,27.60
27.71,27.44,28.04,27.36
27.40,28.04,28.11,27.08
28.07,28.50,29.14,28.04
28.76,29.06,29.09,28.74
28.76,28.93,28.94,28.36
29.00,29.08,29.36,28.71
29.20,30.12,30.14,29.02
29.85,29.72,30.00,29.56
29.92,29.86,29.92,29.28
29.78,29.97,30.08,29.66
30.40,29.49,30.40,29.32
29.46,28.88,29.84,28.81
28.84,28.67,28.84,28.20
28.52,28.26,28.60,28.18
28.36,28.12,28.53,27.97
28.23,28.10,28.35,27.94
27.90,27.70,27.90,27.40
27.70,27.86,28.30,27.66
27.89,28.46,28.53,27.70
28.10,28.70,29.00,28.04
29.08,29.33,29.95,28.99
29.44,30.20,30.20,29.44
30.44,30.75,30.80,30.14
30.68,31.10,31.36,30.60
30.95,31.08,31.22,30.75
31.36,31.86,32.02,31.24
31.70,32.56,32.56,31.52
32.48,32.46,32.50,32.06
32.24,31.74,32.32,31.58
31.94,31.40,32.05,31.24
31.13,31.21,31.22,30.48
31.34,30.58,31.53,30.36
30.88,31.14,31.26,30.72
30.46,31.34,31.34,30.26
30.78,31.48,31.48,30.70
31.62,31.72,31.94,31.48
31.68,31.00,31.68,30.94
31.12,31.20,31.46,30.88
30.94,31.12,31.28,30.83
31.60,31.72,32.08,31.22
31.70,31.39,31.74,31.08
31.52,31.64,31.76,31.40
31.48,31.66,31.90,31.38
31.35,31.73,31.86,31.26
31.82,31.96,32.14,31.82
31.65,31.48,31.68,31.38
30.88,30.18,31.00,30.05
27.36,29.40,29.58,27.30
29.24,28.91,29.36,28.65
28.76,28.72,28.80,28.42
28.86,29.28,29.56,28.64
29.30,29.36,29.62,29.06
29.25,29.02,29.32,28.72
28.78,28.70,28.97,28.56
28.84,28.28,28.94,28.24
27.84,28.24,28.38,27.75
28.01,28.46,28.54,27.94
28.52,28.32,28.70,28.28
28.54,28.68,28.78,28.10
28.62,27.86,28.62,27.82
27.66,28.04,28.30,27.66
28.42,29.04,29.08,28.42
28.99,29.18,29.21,28.84
29.38,29.56,29.90,29.24
29.39,28.79,29.39,28.70
28.86,29.18,29.32,28.80
29.43,29.18,29.56,29.05
29.26,29.32,29.46,29.18
29.66,29.42,29.72,29.28
29.30,29.48,29.79,29.19
29.56,29.66,29.78,29.27
29.62,29.60,29.78,29.42
29.68,29.44,29.80,29.35
29.48,30.18,30.20,29.48
30.18,30.16,30.43,30.08
30.15,30.18,30.32,29.90
29.98,30.02,30.27,29.82
30.40,30.70,31.03,30.33
30.84,30.65,30.94,30.60
30.78,31.40,31.44,30.46
31.34,32.06,32.34,31.26
32.10,31.62,32.22,31.30
32.00,31.64,32.02,31.32
31.42,31.46,31.84,31.23
31.74,31.88,31.92,31.46
31.73,31.28,31.88,31.28
31.42,31.50,31.82,31.34
31.50,32.83,32.98,31.50
32.81,32.70,32.93,32.63
32.73,33.50,33.92,32.73
33.66,33.26,33.66,33.08
33.29,33.25,33.44,32.80
33.52,33.62,33.84,33.50
33.68,33.52,33.92,33.35
33.13,32.76,33.49,32.70
32.68,33.12,33.24,32.60
33.32,33.06,33.86,33.01
33.14,33.13,33.34,32.99
33.38,32.74,33.49,32.74
32.58,32.40,32.68,32.24
32.15,32.38,32.64,31.96
32.42,32.20,32.76,31.82
34.62,35.58,37.16,34.62
35.18,34.93,35.49,34.56
35.08,35.28,35.37,34.72
35.27,35.50,35.66,35.04
35.90,36.06,36.57,35.84
36.00,36.08,36.23,35.88
36.35,35.92,36.46,35.66
35.90,35.51,35.90,35.25
35.42,35.24,35.42,35.04
35.05,35.94,35.94,34.88
35.60,35.89,35.96,35.35
35.94,36.36,36.56,35.66
36.06,35.49,36.10,35.32
35.18,36.17,36.20,35.12
36.94,37.24,37.57,36.56
37.12,37.68,37.82,37.01
37.52,38.13,38.14,37.40
37.80,37.77,37.94,37.58
37.80,37.96,38.09,37.66
37.66,37.90,38.18,37.64
37.55,37.45,37.64,37.05
37.24,37.46,37.60,37.00
38.14,38.58,38.58,38.14
38.42,39.02,39.02,38.32
38.92,38.66,38.98,38.53
38.66,38.94,39.04,38.61
39.24,39.02,39.41,38.92
38.91,38.70,39.12,38.63
38.85,39.12,39.28,38.72
39.12,39.04,39.29,38.70
39.09,38.36,39.09,38.16
38.36,39.47,39.72,38.36
39.32,39.21,39.50,39.13
39.24,39.16,39.26,38.82
39.08,39.65,39.72,39.07
39.65,39.54,39.75,39.24
39.78,40.04,40.08,39.64
40.03,39.90,40.06,39.73
39.77,39.96,40.12,39.72
39.78,39.82,39.99,39.65
39.88,39.80,39.90,39.56
39.88,39.86,39.96,39.82
39.80,39.84,40.05,39.66
39.80,40.35,40.72,39.78
40.62,40.22,40.64,40.09
40.36,40.86,40.90,40.21
41.16,41.30,41.58,40.88
41.52,40.54,41.57,40.31
40.69,40.31,40.84,39.84
40.12,40.66,40.73,40.04
40.74,41.40,41.45,40.68
41.62,41.76,41.93,41.60
41.66,41.90,42.02,41.62
41.90,42.00,42.00,41.74
42.10,41.90,42.11,41.67
41.84,41.86,42.10,41.66
41.75,41.81,41.85,41.52
41.93,41.87,42.34,41.80
41.96,41.73,42.06,41.63
41.70,40.56,41.74,40.43
40.58,40.72,40.94,40.39
40.72,40.73,40.92,40.56
40.74,40.04,40.84,39.98
40.30,40.25,40.68,40.25
40.44,40.68,40.76,40.40
40.45,40.28,40.63,39.86
43.00,45.97,46.42,42.86
45.92,46.50,47.16,45.52
45.47,45.68,46.73,45.15
45.39,46.24,46.44,45.28
46.02,46.46,46.50,45.60
46.21,46.42,46.50,45.60
46.20,47.08,47.38,46.04
46.86,47.38,47.78,46.55
47.18,46.87,47.45,46.74
47.18,47.12,47.56,47.02
46.90,46.88,47.17,46.61
46.77,47.24,47.62,46.68
46.76,45.43,46.76,45.36
45.58,45.20,46.06,44.80
45.15,45.73,46.02,45.12
45.82,46.50,46.54,45.82
46.56,47.20,47.30,46.38
47.24,45.86,47.48,45.74
45.79,46.42,46.52,45.49
46.47,45.96,46.67,45.68
45.90,46.20,46.23,45.50
46.27,45.44,46.51,45.40
45.60,46.20,46.40,45.51
46.06,46.36,46.43,45.74
45.79,46.12,46.56,45.66
46.00,46.44,46.58,45.22
46.06,45.50,46.12,44.99
43.98,44.54,44.82,43.36
44.51,43.76,44.95,43.76
44.36,44.08,44.54,44.06
44.26,44.68,44.79,43.68
45.17,45.95,45.98,44.86
46.12,45.42,46.39,45.18
45.34,45.24,45.42,45.02
45.38,46.24,46.26,45.16
46.24,47.24,47.56,46.24
47.26,47.98,48.33,47.22
47.92,47.53,47.96,47.40
47.85,47.94,48.04,47.74
47.91,48.18,48.24,47.81
48.37,47.96,48.45,47.62
48.16,47.75,48.16,47.74
47.60,47.62,47.79,47.46
47.83,47.48,48.04,47.42
47.50,48.00,48.13,47.02
48.30,47.53,48.36,47.37
47.71,47.52,47.84,47.30
47.30,47.25,47.74,46.97
47.48,47.99,48.07,47.14
47.72,47.48,47.78,47.34
47.66,48.19,48.36,47.30
47.60,47.26,47.60,46.68
47.28,47.34,47.41,46.92
47.94,47.32,47.94,47.27
47.56,47.30,47.65,47.00
47.10,46.94,47.28,46.84
47.14,47.24,47.53,46.96
47.50,47.72,47.86,47.30
47.74,48.50,48.68,47.64
48.54,48.50,48.60,48.19
48.94,48.30,48.95,48.14
48.34,48.09,48.34,47.64
48.00,47.90,48.14,47.55
46.40,48.50,49.00,46.40
48.64,49.03,49.27,47.82
49.20,51.27,51.50,49.05
51.16,51.16,52.00,50.90
50.82,50.01,51.12,49.70
49.82,50.66,50.74,49.50
50.42,50.08,50.82,49.84
50.03,50.06,50.30,49.48
49.94,50.12,50.36,49.87
50.17,51.00,51.28,50.10
51.05,50.90,51.44,50.75
50.88,50.32,51.02,50.26
49.81,49.16,49.81,49.03
49.36,49.42,49.81,49.36
49.09,49.45,49.52,48.63
49.20,49.80,49.81,49.05
49.82,50.21,50.90,49.79
50.75,51.26,51.26,50.65
51.20,50.14,51.45,50.09
50.10,49.74,50.53,49.50
49.18,49.04,49.38,48.90
48.92,48.56,48.92,48.30
48.76,48.40,49.05,48.36
48.43,47.62,48.49,47.48
47.52,48.40,48.75,47.52
48.15,48.04,48.27,47.58
48.03,48.40,48.76,47.92
49.10,49.80,50.10,49.00
49.31,48.58,49.58,48.28
48.68,48.42,48.82,47.73
48.78,48.66,49.16,48.60
48.68,49.62,49.70,48.66
49.92,51.20,51.40,49.86
50.88,50.77,51.94,50.71
50.07,50.27,50.34,49.21
50.37,50.42,50.62,49.94
50.54,50.56,50.94,50.31
50.82,51.59,51.62,50.55
51.74,52.56,53.28,51.74
52.74,52.60,52.88,52.22
52.62,52.54,52.86,52.02
52.56,52.98,53.20,52.41
52.88,53.28,53.52,52.80
52.94,52.90,53.47,52.20
52.75,52.94,53.02,52.24
52.16,52.14,52.54,52.00
52.22,51.96,52.49,51.41
52.21,52.66,53.55,52.06
52.86,52.50,53.16,52.24
52.60,52.58,52.86,52.23
52.46,52.42,52.58,51.92
52.78,53.46,53.66,52.78
53.46,53.07,53.56,52.72
53.41,53.62,54.10,53.24
53.72,53.62,54.38,53.54
53.24,53.45,53.81,53.08
53.26,53.22,53.68,53.08
52.88,52.32,53.15,52.24
52.49,52.72,53.21,52.48
52.12,52.46,52.98,51.76
53.04,52.32,53.08,51.58
51.97,50.90,52.82,50.82
51.01,50.36,51.10,49.64
49.76,47.46,50.03,47.46
48.18,47.74,48.28,46.32
46.45,43.74,46.98,42.82
44.26,45.52,45.60,42.82
44.66,45.68,46.96,43.96
45.88,49.10,49.68,45.75
49.10,50.42,52.10,48.76
47.34,47.14,48.18,44.04
47.57,46.98,48.43,46.36
47.04,47.54,48.18,47.02
46.42,45.75,46.60,44.80
45.07,44.28,45.72,44.14
45.10,44.24,45.42,43.88
44.45,46.04,46.06,44.45
45.92,46.64,46.68,45.44
46.84,46.61,47.24,46.33
46.38,47.96,48.16,45.67
48.38,48.40,49.16,48.28
48.30,48.76,49.12,48.04
49.15,48.83,49.54,48.42
48.66,49.08,49.76,48.33
48.28,48.02,48.95,47.84
46.69,47.60,47.66,46.18
48.42,48.70,48.92,48.30
48.50,48.72,49.46,48.46
48.22,47.20,48.22,46.81
46.52,46.70,47.26,46.20
46.90,47.80,47.92,46.64
48.04,48.64,49.22,47.41
50.56,49.50,50.56,48.98
50.04,50.85,50.94,49.68
49.99,50.61,50.90,49.92
50.84,51.44,53.21,50.84
51.37,49.80,51.98,49.80
48.35,46.98,48.66,46.63
46.74,47.57,47.90,46.20
48.66,47.32,48.94,46.22
48.36,48.56,49.80,47.91
48.56,45.45,48.62,45.26
46.12,44.47,46.40,43.10
44.11,43.92,44.68,43.50
43.54,42.10,44.00,41.96
