EMITF,Elbit Imaging Ltd. - Ordinary Shares,NASDAQ
468.20,468.80,468.80,460.00
467.40,469.40,469.40,467.40
nan,469.40,nan,nan
464.20,464.80,466.20,464.00
475.20,475.40,475.40,475.20
466.00,466.00,466.00,462.40
450.60,450.00,450.60,450.00
456.40,460.80,460.80,456.40
461.40,450.00,461.40,450.00
nan,450.00,nan,nan
439.80,444.98,450.00,439.80
438.40,438.20,438.40,438.20
445.00,439.20,447.00,439.20
437.60,439.20,439.20,437.60
437.60,441.40,441.40,434.80
450.00,439.40,450.00,439.40
450.00,454.00,454.00,449.80
452.80,453.20,453.20,452.80
450.40,445.00,450.40,439.00
458.00,458.00,458.00,457.40
nan,458.00,nan,nan
488.60,486.20,488.80,486.20
479.60,467.40,479.60,467.40
460.20,460.20,460.20,460.20
nan,460.20,nan,nan
463.60,457.00,463.60,456.70
nan,457.00,nan,nan
453.00,454.20,462.40,449.00
460.00,455.00,463.20,454.80
480.80,489.60,489.60,480.80
494.40,495.20,495.20,494.40
479.00,485.60,492.70,474.00
486.60,486.60,486.60,486.60
492.60,484.40,492.60,482.00
472.40,470.80,472.40,470.80
480.00,484.80,485.00,480.00
470.00,470.00,470.00,470.00
nan,470.00,nan,nan
472.20,485.00,485.00,472.20
474.60,481.92,481.92,474.60
479.40,481.20,481.20,477.00
479.80,477.42,480.00,477.42
481.20,485.00,485.00,481.20
nan,485.00,nan,nan
460.60,471.00,471.00,460.60
473.40,473.20,473.40,473.20
473.40,471.80,473.40,471.02
471.80,464.80,471.80,463.70
464.20,460.40,470.40,456.01
462.00,468.60,468.80,462.00
480.00,485.00,485.00,480.00
485.00,482.00,485.20,478.62
482.60,478.00,482.60,478.00
470.60,472.00,475.00,466.40
472.00,476.40,476.40,468.90
465.80,460.00,467.80,460.00
455.60,455.60,461.00,455.60
452.60,452.80,452.80,452.60
459.60,459.60,459.60,459.60
457.20,457.20,457.20,457.20
459.60,450.60,459.60,450.60
N/A,N/A,N/A,N/A
446.00,450.40,450.40,445.00
443.60,436.20,443.60,434.70
430.40,436.60,449.00,426.00
450.80,453.40,457.60,450.80
454.60,457.60,472.20,454.60
450.80,444.00,450.80,432.40
441.00,436.20,441.00,436.20
442.00,442.00,442.00,442.00
433.00,433.00,433.00,433.00
439.80,437.00,439.80,437.00
440.00,442.20,452.20,428.30
nan,442.20,nan,nan
439.60,439.60,440.00,439.60
432.60,432.80,432.80,432.60
440.00,443.80,443.80,435.40
430.60,430.60,430.60,430.60
423.40,424.00,435.00,423.40
417.80,417.80,431.00,417.80
422.80,428.20,428.20,417.40
nan,428.20,nan,nan
430.00,432.20,433.80,418.40
424.20,419.40,425.00,419.20
414.80,404.60,414.80,392.00
387.20,378.20,392.40,378.20
379.40,373.20,385.00,373.20
385.40,386.40,388.80,385.40
386.00,379.20,386.00,361.20
387.60,379.00,387.80,379.00
359.40,352.80,359.40,350.00
350.00,350.00,350.00,343.60
329.20,325.20,344.60,317.20
322.40,332.20,342.40,318.60
335.00,316.40,335.00,316.40
294.00,285.00,294.00,277.00
281.40,289.60,299.80,281.40
292.84,291.40,292.84,290.40
291.40,295.60,295.60,283.00
nan,295.60,nan,nan
307.20,304.00,307.20,304.00
305.80,306.40,318.00,305.80
299.20,298.00,302.57,298.00
290.40,290.00,297.20,288.20
290.00,289.20,290.00,288.80
288.60,281.00,288.80,280.20
264.87,265.00,272.60,258.80
262.80,260.00,262.80,257.20
259.60,252.40,265.80,252.40
259.20,254.00,266.00,254.00
260.00,252.80,260.00,252.80
270.40,275.00,275.00,269.40
285.00,297.00,302.00,285.00
295.00,297.00,297.00,295.00
302.00,298.20,302.00,298.20
300.60,304.60,304.80,300.60
320.00,310.00,326.10,310.00
nan,310.00,nan,nan
295.00,294.40,295.00,293.20
288.20,286.80,292.80,286.80
286.60,288.00,288.00,285.20
288.00,294.10,294.10,288.00
289.60,285.80,289.60,283.20
290.00,290.40,296.00,290.00
287.10,287.10,287.10,287.10
287.00,280.00,287.00,280.00
306.00,303.00,307.60,300.90
286.40,287.20,287.20,286.40
nan,287.20,nan,nan
nan,287.20,nan,nan
299.40,292.52,300.00,290.60
300.00,305.00,305.00,300.00
290.40,291.60,296.40,290.40
279.80,277.20,281.60,277.20
277.20,269.60,282.20,262.40
262.60,260.70,262.60,260.00
262.00,265.00,265.00,262.00
nan,265.00,nan,nan
266.30,266.00,266.30,266.00
279.60,264.50,279.60,264.50
261.00,253.40,261.00,246.40
258.00,257.60,258.40,257.20
249.40,248.20,249.90,248.20
260.40,261.16,265.00,260.40
264.00,265.00,265.00,258.20
272.00,273.80,275.80,269.80
268.00,270.00,270.00,265.00
nan,270.00,nan,nan
277.00,274.90,277.80,274.20
274.80,273.80,274.80,273.80
284.80,281.00,284.80,280.40
266.60,275.60,279.40,266.60
270.00,264.80,270.00,264.80
259.40,260.00,260.40,255.00
260.60,260.60,261.60,260.20
nan,260.60,nan,nan
271.00,276.00,277.48,271.00
280.00,270.00,280.00,265.80
nan,270.00,nan,nan
263.60,263.60,263.60,263.60
277.60,276.20,277.60,276.20
261.00,269.80,269.80,261.00
N/A,N/A,N/A,N/A
268.00,268.00,268.00,268.00
265.80,268.80,268.80,265.80
260.00,260.00,262.00,260.00
250.00,248.20,250.00,248.20
256.00,266.00,266.20,255.60
nan,266.00,nan,nan
266.20,268.00,268.00,266.20
274.00,272.20,274.00,270.20
275.00,277.80,279.80,275.00
271.40,271.40,271.40,271.40
272.00,271.00,272.00,269.00
268.20,274.00,275.00,268.20
278.00,271.00,278.00,271.00
276.00,276.00,279.40,270.70
279.40,276.60,279.40,273.20
280.00,272.00,280.00,272.00
271.40,278.60,282.60,271.40
273.80,269.00,278.00,269.00
268.00,269.00,276.00,268.00
266.20,269.60,269.60,266.20
N/A,N/A,N/A,N/A
263.40,268.40,268.80,263.40
263.80,268.00,268.00,263.80
265.20,268.00,268.40,265.20
268.00,268.00,268.00,268.00
268.40,268.40,268.40,268.40
265.60,267.60,267.60,265.60
268.60,266.00,277.10,266.00
265.00,268.00,270.00,265.00
267.20,268.70,268.70,266.00
264.20,265.00,267.20,264.20
273.20,271.40,273.20,269.80
269.80,266.00,269.80,266.00
270.20,276.00,276.40,270.20
274.20,268.40,274.40,267.20
271.00,273.00,273.00,269.80
274.70,269.40,274.70,269.40
266.60,264.00,266.60,264.00
267.00,273.20,275.00,267.00
284.80,292.20,300.00,284.80
300.00,294.20,300.00,292.20
300.00,302.20,306.00,296.00
293.60,290.20,293.60,290.20
288.00,284.00,288.00,284.00
284.60,280.00,284.60,277.20
280.00,282.00,288.00,280.00
277.80,279.00,279.00,275.20
285.60,286.00,287.60,285.00
281.80,276.00,281.80,272.40
N/A,N/A,N/A,N/A
273.60,274.00,274.00,273.40
264.00,267.00,268.00,264.00
268.00,276.80,277.60,268.00
N/A,N/A,N/A,N/A
265.20,268.60,269.00,265.00
265.00,257.00,265.00,257.00
246.00,253.20,254.00,246.00
250.00,245.80,250.00,245.80
251.00,251.00,251.00,251.00
