EQY,Equity One,NASDAQ
16.24,15.96,16.27,15.89
15.87,16.12,16.16,15.81
16.10,16.20,16.27,16.05
16.12,16.59,16.59,16.06
16.48,16.60,16.61,16.39
16.73,16.81,16.88,16.56
16.69,16.70,16.99,16.56
17.13,17.96,18.25,17.10
17.79,17.65,17.79,17.49
17.69,17.54,17.77,17.50
17.46,17.60,17.70,17.37
17.44,17.22,17.50,17.15
17.31,17.00,17.48,16.98
16.98,16.98,17.21,16.87
17.03,16.96,17.13,16.80
16.90,16.85,17.10,16.83
16.76,17.01,17.08,16.69
17.02,16.84,17.03,16.82
16.89,16.75,17.12,16.64
16.81,16.92,17.07,16.69
17.01,17.20,17.28,16.79
17.07,16.95,17.12,16.79
16.84,16.65,16.96,16.65
16.74,17.13,17.19,16.73
17.11,17.00,17.30,16.98
17.20,17.09,17.29,16.84
17.08,16.96,17.21,16.89
16.95,17.13,17.22,16.79
16.93,17.53,17.54,16.86
17.74,17.92,17.99,17.61
17.93,18.14,18.14,17.93
18.14,18.37,18.42,18.03
18.37,18.36,18.63,18.31
18.40,18.41,18.43,18.23
18.28,18.41,18.48,18.23
18.42,18.50,18.60,18.34
18.31,18.69,18.71,17.99
18.12,18.47,18.64,18.12
18.53,18.88,18.90,18.45
18.89,18.67,19.00,18.57
18.76,18.59,18.83,18.50
18.58,18.62,18.68,18.52
18.90,19.00,19.06,18.55
19.11,18.93,19.27,18.83
18.85,19.02,19.15,18.77
18.57,18.41,18.75,18.40
18.16,18.50,18.50,18.16
18.49,18.71,18.88,18.49
18.77,18.64,18.84,18.37
18.77,18.86,18.90,18.56
18.80,19.13,19.14,18.80
19.06,19.20,19.33,19.00
19.14,18.99,19.62,18.87
18.81,19.07,19.16,18.53
19.27,19.15,19.27,18.84
19.09,19.36,19.40,18.98
19.50,19.35,20.00,19.29
19.49,19.10,19.57,19.07
19.05,19.10,19.18,18.99
19.17,19.25,19.33,19.07
19.24,18.89,19.35,18.87
19.00,18.95,19.03,18.75
19.06,19.25,19.28,18.95
19.18,19.25,19.41,19.13
19.20,18.87,19.33,18.74
18.79,18.84,18.95,18.71
18.85,19.07,19.07,18.64
19.01,18.79,19.07,18.72
18.70,19.26,19.31,18.55
19.31,19.20,19.39,19.11
19.08,18.74,19.25,18.74
18.70,18.31,18.92,18.31
18.28,18.43,18.55,17.96
18.51,18.73,18.73,18.29
18.67,18.79,18.97,18.67
18.57,19.18,19.18,18.55
19.19,19.88,19.94,19.08
19.88,19.78,19.99,19.67
19.62,19.23,19.85,19.16
19.27,19.11,19.51,19.05
19.31,19.78,19.88,19.30
19.73,19.41,19.92,19.28
19.50,19.84,19.98,19.47
19.55,19.16,19.61,18.98
18.95,18.80,19.21,18.68
18.60,17.80,18.69,15.91
18.00,17.80,18.14,17.20
18.76,18.75,18.88,18.45
18.44,18.66,19.22,18.36
18.77,18.93,19.07,18.55
18.85,18.60,18.92,18.49
18.49,18.07,18.49,17.91
18.12,18.12,18.52,17.62
18.40,17.79,18.51,17.66
17.73,17.60,18.01,17.23
17.21,16.78,17.38,16.76
16.56,17.22,17.41,16.29
17.22,16.93,17.48,16.92
16.34,16.94,16.98,16.17
17.08,16.71,17.39,16.63
17.14,17.46,17.46,16.83
17.36,17.17,17.49,16.99
17.01,16.82,17.31,16.73
16.88,17.40,17.41,16.72
17.39,17.15,17.43,16.99
16.73,16.00,16.84,15.95
16.05,16.15,16.69,15.98
16.24,16.05,16.38,15.44
16.21,16.02,16.45,15.92
16.34,16.68,16.70,16.23
16.38,16.68,16.68,16.20
17.16,16.98,17.43,16.81
17.07,17.43,17.55,16.98
17.43,17.19,17.53,17.13
17.23,17.10,17.27,16.96
17.18,17.07,17.21,16.92
17.26,16.93,17.43,16.88
16.94,16.50,17.14,16.47
16.44,16.45,16.78,16.19
16.34,16.17,16.53,16.10
16.28,16.56,16.78,16.16
16.58,16.46,16.63,16.38
16.15,15.85,16.20,15.73
15.86,15.60,16.09,15.59
15.62,15.39,15.70,15.11
15.46,14.95,15.46,14.83
15.13,14.72,15.28,14.58
14.78,15.63,15.68,14.76
15.88,15.81,15.96,15.50
15.77,16.01,16.01,15.77
15.96,16.01,16.10,15.78
16.21,16.36,16.50,16.14
16.30,16.27,16.34,16.04
16.28,16.24,16.31,15.89
16.13,15.74,16.13,15.66
15.78,15.89,15.95,15.50
15.63,16.14,16.17,15.50
16.27,15.85,16.27,15.77
16.09,16.53,16.60,16.05
16.42,16.79,16.85,16.16
16.84,17.22,17.26,16.73
17.40,17.24,17.58,17.10
17.17,17.17,17.32,17.02
17.28,17.25,17.54,17.19
17.00,17.04,17.29,16.84
17.43,17.61,17.61,17.25
