ERO,Barclays PLC iPath EUR/USD Exchange Rate ETN,NASDAQ
56.14,56.14,56.14,56.14
55.93,55.93,55.93,55.93
55.93,56.09,56.09,55.93
55.76,55.82,55.82,55.76
55.07,56.08,56.08,55.07
59.98,56.68,59.98,56.62
nan,56.40,nan,nan
nan,56.40,nan,nan
56.55,56.55,56.55,56.55
nan,55.94,nan,nan
nan,55.61,nan,nan
nan,55.61,nan,nan
54.87,54.92,54.92,54.87
55.00,55.02,55.02,54.99
55.07,55.10,55.10,54.25
54.84,54.84,54.84,54.84
54.76,54.63,56.62,53.69
nan,54.23,nan,nan
nan,54.23,nan,nan
54.22,54.26,54.27,54.13
54.44,54.44,54.44,54.44
54.23,54.38,54.38,54.23
53.90,53.85,53.93,53.85
53.04,53.13,53.13,52.87
53.21,53.33,53.33,53.21
nan,53.85,nan,nan
nan,53.85,nan,nan
53.15,53.04,53.15,53.04
nan,53.03,nan,nan
52.99,53.58,53.58,52.99
53.41,52.75,53.41,52.75
53.02,53.02,53.02,53.02
52.57,52.60,52.60,52.57
52.91,52.91,52.91,52.91
52.76,52.76,52.76,52.76
52.83,52.83,52.83,52.83
52.65,52.65,52.65,52.65
52.97,52.97,52.97,52.97
52.72,52.74,52.74,52.50
52.72,53.03,53.14,52.72
53.05,53.05,53.05,53.05
52.94,53.03,53.03,52.94
52.87,52.87,52.87,52.87
53.22,53.22,53.22,53.22
nan,52.79,nan,nan
nan,52.79,nan,nan
nan,52.79,nan,nan
53.55,53.55,53.55,53.55
nan,53.14,nan,nan
nan,53.14,nan,nan
nan,53.14,nan,nan
53.45,53.45,53.45,53.45
52.89,52.89,52.89,52.89
nan,52.00,nan,nan
nan,52.00,nan,nan
52.03,52.05,52.05,52.03
51.89,52.15,52.15,51.89
52.17,52.17,52.17,52.17
52.55,52.74,52.74,52.55
nan,52.31,nan,nan
nan,52.31,nan,nan
nan,52.31,nan,nan
nan,52.59,nan,nan
nan,52.59,nan,nan
52.04,52.04,52.04,52.04
51.99,51.99,51.99,51.99
52.48,52.34,52.48,52.34
52.90,52.77,52.90,52.77
52.81,52.90,52.90,52.80
nan,53.19,nan,nan
nan,53.19,nan,nan
nan,53.19,nan,nan
nan,52.45,nan,nan
nan,52.45,nan,nan
nan,52.45,nan,nan
51.97,51.86,51.97,51.86
nan,52.18,nan,nan
nan,52.18,nan,nan
51.85,51.67,52.31,51.64
51.74,51.74,51.74,51.74
51.74,51.71,51.75,51.71
52.08,52.02,52.09,51.91
51.52,51.57,51.58,51.52
50.88,50.96,50.96,50.86
50.29,50.24,50.29,50.24
49.71,49.29,49.71,46.19
49.56,49.65,49.80,49.42
49.44,50.00,50.42,49.44
49.51,49.53,49.59,49.45
49.43,49.40,49.43,49.40
48.91,48.86,49.04,48.84
48.65,48.33,48.75,48.24
48.38,48.41,48.53,47.98
48.46,47.71,48.52,47.66
47.95,48.34,48.34,47.95
48.33,48.85,49.04,48.11
48.92,49.09,49.12,48.92
48.41,48.36,48.41,48.29
47.63,48.07,48.07,47.63
47.83,47.68,47.83,47.68
nan,48.22,nan,nan
nan,48.22,nan,nan
47.93,47.94,47.94,47.93
47.81,47.81,47.81,47.81
47.88,47.40,47.88,47.40
47.00,46.80,47.04,46.75
46.66,46.70,47.07,46.66
nan,46.75,nan,nan
nan,46.75,nan,nan
47.25,47.25,47.25,47.25
47.32,47.28,47.33,47.15
48.09,47.87,48.09,47.87
47.91,48.13,48.13,47.91
47.93,47.80,47.93,47.80
nan,48.31,nan,nan
nan,48.31,nan,nan
nan,47.79,nan,nan
nan,47.79,nan,nan
nan,47.75,nan,nan
nan,47.75,nan,nan
