ESE,ESCO Technologies Inc. Common Stock,NASDAQ
36.35,36.69,36.71,35.98
36.53,35.81,36.89,34.76
35.81,35.16,36.16,34.79
35.03,35.66,35.73,34.60
35.78,35.55,36.30,35.31
35.83,35.85,35.85,34.94
35.50,35.26,35.54,34.91
35.48,34.94,35.60,34.80
34.93,35.40,35.59,34.49
35.46,34.75,35.46,34.11
34.86,35.47,35.55,34.79
35.30,34.53,35.30,34.40
34.68,33.80,34.83,33.73
33.67,32.86,34.20,32.70
33.03,33.22,33.29,32.56
33.02,32.56,33.34,32.50
32.34,32.78,32.80,32.17
32.91,32.14,32.91,32.06
32.35,32.69,33.06,32.35
32.69,32.55,32.77,32.04
32.47,32.41,32.88,32.20
32.19,32.28,32.83,31.85
31.99,31.45,32.08,31.23
31.85,32.38,32.61,31.28
32.26,31.45,32.45,31.43
31.70,31.48,31.95,31.15
31.27,31.68,31.70,30.76
31.49,32.02,32.10,31.17
31.96,33.22,33.22,31.64
33.37,32.61,33.37,32.39
32.75,32.47,32.75,32.25
32.36,32.99,33.04,32.16
33.76,33.13,33.76,33.00
33.26,32.55,33.26,32.48
32.60,32.15,32.63,32.10
32.15,32.02,32.38,31.90
31.58,32.04,32.12,31.39
32.20,32.71,32.77,31.85
32.86,33.84,33.88,32.86
33.99,34.12,34.48,33.77
34.31,34.59,35.00,34.31
34.56,34.70,34.86,34.42
34.93,35.26,35.49,34.90
35.39,34.38,35.44,34.31
34.37,34.35,34.49,34.07
34.38,34.45,34.51,34.10
34.14,33.87,34.15,33.57
34.06,33.81,34.06,33.42
33.66,33.60,33.85,33.20
33.61,33.75,33.77,33.36
33.79,34.24,34.48,33.68
34.12,34.54,34.71,34.11
34.72,34.13,34.77,33.68
33.99,35.17,35.21,33.83
35.35,34.50,35.40,34.21
34.09,30.28,34.13,29.90
30.70,31.55,32.61,30.51
31.73,32.05,32.06,31.44
33.34,32.30,33.99,32.16
32.42,32.41,32.62,32.12
32.33,31.81,32.57,31.79
31.88,31.97,32.24,31.42
31.98,32.00,32.01,31.56
31.76,31.85,31.87,31.47
31.83,31.57,31.94,31.31
31.52,31.94,32.00,31.34
32.02,32.02,32.23,31.74
31.93,32.06,32.23,31.70
32.07,31.96,32.18,31.75
32.07,32.01,32.12,31.61
31.84,32.04,32.37,31.78
32.06,31.89,32.20,31.75
30.29,29.94,30.29,29.36
29.85,30.46,30.52,29.53
30.44,30.67,31.08,30.30
30.27,31.24,31.34,30.27
31.14,30.49,31.23,30.01
30.54,31.14,31.24,30.30
30.94,31.03,31.38,30.85
31.06,31.02,31.27,30.87
31.13,31.52,31.56,31.08
31.48,30.85,31.85,30.84
30.91,30.62,31.00,30.32
30.17,28.75,30.17,28.55
31.40,32.40,33.78,31.40
32.40,30.83,32.52,29.31
30.44,29.95,31.01,29.79
31.87,31.85,31.87,30.84
31.64,31.15,31.84,31.13
31.14,30.71,31.16,30.50
30.69,30.27,30.77,30.10
29.99,29.92,30.07,29.50
29.99,29.82,30.18,28.99
30.04,28.92,30.26,28.80
28.86,28.40,28.86,28.03
28.00,26.92,28.17,26.86
26.57,26.92,27.17,26.40
26.82,26.71,27.16,26.60
26.24,26.44,26.51,25.72
26.53,26.14,26.85,25.99
26.65,26.69,26.72,26.25
26.44,26.17,26.67,25.85
25.99,26.00,26.20,25.61
26.06,26.73,26.76,25.97
27.03,27.34,27.53,26.98
27.49,26.17,27.49,26.08
26.17,25.48,26.33,25.41
25.47,25.54,25.61,24.76
25.69,25.40,25.96,25.18
25.84,26.11,26.29,25.79
25.71,26.58,26.61,25.70
26.71,26.28,27.16,26.15
26.24,27.32,27.41,26.15
27.14,27.00,27.25,26.85
27.00,26.96,27.17,26.49
26.96,26.98,27.59,26.70
27.40,26.95,27.70,26.78
26.97,26.56,27.30,26.44
26.54,26.75,26.87,26.13
26.60,26.57,27.25,26.22
26.67,27.52,27.95,26.23
27.47,26.96,27.80,26.92
26.52,26.14,26.72,25.91
26.17,25.75,26.46,25.62
25.83,25.13,25.83,24.62
25.30,24.83,25.33,24.73
25.19,24.77,25.38,24.55
24.92,25.22,25.27,24.75
25.53,25.41,25.66,25.14
25.32,25.55,25.70,25.15
25.56,25.29,25.74,25.18
25.64,26.43,26.54,25.53
26.28,26.43,26.61,26.17
26.40,25.81,26.66,25.29
25.59,24.81,25.67,24.76
24.82,25.96,26.02,24.74
25.65,26.22,26.23,25.26
26.23,24.88,26.42,24.85
28.81,30.67,30.82,28.59
30.45,30.05,30.50,29.33
30.13,30.12,30.15,29.81
30.00,29.76,30.00,29.59
29.61,29.34,29.91,29.23
29.51,29.76,30.00,28.84
29.34,29.81,30.10,29.17
30.45,30.17,30.74,29.73
29.99,30.21,30.45,29.65
32.25,34.01,34.04,32.02
33.86,33.62,34.75,33.46
33.13,32.90,33.45,32.26
33.01,32.85,33.08,32.56
32.45,32.05,32.47,31.69
31.45,30.75,31.45,30.53
30.43,30.72,31.04,30.38
30.54,29.99,30.56,29.93
29.78,30.11,30.24,29.57
30.42,31.87,32.03,30.01
31.75,31.77,32.12,31.33
31.58,30.95,31.99,30.62
30.95,31.19,31.26,30.85
31.33,31.28,31.68,30.86
30.82,30.64,31.23,30.24
30.37,30.81,30.90,30.30
30.95,30.72,31.45,30.51
31.10,31.73,31.80,30.80
31.54,30.98,31.76,30.86
31.02,31.15,31.47,30.77
31.62,33.22,33.25,31.50
32.86,33.22,33.47,32.56
33.64,33.96,34.11,33.43
33.83,33.55,34.15,33.24
33.62,34.03,34.25,33.62
34.51,34.41,34.55,33.95
34.48,33.81,34.78,33.74
34.20,34.46,34.85,34.05
34.40,33.80,34.40,33.62
33.60,33.15,33.64,32.90
33.01,32.82,33.14,32.30
32.99,32.33,33.03,32.05
32.48,33.37,33.50,31.90
33.37,32.82,33.53,32.75
32.64,33.10,33.14,32.61
32.77,32.30,33.19,32.20
32.80,33.69,33.70,32.76
33.79,33.37,33.79,33.08
33.35,32.90,33.60,32.39
32.72,33.00,33.31,32.72
33.24,33.26,33.77,32.82
33.72,32.94,33.72,32.50
32.75,31.54,32.75,31.00
31.94,33.12,33.15,31.60
33.15,32.86,33.26,32.59
33.17,32.81,33.38,32.53
32.92,33.47,33.75,32.72
33.53,33.44,33.97,33.19
33.49,34.08,34.35,32.93
34.35,35.57,35.82,34.15
35.55,35.61,36.12,35.11
35.99,35.77,36.32,35.25
35.74,35.78,36.01,35.42
35.15,35.30,35.68,34.95
35.59,34.93,35.60,34.85
35.20,34.44,35.31,33.70
34.49,34.56,34.89,34.14
34.89,34.68,35.18,34.58
34.54,34.60,35.00,34.16
34.43,34.67,34.78,34.00
35.04,34.68,35.39,34.00
34.64,34.28,34.83,34.17
34.57,34.28,35.00,33.64
34.75,35.29,35.45,34.47
35.32,35.36,35.49,34.88
35.98,36.06,36.24,35.49
36.20,36.13,36.39,35.33
35.91,36.85,37.27,35.91
36.91,36.76,36.97,36.55
36.81,37.41,37.45,36.34
37.03,36.46,37.46,36.22
38.10,37.42,39.00,37.20
37.55,37.33,37.72,37.25
36.86,36.62,37.09,36.30
36.54,36.26,36.70,36.09
36.70,35.99,36.70,35.95
35.78,35.86,35.98,35.77
35.65,35.41,35.74,35.00
35.00,34.98,35.37,34.39
35.38,36.01,36.08,35.20
35.93,35.85,36.03,35.60
35.51,35.54,35.83,35.02
35.10,35.08,35.57,34.81
35.78,36.41,36.56,35.78
36.54,36.90,37.05,36.29
36.80,36.72,36.80,36.27
36.62,36.60,36.74,36.31
37.00,36.43,37.00,36.24
36.45,36.45,36.68,36.21
36.75,36.59,36.93,36.43
36.64,37.50,37.59,36.45
37.73,37.24,37.73,37.20
37.41,37.76,37.95,37.18
37.74,37.48,38.69,37.40
37.48,37.92,38.16,37.27
37.90,38.47,38.47,37.26
38.60,38.10,38.82,38.00
38.34,38.40,38.49,38.12
38.50,38.42,38.65,38.33
38.42,38.15,38.57,38.06
37.98,38.49,38.72,37.81
38.54,38.75,38.79,38.43
38.93,38.63,39.00,38.48
38.54,38.83,39.09,38.54
38.75,37.84,38.75,37.79
38.20,38.69,39.44,37.96
38.80,37.76,38.80,37.18
37.63,37.73,37.83,37.30
37.64,37.93,37.96,37.50
38.07,37.92,38.14,37.44
37.66,37.92,38.24,37.02
38.16,37.97,38.16,37.66
38.26,37.46,38.26,37.23
37.32,36.94,37.55,36.54
36.94,37.10,37.26,36.43
36.94,36.79,37.08,36.31
36.71,35.81,36.79,35.55
35.49,35.52,35.91,35.42
35.68,35.00,35.68,34.81
35.04,35.24,35.77,34.85
35.00,35.63,35.69,35.00
35.67,36.32,36.82,35.63
36.26,36.27,36.51,35.85
36.19,35.01,36.21,34.84
35.11,36.28,36.50,35.02
36.52,37.34,37.48,36.36
37.14,37.24,37.39,37.00
37.15,36.96,37.20,36.61
38.12,40.51,43.15,38.12
40.64,40.53,40.71,39.95
40.39,40.39,40.69,40.13
40.11,39.71,40.28,39.38
39.46,39.42,40.00,39.26
39.48,40.51,41.00,39.48
40.90,40.51,40.90,40.04
40.56,39.76,40.80,39.62
40.04,39.50,40.04,39.28
39.45,39.81,39.99,39.25
40.00,39.91,40.01,39.52
39.46,38.76,39.47,38.58
38.79,37.46,38.79,37.45
37.52,37.60,37.84,36.84
37.73,38.06,38.21,37.29
38.29,38.29,38.55,37.91
38.54,37.61,38.64,37.59
37.54,37.21,37.91,37.00
37.58,38.21,38.47,37.55
38.32,37.88,38.32,37.45
37.91,37.22,38.02,36.91
37.23,38.59,38.80,36.96
38.50,37.97,38.80,37.92
37.38,37.08,37.39,35.35
36.91,36.81,36.98,36.59
36.33,36.74,37.14,35.94
35.74,36.65,36.94,35.74
36.59,35.85,36.62,35.81
36.54,36.35,36.69,35.80
36.64,37.31,37.46,36.43
37.63,37.82,38.05,37.38
38.10,37.98,38.50,37.96
38.02,37.91,38.32,37.77
38.12,37.75,38.12,37.53
38.04,37.38,38.05,37.35
37.48,36.94,37.48,36.92
36.86,36.79,36.96,36.66
36.91,37.96,38.08,36.91
37.96,38.15,38.31,37.73
38.47,38.14,38.68,37.99
38.00,38.10,38.16,37.66
38.09,38.07,38.67,37.84
38.34,37.63,38.46,37.60
37.72,37.17,37.98,37.12
37.44,36.76,37.60,36.65
36.77,36.33,36.83,36.03
36.17,36.10,36.53,35.81
36.25,35.84,36.48,35.64
35.62,35.57,35.79,35.15
35.50,36.37,36.42,35.41
35.67,35.63,35.67,35.23
35.82,35.86,36.19,35.65
36.36,36.26,36.57,36.00
36.55,36.38,36.55,36.00
36.19,35.82,36.43,35.72
35.97,36.72,37.04,35.83
36.72,36.76,36.83,36.52
36.73,36.57,36.75,36.40
36.71,36.68,36.91,36.38
36.91,36.59,37.19,36.56
36.47,37.07,37.08,36.16
36.29,36.64,38.31,35.50
36.24,35.97,36.72,35.72
36.55,36.23,36.94,36.03
36.16,36.68,36.75,36.10
36.95,37.53,37.76,36.81
37.21,37.22,37.72,37.10
37.06,37.64,37.97,36.80
37.76,36.60,37.81,36.57
36.19,35.80,36.61,35.75
35.44,35.44,35.78,35.15
35.59,36.28,36.41,35.43
36.36,35.49,36.87,35.00
35.33,35.51,35.89,34.97
35.12,35.96,36.33,32.56
35.98,35.81,36.17,35.78
35.69,35.65,36.05,35.50
35.54,36.61,36.79,35.21
36.82,36.88,37.19,36.69
37.23,37.57,37.60,36.86
37.55,36.41,37.55,36.32
36.52,36.29,36.65,35.96
35.64,35.46,35.77,35.25
35.42,35.17,35.50,35.04
35.30,34.78,35.31,34.73
36.35,33.40,36.35,33.35
33.39,33.59,33.85,32.85
33.31,33.40,33.72,33.05
33.53,33.50,33.79,33.18
33.93,34.19,34.36,33.50
33.77,34.16,34.18,33.55
34.27,34.51,35.12,34.03
34.83,34.46,35.16,34.30
34.34,34.97,35.21,34.34
35.31,35.54,35.62,34.95
35.28,35.13,35.92,35.07
34.70,35.18,35.36,34.49
35.28,35.18,35.35,34.83
35.25,35.59,35.66,35.06
35.88,36.12,36.12,35.69
36.18,36.05,36.18,35.61
36.12,36.80,36.93,36.09
36.87,37.37,37.53,36.48
37.31,37.56,37.84,37.16
37.43,37.48,37.60,37.25
37.53,37.86,38.10,37.53
37.38,38.04,38.06,37.32
37.60,37.39,37.61,37.07
37.26,37.30,37.63,37.12
37.50,37.08,37.83,37.00
37.05,36.09,37.19,36.03
36.22,36.47,36.52,36.05
36.36,36.17,36.64,36.01
36.54,36.99,37.13,36.49
37.05,36.86,37.21,36.41
37.07,37.33,37.73,36.81
37.29,37.19,37.39,36.82
36.72,36.78,37.31,36.65
36.74,36.04,36.74,35.82
35.76,35.21,35.82,35.13
35.27,34.98,35.55,34.84
34.52,34.68,35.06,34.40
35.05,34.70,35.21,33.97
34.42,34.04,35.01,33.92
34.01,31.53,35.39,31.00
31.07,29.96,31.46,29.84
30.21,29.21,30.27,28.19
28.32,26.23,29.25,25.52
26.84,28.26,28.58,25.52
27.29,27.17,28.44,27.12
27.39,27.82,28.33,27.00
28.13,28.19,28.53,27.51
28.46,29.02,29.03,28.37
28.62,28.58,29.20,28.39
28.78,28.48,28.93,28.17
27.57,26.47,27.57,26.22
25.99,26.02,26.80,25.73
26.78,26.25,26.86,25.93
26.49,28.03,28.04,26.38
27.97,29.39,29.77,27.91
29.68,28.49,29.95,28.20
28.31,29.24,29.42,27.69
29.62,30.65,30.69,29.28
30.50,30.86,31.10,30.27
31.12,30.87,31.28,30.57
30.83,29.84,31.12,29.60
29.18,28.24,29.35,28.11
27.29,28.10,28.21,27.25
28.63,29.42,29.45,28.47
29.27,29.06,29.51,28.97
28.76,28.76,28.96,28.23
28.35,29.22,29.26,28.29
29.37,29.79,29.95,29.23
30.02,29.91,30.19,29.40
30.24,30.54,30.71,29.92
30.76,30.52,31.03,30.46
29.89,29.47,29.92,29.18
29.69,28.45,29.70,28.36
28.39,26.78,28.56,26.72
25.92,25.54,26.07,25.42
25.53,25.75,26.29,25.35
26.09,26.74,26.80,25.53
27.45,27.79,28.48,27.34
27.78,26.41,28.04,26.39
27.05,26.36,27.21,25.80
25.89,25.50,26.42,25.41
25.19,24.39,25.56,24.34
23.85,26.29,26.47,23.75
26.19,26.45,26.91,25.92
26.30,27.46,27.48,26.30
27.44,27.28,27.71,26.79
27.96,28.74,28.76,27.94
28.27,29.13,29.25,28.27
29.26,29.70,30.01,29.21
29.56,29.13,29.56,28.79
29.55,29.87,30.00,29.04
29.58,29.12,29.58,28.90
29.15,29.48,29.88,28.63
29.41,28.35,29.54,28.19
28.41,28.18,28.47,27.41
28.45,28.55,28.89,27.85
28.56,29.48,29.69,28.36
29.08,28.98,29.30,28.55
29.25,29.94,30.09,28.68
30.98,31.51,31.97,30.98
31.47,31.69,31.88,31.00
31.24,30.57,31.24,30.55
28.99,29.13,29.88,28.96
29.75,29.99,30.08,29.35
30.37,31.24,31.36,29.82
30.82,30.93,31.09,30.41
30.76,30.74,30.84,29.86
30.94,30.29,31.17,29.92
28.30,29.50,29.88,28.28
30.11,29.05,30.30,28.88
29.46,29.24,29.86,29.12
29.02,28.99,29.19,28.72
28.72,29.43,29.60,28.66
29.01,29.18,30.05,28.82
29.03,28.28,29.22,28.06
27.48,27.75,27.99,27.48
27.16,26.79,27.31,26.70
26.78,26.45,26.84,26.26
26.20,25.86,26.32,25.80
25.75,25.06,25.85,25.06
25.97,26.28,26.45,25.87
26.25,25.79,26.49,25.76
27.09,27.10,27.29,26.70
26.96,27.34,27.81,26.95
27.75,27.34,28.16,27.32
27.83,27.35,27.87,27.29
27.34,27.40,27.60,27.20
27.29,27.41,27.58,26.94
27.14,26.38,27.17,26.35
26.51,26.72,26.79,26.31
26.33,26.58,26.63,26.12
26.85,26.26,27.19,26.15
26.05,26.20,26.41,25.91
26.57,26.80,26.86,26.41
27.01,27.64,27.67,26.86
27.82,27.37,28.03,27.31
27.98,28.62,28.64,27.86
28.61,28.69,28.82,28.20
28.81,28.96,29.15,28.72
29.10,29.27,29.34,28.84
29.14,29.00,29.20,28.77
29.00,28.37,29.00,28.21
28.47,28.98,29.05,28.24
28.89,28.78,29.13,28.76
29.46,29.28,29.71,29.06
29.02,28.95,29.47,28.81
28.85,29.52,29.61,28.48
29.49,29.37,29.59,29.18
29.45,29.41,29.67,29.02
29.79,29.75,29.91,29.54
29.67,29.51,29.76,29.48
29.71,29.79,29.85,29.25
29.44,29.66,29.79,29.39
29.95,29.30,30.09,29.24
29.37,29.78,29.80,29.25
29.97,29.83,29.97,29.68
29.91,29.85,30.12,29.77
29.81,29.52,30.10,29.24
29.36,29.46,29.56,29.12
29.37,29.88,29.95,29.23
30.01,29.64,30.06,29.50
29.44,29.81,29.96,29.44
29.55,29.84,30.02,29.49
30.07,30.07,30.16,29.59
30.33,31.09,31.18,30.12
31.19,31.47,31.64,31.01
31.94,32.54,32.58,31.85
32.41,32.69,32.76,32.12
32.62,32.63,32.94,32.24
32.74,34.63,35.55,31.86
34.72,34.63,35.08,34.40
34.34,35.45,35.62,34.08
35.75,36.49,36.62,35.57
36.28,35.87,36.28,35.53
35.93,35.58,36.01,35.37
35.54,36.72,36.77,35.54
36.86,36.59,36.99,36.41
36.62,36.80,37.05,36.49
36.70,36.31,36.94,35.50
36.41,36.67,36.76,36.10
36.77,36.56,36.79,36.37
36.38,36.26,36.61,35.54
36.22,36.04,36.68,35.89
36.14,35.79,36.77,35.61
35.92,35.50,36.09,35.44
35.47,35.00,35.60,34.93
34.84,34.75,35.12,34.39
34.32,33.66,34.44,33.62
33.77,33.63,33.89,33.53
33.86,34.00,34.04,33.42
33.97,34.58,34.67,33.93
34.49,34.58,34.66,34.30
34.85,35.34,35.35,34.57
35.37,35.09,35.59,34.81
35.15,35.55,35.65,34.67
35.54,35.52,35.81,35.43
35.56,36.01,36.54,35.56
35.79,35.60,35.89,35.35
35.52,35.98,36.37,35.52
35.61,35.83,35.83,35.11
35.75,36.76,36.84,35.57
37.17,37.24,37.46,36.94
37.35,37.70,38.37,37.30
37.80,37.02,37.80,36.93
36.76,36.97,37.30,36.37
37.33,36.77,37.33,36.71
36.68,36.87,36.90,36.23
36.80,36.27,36.80,35.80
35.78,35.71,35.78,35.25
35.61,35.75,35.84,35.52
35.21,34.77,35.21,34.76
34.71,34.35,34.82,34.16
34.75,34.90,34.94,34.53
34.92,35.20,35.27,34.86
34.98,34.50,35.01,34.45
34.77,34.76,34.91,34.20
35.05,35.41,35.65,34.95
35.20,34.71,35.20,34.69
34.80,34.61,35.10,34.43
34.96,34.82,35.27,34.55
34.37,34.23,34.37,33.65
34.24,34.38,34.55,34.09
34.83,34.61,34.89,34.53
34.67,34.30,34.67,34.29
34.28,34.62,34.77,34.02
34.50,34.40,34.52,34.05
34.50,34.38,34.96,34.31
34.12,34.09,34.20,33.74
34.14,34.30,34.60,34.07
34.03,33.84,34.12,33.77
33.67,33.81,33.92,33.37
33.49,33.88,34.03,33.30
33.45,33.19,33.68,33.11
34.61,34.21,35.39,34.04
33.98,34.23,34.58,33.98
33.82,33.54,33.93,33.44
33.45,33.51,33.76,33.30
33.53,34.21,34.41,33.32
34.13,33.43,34.18,33.35
33.39,33.54,33.72,32.98
33.74,34.02,34.11,33.30
34.14,34.15,34.40,33.77
33.85,34.42,34.55,33.75
34.46,34.44,34.47,33.83
34.50,34.63,34.78,34.30
34.96,35.25,35.37,34.85
34.85,34.99,35.23,34.67
35.10,34.90,35.11,34.57
34.11,34.22,34.80,34.07
34.32,33.84,34.50,33.44
33.62,33.96,34.20,33.43
34.30,34.52,34.65,33.97
35.05,34.47,35.29,34.45
34.39,35.00,35.13,34.20
35.26,34.15,35.26,34.02
34.31,34.74,34.80,33.86
34.65,34.68,35.25,34.43
34.79,34.90,34.98,34.50
35.05,35.14,35.32,34.94
35.03,35.50,35.66,34.99
35.77,35.96,36.17,35.54
36.00,35.70,36.00,35.62
35.59,35.48,35.77,35.30
35.72,35.99,36.12,35.66
35.59,35.45,35.60,35.36
35.50,35.31,35.60,34.91
35.38,35.44,35.72,35.24
35.19,35.51,35.51,34.90
36.17,36.44,36.78,35.91
36.64,36.39,36.64,35.75
36.15,37.20,37.39,36.03
37.05,37.13,37.54,37.03
36.71,36.43,36.81,36.24
36.26,36.50,36.53,36.01
36.81,36.30,36.84,36.17
36.24,35.86,36.34,35.71
35.69,35.78,36.03,35.18
35.84,36.71,36.73,35.84
36.50,36.55,36.73,36.30
36.68,36.26,36.73,36.00
36.31,36.49,36.70,35.97
36.63,36.40,37.00,36.39
36.18,35.39,36.35,35.37
34.94,35.19,35.36,34.58
35.19,34.27,35.19,34.15
34.48,34.27,34.56,34.16
34.88,34.80,35.26,34.14
34.87,36.23,36.39,34.70
36.23,35.80,36.85,35.60
35.69,36.01,36.10,35.59
36.24,34.46,36.32,34.46
34.32,34.40,34.47,33.90
34.94,36.44,36.67,34.74
36.57,36.83,37.27,36.55
36.99,36.35,37.01,36.24
36.20,36.22,36.71,36.13
36.23,36.23,36.44,35.73
35.87,36.44,36.91,33.05
36.33,35.90,36.66,35.23
35.98,36.02,36.08,35.69
36.00,36.81,36.87,36.00
36.85,36.28,36.85,36.21
36.34,36.58,36.63,36.31
36.48,36.42,36.50,36.17
36.54,36.13,36.94,35.89
36.33,36.05,36.80,35.84
35.90,35.66,36.05,35.61
35.54,35.59,35.94,35.50
35.74,35.39,35.85,35.28
35.33,35.39,35.58,35.16
35.42,35.36,35.51,35.20
35.40,34.93,35.43,34.89
35.27,35.43,35.55,34.73
35.26,35.10,35.41,34.50
35.21,36.00,36.22,34.99
36.26,36.99,37.09,36.22
37.03,36.91,37.21,36.75
36.78,37.13,37.30,36.68
37.20,37.52,37.74,37.18
37.64,37.82,37.97,37.49
37.73,38.57,38.84,37.56
38.71,39.03,39.26,38.58
38.87,38.35,39.03,37.98
38.14,38.28,38.36,38.02
38.27,38.23,38.80,38.18
37.94,38.36,38.55,37.94
38.90,38.81,39.00,38.62
38.68,39.11,39.26,38.41
39.23,38.61,39.50,38.52
38.59,38.27,38.71,38.09
38.36,38.63,38.69,38.22
38.41,38.85,39.27,38.06
39.04,38.72,39.31,38.56
38.79,38.76,38.96,38.37
38.71,38.31,38.93,38.13
38.48,38.50,38.57,38.04
38.57,38.44,39.04,38.26
38.22,38.24,38.50,38.13
38.13,37.61,38.42,37.57
34.37,34.70,34.88,34.00
34.46,34.67,34.98,34.34
34.60,35.02,35.16,34.52
35.02,35.47,35.68,35.00
35.57,35.55,35.77,35.30
35.55,36.26,36.39,35.52
36.16,36.09,36.28,35.62
35.81,35.46,36.02,35.38
35.35,35.57,35.77,35.35
35.07,35.61,35.86,35.03
35.65,35.65,36.02,35.38
35.88,36.30,36.33,35.75
36.42,36.62,36.84,36.40
36.73,37.44,37.54,36.73
37.56,37.64,38.09,37.32
37.91,36.94,37.91,36.94
36.98,37.75,38.00,36.65
37.79,37.59,37.86,37.37
37.05,36.53,37.21,36.38
36.39,35.92,36.52,35.89
35.82,35.94,36.35,35.70
35.92,36.04,36.30,35.73
35.20,35.70,36.11,35.04
35.87,34.81,35.90,34.69
34.72,34.60,34.86,34.33
34.48,34.98,35.06,34.16
35.35,35.21,35.52,34.92
35.09,35.21,35.22,34.75
35.17,35.28,35.37,34.83
35.43,35.94,35.97,35.25
35.90,36.61,36.65,35.85
36.51,36.22,36.85,36.21
36.08,36.65,36.67,35.67
36.99,37.03,37.28,36.74
37.10,36.70,37.10,36.52
36.93,36.37,36.93,35.90
36.33,36.23,36.51,35.71
36.30,36.10,36.39,35.73
36.23,35.82,36.23,35.57
36.06,35.81,36.06,35.66
35.93,36.11,36.33,35.75
36.30,36.36,36.55,36.02
36.55,36.12,36.55,35.97
36.04,35.65,36.14,35.38
36.90,35.55,36.90,35.19
35.48,35.81,35.98,35.46
35.97,36.49,36.53,35.84
36.46,36.46,36.59,36.37
36.45,36.71,36.73,36.26
36.40,36.75,37.00,36.40
36.80,36.74,36.97,36.49
38.35,36.38,38.35,36.34
36.31,36.40,36.54,35.90
36.26,36.37,36.76,36.10
36.29,37.41,37.50,36.23
38.28,38.17,38.50,38.04
38.33,37.98,38.37,37.85
38.59,39.20,39.60,38.59
39.10,38.85,39.28,38.65
38.75,38.89,39.10,38.41
38.97,39.24,39.42,38.97
39.48,39.39,39.55,38.88
39.47,38.82,39.47,38.56
38.76,38.86,38.92,38.37
38.61,39.34,39.46,38.61
39.11,39.07,39.23,38.82
39.30,39.58,39.74,39.11
39.64,39.32,39.64,38.92
39.39,40.07,40.10,39.39
40.01,40.30,40.44,40.01
40.31,40.67,40.90,40.18
40.82,41.23,41.25,40.74
41.28,41.59,41.63,40.51
41.61,42.35,42.36,41.55
42.22,42.27,42.42,41.97
41.40,41.17,41.58,40.90
41.38,41.39,41.72,41.22
41.28,40.69,41.40,40.58
40.96,40.76,40.96,40.66
40.43,40.70,40.78,40.36
40.65,40.34,40.70,40.31
41.13,40.50,42.18,40.21
40.42,40.27,40.42,40.04
40.28,40.37,40.49,40.12
40.46,40.20,40.50,39.91
40.18,40.45,40.53,39.94
40.60,41.11,41.28,40.54
41.08,41.73,41.83,41.08
41.70,40.76,41.81,40.75
40.69,40.83,41.04,40.63
41.07,41.30,41.37,40.98
41.51,39.78,41.53,39.72
40.03,40.03,40.20,39.77
39.99,40.45,40.77,39.95
40.39,40.56,40.87,40.27
40.25,40.67,40.84,39.85
40.47,41.17,41.21,40.17
