ETR,Entergy Corporation Common Stock,NASDAQ
82.10,82.15,82.73,81.76
82.28,80.84,82.30,80.36
80.79,81.25,81.34,80.42
80.96,80.28,81.03,80.25
80.38,79.51,80.57,79.22
79.98,81.05,81.53,79.75
81.77,81.72,82.12,81.20
81.71,82.88,83.01,81.66
82.87,82.80,83.09,82.15
82.55,81.85,82.62,80.93
81.90,82.16,82.19,80.87
81.95,81.06,81.95,80.06
81.58,79.75,82.73,79.30
79.74,78.54,79.81,78.48
79.20,78.73,79.24,77.76
78.59,79.31,79.55,78.10
79.30,78.72,79.30,77.72
78.85,77.10,79.03,77.08
77.49,76.31,77.82,76.23
76.62,77.23,77.43,75.90
77.29,78.78,79.73,76.61
79.00,79.74,79.93,78.78
79.08,77.11,80.18,77.04
76.97,77.09,77.21,75.52
77.05,76.29,77.35,76.22
75.91,76.26,76.94,75.54
77.71,76.67,77.71,75.95
76.73,77.55,77.77,75.98
76.52,77.14,77.23,76.30
77.77,78.99,79.00,77.55
79.44,78.26,79.52,77.84
78.09,78.04,78.75,77.70
77.99,78.75,78.82,77.39
79.18,77.72,79.18,77.61
77.69,77.40,77.89,76.90
77.44,76.73,77.44,75.69
76.37,76.52,76.56,75.25
76.42,75.97,76.76,75.87
76.07,77.77,78.15,75.97
78.13,78.45,78.72,78.13
78.45,77.83,78.64,77.65
77.73,78.24,78.28,77.27
78.28,79.45,79.64,77.99
79.47,79.55,79.69,79.28
79.34,79.17,79.58,78.90
79.02,79.52,79.57,78.89
79.29,79.80,79.80,78.94
79.87,78.25,79.87,78.14
78.36,78.81,78.92,77.91
78.95,80.26,80.38,78.42
80.31,80.58,80.65,79.77
80.37,80.37,80.44,79.42
80.34,80.69,80.91,80.12
80.40,79.91,80.87,79.85
80.02,80.07,80.53,79.74
80.00,79.20,80.00,79.15
79.39,79.39,79.89,78.50
79.35,80.28,80.48,79.13
80.60,81.61,81.75,80.56
81.47,82.05,82.12,81.24
81.56,81.35,81.86,80.76
81.76,82.32,82.66,81.63
82.34,81.61,82.34,80.08
81.39,84.07,84.33,80.93
83.78,82.10,83.92,81.72
81.94,81.97,82.25,81.43
81.94,82.26,82.37,81.08
82.59,82.21,82.85,82.03
82.11,81.66,82.11,81.14
81.78,81.38,82.24,81.01
81.49,81.06,81.62,80.68
81.00,80.19,81.24,79.89
80.01,80.55,80.62,79.71
80.91,81.70,81.70,80.74
81.59,82.00,82.19,81.51
81.65,82.08,82.21,81.11
81.81,82.28,82.29,81.38
82.25,81.73,82.56,81.70
81.17,80.36,82.14,80.18
80.86,79.95,81.07,79.71
80.22,80.55,81.15,79.66
80.69,81.29,81.88,80.25
81.54,81.57,81.96,81.10
81.00,79.64,81.08,79.26
79.22,79.19,79.99,78.59
79.08,76.60,79.33,72.60
76.60,75.79,76.95,74.79
77.50,76.66,77.50,75.87
76.09,77.63,78.56,75.78
77.48,78.97,79.26,77.48
78.66,78.67,79.78,77.82
78.21,77.42,78.67,77.15
77.57,77.47,77.78,76.64
77.60,76.95,78.10,76.82
76.81,76.80,77.29,76.37
75.40,74.74,76.38,74.55
74.00,74.60,75.05,72.93
74.19,73.80,75.14,73.64
72.40,72.82,72.95,71.28
73.37,73.17,73.94,72.80
73.73,75.82,75.82,73.61
76.02,75.07,76.25,74.67
74.94,73.23,75.31,73.13
73.62,74.27,74.33,73.07
74.65,74.55,74.94,74.30
73.61,71.99,73.63,71.74
72.24,72.35,73.41,72.01
72.16,72.79,73.01,71.86
73.28,72.26,73.43,72.05
73.10,73.42,73.55,72.85
72.71,74.39,74.50,72.56
74.89,75.10,75.74,74.31
75.58,76.79,76.79,75.35
76.31,77.48,78.12,75.99
77.69,77.97,78.08,76.79
78.01,78.10,78.36,77.68
78.58,77.38,78.72,76.82
76.13,74.74,76.63,74.45
74.78,73.51,74.97,73.24
73.38,73.09,74.39,72.95
73.13,73.43,73.97,72.30
73.69,73.93,74.30,73.23
73.20,72.44,73.20,72.01
72.12,71.62,72.91,71.43
71.72,71.19,71.73,70.35
71.34,70.70,71.74,70.46
71.53,72.18,72.52,70.99
72.33,74.29,74.32,72.29
74.88,74.64,74.92,74.16
74.57,76.11,76.25,74.33
75.59,76.01,76.49,75.55
76.37,76.56,77.13,75.88
76.20,76.18,76.42,75.32
75.99,77.04,77.25,75.75
76.76,75.96,77.00,75.73
76.64,77.64,77.87,76.16
76.61,78.00,78.10,76.33
78.22,76.55,78.37,76.15
77.26,78.27,78.51,77.05
78.12,78.29,78.95,77.61
78.45,78.82,79.00,78.31
78.31,79.78,79.86,77.97
79.61,79.35,80.03,79.27
79.79,78.20,80.00,77.92
77.56,77.51,78.08,77.16
78.35,79.56,79.79,78.35
79.19,79.18,80.00,76.50
79.35,78.94,79.66,78.30
78.59,79.48,79.69,78.20
78.63,79.75,79.98,78.63
80.00,79.65,80.20,79.50
78.64,79.55,79.80,77.86
78.59,78.58,78.91,78.06
77.46,77.92,78.38,77.17
77.63,78.11,79.03,77.52
77.78,78.16,78.23,77.07
78.66,79.23,79.83,78.37
79.27,79.38,79.66,78.34
79.10,77.86,79.10,77.04
77.29,77.46,77.77,76.58
78.02,78.39,79.03,77.79
77.69,78.17,78.86,77.51
77.90,78.31,78.45,77.21
78.67,77.50,78.76,77.46
77.82,79.64,80.09,77.59
