ETV,Eaton Vance Corporation Eaton Vance Tax-Managed Buy-Write Opportunities Fund Common Shares of Beneficial Interest,NASDAQ
15.13,14.93,15.20,14.93
14.91,14.92,14.99,14.85
14.82,14.78,14.94,14.75
14.75,14.69,14.79,14.65
14.68,14.79,14.79,14.59
14.85,14.79,14.86,14.74
14.74,14.68,14.77,14.62
14.67,14.66,14.76,14.61
14.67,14.68,14.68,14.61
14.70,14.20,14.70,14.10
13.84,14.23,14.25,13.84
14.16,14.25,14.25,13.97
14.28,14.16,14.30,14.01
14.05,13.73,14.11,13.68
13.82,13.74,13.89,13.69
13.66,13.58,13.75,13.58
13.49,13.43,13.54,13.26
13.46,13.29,13.50,13.14
13.34,13.17,13.43,13.12
13.27,13.32,13.32,13.14
13.34,13.49,13.50,13.31
13.48,13.58,13.58,13.42
13.51,13.27,13.51,13.21
12.90,13.06,13.23,12.77
13.04,13.02,13.29,12.94
13.24,13.28,13.30,13.07
13.32,13.30,13.34,13.15
13.32,13.51,13.51,13.26
13.39,13.53,13.54,13.35
13.56,13.75,13.75,13.56
13.80,13.89,13.92,13.75
13.91,14.11,14.12,13.91
14.08,14.21,14.29,13.98
14.28,14.14,14.28,14.03
14.13,14.06,14.15,13.97
14.08,14.43,14.45,14.08
14.27,14.40,14.43,14.22
14.47,14.49,14.52,14.37
14.70,14.61,14.70,14.54
14.64,14.68,14.68,14.55
14.85,14.52,14.85,14.50
14.54,14.63,14.67,14.46
14.71,14.84,14.89,14.71
14.81,14.75,14.92,14.72
14.71,14.83,14.85,14.70
14.89,14.92,14.97,14.84
14.89,14.91,14.98,14.79
14.98,15.00,15.03,14.94
15.02,14.99,15.08,14.83
15.04,14.96,15.05,14.92
15.02,14.99,15.09,14.97
14.99,14.97,15.06,14.90
14.96,14.76,14.99,14.64
14.22,14.32,14.34,14.20
14.36,14.34,14.38,14.23
14.25,14.39,14.39,14.22
14.42,14.28,14.49,14.26
14.34,14.37,14.41,14.28
14.42,14.37,14.48,14.25
14.43,14.50,14.50,14.39
14.57,14.44,14.61,14.39
14.52,14.37,14.54,14.28
14.35,14.32,14.39,14.27
14.30,14.33,14.34,14.29
14.38,14.14,14.40,14.09
14.19,14.15,14.19,14.10
14.25,14.19,14.26,14.12
14.32,14.30,14.33,14.21
14.34,14.30,14.34,14.25
14.35,14.39,14.39,14.28
14.40,14.45,14.46,14.32
14.47,14.30,14.48,14.24
14.27,14.29,14.35,14.20
14.38,14.32,14.43,14.31
14.32,14.23,14.44,14.21
14.21,14.30,14.32,14.17
14.30,14.42,14.42,14.23
14.47,14.35,14.50,14.29
14.35,14.10,14.36,14.06
14.21,14.22,14.27,14.14
14.37,14.40,14.42,14.30
14.45,14.26,14.45,14.25
14.36,14.35,14.39,14.22
14.29,14.28,14.30,14.13
14.18,14.05,14.29,13.96
14.00,13.14,14.06,11.25
13.07,13.07,13.26,12.55
13.70,13.83,13.90,13.51
13.73,13.81,13.88,13.73
13.83,14.10,14.14,13.81
14.14,14.09,14.22,14.02
14.07,13.87,14.07,13.75
13.97,13.77,13.97,13.61
13.95,13.53,13.95,13.43
13.47,13.41,13.65,13.25
13.12,12.76,13.27,12.50
12.53,12.81,12.87,12.50
12.82,12.74,12.99,12.71
12.48,12.82,12.85,12.06
12.98,12.99,13.28,12.91
13.33,13.48,13.49,13.18
13.56,13.36,13.56,13.32
13.22,13.27,13.52,13.22
13.36,13.48,13.49,13.23
13.58,13.67,13.67,13.45
13.47,13.31,13.57,13.15
13.42,13.18,13.42,13.15
13.27,13.27,13.34,13.04
13.29,13.20,13.46,13.12
13.41,13.54,13.59,13.35
13.47,13.69,13.70,13.46
13.86,13.72,13.87,13.70
13.89,14.19,14.19,13.82
14.18,14.33,14.44,14.15
14.44,14.45,14.46,14.27
14.40,14.14,14.47,14.14
14.01,13.84,14.06,13.77
13.93,13.46,13.98,13.37
13.46,13.42,13.65,13.30
13.38,13.48,13.51,13.38
13.54,13.64,13.74,13.35
13.69,13.58,13.72,13.53
