EWM,iShares MSCI Malaysia Index Fund,NASDAQ
43.20,43.76,43.80,43.08
44.04,44.32,44.48,43.92
44.52,44.40,44.52,44.32
44.48,44.44,44.52,44.28
44.40,44.40,44.48,44.20
44.88,44.68,45.04,44.64
44.60,44.52,44.72,44.22
44.52,44.72,44.72,44.40
44.64,44.88,45.08,44.64
nan,44.40,nan,nan
44.72,44.92,45.28,44.72
44.36,44.28,44.56,44.16
44.44,43.92,44.52,43.80
43.52,43.24,43.72,43.12
43.56,43.52,43.64,43.36
43.04,42.96,43.20,42.80
42.16,42.40,42.52,41.96
42.32,42.12,42.72,41.96
42.52,42.20,42.72,42.00
42.24,42.48,42.48,42.12
42.32,42.52,42.68,42.32
42.76,42.44,42.76,42.44
42.12,41.40,42.32,41.28
41.16,41.20,41.40,40.72
41.16,40.88,41.24,40.76
41.16,41.44,41.68,41.04
41.40,41.56,41.80,41.36
41.56,41.84,41.96,41.36
nan,41.68,nan,nan
41.84,42.28,42.44,41.84
42.72,42.60,42.72,42.48
42.40,42.64,42.68,42.36
42.36,42.40,42.52,42.20
42.84,42.60,42.88,42.48
42.64,42.20,42.64,42.16
42.68,42.80,42.88,42.56
42.16,42.60,42.64,42.08
42.60,42.76,42.88,42.52
43.04,43.40,43.52,43.04
43.88,43.92,44.12,43.76
43.92,43.76,44.12,43.76
43.80,43.88,43.96,43.68
44.32,44.68,44.68,44.28
45.20,45.24,45.64,45.20
45.24,45.24,45.40,45.04
45.52,45.68,45.96,45.52
45.64,45.80,45.80,45.48
45.68,45.52,45.68,45.32
44.96,44.84,45.04,44.52
44.76,45.00,45.08,44.68
45.60,45.40,45.60,45.32
45.32,45.12,45.40,45.12
45.24,44.72,45.30,44.72
44.32,44.80,44.84,44.32
44.92,44.96,45.10,44.84
44.96,45.04,45.12,44.88
45.40,45.20,45.56,45.12
45.44,45.40,45.60,45.28
46.16,46.28,46.32,46.00
46.32,46.28,46.40,46.12
46.20,46.72,46.76,46.20
nan,47.28,nan,nan
47.64,48.04,48.08,47.64
48.00,48.12,48.20,47.92
48.08,48.00,48.16,47.80
47.72,47.88,48.04,47.64
48.12,48.28,48.32,47.88
48.16,48.12,48.24,47.96
47.68,47.72,47.80,47.48
48.28,48.48,48.48,48.12
48.36,48.36,48.48,48.24
48.08,47.56,48.16,47.28
47.40,47.40,47.60,47.20
47.92,47.96,48.16,47.88
47.84,47.72,48.04,47.48
47.68,47.96,48.08,47.36
48.08,48.40,48.44,47.96
48.56,48.20,48.56,48.16
48.00,47.44,48.12,47.20
