EWS,iShares MSCI Singapore Capped ETF,NASDAQ
23.36,23.50,23.58,23.30
23.60,23.68,23.72,23.54
23.74,23.70,23.76,23.64
23.58,23.56,23.60,23.40
23.48,23.60,23.66,23.40
23.74,23.70,23.80,23.58
23.48,23.32,23.58,23.22
23.22,23.42,23.44,23.20
23.48,23.50,23.58,23.42
nan,23.20,nan,nan
23.34,23.64,23.74,23.34
23.16,23.02,23.16,22.90
22.84,22.44,22.88,22.32
22.30,22.12,22.40,22.02
22.34,22.38,22.52,22.30
21.78,21.78,21.98,21.64
21.54,21.64,21.64,21.24
21.90,21.68,21.92,21.52
21.84,21.56,21.96,21.48
21.64,21.88,21.88,21.64
21.68,21.84,21.84,21.56
21.92,21.86,22.00,21.76
21.48,21.14,21.54,21.06
21.10,21.08,21.18,20.74
21.14,21.08,21.34,21.04
21.70,21.71,21.94,21.56
21.68,21.64,21.70,21.42
21.70,21.90,21.98,21.60
nan,21.80,nan,nan
21.98,22.14,22.24,21.92
22.22,22.22,22.30,22.10
21.98,22.12,22.20,21.94
21.82,21.88,21.92,21.72
21.94,21.88,21.94,21.75
21.92,21.76,22.04,21.74
21.94,22.00,22.16,21.90
21.60,21.96,21.96,21.60
21.86,22.02,22.04,21.82
22.10,22.18,22.20,22.06
22.16,22.20,22.22,22.06
22.32,22.20,22.34,22.16
22.14,22.14,22.20,22.04
22.42,22.44,22.56,22.32
22.60,22.58,22.69,22.57
22.56,22.56,22.74,22.54
22.78,22.78,22.92,22.76
22.84,22.88,22.92,22.78
22.94,22.90,22.98,22.88
22.76,22.80,22.80,22.60
22.98,23.10,23.14,22.96
23.32,23.32,23.44,23.26
23.34,23.26,23.34,23.16
23.28,22.98,23.28,22.94
22.74,22.98,23.04,22.74
23.04,23.22,23.22,23.00
22.84,22.82,22.86,22.72
23.00,22.72,23.00,22.68
22.94,22.88,23.06,22.82
23.28,23.28,23.36,23.22
23.38,23.38,23.44,23.26
22.90,23.00,23.00,22.82
nan,23.50,nan,nan
23.54,23.72,23.76,23.52
23.60,23.72,23.76,23.60
23.74,23.64,23.74,23.50
23.48,23.60,23.70,23.46
23.68,23.76,23.80,23.62
23.74,23.74,23.80,23.66
23.62,23.74,23.74,23.54
24.56,24.66,24.72,24.50
24.56,24.58,24.64,24.46
24.32,24.14,24.40,23.94
23.96,24.10,24.10,23.88
24.20,24.32,24.34,24.20
24.20,24.12,24.22,23.94
24.10,24.24,24.30,23.94
24.30,24.48,24.50,24.24
24.60,24.48,24.64,24.42
24.36,23.92,24.42,23.82
23.90,23.98,24.02,23.78
24.26,24.36,24.46,24.22
24.34,24.02,24.34,24.02
24.10,24.18,24.24,23.98
23.48,23.20,23.48,23.04
22.74,22.84,23.00,22.62
22.70,22.08,22.94,21.24
22.44,22.30,22.72,22.02
23.50,23.50,23.68,23.36
23.08,23.22,23.52,23.08
23.54,23.64,23.70,23.48
23.44,23.26,23.52,23.22
23.22,22.84,23.24,22.69
22.98,22.96,23.12,22.54
23.16,22.78,23.28,22.62
22.44,22.40,22.61,22.20
21.80,21.64,21.94,21.44
21.32,21.90,21.96,21.30
21.86,21.78,22.08,21.78
21.20,21.56,21.56,20.94
21.56,21.44,21.74,21.34
22.08,22.30,22.32,21.96
nan,22.02,nan,nan
21.56,21.50,21.92,21.44
21.76,22.14,22.14,21.66
22.32,22.32,22.40,22.14
21.96,21.76,22.08,21.62
21.72,21.54,21.84,21.46
21.66,21.74,21.82,21.46
21.90,21.70,22.00,21.60
22.06,22.40,22.42,22.06
22.18,22.52,22.52,22.18
22.80,22.59,22.82,22.54
22.72,23.04,23.12,22.70
22.92,23.16,23.22,22.92
23.12,23.04,23.14,22.88
23.06,23.20,23.22,23.06
