EWY,iShares MSCI South Korea Capped Index Fund,NASDAQ
48.84,49.35,49.47,48.75
49.32,49.37,49.44,49.08
49.84,50.08,50.08,49.75
49.16,49.06,49.31,49.00
49.49,49.78,49.85,49.28
49.95,50.09,50.12,49.63
49.69,49.40,49.72,49.22
49.28,49.48,49.54,49.02
49.55,49.78,49.95,49.50
nan,49.40,nan,nan
49.91,50.42,50.54,49.70
49.78,49.48,49.83,49.01
50.04,49.00,50.19,48.95
48.66,47.61,48.69,47.52
48.26,48.07,48.52,47.81
46.88,46.85,47.35,46.60
46.20,46.52,46.70,45.95
46.99,46.27,47.42,46.11
46.16,45.44,46.54,45.26
45.83,46.53,46.58,45.83
45.96,46.69,46.77,45.83
46.86,46.48,46.89,46.30
46.04,44.82,46.15,44.77
44.11,44.28,44.33,43.15
44.28,43.90,44.50,43.84
45.02,45.17,45.62,44.72
45.27,45.09,45.38,44.63
45.58,46.15,46.26,45.21
nan,45.69,nan,nan
46.32,46.60,46.89,46.32
47.42,47.26,47.43,47.00
46.85,47.56,47.72,46.85
46.64,46.54,46.95,46.38
47.29,47.03,47.29,46.84
46.87,46.09,46.87,45.95
46.30,46.37,46.68,46.14
44.95,45.40,45.42,44.54
45.45,45.56,45.77,45.15
46.17,46.23,46.54,46.15
46.88,46.77,47.03,46.71
47.24,47.06,47.48,47.03
47.04,46.86,47.65,46.61
47.79,48.40,48.42,47.68
48.76,48.72,48.86,48.62
48.54,48.82,48.97,48.49
48.85,49.24,49.35,48.82
48.84,48.95,48.99,48.44
49.27,48.68,49.30,48.62
48.40,48.33,48.45,47.96
48.15,48.58,48.59,48.15
49.37,49.43,49.77,49.23
49.25,49.09,49.25,48.87
49.39,49.25,49.48,48.80
48.61,49.01,49.11,48.53
49.20,49.40,49.50,49.02
49.01,49.03,49.12,48.80
49.44,49.04,49.55,48.90
49.69,48.74,49.70,48.24
49.54,49.68,49.72,49.35
49.83,49.91,49.95,49.48
49.63,50.00,50.20,49.58
nan,51.61,nan,nan
52.13,52.12,52.28,51.80
51.89,52.15,52.24,51.75
51.90,51.65,51.90,51.35
51.71,52.07,52.20,51.52
52.11,52.05,52.15,51.87
51.31,51.38,51.50,51.26
51.12,51.32,51.48,51.05
52.37,52.56,52.67,52.26
52.58,52.68,52.83,52.43
52.22,51.66,52.40,51.40
50.66,51.07,51.16,50.49
51.63,51.70,51.77,51.27
52.32,52.36,52.50,51.97
52.03,52.47,52.55,51.58
52.26,52.74,52.75,52.12
52.82,52.90,53.15,52.77
52.20,51.03,52.34,50.89
51.58,51.73,51.82,51.19
52.09,52.40,52.41,51.88
52.64,51.85,52.64,51.77
51.46,51.74,51.94,51.32
50.78,49.63,50.85,49.34
48.71,48.68,49.51,48.23
48.45,46.74,48.83,44.66
47.31,46.89,47.57,45.99
49.80,49.89,50.09,49.36
48.52,48.97,49.55,48.36
48.79,49.08,49.16,48.60
