EXC,Exelon Corporation Common Stock,NASDAQ
49.07,48.88,49.21,48.77
48.94,48.08,48.94,47.69
48.07,48.37,48.38,47.54
48.12,48.53,48.62,48.12
48.30,48.30,48.49,48.21
48.49,48.86,49.08,48.38
48.80,49.07,49.39,48.52
49.13,49.66,49.88,49.09
49.64,49.08,49.65,49.00
48.88,48.60,49.01,48.29
48.48,49.27,49.28,48.41
49.02,48.45,49.07,48.04
48.57,48.05,48.96,47.66
47.93,46.61,48.03,46.58
47.11,46.09,47.19,46.06
46.17,46.60,46.80,45.60
46.60,46.28,46.60,45.76
47.00,45.96,47.00,45.72
47.00,45.62,47.20,45.60
45.84,45.86,46.45,45.48
45.88,46.14,46.35,45.51
46.03,45.71,46.03,45.56
45.69,44.75,45.69,44.72
44.55,44.24,44.65,43.45
44.69,43.76,44.74,43.76
44.10,44.22,44.59,43.89
44.13,44.30,44.41,43.71
43.78,43.72,43.83,43.14
43.57,43.30,43.60,42.97
43.59,44.20,44.27,43.51
44.54,43.99,44.54,43.89
43.85,44.46,44.56,43.76
44.32,44.88,45.09,44.32
45.18,44.69,45.18,44.61
44.53,44.14,44.69,44.10
44.20,44.01,44.38,43.59
43.58,43.81,43.87,43.02
43.81,43.30,43.96,43.25
43.67,44.46,44.70,43.51
44.55,44.34,44.79,44.18
44.49,44.47,44.85,44.33
44.64,44.72,44.79,44.31
44.94,45.50,45.57,44.92
45.60,45.33,45.75,45.17
45.47,44.97,45.47,44.79
45.10,45.11,45.29,44.91
45.26,44.93,45.40,44.75
44.95,44.16,45.00,44.04
44.24,44.40,44.42,44.02
44.42,45.34,45.42,44.42
45.54,45.35,45.56,45.14
45.08,44.67,45.24,44.47
44.62,44.62,44.90,44.25
44.55,44.32,44.97,44.23
44.26,44.31,44.51,44.03
44.44,43.56,44.44,43.50
43.61,43.29,43.84,43.05
43.26,43.19,43.38,42.97
43.50,43.92,43.93,43.31
43.96,43.96,44.19,43.81
43.80,43.81,44.00,43.56
43.99,44.28,44.78,43.85
44.44,44.40,44.62,44.10
44.22,45.08,45.10,44.11
45.00,44.73,45.04,44.55
44.84,44.43,44.84,44.28
44.41,44.26,44.41,43.95
44.39,44.58,45.00,44.39
44.63,44.56,44.65,43.95
44.50,44.53,44.53,44.23
44.28,44.41,44.52,43.85
43.99,43.62,43.99,43.31
43.61,43.58,43.81,43.35
43.98,44.12,44.15,43.71
43.92,43.60,44.14,43.52
43.64,43.65,43.85,43.17
43.40,43.95,43.99,42.78
44.00,43.62,44.47,43.56
43.54,42.85,43.67,42.84
43.14,43.38,43.55,42.80
43.50,43.26,43.75,43.13
43.39,43.59,43.89,43.31
43.88,44.13,44.21,43.65
43.91,43.17,44.00,42.96
43.00,43.69,43.78,42.94
43.35,41.86,43.35,28.20
41.60,41.54,42.07,40.94
42.78,42.60,43.00,41.98
42.40,42.68,43.19,42.27
42.46,42.16,42.56,42.03
42.15,42.07,42.70,42.05
42.00,41.68,42.43,41.37
41.78,41.35,41.91,40.92
41.48,40.79,41.53,40.75
40.64,40.59,40.79,40.25
40.11,39.31,40.12,39.31
38.27,39.43,39.58,38.27
39.32,38.94,39.67,38.88
38.24,38.38,38.40,37.47
39.54,38.06,39.54,38.01
38.65,38.91,38.91,38.41
38.91,38.60,39.06,38.51
38.45,37.65,38.54,37.62
37.40,37.92,37.94,37.24
38.04,38.41,38.51,37.81
38.05,37.63,38.31,37.50
37.77,37.73,38.42,37.64
37.98,38.50,38.59,37.65
38.75,38.59,38.97,38.26
39.33,40.04,40.05,39.20
39.82,39.89,40.37,39.45
40.17,40.25,40.43,39.96
40.28,40.92,40.93,40.28
