EXTR,Extreme Networks,NASDAQ
2.91,2.90,2.93,2.81
2.89,2.80,2.91,2.78
2.79,2.68,2.86,2.67
2.68,2.75,2.76,2.65
2.75,2.82,2.84,2.73
2.80,2.77,2.83,2.70
2.74,2.77,2.80,2.69
2.79,2.77,2.85,2.67
2.76,2.74,2.83,2.67
2.78,2.68,2.83,2.65
2.70,2.71,2.76,2.67
2.69,2.67,2.72,2.65
2.67,2.50,2.71,2.38
2.50,2.50,2.53,2.40
2.52,2.50,2.52,2.50
2.50,2.54,2.57,2.50
2.52,2.55,2.57,2.50
2.56,2.48,2.56,2.46
2.49,2.47,2.54,2.46
2.49,2.54,2.58,2.46
2.80,2.78,2.85,2.68
2.75,2.69,2.80,2.65
2.66,2.55,2.68,2.53
2.45,2.57,2.62,2.44
2.56,2.54,2.62,2.54
2.59,2.61,2.61,2.54
2.59,2.65,2.66,2.58
2.63,2.74,2.74,2.58
2.71,2.71,2.73,2.63
2.73,2.70,2.74,2.65
2.72,2.69,2.75,2.67
2.69,2.68,2.74,2.65
2.70,2.76,2.79,2.65
2.76,2.68,2.77,2.66
2.67,2.67,2.72,2.62
2.67,2.71,2.75,2.67
2.67,2.71,2.75,2.62
2.70,2.75,2.76,2.70
2.77,2.83,2.85,2.66
2.83,2.84,3.01,2.80
3.01,2.90,3.01,2.86
2.92,3.07,3.09,2.91
3.09,3.30,3.30,3.08
3.32,3.39,3.50,3.32
3.38,3.21,3.39,3.15
3.26,3.16,3.30,3.15
3.15,3.16,3.19,3.09
3.19,2.97,3.23,2.75
2.97,3.03,3.03,2.90
3.04,2.96,3.07,2.94
2.93,3.03,3.10,2.90
3.06,2.99,3.06,2.99
3.01,3.00,3.13,2.86
2.99,3.03,3.08,2.95
3.02,3.03,3.05,2.98
3.02,2.97,3.03,2.96
3.00,2.97,3.00,2.96
2.95,2.94,3.00,2.90
2.94,2.99,3.00,2.91
3.01,3.02,3.02,2.98
3.00,3.07,3.08,2.95
3.08,3.10,3.13,3.06
3.10,3.19,3.27,3.02
3.16,3.32,3.35,3.10
3.30,3.43,3.45,3.26
3.40,3.44,3.48,3.32
3.43,3.38,3.46,3.34
3.35,3.37,3.50,3.31
3.36,3.38,3.40,3.34
