EZPW,EZCORP,NASDAQ
17.47,17.46,17.54,17.31
17.49,16.87,17.60,16.50
17.02,16.83,17.48,16.43
16.90,17.02,17.02,16.52
17.06,17.22,17.41,17.02
17.30,17.69,17.71,17.25
17.68,17.86,18.09,17.50
17.97,17.96,18.24,17.85
18.04,18.23,18.37,18.00
18.32,17.91,18.36,17.67
18.12,18.16,18.20,17.91
18.02,18.11,18.17,17.71
18.08,18.25,18.31,17.65
18.70,18.04,18.70,17.85
18.10,17.59,18.20,17.52
17.60,17.64,18.09,17.47
17.53,18.24,18.24,17.53
18.27,18.30,18.53,18.00
18.34,18.16,18.54,18.07
18.25,18.07,18.49,17.72
18.13,17.87,18.14,17.77
17.85,17.96,18.16,17.79
17.86,17.44,18.08,17.42
17.42,17.49,17.58,16.77
17.53,17.75,17.96,17.46
17.96,17.75,17.99,17.68
17.64,17.74,17.79,17.50
17.68,18.00,18.05,17.56
17.84,17.94,18.00,17.74
18.11,18.00,18.27,17.85
18.10,18.31,18.31,18.00
18.33,18.84,18.86,18.24
18.86,18.68,19.36,18.62
18.87,19.60,19.80,18.73
19.63,19.64,19.94,19.40
19.63,19.86,19.94,19.52
19.76,19.97,19.97,19.56
19.98,19.73,19.99,19.61
19.84,20.06,20.08,19.79
20.10,20.45,20.60,20.00
20.63,19.92,20.63,19.88
19.94,20.24,20.35,19.94
20.38,20.82,20.89,20.35
21.00,20.99,21.25,20.97
21.06,21.41,21.44,20.69
21.53,21.84,21.89,21.50
21.80,21.52,22.00,21.39
21.71,21.97,21.97,21.56
22.01,20.40,22.19,20.12
20.25,20.49,20.54,19.73
20.63,20.69,21.04,20.54
20.71,20.73,21.00,20.26
20.84,20.43,21.12,20.34
20.25,20.77,20.82,20.11
20.84,20.67,20.91,20.45
20.64,21.09,21.54,20.54
21.33,21.04,21.55,21.03
21.06,20.92,21.31,20.89
21.07,21.22,21.26,21.00
21.25,20.79,21.25,20.69
20.75,20.60,20.81,20.50
20.61,20.95,20.95,20.46
20.94,21.48,21.49,20.93
21.46,21.68,21.69,21.26
21.63,21.08,21.63,20.96
21.19,21.14,21.22,20.96
21.16,20.96,21.17,20.71
21.00,21.58,21.59,20.96
21.49,21.66,21.66,21.23
21.71,21.80,21.80,21.43
21.80,22.06,22.23,21.80
22.08,21.39,22.21,21.33
21.38,21.95,22.14,21.37
21.97,22.70,22.96,21.97
22.90,22.66,22.91,22.30
22.51,23.04,23.14,22.30
23.26,23.31,23.75,22.91
23.36,23.34,23.50,23.11
23.33,22.15,23.70,22.09
22.16,22.39,22.45,22.07
22.50,22.54,22.69,22.35
22.58,20.74,22.60,20.68
20.80,21.35,21.58,20.67
21.05,21.08,21.52,20.75
20.76,19.27,20.93,19.24
19.20,18.97,19.89,10.07
18.77,18.30,18.77,17.24
18.70,19.30,19.54,18.70
19.00,18.95,19.45,18.80
18.94,19.02,19.07,18.81
18.91,19.09,19.26,18.80
18.94,18.60,18.96,18.37
18.63,18.98,19.04,18.30
18.93,18.15,19.06,18.01
18.03,18.92,18.95,18.03
18.46,17.76,18.56,17.76
17.45,18.04,18.15,17.01
18.09,17.85,18.32,17.78
17.47,17.87,17.92,16.97
18.05,18.17,18.45,17.98
18.59,18.53,18.74,18.23
18.30,18.31,18.65,18.20
18.22,17.86,18.45,17.86
17.88,18.46,18.46,17.81
18.47,18.36,18.59,18.15
18.00,17.81,18.12,17.70
17.56,17.78,18.40,17.56
17.90,17.63,17.93,17.33
17.73,17.80,18.17,17.48
18.09,18.29,18.29,17.83
18.10,18.65,18.65,18.08
18.76,18.62,18.83,18.50
18.66,19.12,19.17,18.52
19.03,18.98,19.23,18.93
19.13,18.86,19.21,18.70
18.97,18.65,18.99,18.57
18.84,18.91,19.20,18.72
19.02,18.92,19.26,18.81
18.91,18.76,19.05,18.65
18.65,18.55,18.86,18.55
18.57,19.04,19.12,18.39
19.06,19.09,19.27,18.75
18.74,18.62,18.88,18.48
18.68,18.55,18.88,18.37
18.73,18.63,18.92,18.25
18.75,18.55,18.75,18.40
18.74,18.63,19.09,18.51
18.75,19.29,19.32,18.70
19.39,19.35,19.45,19.08
19.37,19.68,19.69,19.29
19.67,19.65,19.75,19.41
19.81,20.60,20.62,19.76
20.57,20.68,20.80,20.41
20.64,20.66,20.72,20.32
20.51,19.97,20.55,19.88
19.97,19.79,20.00,19.47
19.51,20.11,20.12,19.40
20.18,19.78,20.50,19.73
20.10,20.16,20.30,19.51
20.02,20.17,20.24,19.61
20.31,20.49,20.69,20.09
20.66,20.32,20.75,20.23
20.19,19.99,20.43,19.90
20.10,19.72,20.10,19.56
19.51,19.90,20.06,19.51
20.19,20.21,20.43,19.76
20.07,19.64,20.12,19.57
19.72,19.61,19.78,19.40
19.46,19.32,19.60,19.29
19.11,19.53,19.58,18.65
19.71,20.16,20.21,19.53
19.92,19.49,20.01,19.47
19.08,18.36,19.29,18.31
18.27,18.49,18.61,18.25
18.49,18.33,18.65,18.30
18.26,18.36,18.51,18.22
18.45,18.83,18.93,18.33
18.76,18.79,19.21,18.62
18.70,18.57,18.78,18.33
18.48,18.71,18.80,18.41
18.79,18.59,18.90,18.59
18.38,18.40,18.50,18.20
18.31,18.38,18.53,18.20
18.43,18.06,18.48,18.02
18.21,18.60,18.63,17.92
18.47,18.21,18.75,18.20
18.14,17.98,18.44,17.88
18.33,18.58,18.70,18.06
18.64,19.16,19.20,18.58
19.30,19.33,19.48,19.12
19.20,18.82,19.38,18.77
18.82,18.70,19.06,18.62
18.79,18.70,18.97,18.49
18.70,18.49,18.77,18.30
18.54,19.00,19.05,18.42
18.97,19.10,19.28,18.77
19.07,18.88,19.29,18.82
18.85,18.63,18.92,18.54
18.83,18.47,18.99,18.47
18.41,19.03,19.05,18.13
19.01,18.93,19.41,18.92
18.82,18.66,19.15,18.53
18.58,18.22,18.80,18.17
18.54,19.57,19.57,18.54
19.56,19.64,19.74,19.34
19.75,19.92,19.96,19.49
19.80,19.91,20.10,19.80
20.05,20.04,20.22,19.68
20.16,19.84,20.18,19.78
19.85,19.27,19.85,19.25
19.52,20.12,20.15,19.23
20.10,20.72,20.76,20.05
20.82,20.61,20.90,20.61
20.60,21.01,21.04,20.50
21.14,21.10,21.33,20.90
21.11,20.78,21.11,20.60
20.98,21.33,21.50,20.82
21.41,21.40,21.47,21.21
21.55,21.20,21.69,21.14
21.25,21.40,21.41,21.04
21.12,21.31,21.70,21.10
21.46,21.78,21.95,21.34
21.83,21.56,21.92,21.24
21.59,21.61,21.91,21.39
21.74,21.17,21.95,21.09
21.00,21.31,21.37,20.85
21.12,21.23,21.37,20.88
21.44,21.16,21.54,21.01
21.13,21.48,21.56,21.12
21.58,21.17,21.83,20.92
21.33,21.37,21.72,21.09
21.37,22.15,22.33,21.31
22.39,22.38,22.73,22.22
22.90,24.47,24.54,22.88
24.61,25.02,25.28,24.12
25.03,24.96,25.23,24.85
24.91,25.31,25.65,24.53
25.04,25.51,25.55,24.69
25.23,25.19,25.58,25.18
25.25,25.19,25.33,24.90
24.94,25.02,25.05,24.38
25.00,24.50,25.00,24.26
24.71,24.57,25.04,24.43
24.63,24.62,24.70,24.37
24.60,24.72,24.82,24.17
24.43,24.61,24.69,24.28
24.76,24.95,24.95,24.64
24.87,25.90,26.14,24.72
25.72,25.41,25.93,25.16
25.21,25.16,25.48,25.04
25.65,26.26,26.42,25.61
26.37,27.27,27.67,26.10
27.27,26.61,27.30,26.31
26.60,26.75,27.07,26.55
27.06,26.80,27.06,26.65
26.85,27.53,27.87,26.80
27.79,27.39,27.79,27.15
27.37,27.76,27.96,27.29
27.95,27.76,28.27,27.73
27.88,27.59,28.07,27.55
27.59,27.46,27.89,27.33
27.43,27.28,27.93,27.10
27.27,27.93,27.97,26.90
28.00,27.31,28.09,27.26
27.50,28.28,28.29,27.35
28.35,28.01,28.75,28.00
28.06,28.09,28.43,28.00
28.21,27.54,28.21,27.16
27.61,27.48,27.65,27.40
27.50,27.56,27.65,27.49
27.64,27.44,27.65,27.35
27.41,27.13,27.51,27.13
27.54,27.91,28.07,27.41
28.36,27.49,28.36,26.97
27.32,27.96,28.08,27.24
28.13,28.07,28.15,27.73
28.04,27.84,28.27,27.54
27.90,27.68,27.90,27.37
27.89,28.07,28.23,27.74
28.22,27.85,28.22,27.77
27.84,28.56,28.63,27.81
28.63,29.63,29.94,28.56
29.93,29.39,29.93,29.11
29.42,28.43,29.62,28.02
28.03,28.52,28.65,27.35
29.07,28.01,29.60,27.86
28.14,26.84,28.28,26.82
26.74,26.56,26.74,25.56
26.70,28.04,28.04,26.59
27.85,28.36,28.55,27.51
28.49,27.22,28.56,27.22
27.37,26.90,27.46,26.90
26.98,27.73,27.86,26.98
27.56,27.99,28.05,27.56
27.92,27.48,27.98,27.17
27.42,27.29,27.46,27.11
27.28,27.59,27.96,27.17
27.66,28.08,28.08,27.40
27.87,27.47,27.88,27.40
27.36,27.51,27.70,27.36
27.34,27.97,28.00,27.34
28.26,28.13,28.48,27.80
27.89,27.46,28.00,27.46
27.59,27.86,27.88,27.43
27.69,28.13,28.21,27.61
28.35,27.94,28.45,27.94
27.63,27.85,28.11,27.52
27.97,27.39,28.04,27.23
27.31,28.14,28.24,27.20
28.18,28.55,28.72,28.18
28.67,28.68,29.02,28.49
28.65,28.37,28.79,28.31
28.26,28.83,28.99,28.11
28.99,29.39,29.68,28.80
29.50,28.96,29.68,28.58
29.13,28.43,29.19,28.09
28.60,29.09,29.33,28.37
28.95,28.47,29.19,28.31
28.06,27.65,28.30,27.43
27.31,27.59,27.79,27.16
27.30,27.46,27.76,26.90
26.54,27.37,27.71,26.16
27.27,26.91,27.45,26.91
27.28,27.00,27.42,26.99
27.23,27.58,27.59,27.06
27.88,29.08,29.10,27.87
29.20,28.91,29.54,28.91
29.00,30.19,30.61,28.97
30.78,30.66,31.76,30.46
31.06,31.18,31.80,30.94
31.44,31.32,31.62,31.03
31.20,31.10,31.65,30.93
31.45,31.50,31.74,31.39
31.49,31.39,31.60,31.22
31.57,31.09,31.75,30.84
31.37,31.97,32.13,31.19
31.96,32.61,32.87,31.86
32.87,32.03,33.08,32.02
32.09,32.01,32.50,32.00
32.30,29.34,32.33,29.25
29.14,28.94,29.25,28.50
28.62,28.98,29.30,28.52
29.05,28.36,29.12,28.03
28.07,28.47,28.52,28.06
28.32,28.91,29.00,28.11
28.36,28.30,28.71,28.13
28.29,28.99,29.01,27.78
29.41,29.30,29.48,28.80
29.45,30.00,30.01,29.15
31.49,30.44,31.89,30.20
30.67,30.26,30.78,30.08
30.37,30.51,30.64,30.05
30.48,30.94,31.00,30.34
31.10,31.49,31.88,31.10
31.87,31.07,31.88,31.02
31.02,30.67,31.11,30.42
30.66,29.82,30.70,29.54
29.50,29.66,30.26,29.02
30.06,29.62,30.26,29.56
29.53,30.43,30.60,29.22
30.67,31.05,31.06,30.47
30.87,30.35,31.06,30.20
30.19,31.09,31.17,30.00
31.06,30.13,31.18,30.12
30.02,29.87,30.65,29.86
29.55,29.81,30.10,29.47
29.86,30.38,30.43,29.74
30.69,31.06,31.22,30.41
30.81,30.96,31.32,30.81
30.45,30.26,30.62,29.91
30.38,29.93,30.53,29.80
30.00,30.59,30.79,29.78
30.57,31.06,31.10,30.21
31.12,31.21,31.31,30.95
31.63,32.79,32.81,31.58
33.24,31.73,33.31,31.70
31.46,31.81,32.08,31.04
