FALC,FalconStor Software,NASDAQ
4.12,4.34,4.35,4.10
4.31,4.24,4.33,4.15
4.23,4.44,4.46,4.12
4.44,4.48,4.50,4.26
4.48,4.63,4.65,4.30
4.65,4.65,4.73,4.52
4.60,4.47,4.61,4.40
4.46,4.56,4.58,4.29
4.55,4.49,4.57,4.44
3.94,3.69,3.94,3.57
3.71,3.60,3.74,3.47
3.60,3.49,3.64,3.48
3.49,3.37,3.55,3.33
3.37,3.30,3.45,3.28
3.34,3.34,3.41,3.27
3.35,3.23,3.35,3.23
3.33,3.41,3.46,3.30
3.43,3.43,3.50,3.37
3.45,3.46,3.48,3.42
3.44,3.45,3.51,3.41
3.45,3.39,3.46,3.38
3.39,3.39,3.47,3.36
3.38,3.07,3.44,3.02
3.14,3.06,3.22,2.98
3.07,3.09,3.13,3.06
3.17,3.26,3.35,3.17
3.25,3.27,3.33,3.25
3.27,3.30,3.33,3.26
3.28,3.43,3.46,3.23
3.47,3.49,3.49,3.37
3.49,3.46,3.49,3.42
3.45,3.60,3.60,3.38
3.60,3.48,3.60,3.40
3.48,3.40,3.50,3.40
3.40,3.36,3.42,3.35
3.39,3.55,3.57,3.39
3.55,3.60,3.60,3.50
3.60,3.55,3.63,3.52
3.64,3.76,3.80,3.60
3.81,3.82,3.85,3.78
3.84,3.82,3.89,3.81
3.85,3.88,3.93,3.82
3.89,3.90,3.93,3.87
3.92,3.93,4.01,3.91
3.93,4.02,4.03,3.87
4.01,3.99,4.05,3.94
3.90,3.93,3.98,3.89
3.94,3.80,3.94,3.74
3.80,3.73,3.83,3.69
3.76,3.88,3.88,3.73
3.90,3.87,3.94,3.85
3.83,3.70,3.88,3.70
3.73,3.68,3.74,3.61
3.64,3.79,3.81,3.64
3.78,3.75,3.79,3.73
3.70,3.64,3.75,3.63
3.65,3.56,3.67,3.55
3.56,3.57,3.61,3.50
3.57,3.61,3.63,3.54
3.63,3.54,3.63,3.52
3.50,3.48,3.57,3.48
3.49,3.44,3.56,3.42
3.45,3.46,3.49,3.42
3.43,3.42,3.45,3.38
3.42,3.42,3.47,3.35
3.40,3.35,3.47,3.32
3.35,3.40,3.40,3.28
3.38,3.44,3.45,3.36
3.46,3.43,3.53,3.40
3.44,3.50,3.55,3.41
3.49,3.45,3.50,3.40
3.45,3.41,3.46,3.37
3.40,3.26,3.41,3.20
3.00,3.12,3.17,2.87
3.04,3.14,3.19,3.03
3.11,3.06,3.12,2.99
3.06,3.06,3.10,3.03
3.06,3.13,3.16,3.04
3.13,3.13,3.28,3.10
3.17,3.02,3.17,2.99
3.06,3.13,3.13,2.97
3.12,2.99,3.13,2.98
3.01,3.11,3.13,3.01
3.06,3.01,3.07,2.98
3.00,3.03,3.07,3.00
3.03,2.92,3.06,2.90
2.94,2.85,3.06,2.85
3.02,2.86,3.05,2.82
2.84,2.91,2.92,2.84
2.91,3.11,3.11,2.90
3.09,3.10,3.14,3.02
3.06,3.03,3.06,2.99
3.06,3.00,3.09,2.98
3.05,3.00,3.10,2.99
2.99,2.93,3.02,2.91
2.87,2.73,3.00,2.71
2.70,2.79,2.86,2.66
2.80,2.83,3.01,2.80
2.77,2.79,2.93,2.77
2.81,2.80,2.86,2.76
2.85,2.87,2.94,2.81
2.87,2.81,2.89,2.80
2.80,2.75,2.89,2.75
2.75,2.91,2.91,2.75
2.91,2.92,2.95,2.85
2.84,2.73,2.96,2.72
2.74,2.72,2.83,2.71
2.72,2.85,2.86,2.72
2.87,2.85,2.94,2.83
2.91,3.00,3.01,2.84
2.97,2.99,3.00,2.95
3.04,2.95,3.04,2.93
2.96,2.97,2.99,2.92
2.93,2.89,2.99,2.89
2.91,2.96,2.99,2.91
2.99,2.90,2.99,2.90
2.94,2.90,2.95,2.90
2.92,2.86,2.95,2.86
2.86,2.86,2.90,2.82
2.83,2.79,2.85,2.79
2.81,2.66,2.86,2.64
2.72,2.71,2.79,2.68
2.68,2.58,2.69,2.56
2.59,2.64,2.73,2.59
2.65,2.64,2.67,2.57
2.67,2.62,2.67,2.58
2.67,2.68,2.69,2.61
2.67,2.66,2.68,2.61
2.69,2.74,2.75,2.66
2.73,2.84,2.85,2.73
2.84,2.82,2.95,2.81
2.87,3.02,3.02,2.84
3.03,3.08,3.13,3.00
3.07,3.12,3.17,3.06
3.09,2.97,3.09,2.97
2.97,3.04,3.04,2.95
2.99,3.03,3.05,2.92
3.06,2.97,3.08,2.97
3.02,3.03,3.05,2.97
3.03,3.15,3.15,3.03
3.12,3.12,3.14,3.02
3.15,3.18,3.23,3.10
3.18,3.22,3.23,3.06
3.24,3.19,3.27,3.06
3.12,3.07,3.15,2.99
3.10,3.08,3.10,3.04
3.04,3.10,3.13,3.04
3.11,3.14,3.17,3.11
3.11,3.10,3.12,3.09
3.07,3.08,3.10,3.03
3.10,3.06,3.10,3.03
3.05,3.02,3.07,2.99
2.96,2.85,2.98,2.85
2.79,2.88,2.91,2.79
2.88,2.78,3.03,2.72
2.75,2.88,2.93,2.75
2.92,3.04,3.07,2.88
3.03,3.01,3.07,3.00
3.00,2.92,3.10,2.92
2.90,2.93,2.99,2.88
2.95,3.30,3.31,2.94
3.29,3.23,3.36,3.18
3.21,3.29,3.32,3.04
3.32,3.04,3.38,3.03
3.09,3.34,3.37,3.09
3.31,3.22,3.35,3.22
3.22,3.14,3.22,3.09
3.20,3.35,3.38,3.20
3.36,3.55,3.55,3.29
3.62,3.78,3.80,3.56
3.77,3.52,3.77,3.48
3.64,3.55,3.64,3.43
3.59,3.56,3.59,3.42
3.56,3.57,3.62,3.50
3.60,3.65,3.67,3.52
3.65,3.59,3.67,3.53
3.58,3.47,3.59,3.40
3.45,3.57,3.60,3.41
3.60,3.65,3.68,3.49
3.65,3.97,3.99,3.60
3.95,3.98,4.10,3.80
3.95,3.81,4.03,3.75
3.77,3.90,3.91,3.77
3.94,3.87,3.97,3.80
3.88,3.88,3.90,3.84
3.89,4.06,4.07,3.79
4.00,3.15,4.00,2.60
3.14,3.06,3.21,2.94
3.09,3.00,3.09,2.96
2.98,2.86,2.98,2.75
2.90,2.87,2.96,2.80
2.87,2.83,2.93,2.81
2.86,2.75,2.86,2.72
2.76,2.93,2.96,2.73
2.93,2.98,2.98,2.84
2.96,3.14,3.16,2.93
3.15,3.14,3.19,3.07
3.13,3.10,3.14,3.09
3.12,3.14,3.19,3.10
3.14,3.18,3.19,3.11
3.09,3.03,3.15,3.00
3.06,3.06,3.10,2.98
3.08,3.04,3.08,2.96
3.05,3.04,3.09,3.00
3.07,3.03,3.13,3.01
3.02,3.00,3.03,2.94
2.97,2.90,3.00,2.89
2.90,2.82,2.93,2.80
2.80,2.74,2.83,2.74
2.71,2.51,2.74,2.51
2.52,2.61,2.69,2.49
2.62,2.61,2.65,2.58
2.65,2.59,2.65,2.55
2.58,2.53,2.59,2.52
2.53,2.39,2.58,2.33
2.66,2.74,2.84,2.55
2.76,2.89,2.90,2.76
2.87,2.95,2.97,2.75
2.93,2.87,2.94,2.82
2.91,2.89,3.01,2.88
2.85,2.85,3.02,2.83
2.90,2.88,2.96,2.86
2.91,2.87,2.94,2.85
2.88,2.85,2.88,2.83
2.85,2.84,2.88,2.83
2.83,2.80,2.87,2.80
2.82,2.87,2.88,2.80
2.84,2.83,2.87,2.80
2.80,2.78,2.91,2.78
2.75,2.66,2.79,2.64
2.71,2.70,2.79,2.68
2.69,2.76,2.76,2.67
2.73,2.74,2.75,2.72
2.72,2.72,2.76,2.70
2.74,2.77,2.88,2.72
2.79,2.82,2.84,2.76
2.85,2.90,2.92,2.80
2.91,2.98,2.99,2.91
2.98,3.00,3.01,2.97
3.02,3.02,3.03,3.00
3.00,3.17,3.18,3.00
3.17,3.37,3.37,3.11
3.38,3.30,3.38,3.23
3.32,3.31,3.34,3.24
3.34,3.33,3.34,3.24
3.32,3.31,3.32,3.26
3.32,3.27,3.32,3.25
3.25,3.30,3.30,3.25
3.29,3.32,3.33,3.27
3.32,3.29,3.36,3.27
3.28,3.30,3.36,3.27
3.29,3.35,3.43,3.28
3.36,3.46,3.49,3.33
3.46,3.37,3.52,3.32
3.35,3.36,3.38,3.31
3.35,3.36,3.39,3.33
3.38,3.36,3.39,3.31
3.33,3.36,3.36,3.33
3.36,3.22,3.36,3.16
3.26,3.41,3.46,3.26
3.42,3.41,3.45,3.32
3.45,3.53,3.60,3.42
3.49,3.49,3.59,3.40
3.49,3.59,3.65,3.48
3.56,3.70,3.72,3.50
3.72,3.88,3.91,3.69
3.89,3.89,3.96,3.78
3.86,3.78,3.89,3.70
3.76,3.85,3.86,3.76
3.87,3.75,3.87,3.74
3.73,3.65,3.77,3.60
3.68,3.63,3.68,3.56
3.65,3.69,3.75,3.59
3.66,3.75,3.80,3.66
3.75,3.69,3.75,3.64
3.69,3.68,3.70,3.64
3.67,3.75,3.83,3.67
3.73,3.64,3.83,3.60
3.65,3.62,3.65,3.54
3.59,3.71,3.75,3.59
4.19,4.78,4.95,4.19
4.87,4.83,4.95,4.79
4.80,4.81,4.83,4.66
4.82,4.71,4.85,4.62
4.71,4.91,5.18,4.66
4.96,4.84,5.06,4.80
4.84,4.59,4.85,4.50
4.62,4.42,4.62,4.30
4.41,4.53,4.57,4.39
4.52,4.62,4.63,4.52
4.70,4.87,4.88,4.66
4.87,4.65,4.88,4.61
4.69,4.55,4.70,4.51
4.63,4.78,4.80,4.63
4.77,4.76,4.79,4.69
4.77,4.55,4.77,4.37
4.55,4.72,4.72,4.46
4.70,4.64,4.81,4.55
4.57,4.46,4.63,4.42
4.40,4.32,4.58,4.25
4.30,4.30,4.37,4.22
4.13,4.10,4.20,4.06
4.13,4.11,4.32,3.57
4.19,4.13,4.19,4.05
4.20,4.17,4.27,4.00
4.23,4.30,4.30,4.22
4.30,4.38,4.44,4.30
4.35,4.41,4.42,4.29
4.45,4.41,4.46,4.37
4.46,4.42,4.52,4.35
4.43,4.51,4.55,4.39
4.49,4.60,4.70,4.49
4.63,4.70,4.70,4.54
4.57,4.55,4.66,4.54
4.56,4.50,4.59,4.48
4.54,4.47,4.69,4.46
4.48,4.35,4.48,4.24
4.39,4.55,4.60,4.22
4.54,4.47,4.55,4.45
4.52,4.24,4.52,4.21
4.22,4.23,4.32,4.20
4.18,4.06,4.21,4.05
4.08,4.15,4.19,4.07
4.09,4.06,4.10,4.02
4.06,4.16,4.16,4.02
4.09,4.00,4.09,3.90
4.04,3.99,4.22,3.98
4.08,4.05,4.09,3.98
4.07,4.11,4.18,4.02
4.09,4.08,4.10,3.99
4.08,4.20,4.36,4.03
4.19,4.20,4.20,4.12
4.20,4.47,4.56,4.12
4.12,4.26,4.30,4.10
4.27,4.20,4.30,4.19
4.19,4.17,4.21,4.10
4.16,4.17,4.25,4.15
4.15,4.10,4.21,4.10
4.20,4.11,4.20,4.08
4.10,4.12,4.14,4.10
