FBC,Flagstar Bancorp,NASDAQ
0.61,0.63,0.64,0.60
0.63,0.67,0.68,0.62
0.68,0.68,0.69,0.64
0.66,0.67,0.68,0.66
0.69,0.70,0.76,0.66
0.75,0.71,0.75,0.70
0.71,0.67,0.71,0.67
0.71,0.66,0.72,0.66
0.66,0.66,0.68,0.66
0.70,0.68,0.70,0.66
0.67,0.66,0.68,0.65
0.66,0.64,0.66,0.64
0.64,0.64,0.68,0.61
0.64,0.63,0.65,0.62
0.64,0.64,0.65,0.61
0.65,0.65,0.67,0.63
0.65,0.62,0.66,0.61
0.67,0.61,0.68,0.58
0.64,0.63,0.66,0.62
0.68,0.67,0.68,0.64
0.67,0.64,0.70,0.63
0.65,0.63,0.66,0.63
0.63,0.61,0.65,0.60
0.64,0.61,0.64,0.61
0.61,0.61,0.66,0.60
0.62,0.60,0.62,0.59
0.60,0.63,0.63,0.60
0.63,0.66,0.66,0.62
0.65,0.62,0.68,0.62
0.64,0.59,0.65,0.59
0.61,0.62,0.64,0.60
0.62,0.62,0.63,0.61
0.63,0.61,0.64,0.61
0.64,0.64,0.64,0.61
0.64,0.65,0.66,0.64
0.68,0.67,0.68,0.64
0.63,0.66,0.67,0.63
0.67,0.65,0.68,0.65
0.65,0.69,0.70,0.65
0.69,0.74,0.75,0.68
0.75,0.71,0.75,0.68
0.71,0.72,0.72,0.68
0.72,0.73,0.75,0.71
0.73,0.73,0.74,0.72
0.72,0.77,0.78,0.71
0.78,0.79,0.82,0.75
0.79,0.82,0.82,0.78
0.81,0.78,0.86,0.78
0.72,0.79,0.80,0.71
0.78,0.79,0.81,0.77
0.79,0.82,0.86,0.78
0.83,0.84,0.85,0.80
0.92,0.92,0.93,0.76
0.91,0.98,1.01,0.86
0.97,0.88,0.98,0.88
0.88,0.85,0.90,0.80
0.85,0.72,0.87,0.71
0.54,0.57,0.58,0.53
0.59,0.60,0.61,0.56
0.61,0.58,0.63,0.57
0.58,0.60,0.61,0.57
0.60,0.58,0.61,0.58
0.60,0.62,0.62,0.59
0.62,0.67,0.68,0.61
0.67,0.63,0.68,0.63
0.64,0.64,0.66,0.62
0.65,0.67,0.67,0.64
0.68,0.68,0.69,0.67
0.68,0.68,0.69,0.67
0.69,0.66,0.69,0.66
0.67,0.67,0.68,0.66
0.69,0.69,0.74,0.66
0.71,0.66,0.71,0.66
0.68,0.69,0.69,0.66
0.70,0.69,0.70,0.67
0.69,0.69,0.71,0.67
0.69,0.74,0.76,0.69
0.82,0.84,0.90,0.78
0.84,0.77,0.84,0.39
0.74,0.68,0.77,0.64
0.67,0.66,0.68,0.61
0.65,0.64,0.66,0.62
0.64,0.61,0.65,0.61
0.61,0.60,0.61,0.57
0.59,0.55,0.59,0.53
0.56,0.54,0.59,0.51
0.54,0.54,0.58,0.52
0.58,0.56,0.59,0.55
0.57,0.60,0.62,0.55
0.59,0.62,0.64,0.59
0.63,0.62,0.64,0.61
0.59,0.59,0.61,0.54
0.57,0.56,0.59,0.52
0.58,0.52,0.58,0.52
0.52,0.48,0.54,0.47
0.47,0.43,0.47,0.41
0.42,0.44,0.48,0.41
0.46,0.42,0.47,0.42
0.41,0.47,0.48,0.39
0.49,0.50,0.51,0.47
0.51,0.47,0.52,0.45
4.61,5.08,5.29,4.41
4.94,4.61,5.05,4.57
4.59,4.39,4.68,4.15
4.35,4.56,4.64,4.21
4.50,4.28,4.50,4.25
4.22,4.00,4.38,3.98
4.02,3.74,4.08,3.46
3.81,3.51,3.95,3.18
3.55,3.79,3.79,3.52
3.47,3.73,3.75,3.47
3.80,3.93,4.05,3.78
3.99,4.36,4.43,3.95
4.16,4.10,4.34,4.05
4.14,3.84,4.16,3.80
3.84,4.24,4.32,3.79
4.35,4.34,4.43,4.21
4.34,4.01,4.40,3.92
3.93,3.78,4.10,3.74
3.78,3.87,3.94,3.69
3.83,4.10,4.25,3.76
4.14,3.86,4.22,3.83
3.72,3.44,3.85,3.19
3.47,3.14,3.66,3.00
3.14,3.10,3.32,2.98
3.09,3.06,3.14,2.98
3.21,2.39,3.21,2.37
2.46,2.93,2.98,2.40
2.93,3.19,3.38,2.90
3.19,3.27,3.31,3.06
3.28,3.14,3.44,3.14
3.41,3.52,3.58,3.24
3.52,3.45,3.53,3.40
3.49,3.49,3.58,3.41
3.53,3.07,3.53,2.99
3.12,3.11,3.23,3.01
3.01,3.16,3.18,2.92
3.19,3.06,3.30,3.06
3.10,3.13,3.20,3.05
3.11,3.31,3.52,3.07
3.33,3.35,3.49,3.26
3.39,3.43,3.48,3.25
2.99,3.08,3.15,2.86
3.32,3.17,3.34,3.10
3.20,3.21,3.22,3.10
3.32,3.34,3.35,3.24
3.33,3.28,3.34,3.19
3.31,3.21,3.34,3.19
3.13,3.11,3.22,3.09
3.06,3.08,3.15,3.03
3.05,3.05,3.09,3.01
3.01,3.02,3.04,2.98
2.97,2.89,2.99,2.85
2.78,2.86,2.90,2.78
2.86,2.74,2.89,2.73
2.72,2.72,2.88,2.70
2.74,2.89,2.97,2.74
2.86,2.92,2.92,2.84
2.90,2.65,2.90,2.64
2.64,2.62,2.72,2.61
2.64,2.44,2.72,2.33
2.39,2.28,2.45,2.25
2.28,2.41,2.43,2.28
2.43,2.38,2.49,2.34
2.40,2.43,2.43,2.35
2.43,2.28,2.44,2.28
2.24,2.28,2.33,2.23
2.32,2.45,2.45,2.28
2.44,2.47,2.47,2.38
2.54,2.64,2.65,2.49
2.62,2.45,2.63,2.44
2.47,2.55,2.56,2.47
2.61,2.60,2.64,2.54
2.62,2.58,2.67,2.54
2.61,2.67,2.70,2.59
2.65,2.12,2.65,2.04
1.86,1.90,2.21,1.73
1.90,1.94,1.99,1.87
1.96,1.92,1.99,1.89
1.93,1.96,1.97,1.90
1.96,1.95,2.02,1.95
1.95,1.90,1.98,1.90
1.88,1.81,1.90,1.80
1.84,1.82,1.86,1.80
1.81,1.82,1.86,1.81
1.83,1.83,1.84,1.80
1.82,1.82,1.83,1.80
1.83,1.82,1.89,1.81
1.85,1.90,1.90,1.83
1.90,1.95,1.98,1.88
1.96,2.33,2.38,1.96
2.33,2.57,2.75,2.33
2.56,2.53,2.69,2.46
2.54,2.50,2.58,2.44
2.50,2.42,2.55,2.38
2.38,2.47,2.49,2.35
2.49,2.64,2.67,2.49
2.63,2.58,2.65,2.53
2.62,2.57,2.64,2.55
2.57,2.52,2.60,2.41
2.48,2.43,2.55,2.40
2.46,2.48,2.50,2.44
2.50,2.43,2.52,2.37
2.45,2.45,2.52,2.39
2.49,2.42,2.50,2.40
2.39,2.36,2.42,2.35
2.35,2.32,2.36,2.26
1.55,1.25,1.59,1.21
1.28,1.27,1.31,1.24
1.29,1.22,1.30,1.20
1.25,1.16,1.25,1.13
1.19,1.20,1.21,1.16
1.25,1.30,1.33,1.24
1.32,1.27,1.33,1.22
1.30,1.31,1.37,1.27
1.32,1.28,1.35,1.28
1.30,1.32,1.32,1.28
1.31,1.30,1.33,1.28
1.30,1.32,1.40,1.30
1.33,1.28,1.37,1.28
1.28,1.25,1.30,1.25
1.25,1.27,1.32,1.22
1.30,1.27,1.31,1.26
1.27,1.26,1.29,1.25
1.26,1.26,1.30,1.23
1.24,1.23,1.26,1.23
1.25,1.23,1.26,1.21
1.21,1.24,1.25,1.21
1.23,1.23,1.25,1.21
1.22,1.24,1.24,1.22
1.26,1.23,1.27,1.23
1.24,1.25,1.30,1.23
1.25,1.33,1.36,1.25
1.34,1.36,1.43,1.33
1.39,1.39,1.42,1.37
1.39,1.36,1.41,1.35
1.38,1.38,1.40,1.36
1.39,1.41,1.44,1.37
1.41,1.44,1.45,1.38
1.46,1.47,1.51,1.45
1.47,1.61,1.84,1.47
1.62,1.58,1.65,1.56
1.61,1.55,1.64,1.54
1.59,1.52,1.59,1.50
1.63,1.55,1.68,1.54
1.61,1.57,1.63,1.55
1.60,1.54,1.61,1.53
1.60,1.58,1.62,1.54
1.59,1.55,1.64,1.55
1.56,1.56,1.60,1.55
1.58,1.61,1.62,1.57
1.62,1.63,1.65,1.60
1.67,1.67,1.70,1.64
1.70,1.70,1.70,1.64
1.69,1.79,1.79,1.69
1.86,1.76,1.89,1.75
1.77,1.73,1.80,1.66
1.73,1.66,1.74,1.65
1.67,1.66,1.70,1.56
1.69,1.71,1.71,1.62
1.73,1.68,1.73,1.63
1.67,1.67,1.70,1.64
1.65,1.72,1.72,1.64
1.70,1.65,1.70,1.63
1.65,1.61,1.65,1.60
1.60,1.57,1.65,1.56
1.58,1.63,1.63,1.30
1.67,1.65,1.67,1.59
1.55,1.63,1.64,1.50
1.58,1.65,1.65,1.58
1.63,1.58,1.65,1.58
1.60,1.58,1.61,1.57
1.64,1.62,1.64,1.59
1.64,1.65,1.66,1.62
1.63,1.66,1.74,1.57
1.68,1.65,1.68,1.62
1.66,1.67,1.67,1.63
1.77,1.66,1.77,1.64
1.70,1.73,1.75,1.67
1.74,1.72,1.75,1.70
1.70,1.69,1.73,1.65
1.70,1.71,1.72,1.67
1.75,1.68,1.75,1.68
1.72,1.73,1.75,1.69
1.75,1.82,1.90,1.73
1.88,1.82,1.88,1.79
1.82,1.73,1.82,1.68
1.75,1.68,1.77,1.68
1.74,1.72,1.75,1.67
1.72,1.73,1.76,1.67
1.75,1.75,1.80,1.70
1.75,1.74,1.78,1.73
1.76,1.76,1.78,1.73
1.75,1.80,1.81,1.75
1.85,1.79,1.85,1.78
1.82,1.75,1.83,1.73
1.78,1.75,1.80,1.73
1.79,1.77,1.79,1.74
1.78,1.66,1.78,1.51
1.63,1.69,1.69,1.63
1.66,1.62,1.70,1.61
1.68,1.60,1.68,1.52
1.62,1.54,1.62,1.53
1.57,1.50,1.62,1.50
1.52,1.50,1.57,1.50
1.55,1.45,1.56,1.43
1.46,1.47,1.50,1.43
1.49,1.47,1.50,1.45
1.45,1.47,1.49,1.45
1.47,1.48,1.50,1.46
1.46,1.48,1.50,1.46
1.49,1.50,1.50,1.46
1.51,1.56,1.60,1.49
1.56,1.50,1.58,1.47
1.52,1.50,1.53,1.48
1.52,1.48,1.52,1.45
1.48,1.45,1.49,1.42
1.45,1.44,1.48,1.42
1.44,1.46,1.50,1.43
1.47,1.45,1.50,1.44
1.45,1.43,1.48,1.43
1.45,1.41,1.45,1.16
1.41,1.34,1.43,1.30
1.31,1.32,1.35,1.30
1.35,1.33,1.35,1.30
1.32,1.27,1.35,1.27
1.29,1.27,1.32,1.27
1.32,1.27,1.32,1.26
1.31,1.29,1.31,1.26
1.28,1.39,1.39,1.25
1.41,1.38,1.47,1.38
1.35,1.32,1.44,1.28
1.35,1.50,1.50,1.35
1.50,1.56,1.57,1.45
1.53,1.48,1.56,1.47
1.50,1.46,1.51,1.41
1.47,1.41,1.47,1.41
1.43,1.42,1.44,1.39
1.45,1.46,1.51,1.42
1.46,1.42,1.47,1.41
1.39,1.45,1.50,1.39
1.45,1.44,1.47,1.42
1.43,1.44,1.46,1.41
1.44,1.44,1.47,1.43
1.42,1.37,1.44,1.37
1.36,1.36,1.41,1.34
1.41,1.38,1.41,1.36
1.39,1.36,1.41,1.33
1.36,1.34,1.39,1.33
1.31,1.35,1.36,1.31
1.37,1.35,1.37,1.35
1.37,1.40,1.42,1.36
1.40,1.41,1.43,1.39
1.42,1.41,1.42,1.39
1.44,1.42,1.44,1.38
1.44,1.39,1.44,1.39
1.41,1.36,1.41,1.36
1.34,1.33,1.36,1.30
1.33,1.23,1.35,1.23
1.24,1.20,1.27,1.20
1.18,1.14,1.25,0.88
1.13,1.17,1.18,1.13
1.17,1.20,1.23,1.15
1.24,1.25,1.27,1.19
1.27,1.28,1.29,1.26
1.27,1.30,1.30,1.24
1.29,1.34,1.38,1.28
1.36,1.28,1.38,1.28
1.30,1.31,1.35,1.26
1.35,1.35,1.38,1.33
1.35,1.32,1.37,1.32
1.32,1.31,1.32,1.25
1.32,1.29,1.34,1.21
1.28,1.23,1.29,1.21
1.23,1.28,1.29,1.22
1.28,1.25,1.28,1.25
1.25,1.19,1.27,1.18
1.20,1.22,1.25,1.20
1.23,1.20,1.24,1.19
1.20,1.22,1.23,1.20
1.25,1.25,1.25,1.21
1.24,1.25,1.28,1.23
1.26,1.24,1.27,1.22
1.21,1.22,1.27,1.21
1.23,1.23,1.25,1.22
1.24,1.20,1.25,1.19
1.20,1.21,1.24,1.20
1.17,1.16,1.22,1.13
1.11,1.16,1.20,1.11
1.17,1.16,1.19,1.16
1.17,1.23,1.23,1.16
1.23,1.25,1.27,1.21
1.23,1.20,1.26,1.20
1.21,1.19,1.25,1.19
1.20,0.98,1.20,0.98
0.96,0.73,0.98,0.71
0.68,0.73,0.75,0.62
0.75,0.77,0.78,0.71
0.77,0.74,0.80,0.74
0.74,0.74,0.78,0.72
0.72,0.65,0.74,0.65
0.65,0.63,0.67,0.58
0.56,0.50,0.63,0.45
0.53,0.62,0.62,0.50
0.58,0.55,0.61,0.55
0.55,0.62,0.62,0.52
0.64,0.60,0.65,0.59
0.63,0.65,0.68,0.60
0.64,0.63,0.65,0.61
0.64,0.69,0.72,0.64
0.67,0.63,0.67,0.62
0.65,0.61,0.66,0.61
0.64,0.61,0.65,0.60
0.60,0.62,0.64,0.60
0.60,0.60,0.63,0.57
0.59,0.62,0.64,0.57
0.62,0.64,0.64,0.58
0.65,0.66,0.66,0.60
0.62,0.65,0.69,0.62
0.65,0.61,0.67,0.61
0.62,0.61,0.63,0.60
0.60,0.59,0.62,0.58
0.58,0.56,0.60,0.54
0.57,0.60,0.61,0.57
0.59,0.58,0.63,0.57
0.57,0.56,0.59,0.54
