FBP,First BanCorp. New Common Stock,NASDAQ
2.35,2.30,2.35,2.24
2.31,2.12,2.31,2.08
2.15,2.14,2.16,2.05
2.13,2.25,2.27,2.13
2.20,2.26,2.34,2.20
2.30,2.26,2.32,2.20
2.24,2.15,2.24,2.15
2.17,2.36,2.40,2.08
2.39,2.48,2.51,2.29
2.50,2.35,2.50,2.26
2.31,2.35,2.39,2.25
2.34,2.33,2.36,2.26
2.33,2.84,2.90,2.31
2.73,2.43,2.80,2.40
2.44,2.41,2.53,2.33
2.38,2.31,2.68,2.28
2.32,2.34,2.39,2.28
2.40,2.54,2.56,2.30
2.52,2.28,2.60,2.28
2.32,2.37,2.43,2.31
2.25,2.05,2.25,2.02
2.08,2.05,2.08,2.01
2.02,1.89,2.03,1.89
1.90,1.98,2.01,1.89
1.97,1.92,1.99,1.91
1.95,2.04,2.21,1.94
2.03,2.08,2.21,2.00
2.12,2.27,2.28,2.06
2.23,2.34,2.41,2.21
2.37,2.21,2.37,2.16
2.21,2.11,2.22,2.06
2.10,2.01,2.10,2.01
2.01,2.12,2.12,2.00
2.09,2.18,2.20,2.09
2.17,2.20,2.20,2.09
2.17,2.13,2.20,2.11
2.10,2.16,2.18,2.08
2.16,2.12,2.20,2.10
2.13,2.15,2.18,2.11
2.14,2.04,2.15,2.00
2.04,2.12,2.14,2.04
2.12,2.12,2.14,2.05
2.13,2.08,2.16,2.04
2.07,2.09,2.10,2.04
2.14,2.09,2.14,2.03
2.08,2.20,2.29,2.07
2.23,2.18,2.23,2.14
2.20,2.19,2.22,2.17
2.19,2.23,2.24,2.17
2.20,2.29,2.36,2.20
2.30,2.17,2.34,2.14
2.17,2.12,2.24,2.11
2.22,2.22,2.23,2.04
2.19,2.27,2.27,2.15
2.26,2.27,2.29,2.20
2.22,2.23,2.30,2.22
2.27,2.17,2.30,2.17
2.18,2.13,2.19,2.12
2.15,2.17,2.17,2.06
2.20,2.23,2.29,2.13
2.21,2.41,2.49,2.19
2.45,2.37,2.55,2.27
2.37,2.71,2.71,2.32
2.70,3.00,3.11,2.70
3.00,3.69,3.69,2.90
3.72,3.14,3.84,2.93
3.19,2.69,3.23,2.66
2.82,2.60,2.92,2.60
2.76,2.97,3.06,2.60
3.01,2.96,3.08,2.82
3.00,2.83,3.00,2.78
2.87,2.76,2.87,2.72
2.80,2.72,2.83,2.69
2.74,2.80,2.85,2.72
2.86,3.10,3.15,2.82
3.18,3.22,3.26,2.94
3.23,3.23,3.30,3.13
3.28,2.90,3.28,2.83
2.65,2.49,2.66,2.45
2.53,2.26,2.57,2.25
2.36,2.18,2.45,2.17
2.24,2.12,2.46,2.08
2.19,2.06,2.24,2.03
2.08,1.94,2.08,1.87
1.92,1.89,2.10,1.88
1.90,1.77,2.01,1.70
1.75,1.64,1.84,1.64
1.74,1.70,1.90,1.66
1.75,1.72,1.78,1.65
1.75,1.75,1.78,1.69
1.78,1.75,1.82,1.71
1.84,1.77,1.84,1.66
1.73,1.75,1.79,1.60
1.78,1.66,1.78,1.60
1.73,1.56,1.73,1.52
1.48,1.41,1.53,1.40
1.37,1.41,1.45,1.32
1.44,1.36,1.51,1.33
1.31,1.34,1.35,1.17
1.35,1.38,1.42,1.32
1.48,1.44,1.50,1.31
1.42,1.33,1.50,1.30
1.30,1.35,1.37,1.30
1.31,1.36,1.38,1.31
1.37,1.41,1.45,1.36
1.34,1.26,1.45,1.22
1.22,1.20,1.26,1.18
1.22,1.14,1.27,1.14
1.13,1.01,1.13,1.00
1.00,1.06,1.08,0.88
1.07,1.04,1.16,1.00
1.13,1.06,1.15,1.04
1.09,1.06,1.12,1.00
1.07,1.03,1.07,1.01
