FCH,FelCor Lodging Trust Incorporated Common Stock,NASDAQ
3.70,3.63,3.73,3.60
3.61,3.49,3.64,3.49
3.52,3.51,3.66,3.49
3.50,3.76,3.79,3.49
3.79,3.81,3.92,3.70
3.86,4.00,4.05,3.81
3.94,4.12,4.13,3.88
4.14,4.21,4.24,4.06
4.19,4.10,4.22,4.08
4.09,3.92,4.15,3.89
3.95,4.05,4.12,3.92
4.00,3.97,4.05,3.93
3.98,3.96,4.05,3.89
3.97,3.92,4.05,3.90
3.97,3.94,4.01,3.79
3.90,3.70,3.91,3.69
3.65,3.69,3.73,3.50
3.69,3.53,3.74,3.50
3.56,3.78,3.78,3.54
3.80,3.83,3.90,3.73
3.82,3.95,4.00,3.76
3.92,3.80,3.92,3.78
3.76,3.65,3.78,3.56
3.68,3.69,3.74,3.53
3.70,3.70,3.85,3.67
3.77,3.84,3.85,3.66
3.80,3.72,3.83,3.60
3.70,3.93,3.95,3.62
3.86,3.98,4.03,3.77
3.96,4.20,4.20,3.89
4.21,4.22,4.35,4.17
4.20,4.21,4.22,4.15
4.20,4.28,4.30,4.20
4.29,4.24,4.35,4.14
4.24,4.03,4.28,4.03
4.03,4.03,4.14,3.94
3.93,3.90,3.95,3.82
3.89,3.77,3.94,3.74
3.82,3.97,3.98,3.79
3.99,4.24,4.24,3.93
4.28,4.17,4.39,4.14
4.24,4.22,4.35,4.18
4.29,4.50,4.53,4.18
4.50,4.61,4.73,4.45
4.61,4.49,4.67,4.47
4.48,4.55,4.66,4.48
4.49,4.53,4.59,4.39
4.57,4.58,4.63,4.49
4.62,4.63,4.70,4.51
4.69,4.82,4.83,4.55
4.87,5.00,5.11,4.87
5.01,4.98,5.10,4.95
4.66,4.66,5.07,4.64
4.64,5.01,5.04,4.40
5.03,5.22,5.31,5.00
5.70,6.25,6.38,5.47
6.30,6.00,6.42,5.89
6.07,5.89,6.10,5.85
5.91,6.01,6.05,5.82
6.04,5.79,6.16,5.75
5.76,5.70,5.96,5.63
5.80,5.74,5.88,5.63
5.78,6.35,6.36,5.78
6.30,7.42,7.72,6.24
7.34,7.34,7.45,7.13
7.27,7.52,7.58,7.11
7.60,7.83,7.95,7.46
7.87,8.09,8.23,7.70
8.15,8.26,8.26,7.98
8.31,8.95,8.99,8.30
8.79,8.38,8.92,8.32
8.38,8.04,8.40,7.91
7.96,7.91,8.17,7.56
7.98,8.18,8.39,7.80
8.22,8.41,8.53,8.22
8.46,8.64,8.65,8.20
8.66,8.71,8.82,8.50
8.66,8.72,8.83,8.45
8.59,8.10,8.75,8.07
8.25,7.96,8.34,7.77
8.06,8.55,8.60,7.89
8.53,8.11,8.62,8.05
8.24,8.25,8.41,8.17
8.48,8.32,8.71,8.14
8.15,8.66,8.71,7.96
8.51,7.66,8.74,6.75
7.61,7.44,7.87,7.05
7.64,8.02,8.20,7.59
7.86,8.09,8.18,7.77
8.18,8.31,8.43,8.13
7.87,7.75,8.16,7.72
7.55,7.22,7.57,7.14
7.29,7.62,7.65,7.00
7.79,7.08,7.83,7.03
7.00,6.79,7.25,6.59
6.48,6.16,6.61,5.90
6.08,6.27,6.40,5.93
6.24,6.22,6.39,6.12
5.91,6.11,6.13,5.80
6.23,6.05,6.33,6.03
