FCT,First Trust Senior Floating Rate Income Fund II Common Shares of Beneficial Interest,NASDAQ
11.92,11.96,11.98,11.79
11.96,11.98,12.02,11.87
12.03,11.98,12.05,11.97
12.00,12.04,12.04,11.94
12.08,12.04,12.08,12.01
12.02,12.05,12.08,12.01
12.03,12.07,12.10,11.98
12.06,12.14,12.15,12.01
12.13,12.11,12.14,12.10
12.11,12.20,12.22,12.11
12.19,12.35,12.40,12.18
12.29,12.24,12.34,12.21
12.24,12.20,12.27,12.19
12.21,12.21,12.25,12.15
12.18,12.29,12.35,12.18
12.22,12.33,12.33,12.22
12.34,12.30,12.38,12.24
12.32,12.29,12.38,12.25
12.31,12.22,12.33,12.21
12.21,12.20,12.22,12.11
12.26,12.34,12.34,12.14
12.26,12.36,12.39,12.26
12.36,12.19,12.36,12.14
12.20,12.31,12.34,11.86
12.29,12.25,12.30,12.19
12.31,12.30,12.36,12.16
12.30,12.35,12.42,12.29
12.33,12.33,12.39,12.32
12.29,12.38,12.45,12.28
12.42,12.47,12.50,12.37
12.47,12.50,12.52,12.44
12.46,12.58,12.58,12.45
12.57,12.71,12.71,12.55
12.71,12.65,12.76,12.60
12.58,12.71,12.72,12.58
12.68,12.83,12.85,12.68
12.87,12.74,12.91,12.67
12.72,12.79,12.84,12.71
12.76,12.77,12.77,12.69
12.79,12.76,12.80,12.73
12.70,12.67,12.81,12.67
12.68,12.59,12.71,12.58
12.60,12.76,12.76,12.60
12.70,12.70,12.73,12.68
12.66,12.73,12.76,12.66
12.72,12.71,12.75,12.70
12.72,12.71,12.74,12.56
12.71,12.75,12.75,12.70
12.74,12.76,12.78,12.69
12.77,12.80,12.80,12.74
12.83,12.77,12.84,12.77
12.80,12.77,12.80,12.74
12.80,12.80,12.83,12.72
12.81,12.86,12.88,12.81
12.88,12.90,12.91,12.85
12.88,12.92,12.94,12.88
12.97,12.94,13.02,12.94
13.02,12.96,13.04,12.96
13.03,13.10,13.10,12.94
13.05,13.07,13.12,13.03
13.07,13.16,13.19,13.07
13.11,13.16,13.19,13.11
13.16,13.19,13.20,13.12
13.18,13.26,13.26,13.14
13.25,13.25,13.34,13.20
13.21,13.30,13.32,13.21
13.33,13.45,13.55,13.31
13.50,13.45,13.52,13.43
13.45,13.69,13.69,13.45
13.62,13.63,13.68,13.53
13.61,13.52,13.63,13.46
13.55,13.51,13.55,13.48
13.47,13.45,13.50,13.37
13.43,13.36,13.53,13.36
13.43,13.21,13.45,13.14
13.22,13.36,13.42,13.21
13.34,13.40,13.49,13.34
13.40,13.36,13.44,13.29
13.40,13.48,13.51,13.38
13.51,13.61,13.63,13.41
13.59,13.66,13.66,13.59
13.66,13.47,13.68,13.45
13.45,13.52,13.64,13.40
13.42,13.55,13.57,13.42
13.39,13.12,13.42,13.09
13.11,12.73,13.11,11.98
12.85,12.60,13.04,12.35
13.15,12.80,13.15,12.75
12.65,12.88,13.01,12.65
12.83,13.08,13.25,12.83
13.02,13.01,13.08,12.97
12.89,12.88,13.04,12.88
12.94,12.81,12.97,12.45
12.84,12.61,12.95,12.55
12.55,12.50,12.62,12.26
12.27,12.18,12.27,12.15
12.15,12.03,12.37,11.51
12.03,12.33,12.33,12.03
12.05,12.23,12.39,11.98
12.32,12.16,12.45,12.09
12.38,12.54,12.65,12.30
12.50,12.65,12.65,12.43
12.50,12.31,12.52,12.29
12.30,12.25,12.30,12.15
12.25,12.38,12.42,12.24
12.22,12.20,12.32,12.13
12.20,12.12,12.25,12.09
12.13,12.05,12.13,12.04
12.08,12.05,12.24,12.05
12.12,12.41,12.41,12.12
12.31,12.59,12.59,12.31
12.64,12.69,12.70,12.52
12.77,12.61,12.86,12.60
12.52,12.59,12.66,12.52
12.58,12.52,12.62,12.52
12.47,12.52,12.58,12.47
12.58,12.56,12.58,12.46
12.62,12.80,12.88,12.62
12.88,12.79,12.90,12.68
12.79,12.77,12.86,12.74
12.76,12.68,12.77,12.67
12.70,12.78,12.78,12.67
12.73,12.50,12.75,12.47
12.54,12.50,12.57,12.46
12.43,12.43,12.62,12.22
12.38,12.40,12.42,12.26
12.44,12.30,12.44,12.30
12.31,12.46,12.46,12.31
12.47,12.47,12.47,12.35
12.48,12.56,12.62,12.45
12.59,12.79,12.79,12.54
12.80,12.71,12.81,12.67
12.73,12.78,12.79,12.71
12.79,12.69,12.81,12.67
12.71,12.73,12.73,12.64
12.72,12.73,12.73,12.67
12.68,12.76,12.80,12.68
12.80,12.88,12.94,12.74
13.00,13.00,13.05,12.86
13.00,12.99,13.11,12.95
12.97,13.05,13.10,12.97
13.07,13.03,13.09,12.97
12.98,13.01,13.04,12.98
13.01,13.05,13.05,12.97
13.00,13.10,13.10,12.96
13.08,13.02,13.09,12.98
13.04,13.08,13.09,13.00
13.04,13.01,13.13,12.99
12.99,13.10,13.10,12.98
13.06,13.08,13.20,13.03
13.10,13.10,13.10,13.00
13.03,13.09,13.16,13.03
13.04,13.10,13.10,13.03
13.01,13.10,13.14,13.01
13.05,13.10,13.14,13.03
13.08,13.14,13.15,13.06
13.10,13.09,13.12,13.08
13.06,13.18,13.24,13.06
13.13,13.26,13.28,13.13
13.26,13.21,13.26,13.14
13.20,13.21,13.21,13.16
13.11,13.21,13.21,13.11
13.18,13.21,13.21,13.11
13.18,13.12,13.25,13.12
13.19,13.20,13.21,13.15
13.21,13.29,13.32,13.20
13.22,13.29,13.29,13.18
13.28,13.27,13.34,13.22
13.23,13.19,13.38,13.18
13.29,13.22,13.29,13.20
13.24,13.20,13.26,13.15
13.26,13.16,13.28,13.12
13.18,13.15,13.21,13.11
13.14,13.26,13.27,13.14
13.27,13.25,13.28,13.23
13.23,13.25,13.30,13.23
13.27,13.08,13.27,13.08
13.06,13.00,13.08,12.90
13.02,13.10,13.13,13.02
13.10,13.08,13.17,13.04
13.10,12.95,13.11,12.82
12.99,12.98,13.03,12.95
12.89,13.00,13.00,12.89
13.04,12.97,13.04,12.95
12.96,12.95,13.07,12.95
12.98,13.10,13.13,12.97
13.13,13.16,13.21,13.08
13.23,13.15,13.23,13.14
13.12,13.21,13.21,13.07
13.13,13.20,13.20,13.13
13.20,13.19,13.20,13.15
13.19,13.22,13.22,13.15
13.20,13.16,13.20,13.05
13.16,13.13,13.19,13.10
13.16,13.10,13.16,13.07
13.09,13.16,13.18,13.08
13.16,13.16,13.18,13.13
13.14,13.15,13.18,13.12
13.17,13.14,13.17,13.11
13.16,13.19,13.27,13.15
13.18,13.18,13.22,13.15
13.21,13.21,13.27,13.16
13.22,13.27,13.28,13.19
13.24,13.27,13.28,13.23
13.28,13.24,13.28,13.24
13.25,13.21,13.26,13.20
13.21,13.24,13.26,13.18
13.25,13.20,13.26,13.18
13.22,13.30,13.30,13.20
13.27,13.30,13.39,13.24
13.38,13.45,13.50,13.28
13.41,13.50,13.65,13.41
13.59,13.54,13.77,13.43
13.52,13.55,13.58,13.46
13.55,13.50,13.62,13.46
13.54,13.66,13.70,13.50
13.61,13.57,13.69,13.42
13.45,13.46,13.51,13.40
13.43,13.38,13.49,13.36
13.49,13.45,13.55,13.41
13.44,13.20,13.44,13.16
13.25,13.50,13.50,13.19
13.49,13.57,13.57,13.42
13.49,13.63,13.70,13.43
13.67,13.59,13.75,13.55
13.58,13.64,13.67,13.54
13.64,13.68,13.69,13.57
13.61,13.74,13.74,13.54
13.67,13.68,13.71,13.55
13.61,13.65,13.74,13.60
13.70,13.61,13.72,13.60
13.66,13.75,13.75,13.63
13.69,13.82,13.86,13.69
13.72,13.64,13.74,13.59
13.75,13.65,13.75,13.60
13.59,13.63,13.71,13.50
13.71,13.61,13.71,13.58
13.67,13.75,13.86,13.57
13.77,13.66,13.85,13.61
13.79,13.69,13.79,13.64
13.75,13.63,13.75,13.58
13.67,13.72,13.78,13.61
13.80,13.85,13.95,13.76
13.80,13.93,13.96,13.76
13.86,13.80,13.99,13.77
13.87,13.89,13.96,13.84
13.93,13.95,13.95,13.85
13.92,13.95,13.97,13.92
13.94,13.95,13.95,13.91
13.97,13.98,13.98,13.90
13.94,13.88,13.98,13.84
13.88,13.97,13.98,13.83
13.97,13.98,13.99,13.88
13.97,13.91,13.98,13.85
13.86,13.98,14.00,13.72
13.95,13.94,14.02,13.92
13.98,14.02,14.02,13.93
14.01,14.01,14.05,13.97
14.00,14.01,14.04,13.94
14.02,14.08,14.09,14.00
14.06,14.17,14.17,14.03
14.10,14.22,14.33,14.08
14.21,14.09,14.23,14.06
14.13,14.07,14.22,14.01
14.13,14.22,14.22,14.09
14.21,14.35,14.38,14.19
14.32,14.37,14.44,14.32
14.43,14.43,14.47,14.28
14.47,14.44,14.47,14.30
14.46,14.59,14.59,14.39
14.48,14.50,14.58,14.47
14.51,14.62,14.68,14.46
14.60,14.61,14.67,14.42
14.55,14.70,14.70,14.55
14.70,14.72,14.73,14.64
14.72,14.70,14.77,14.64
14.70,14.69,14.76,14.65
14.64,14.65,14.68,14.54
14.69,14.53,14.71,14.51
14.51,14.45,14.52,14.12
14.41,14.44,14.44,14.28
14.38,14.50,14.54,14.38
14.51,14.47,14.53,14.39
14.47,14.48,14.52,14.39
14.48,14.60,14.64,14.42
14.64,14.75,14.75,14.61
14.67,14.72,14.77,14.54
14.68,14.65,14.70,14.54
14.68,14.66,14.69,14.50
14.62,14.66,14.70,14.55
14.64,14.81,14.81,14.64
14.77,14.75,14.82,14.62
14.76,14.74,14.79,14.65
14.74,14.65,14.84,14.58
14.70,14.68,14.72,14.57
14.63,14.50,14.68,14.44
14.46,14.44,14.62,14.38
14.49,14.51,14.59,14.38
14.49,14.72,14.72,14.43
14.67,14.81,14.82,14.62
14.83,14.75,14.83,14.67
14.65,14.68,14.70,14.50
