FDML,Federal-Mogul Holdings Corporation - Class A Common Stock,NASDAQ
17.41,17.85,18.12,17.12
17.94,17.78,18.33,17.43
17.91,17.91,18.22,17.70
17.95,18.05,18.31,17.90
17.91,18.79,18.85,17.91
18.90,19.00,19.44,18.90
18.93,18.60,19.01,18.36
18.78,17.95,18.78,17.45
17.82,18.52,18.58,17.82
18.58,18.30,18.81,18.10
18.48,18.30,19.30,18.05
18.43,17.95,18.58,17.50
17.88,17.60,18.05,17.50
17.47,17.23,17.84,16.83
17.46,17.58,17.65,17.04
17.53,17.16,17.78,17.11
17.34,17.46,17.79,17.22
17.55,16.89,17.66,16.74
16.91,16.38,17.13,15.91
16.48,16.50,16.71,16.38
16.60,16.90,16.93,16.55
16.93,16.95,17.20,16.86
16.94,16.48,17.15,16.44
16.48,15.82,16.72,15.60
15.81,15.98,16.49,15.61
16.23,16.30,16.54,15.97
16.04,16.42,16.53,15.93
16.19,16.35,16.42,16.06
16.09,16.88,16.91,15.91
17.00,16.40,17.00,16.37
16.41,16.32,16.59,16.19
16.36,16.73,16.91,16.25
16.67,17.16,17.20,16.47
16.40,15.76,17.17,15.70
16.26,16.11,16.88,15.43
16.22,18.35,18.55,16.22
18.26,18.89,18.97,17.92
18.65,19.32,19.35,18.35
19.46,20.11,20.32,19.26
20.21,19.86,20.21,19.60
20.06,19.79,20.33,19.68
19.77,19.40,19.77,19.29
19.63,19.52,19.89,19.32
19.59,19.69,19.85,19.52
19.55,20.04,20.06,19.55
19.97,19.78,20.07,19.63
19.77,19.80,19.93,19.62
19.84,19.99,20.05,19.77
20.11,19.68,20.13,19.57
19.79,19.57,19.84,19.41
19.72,19.43,19.72,19.36
19.33,19.01,19.48,18.98
18.23,18.23,19.16,18.07
18.03,19.13,19.20,17.66
19.16,19.46,19.52,18.94
19.44,19.16,19.44,19.07
19.22,18.78,19.30,18.75
18.75,18.65,19.16,18.53
18.64,18.05,18.65,17.97
18.13,18.18,18.26,17.88
18.17,18.36,18.55,18.04
18.44,19.04,19.09,18.41
19.21,19.05,19.21,18.81
18.90,19.02,19.26,18.90
19.31,19.00,19.31,18.77
18.82,18.84,19.02,18.68
18.90,18.95,19.16,18.86
18.95,19.76,19.78,18.68
19.63,20.35,20.59,19.63
20.39,20.47,20.53,20.13
20.39,20.48,20.67,20.34
20.37,20.31,20.37,19.41
20.11,20.50,20.60,20.04
20.52,21.16,21.26,20.52
21.03,20.71,21.16,20.70
20.61,21.03,21.08,20.53
21.01,21.32,21.65,20.95
21.31,21.43,21.79,21.28
21.23,20.85,21.52,20.78
21.44,19.45,21.44,19.24
19.59,19.62,19.91,19.25
19.67,19.02,19.91,19.00
19.01,19.34,19.50,19.00
19.15,18.90,19.48,18.74
18.74,18.43,19.03,18.15
18.27,17.43,19.10,16.50
17.41,16.33,17.83,16.07
17.41,18.00,18.67,17.41
17.87,18.45,18.84,17.87
18.48,18.72,19.00,18.23
18.74,18.70,18.76,18.36
18.52,18.48,18.76,18.17
18.63,18.07,18.64,17.26
18.23,17.27,18.40,17.19
17.26,17.07,17.78,16.75
16.64,16.04,16.64,16.00
15.94,16.03,16.50,15.26
15.97,15.82,16.05,15.55
15.22,15.53,15.58,15.00
15.58,15.55,15.97,15.46
15.88,16.82,16.91,15.85
16.75,17.26,17.88,16.61
17.12,16.53,17.58,15.97
16.57,16.95,16.96,16.01
17.05,17.64,17.67,16.89
17.22,16.48,17.62,16.41
16.54,16.09,16.60,15.61
16.07,15.94,16.31,15.63
16.03,15.55,16.40,15.46
15.79,15.99,16.05,15.66
15.86,16.57,16.57,15.86
16.70,16.23,17.25,15.95
16.36,17.36,17.41,16.00
17.30,16.94,17.36,16.65
16.94,16.92,17.18,16.66
16.96,16.92,17.36,16.91
17.18,16.78,17.49,16.64
16.82,16.06,17.00,15.95
16.06,15.97,16.22,15.67
15.77,15.16,15.77,15.02
15.14,15.30,15.39,14.90
15.33,15.04,15.38,14.88
14.76,13.60,14.76,13.36
13.54,13.02,14.07,12.96
12.98,13.53,13.70,12.24
13.57,14.03,14.16,13.57
14.20,12.15,14.42,12.04
12.26,13.04,13.10,11.99
13.13,13.25,13.63,12.86
13.19,13.59,13.59,13.11
13.43,13.51,13.73,13.24
13.75,14.69,14.74,13.75
14.67,14.48,14.84,14.31
14.43,15.08,15.14,14.33
14.91,14.50,15.21,14.39
14.55,14.59,14.70,14.31
14.43,15.43,15.43,14.34
15.50,14.97,15.50,14.82
15.18,15.73,15.97,15.16
15.69,16.38,16.48,15.69
16.40,16.85,17.02,16.32
17.01,16.42,17.02,16.40
16.46,16.00,16.85,15.87
16.88,17.44,17.65,16.22
17.14,17.94,18.12,16.70
18.33,19.25,19.45,18.24
19.28,19.03,19.31,18.73
19.10,19.39,19.97,19.03
19.43,19.93,19.99,19.33
19.50,19.37,19.80,18.76
19.47,19.70,19.81,19.17
19.30,18.93,19.40,18.70
18.52,17.72,19.07,17.72
17.49,17.74,18.20,17.37
17.75,17.59,18.01,17.44
17.55,17.58,17.62,17.04
17.96,18.45,18.60,17.81
18.37,18.60,18.76,18.14
18.53,17.68,18.58,17.61
17.55,17.22,17.55,16.97
17.37,17.03,17.43,16.96
16.86,16.59,16.86,16.01
16.41,16.97,16.99,16.30
16.99,16.51,17.05,16.45
16.72,16.83,16.92,16.39
16.81,16.68,17.05,16.50
16.59,15.30,16.77,15.12
15.79,17.08,17.18,15.61
17.16,17.79,17.82,17.04
18.09,17.73,18.25,17.08
17.58,17.35,17.81,17.26
17.43,17.14,17.64,17.01
17.49,17.21,17.69,17.05
17.22,17.21,17.52,17.12
17.55,18.01,18.15,17.47
17.87,17.81,18.04,17.75
17.69,17.59,17.72,17.27
17.54,17.59,17.79,17.37
17.76,17.98,18.00,17.18
18.03,17.96,18.22,17.65
18.07,17.75,18.10,17.65
17.70,18.10,18.18,17.47
18.02,17.83,18.19,17.79
18.23,18.60,18.68,18.11
18.59,18.82,18.90,18.59
18.79,18.52,18.79,18.40
18.46,18.85,18.99,18.31
19.10,18.91,19.10,18.40
19.23,18.98,19.30,18.80
19.00,19.10,19.29,18.90
19.27,19.60,19.77,19.18
19.69,19.13,19.77,18.90
19.28,19.21,19.43,18.93
19.11,20.15,20.25,19.04
20.10,20.57,20.65,20.10
20.53,20.82,20.91,20.33
20.97,21.23,21.30,20.74
21.28,21.18,21.41,21.13
21.37,21.47,21.50,20.85
21.45,21.42,21.77,21.35
20.94,20.56,21.27,20.26
20.71,21.37,21.45,20.71
21.47,21.69,21.79,20.96
21.70,21.99,22.04,21.64
22.20,21.72,22.31,21.72
21.60,21.84,22.21,21.37
21.63,21.73,21.92,21.03
21.37,19.30,21.37,18.07
19.29,19.83,20.10,19.02
19.95,19.06,20.24,18.97
19.34,19.60,19.86,18.52
19.66,19.59,19.75,19.32
20.00,19.85,20.00,19.61
20.05,19.93,20.47,19.66
19.84,19.85,19.92,19.46
19.88,19.25,19.90,19.10
19.27,19.51,19.62,19.02
19.24,19.70,19.80,19.15
19.40,19.43,19.76,19.26
19.59,19.50,20.22,19.43
19.32,19.03,19.58,18.70
19.06,19.31,19.42,18.87
19.62,19.18,19.82,19.07
19.01,19.20,19.37,18.64
19.16,19.23,19.45,19.01
18.89,18.85,19.29,18.85
19.04,19.26,19.36,18.97
19.11,19.11,19.33,19.11
18.90,19.17,19.25,18.84
18.91,18.70,18.91,18.39
19.12,18.90,19.36,18.75
18.86,18.86,19.06,18.52
18.73,19.08,19.18,18.56
19.10,19.35,20.22,18.93
19.64,19.36,19.65,19.28
19.36,19.25,19.45,19.24
19.40,20.00,20.01,19.40
20.00,20.70,21.00,19.93
20.84,20.54,21.01,20.44
20.54,20.80,20.96,20.54
20.80,20.48,21.23,20.43
20.49,20.49,20.57,20.18
20.56,20.40,20.78,20.20
20.55,20.73,20.88,20.40
20.73,21.07,21.21,20.55
21.12,21.03,21.22,20.82
21.00,20.75,21.02,20.52
20.76,20.54,20.76,20.45
20.61,20.38,20.75,20.30
20.56,20.48,20.64,20.33
20.56,20.50,20.62,20.43
20.63,20.65,20.69,20.26
20.79,20.75,21.14,20.75
20.66,20.64,20.72,19.88
20.64,21.05,21.11,20.64
21.10,22.07,22.12,20.42
22.15,21.19,22.15,20.90
21.15,22.42,22.44,21.08
22.57,22.28,22.57,22.02
22.55,23.53,23.55,22.50
23.61,23.14,23.61,23.03
23.20,23.21,23.56,23.05
23.23,23.71,24.01,23.19
23.77,23.23,23.80,23.17
23.06,23.09,23.39,22.89
23.16,23.18,23.76,23.00
23.13,23.37,23.57,23.02
23.33,23.10,23.43,22.90
22.79,23.73,23.76,22.75
23.78,23.83,24.03,23.55
23.87,22.59,23.87,22.57
22.61,23.56,23.74,22.41
23.83,23.56,23.89,23.40
23.16,22.65,23.71,22.63
22.57,21.97,22.78,21.87
22.07,22.08,22.20,21.67
22.02,22.18,22.80,21.99
22.19,21.93,22.39,21.86
21.89,21.85,22.11,21.35
21.70,21.70,21.96,21.25
21.68,21.72,21.90,21.55
21.76,21.81,22.10,21.63
21.69,21.49,21.76,21.25
21.50,21.29,22.10,21.29
21.29,21.21,21.43,21.06
21.30,21.03,21.30,20.94
20.93,19.67,21.07,18.91
21.28,19.88,21.28,19.76
20.04,20.15,20.39,19.51
20.30,21.02,21.16,20.30
21.18,21.01,21.29,21.01
21.01,21.65,21.69,21.01
21.67,22.63,22.70,21.27
22.79,23.18,23.71,22.68
23.24,23.14,23.50,22.84
23.28,24.62,26.00,22.65
24.69,24.98,25.46,24.14
25.00,24.09,25.21,24.01
24.05,24.26,24.32,23.28
23.90,23.80,24.56,23.32
23.52,23.31,23.89,23.00
22.00,22.58,22.78,21.28
22.59,22.91,23.26,22.42
23.28,22.62,23.28,22.53
22.91,24.78,25.29,22.55
25.39,25.26,25.97,25.15
25.48,24.96,25.48,24.78
24.99,24.80,25.03,24.65
24.81,24.97,25.04,24.68
25.00,24.89,25.19,24.84
25.11,24.71,25.11,24.61
24.78,24.69,24.80,24.47
24.87,24.90,25.20,24.72
24.83,24.90,25.21,24.80
24.80,24.87,25.04,24.74
25.05,24.91,25.12,24.86
24.90,24.94,25.06,24.80
25.11,25.04,25.16,24.86
25.12,25.16,25.26,24.93
25.22,25.12,25.87,24.96
25.29,25.12,25.29,24.97
25.05,24.95,25.08,24.88
25.23,25.12,25.25,24.88
24.94,25.05,25.10,24.64
25.13,25.17,25.24,24.93
24.85,25.17,25.40,24.51
25.19,24.80,25.19,24.52
25.19,25.10,25.23,25.05
25.19,25.80,25.93,25.09
25.75,25.68,25.75,25.08
25.59,26.28,26.33,25.08
26.27,26.35,26.43,25.89
26.39,26.10,26.39,25.91
26.37,26.51,27.20,26.22
26.58,26.17,26.62,26.08
26.16,25.95,26.42,25.75
26.07,25.32,26.28,25.11
25.16,24.91,25.35,24.79
25.22,25.61,25.76,24.93
25.71,25.60,25.87,25.32
25.72,25.93,25.99,25.72
25.99,26.08,26.25,25.90
25.97,26.25,26.25,25.83
26.30,25.77,26.30,25.77
25.63,25.31,25.94,25.19
25.29,23.95,25.42,23.17
23.96,23.78,24.15,23.50
24.03,23.77,24.22,23.76
23.65,23.73,23.85,23.31
23.54,22.62,23.56,22.59
22.75,22.51,22.86,22.47
22.51,22.71,22.81,22.50
22.72,22.79,23.00,22.44
22.86,23.07,23.39,22.74
23.23,23.16,23.57,22.71
23.09,22.49,23.09,22.46
22.46,22.38,22.72,22.11
22.09,21.91,22.33,21.91
21.94,21.71,22.12,21.41
21.85,21.59,21.96,21.40
21.55,21.49,21.56,21.04
21.52,21.65,21.82,21.33
21.53,21.26,21.62,20.80
21.27,20.82,21.42,20.73
21.10,21.39,21.46,20.85
21.12,20.97,21.55,20.83
21.06,20.51,21.06,20.29
20.74,19.98,20.74,19.98
20.06,20.10,20.24,19.61
20.10,20.34,20.58,20.00
20.36,21.03,21.19,20.29
20.65,21.39,21.44,20.28
21.29,21.64,21.69,21.24
21.74,22.11,22.32,21.45
22.10,22.73,22.81,22.04
22.77,22.28,22.87,22.13
22.27,22.83,22.98,22.04
22.85,22.95,23.16,22.49
23.00,22.84,23.19,22.64
22.86,22.84,22.98,22.41
23.13,23.69,23.99,22.90
23.48,23.18,23.61,23.14
22.94,22.70,23.22,22.32
22.55,22.46,22.79,22.36
22.63,22.71,23.20,22.46
22.76,22.50,22.89,22.14
22.63,22.05,22.63,21.83
21.99,21.54,22.24,21.39
21.71,21.54,21.75,21.30
21.55,21.70,21.83,21.39
21.87,21.80,22.12,21.58
21.79,21.68,21.92,21.55
21.60,21.26,21.66,21.18
21.25,20.57,21.25,20.52
20.40,19.63,20.54,19.49
20.10,19.81,20.60,19.68
19.78,19.17,19.78,19.01
19.48,18.88,19.53,18.55
18.76,17.78,18.76,16.71
17.77,18.12,18.28,17.59
17.87,16.98,17.89,16.91
17.24,16.95,17.43,15.65
16.35,15.06,16.38,14.77
15.01,15.14,15.87,14.11
14.84,14.74,15.45,14.29
15.00,16.86,17.11,15.00
17.06,17.10,17.49,16.74
17.26,17.40,17.60,17.02
17.14,17.24,17.66,17.02
17.31,16.94,17.48,16.70
16.39,15.17,16.46,15.00
15.11,14.87,15.54,14.74
15.28,14.34,15.31,14.24
14.30,15.06,15.06,14.21
15.23,15.86,15.90,15.15
15.99,15.55,16.45,15.48
15.41,15.86,15.90,15.26
16.09,17.33,17.35,16.09
17.22,17.20,17.49,16.82
17.43,17.76,18.04,17.40
17.73,16.81,17.86,16.77
16.35,16.15,16.39,15.74
15.53,15.46,15.65,15.15
15.68,16.06,16.20,15.57
15.83,15.67,16.05,15.54
15.46,15.19,15.53,14.71
15.36,15.27,15.42,15.01
15.62,15.68,15.83,15.35
15.89,16.08,16.51,15.81
16.34,16.99,17.19,16.13
17.09,17.02,17.32,16.72
16.74,16.70,16.88,16.23
16.96,16.52,17.26,16.48
16.52,15.51,16.70,15.50
15.36,14.57,15.42,14.28
14.61,14.71,14.83,14.36
14.93,14.98,15.07,14.45
15.43,15.41,15.86,15.31
15.53,15.01,15.62,15.00
15.49,15.47,15.69,15.17
15.07,14.75,15.18,14.34
14.95,14.79,15.47,14.50
14.63,15.47,15.53,14.35
15.37,16.33,16.45,15.25
16.49,17.57,17.68,16.49
17.74,16.85,17.84,16.77
17.25,17.86,17.91,17.25
17.64,18.06,18.06,17.50
18.22,18.92,19.28,18.22
18.64,18.29,18.64,18.10
18.68,18.69,18.90,18.43
18.78,18.18,18.81,18.00
18.29,18.27,18.70,17.86
18.32,17.45,18.33,17.25
17.40,17.04,17.40,16.68
17.36,17.45,17.70,17.22
17.51,18.00,18.26,17.45
17.81,17.43,17.89,16.84
17.50,18.31,18.34,17.30
18.32,17.35,19.00,17.04
17.35,17.25,17.38,16.91
17.86,16.86,17.86,16.85
16.48,15.95,16.75,15.74
16.34,16.39,16.59,16.02
16.69,17.01,17.21,16.47
16.70,16.88,17.00,16.45
16.74,16.39,16.76,16.12
16.50,16.46,16.64,16.05
16.00,15.56,16.21,15.46
15.80,15.30,15.84,15.21
15.58,15.13,15.58,15.07
15.18,15.02,15.26,14.95
14.99,14.99,15.13,14.79
14.77,14.51,15.06,14.46
14.51,13.87,14.64,13.73
13.97,13.78,14.18,13.49
13.57,13.68,13.85,13.24
13.68,13.59,13.88,13.57
