FDP,Fresh Del Monte Produce,NASDAQ
22.37,22.60,22.91,22.36
22.60,22.26,22.60,21.96
22.21,22.34,22.57,22.04
22.34,22.52,22.59,22.14
22.43,22.16,22.60,22.12
22.42,22.53,23.00,22.20
22.45,22.51,22.54,22.22
22.52,22.76,23.17,22.34
22.64,22.73,23.00,22.54
22.84,22.46,22.84,22.25
22.56,22.51,22.93,22.36
22.31,22.16,22.31,21.65
22.25,21.05,22.26,21.02
21.10,20.76,21.19,20.74
20.96,20.83,20.96,20.34
20.71,20.61,20.75,20.50
20.53,20.79,20.81,20.48
20.79,20.46,20.79,20.15
20.52,20.33,20.55,20.21
20.39,20.25,20.44,20.06
20.35,20.65,20.75,20.19
20.67,20.65,20.71,20.05
20.54,20.00,20.54,19.96
19.97,20.30,20.33,19.68
20.35,19.75,20.35,19.73
19.96,19.85,20.11,19.67
19.74,20.04,20.09,19.49
20.05,19.84,20.05,19.66
19.79,19.90,19.93,19.58
20.00,20.04,20.13,19.69
20.10,20.20,20.35,20.00
20.13,20.13,20.26,20.05
20.07,20.00,20.18,19.95
20.01,20.11,20.19,20.00
20.02,19.52,20.17,19.51
19.66,19.43,19.69,19.29
19.18,19.50,19.52,19.15
19.47,19.41,19.52,19.23
19.44,19.85,19.86,19.32
21.10,21.15,21.43,20.52
20.74,19.58,20.74,19.52
19.55,19.25,19.67,19.15
19.33,20.16,20.17,19.25
20.16,19.94,20.23,19.87
19.84,20.27,20.37,19.56
20.27,20.43,20.60,20.15
20.27,20.62,20.64,20.12
20.70,20.32,20.70,20.22
20.34,20.51,20.55,20.25
20.50,20.67,20.69,20.42
20.76,20.51,20.82,20.44
20.57,20.87,20.90,20.50
20.53,20.53,20.90,20.25
20.36,20.60,20.76,20.09
20.55,20.88,20.88,20.30
20.85,20.71,20.97,20.70
20.91,20.35,20.91,20.34
20.51,20.71,20.89,20.29
20.70,20.93,20.93,20.63
20.85,20.92,21.12,20.79
20.26,20.25,20.66,20.20
20.27,20.83,20.86,20.24
20.83,20.53,20.83,20.35
20.39,20.60,20.61,20.27
20.61,20.71,20.79,20.47
20.72,20.44,20.76,20.37
20.49,20.74,20.74,20.43
20.81,21.14,21.16,20.60
21.06,20.98,21.22,20.79
21.09,21.44,21.50,20.97
21.37,21.53,21.58,21.07
21.43,21.53,21.67,21.27
21.41,21.47,21.51,20.94
21.60,21.64,21.73,21.50
21.62,21.96,22.00,21.57
21.75,22.19,22.19,21.75
22.19,22.39,22.46,22.01
22.40,22.02,22.45,22.00
21.96,21.22,22.07,21.14
21.26,21.27,21.38,20.83
21.45,21.77,22.00,21.25
21.72,20.87,21.72,20.87
20.99,21.69,21.85,20.61
21.10,21.92,21.98,20.71
21.35,21.00,21.53,20.95
20.97,21.13,21.61,20.55
21.13,20.64,21.17,20.47
21.55,20.86,21.55,20.70
20.66,21.01,21.26,20.52
21.10,21.62,21.63,20.90
21.46,21.34,21.68,21.19
21.24,21.55,21.61,21.15
21.60,21.56,21.68,21.26
21.81,21.54,21.81,21.41
21.43,21.75,21.86,21.28
21.32,21.05,21.41,20.83
20.79,20.39,20.84,20.23
20.34,20.23,20.54,20.22
19.87,19.72,19.89,19.44
19.76,19.95,20.13,19.65
20.25,20.37,20.37,19.97
20.31,20.00,20.32,19.75
19.92,19.49,19.99,19.49
19.59,20.08,20.09,19.37
20.25,20.09,20.35,20.00
19.89,19.94,20.07,19.69
20.03,19.81,20.11,19.72
19.83,20.13,20.13,19.56
20.21,20.12,20.40,19.84
20.42,20.23,20.68,20.14
20.11,20.52,20.52,19.99
20.53,20.40,20.72,20.33
20.45,20.73,20.76,20.39
20.57,20.97,21.04,20.48
21.08,21.30,21.35,20.99
21.33,21.61,21.73,21.21
21.72,21.73,21.95,21.59
21.72,21.51,21.85,21.44
21.52,21.39,21.58,21.17
21.25,21.47,21.51,21.00
21.46,21.41,21.62,21.20
21.50,21.42,21.58,21.14
21.18,20.72,21.18,20.54
20.66,20.24,20.77,20.21
20.21,19.95,20.21,19.60
20.00,19.94,20.04,19.73
20.04,19.64,20.24,19.56
19.74,20.11,20.12,19.62
20.18,20.13,20.26,19.94
20.16,20.23,20.28,19.95
20.19,20.06,20.29,19.91
20.28,20.61,20.65,20.11
20.58,20.41,20.63,20.31
20.36,20.17,20.40,19.98
20.03,19.59,20.17,19.54
19.70,19.65,19.70,19.23
19.43,19.91,19.92,19.38
19.95,19.58,19.98,19.48
19.78,20.43,20.45,19.76
20.34,20.75,20.77,20.20
20.74,20.88,20.94,20.52
21.00,21.09,21.21,20.91
20.99,20.28,21.06,20.25
