FFBC,First Financial Bancorp. - Common Stock,NASDAQ
14.82,14.80,14.89,14.62
14.76,13.91,14.83,13.80
13.93,13.89,14.26,13.85
13.92,14.20,14.21,13.79
14.09,14.45,14.79,14.09
14.51,14.43,14.53,14.20
14.26,14.50,14.52,14.12
14.60,14.49,14.88,14.30
14.40,14.99,15.08,14.40
15.03,14.72,15.03,14.31
14.71,15.20,15.43,14.67
15.09,14.95,15.40,14.34
14.96,15.60,15.98,14.83
15.54,15.53,15.93,15.29
15.66,15.58,15.66,14.87
15.47,14.81,15.96,14.47
14.10,15.14,15.42,14.08
15.55,16.20,16.24,15.55
16.07,16.40,16.50,16.04
16.48,16.64,16.76,16.33
16.77,16.57,16.97,16.47
16.49,16.17,16.64,16.00
16.05,15.71,16.38,15.69
15.80,16.26,16.43,15.77
16.20,16.10,16.40,15.78
16.37,16.37,16.58,15.86
16.28,16.53,16.61,16.15
16.44,16.60,16.69,16.31
16.28,16.93,17.02,16.28
17.00,17.05,17.18,16.92
17.13,16.93,17.13,16.65
16.96,17.10,17.10,16.86
17.09,17.13,17.20,16.95
17.25,17.57,17.61,17.16
17.57,17.92,17.92,17.52
17.94,18.62,18.89,17.83
18.52,18.76,18.95,18.40
18.72,18.56,18.79,18.44
18.60,18.71,18.79,18.52
18.69,18.25,18.96,18.14
18.24,17.71,18.24,17.62
17.71,17.81,17.83,17.54
17.88,18.29,18.33,17.70
18.34,18.07,18.34,18.04
18.02,18.16,18.28,17.90
18.11,18.42,18.52,18.11
18.30,18.47,18.59,18.17
18.57,18.30,18.58,18.00
18.21,18.34,18.37,18.19
18.36,18.48,18.48,18.19
18.47,18.60,18.74,18.45
18.64,18.46,18.86,18.45
18.59,18.51,18.72,18.02
18.38,18.95,19.09,18.29
18.94,19.00,19.02,18.60
18.84,18.78,19.02,18.75
18.88,18.83,19.50,18.81
18.90,18.36,19.00,18.29
18.42,18.11,18.60,17.93
18.09,18.04,18.32,17.69
17.92,17.78,18.34,17.74
17.94,18.10,18.25,17.61
18.10,18.59,18.59,17.90
18.50,18.65,18.91,18.27
18.57,18.67,19.10,18.52
18.54,18.31,18.70,18.14
18.27,18.55,18.67,18.08
18.52,18.78,18.89,18.33
