FFG,FBL Financial Group,NASDAQ
18.99,19.62,19.70,18.99
19.63,18.94,19.63,18.90
18.90,18.54,19.24,18.38
18.56,18.84,19.00,18.18
18.81,19.29,19.32,18.69
19.47,19.26,19.55,19.00
18.98,18.75,19.18,18.59
18.91,19.12,19.28,18.80
19.01,19.36,19.55,19.01
19.32,18.62,19.42,18.30
18.48,19.04,19.10,18.36
18.82,18.90,19.06,18.62
19.01,18.58,19.06,18.48
18.50,18.20,18.80,17.94
18.41,18.28,18.58,18.10
18.20,17.53,18.44,17.46
17.36,18.41,18.56,17.30
18.53,17.99,18.77,17.74
18.07,17.94,18.45,17.84
18.14,18.02,18.19,17.75
18.10,18.03,18.21,17.75
18.00,18.08,18.15,17.75
17.89,17.41,18.00,17.30
17.53,17.50,17.61,16.82
17.53,17.10,17.59,16.98
17.37,17.30,17.48,16.87
17.12,17.32,17.45,16.89
17.21,18.37,18.52,17.01
18.11,19.97,19.97,17.97
20.31,19.96,20.32,19.11
20.02,19.59,20.02,19.45
19.62,20.32,20.38,19.62
20.29,21.05,21.21,20.06
21.15,20.98,21.19,20.72
21.00,20.44,21.16,20.26
20.58,20.65,20.87,20.38
20.24,20.60,20.71,19.95
20.58,20.32,20.59,20.15
20.56,20.68,21.16,20.49
20.75,21.12,21.25,20.75
21.13,21.44,21.93,21.06
21.50,21.62,21.76,21.43
21.73,22.31,22.38,21.57
22.37,21.93,22.50,21.89
21.85,22.18,22.50,21.80
22.03,22.38,22.47,22.01
22.06,22.51,22.51,21.99
22.50,22.63,22.71,22.14
22.52,22.82,22.93,22.52
22.99,23.32,23.36,22.85
23.47,24.49,24.81,23.40
24.50,24.11,24.72,24.00
23.14,23.14,24.40,22.83
22.86,23.33,23.91,22.65
23.33,23.66,23.72,22.73
23.54,23.87,24.18,23.19
24.16,24.01,24.43,23.78
24.18,24.01,24.42,23.73
24.16,24.18,24.39,23.94
24.30,24.59,24.72,23.98
24.37,24.48,25.21,24.37
24.70,24.57,25.46,24.15
24.86,25.99,25.99,24.58
25.82,25.91,26.21,25.60
26.07,25.80,26.11,25.39
25.74,26.25,26.55,25.56
26.31,26.21,26.67,26.00
26.42,26.44,26.58,25.92
26.41,26.27,26.52,25.99
26.45,26.84,26.85,26.14
26.66,26.99,27.05,26.43
26.96,26.52,27.02,26.36
26.40,26.34,26.96,25.97
26.47,27.35,27.36,26.36
27.53,27.27,27.58,26.78
26.87,27.08,27.19,26.38
27.03,27.42,27.48,26.91
27.50,27.57,28.17,27.46
27.40,26.44,27.84,26.18
26.70,25.64,26.75,25.60
25.96,27.17,27.33,25.46
27.08,25.84,27.10,25.80
25.97,26.72,26.73,25.61
26.20,24.82,26.20,24.60
24.46,24.12,24.95,24.00
23.79,21.97,25.06,20.81
21.89,21.94,22.99,21.01
23.74,25.57,25.58,23.28
24.83,24.97,25.54,24.10
25.17,26.15,26.32,24.29
25.94,26.18,26.70,25.65
25.92,25.73,25.92,24.87
26.16,26.06,26.36,24.77
26.70,25.98,27.34,25.75
25.89,25.40,26.42,24.99
24.32,22.93,24.38,22.90
22.35,23.58,24.10,22.07
23.43,22.63,23.66,22.59
21.88,22.88,22.95,21.58
23.28,22.92,24.06,22.86
23.78,24.83,24.86,23.46
24.61,24.43,25.13,24.35
24.14,23.59,24.50,23.58
23.70,24.90,24.98,23.50
25.01,24.70,25.46,24.20
23.75,22.88,23.94,22.71
22.99,22.33,23.44,22.25
22.50,22.38,22.56,21.62
22.73,22.17,23.24,21.95
22.90,22.98,22.99,22.38
22.41,23.00,23.20,22.24
23.22,23.08,23.59,22.88
23.56,24.26,24.41,23.11
23.88,23.86,24.35,23.80
23.92,23.31,24.13,23.10
23.40,23.84,23.86,23.36
24.50,23.95,24.81,23.70
24.00,23.15,24.26,23.09
23.03,22.90,23.16,22.51
22.57,22.59,23.39,22.47
22.55,23.56,23.61,22.38
23.46,22.90,23.50,22.85
22.45,21.61,22.68,21.38
21.89,21.00,21.97,20.84
21.04,20.94,21.33,19.51
21.16,20.67,21.18,20.11
21.08,20.65,21.60,20.45
20.85,21.48,21.49,20.57
21.79,21.85,21.93,21.41
21.86,22.12,22.19,21.44
21.98,22.10,22.37,21.33
22.53,22.51,22.76,22.13
22.51,21.92,22.72,21.66
21.90,21.20,22.02,20.86
20.90,20.49,20.90,20.13
20.43,20.66,20.74,20.14
20.28,21.17,21.19,20.17
21.39,20.58,22.13,20.56
21.10,21.69,21.75,20.95
21.60,22.21,22.28,21.24
22.27,22.16,22.50,21.80
22.42,22.41,22.58,22.10
22.38,21.86,22.48,21.62
22.13,22.85,23.11,21.96
22.32,22.69,23.25,22.01
23.35,22.93,23.35,22.68
22.72,22.58,23.23,22.38
22.72,22.85,23.01,22.54
22.65,22.21,22.87,22.07
21.64,22.84,22.89,21.64
23.17,23.20,23.39,22.88
22.73,23.21,23.56,22.59
22.45,22.59,22.99,22.35
21.91,22.64,22.90,21.91
22.59,22.38,22.85,22.33
22.09,22.53,22.97,22.09
22.93,22.64,23.06,22.51
22.45,22.77,23.09,22.18
22.59,22.03,22.63,21.39
21.79,22.11,22.23,21.72
22.34,21.94,22.63,21.89
21.44,21.73,22.06,21.20
21.50,22.18,22.28,21.46
22.29,21.53,22.57,21.45
21.86,23.33,23.35,21.65
23.06,22.81,23.46,22.78
22.80,23.00,23.41,22.36
23.58,24.09,24.16,23.39
23.99,24.42,24.50,23.84
24.93,25.51,25.87,24.82
25.21,23.86,25.24,23.70
23.94,24.71,25.23,23.94
25.13,25.22,25.49,24.86
25.32,25.17,25.39,24.95
25.59,25.92,26.09,25.36
25.73,25.96,26.37,25.40
25.73,26.15,26.31,25.48
26.00,25.91,26.21,25.78
26.19,25.55,26.26,25.48
25.74,26.63,26.67,25.52
26.66,26.66,26.92,26.48
26.53,25.61,26.55,25.48
25.31,24.68,25.67,24.46
25.12,25.78,25.91,24.97
25.72,24.90,25.72,24.84
25.06,25.62,25.71,24.54
25.39,25.73,26.07,25.26
26.04,25.98,26.70,25.74
26.35,26.13,26.46,25.74
26.09,25.33,26.17,25.06
25.75,26.69,26.79,25.16
26.57,26.83,26.92,26.43
27.00,26.71,27.00,26.51
26.80,27.27,27.47,26.52
27.29,27.10,27.50,26.80
26.99,26.75,26.99,26.39
26.95,26.88,27.28,26.75
26.82,26.62,27.24,26.38
26.90,26.26,27.06,25.50
26.31,27.02,27.07,26.31
26.54,26.29,27.06,26.02
26.52,26.62,26.88,26.19
26.89,26.69,27.15,26.10
26.79,26.77,26.97,26.57
27.00,26.54,27.15,26.19
26.26,26.51,26.88,26.22
26.26,26.54,26.65,26.01
26.74,26.12,26.82,26.03
26.17,26.16,26.49,25.70
26.34,26.10,26.52,25.76
26.41,26.62,26.70,26.10
26.73,26.82,26.82,26.20
27.30,27.65,27.75,27.21
28.00,28.56,28.64,27.83
28.30,29.01,29.23,28.04
29.00,28.25,29.00,28.05
28.40,29.01,29.01,28.03
28.68,28.49,28.70,28.25
28.11,27.83,28.57,27.72
28.05,27.92,28.37,27.63
27.69,27.07,28.02,26.62
27.10,26.78,27.38,26.60
27.25,27.64,27.92,27.05
27.47,27.69,27.92,27.33
27.47,27.64,27.76,27.20
27.16,27.06,27.19,26.74
27.31,27.85,27.86,27.28
27.56,27.58,27.76,27.33
27.31,27.37,27.49,26.60
26.92,26.72,27.06,26.54
27.41,27.12,27.41,26.71
