FGP,Ferrellgas Partners,NASDAQ
21.21,21.36,21.44,21.20
21.51,21.46,21.51,21.20
21.51,21.70,21.90,21.46
21.85,21.81,21.90,21.60
21.94,22.16,22.22,21.60
22.20,22.19,22.28,22.03
22.16,22.07,22.23,22.02
22.00,21.95,22.06,21.81
21.79,22.08,22.20,21.79
22.15,21.99,22.26,21.95
22.00,22.49,22.49,21.96
22.35,22.49,22.50,22.22
22.43,22.18,22.49,22.01
22.09,21.99,22.37,21.87
21.99,22.09,22.18,21.86
22.05,22.15,22.23,22.02
22.28,22.03,22.36,22.00
22.05,22.04,22.14,21.91
22.29,21.75,22.40,21.70
21.82,21.84,21.99,21.76
21.86,22.20,22.24,21.86
22.14,22.24,22.35,22.09
22.20,21.67,22.39,21.61
21.87,21.25,21.87,20.27
21.51,21.40,21.74,21.15
21.45,21.54,21.75,21.21
21.75,21.59,21.96,21.58
21.69,21.80,21.91,21.50
21.80,22.19,22.19,21.62
22.32,22.40,22.40,22.10
22.45,22.52,22.53,22.36
22.82,22.62,22.82,22.50
22.61,22.69,22.77,22.52
22.90,22.86,22.90,22.65
22.82,22.88,22.89,22.60
22.75,22.90,22.92,22.72
22.77,22.97,23.00,22.76
23.00,23.04,23.11,22.96
23.11,23.34,23.34,23.10
23.53,23.55,23.59,23.39
23.60,23.47,23.73,23.45
23.52,23.60,23.60,23.25
23.52,23.65,23.69,23.40
23.00,22.78,23.00,22.17
22.90,22.75,22.90,22.60
22.81,22.70,22.87,22.65
22.69,22.86,22.86,22.50
22.86,22.97,23.00,22.68
22.93,22.67,23.00,22.52
22.76,22.96,22.96,22.68
22.93,23.03,23.12,22.89
23.01,22.89,23.07,22.81
22.60,22.60,22.95,22.55
22.46,22.57,22.77,22.46
22.78,22.67,22.78,22.57
22.74,22.56,22.74,22.50
22.56,22.44,22.56,22.40
22.47,22.53,22.64,22.43
22.51,22.85,22.85,22.45
23.00,22.91,23.00,22.75
22.91,22.86,22.99,22.75
22.97,23.00,23.00,22.91
22.91,23.08,23.10,22.91
22.93,23.18,23.20,22.91
23.11,23.11,23.14,23.02
23.05,23.16,23.16,22.93
23.10,23.11,23.20,23.05
23.08,23.14,23.19,23.00
23.18,23.06,23.18,23.02
23.03,23.10,23.10,23.00
23.14,23.14,23.19,23.00
23.11,22.98,23.18,22.91
22.96,23.07,23.17,22.92
23.19,23.35,23.38,23.10
23.35,23.39,23.40,23.20
23.34,23.33,23.39,23.20
23.43,23.30,23.49,23.28
23.23,23.22,23.41,23.20
23.11,22.95,23.31,22.95
23.31,23.03,23.49,22.97
23.08,22.98,23.28,22.95
23.07,23.07,23.18,22.91
23.07,23.24,23.25,22.96
23.13,23.04,23.22,22.95
22.84,22.71,23.07,22.70
22.51,21.35,22.85,19.05
21.48,21.96,22.50,21.15
23.21,22.70,23.21,22.39
22.58,23.07,23.25,22.58
23.22,23.49,23.50,23.09
23.56,23.48,23.63,23.31
23.30,23.50,23.58,22.90
23.62,23.04,23.62,22.94
23.07,22.87,23.47,22.85
22.81,22.25,22.89,22.16
22.08,21.17,22.08,21.10
21.00,21.89,22.15,20.31
21.90,22.07,22.29,21.88
21.63,21.64,21.90,21.29
21.92,22.15,22.38,21.88
22.50,22.97,22.97,22.40
23.24,23.16,23.24,22.85
23.00,23.27,23.50,23.00
23.40,23.46,23.60,23.09
22.93,23.16,23.29,22.81
23.10,22.54,23.10,22.40
22.79,22.50,22.90,22.40
22.35,22.65,22.79,22.35
22.75,22.60,22.88,22.52
22.72,22.78,23.10,22.60
22.85,23.08,23.08,22.77
23.32,23.03,23.32,22.95
23.20,23.21,23.37,23.09
23.27,23.28,23.37,23.16
23.17,23.37,23.37,23.17
23.45,23.21,23.45,23.17
23.33,23.39,23.50,23.25
23.48,23.14,23.48,23.00
23.17,23.06,23.34,22.87
23.13,23.38,23.47,23.04
23.11,23.37,23.45,23.11
23.30,23.67,23.69,23.30
23.50,23.14,23.50,23.03
23.20,22.95,23.48,22.91
23.09,22.63,23.09,22.08
22.63,22.58,22.85,22.48
22.69,22.93,23.00,22.58
22.93,23.29,23.36,22.80
23.28,23.42,23.44,23.09
23.30,23.46,23.51,23.22
23.50,23.41,23.50,23.30
23.38,23.63,23.63,23.38
23.65,23.71,23.71,23.45
23.61,23.82,23.83,23.52
23.60,23.57,23.80,23.52
23.80,23.80,23.81,23.57
23.52,24.00,24.00,23.52
24.00,23.87,24.00,23.71
24.00,23.99,24.09,23.78
24.09,23.98,24.09,23.83
23.99,24.18,24.24,23.97
24.25,24.17,24.29,24.03
24.02,23.91,24.18,23.86
24.04,23.96,24.11,23.66
23.90,23.97,23.99,23.65
24.06,24.29,24.39,24.00
24.20,24.21,24.35,24.13
24.25,24.37,24.39,24.25
24.38,24.70,24.94,24.30
24.47,24.80,24.91,24.38
24.95,24.99,25.00,24.75
24.87,24.63,24.96,24.20
24.35,24.21,24.42,24.00
24.16,24.49,24.84,24.00
24.56,24.91,25.00,24.41
25.00,25.09,25.24,24.79
25.16,25.29,25.40,25.06
25.40,24.99,25.41,24.97
25.00,25.15,25.32,24.90
25.07,25.07,25.13,24.90
25.04,25.25,25.31,25.01
25.24,25.32,25.45,25.10
25.42,25.46,25.49,25.23
25.35,25.54,25.74,25.35
25.79,26.00,26.00,25.55
25.99,26.26,26.26,25.81
26.26,26.41,26.41,26.20
26.60,26.64,26.80,26.39
26.36,26.08,26.36,25.69
26.06,25.39,26.18,25.11
25.38,25.01,25.38,24.90
25.18,24.88,25.18,24.81
24.98,25.43,25.52,24.92
25.60,25.55,25.60,25.28
25.53,25.40,25.59,25.30
25.55,25.62,25.73,25.38
25.75,25.50,25.75,25.41
25.42,25.35,25.51,25.26
25.33,25.29,25.44,25.25
25.50,25.56,25.69,25.28
25.63,25.43,25.64,25.36
25.31,25.80,25.85,25.31
25.66,25.56,25.80,25.48
25.65,25.62,25.90,25.41
25.86,25.82,25.88,25.54
25.51,25.69,25.87,25.49
25.69,25.18,25.69,25.05
25.22,25.24,25.50,25.13
25.40,25.40,25.57,25.16
25.50,25.35,25.70,25.30
25.41,25.25,25.49,25.25
25.26,25.63,25.65,25.26
25.80,25.81,25.82,25.48
25.69,25.84,25.85,25.51
25.77,25.80,25.87,25.57
25.75,25.64,25.78,25.51
25.83,25.88,25.97,25.58
25.94,25.97,25.99,25.83
25.93,25.82,25.96,25.62
25.90,25.85,25.92,25.71
25.72,25.90,25.94,25.72
25.93,25.95,25.99,25.83
25.86,26.16,26.20,25.86
26.11,26.05,26.20,26.00
26.20,26.08,26.23,26.04
26.18,26.14,26.24,26.04
26.04,26.19,26.23,25.94
26.25,26.27,26.44,26.07
26.28,26.10,26.29,25.93
26.10,25.95,26.22,25.90
26.03,25.90,26.25,25.86
26.07,25.81,26.22,25.74
25.90,25.84,26.08,25.77
26.00,26.15,26.15,25.85
26.32,26.39,26.42,25.81
26.50,27.00,27.00,26.40
26.93,26.82,26.98,26.56
26.82,26.88,27.19,26.70
26.77,27.00,27.00,26.61
26.90,26.89,27.04,26.71
26.91,26.20,26.91,26.10
26.25,26.40,26.50,26.14
26.88,26.66,26.88,26.40
26.78,26.95,26.95,26.60
26.91,26.97,27.18,26.84
26.96,27.04,27.04,26.65
27.03,26.85,27.12,26.75
26.90,26.44,26.90,26.41
26.50,27.00,27.10,25.91
26.85,26.98,27.09,26.80
27.10,27.12,27.28,27.09
27.26,27.16,27.27,27.02
27.16,27.21,27.24,27.00
26.49,26.57,26.60,26.16
26.57,26.32,26.69,26.30
26.32,26.11,26.40,26.07
26.11,26.01,26.25,25.90
26.04,26.15,26.20,25.93
26.04,25.96,26.19,25.95
26.10,26.05,26.11,26.00
26.23,25.82,26.23,25.59
25.97,25.56,26.05,25.50
25.68,25.66,25.81,25.38
25.66,25.75,25.80,25.60
25.94,25.97,25.97,25.77
25.95,26.11,26.16,25.81
26.15,26.24,26.25,26.04
26.25,26.09,26.30,26.09
26.05,26.12,26.29,26.02
26.19,25.84,26.19,25.68
25.80,25.62,25.98,25.61
25.72,25.61,25.75,25.50
26.03,25.92,26.03,25.56
26.11,26.01,26.14,25.85
26.11,25.99,26.14,25.85
26.11,26.07,26.12,25.92
26.14,26.24,26.30,25.93
26.24,26.26,26.30,26.03
26.34,26.43,26.43,26.28
26.47,26.78,26.78,26.35
26.80,27.02,27.20,26.76
27.00,26.86,27.07,26.75
26.80,27.11,27.11,26.76
27.15,27.38,27.40,26.75
27.08,27.27,27.41,26.96
27.40,27.61,27.74,27.40
27.75,27.67,28.19,27.67
27.76,27.81,28.17,27.61
28.02,28.17,28.17,27.90
28.25,28.36,28.48,28.19
28.48,28.39,28.67,28.20
28.61,28.51,28.63,28.31
28.51,28.95,28.98,28.50
28.95,28.50,29.00,28.25
28.47,28.43,28.54,28.00
28.44,28.62,28.75,28.44
28.74,28.41,28.75,28.27
28.69,28.68,28.80,28.41
28.77,28.85,28.85,28.54
28.92,28.60,28.92,28.50
28.54,28.75,28.87,28.54
28.87,28.63,28.93,28.50
28.56,27.83,28.62,27.62
27.78,27.08,28.00,27.00
27.01,26.37,27.02,25.89
26.29,26.95,26.95,26.27
26.86,27.35,27.52,26.75
27.55,27.20,27.83,27.20
27.39,27.66,27.94,27.20
27.89,28.07,28.07,27.71
28.34,28.39,28.73,28.11
28.61,28.50,28.61,28.45
28.45,28.60,28.69,28.40
28.88,28.84,28.89,28.72
28.91,28.80,28.91,28.63
28.85,28.65,28.89,28.62
27.92,27.90,28.09,27.50
28.06,27.71,28.43,27.40
27.71,27.10,27.79,27.10
26.75,26.83,27.06,26.25
26.94,27.16,27.34,26.62
25.03,25.20,25.44,24.78
25.31,25.44,25.55,25.20
25.65,25.97,25.97,25.57
26.00,25.67,26.03,25.61
25.88,25.87,25.99,25.67
26.01,26.00,26.03,25.79
25.95,25.80,25.97,25.60
25.84,26.08,26.11,25.67
26.12,25.90,26.12,25.90
26.04,25.87,26.07,25.85
25.74,25.55,25.80,25.50
25.69,25.98,26.07,25.57
25.87,26.00,26.10,25.79
26.02,26.00,26.20,25.90
26.10,26.10,26.11,25.91
26.01,25.94,26.05,25.75
25.95,25.81,25.99,25.76
25.83,26.01,26.05,25.76
26.10,26.00,26.10,25.80
25.98,25.80,25.98,25.69
25.61,25.83,25.87,25.61
25.88,25.87,25.99,25.78
25.88,26.05,26.10,25.82
26.08,26.10,26.14,25.94
26.03,26.04,26.08,25.85
26.07,26.08,26.10,25.92
26.11,26.16,26.20,26.10
26.20,26.25,26.30,26.18
26.17,26.24,26.32,26.08
26.27,26.30,26.34,26.21
26.27,26.29,26.35,26.13
26.28,26.24,26.34,26.09
26.34,26.36,26.36,26.21
26.34,26.27,26.60,26.20
26.22,26.25,26.47,26.21
26.32,26.02,26.32,25.99
26.00,25.84,26.00,25.75
25.96,26.25,26.28,25.96
26.25,26.18,26.35,26.06
26.19,26.34,26.38,26.16
26.29,25.99,26.32,25.90
25.95,25.95,26.03,25.76
25.96,25.85,26.14,25.80
25.84,25.80,25.99,25.77
25.83,25.42,25.89,25.20
25.44,25.65,25.69,25.38
25.66,25.87,25.97,25.63
25.90,25.96,26.01,25.73
25.83,25.71,25.89,25.57
25.79,25.80,25.91,25.65
25.80,25.92,25.97,25.64
26.00,26.17,26.23,25.90
26.19,26.14,26.25,26.06
26.28,26.33,26.33,26.17
26.21,25.83,26.26,25.81
25.94,25.73,25.99,25.68
25.15,25.05,25.26,25.01
25.05,24.22,25.06,24.19
23.48,22.65,23.59,21.76
22.40,22.33,22.68,22.01
22.41,22.47,22.48,22.11
22.50,22.63,22.70,22.33
22.62,22.38,22.83,22.25
22.78,22.52,22.88,22.37
22.45,22.56,22.75,22.29
22.57,22.36,22.63,22.25
22.36,22.61,22.61,22.30
22.64,22.72,22.76,22.50
22.84,22.79,23.07,22.77
22.89,22.79,22.99,22.74
22.61,22.71,22.78,22.41
22.75,22.58,22.79,22.55
22.60,22.47,22.73,22.30
22.51,22.64,22.69,22.41
22.65,22.72,22.80,22.61
22.72,22.57,22.79,22.50
22.57,22.97,22.97,22.57
23.02,22.76,23.02,22.69
22.80,23.09,23.13,22.76
