FIBK,First Interstate BancSystem,NASDAQ
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
16.00,15.70,16.42,15.40
16.25,16.06,16.25,15.96
16.47,16.55,16.97,16.25
17.05,16.69,17.05,16.55
16.76,16.34,16.76,16.21
16.40,16.25,16.45,16.10
16.40,16.01,16.40,16.00
16.10,16.03,16.15,15.98
16.03,15.97,16.05,15.90
15.99,15.85,16.00,15.80
15.93,15.90,15.93,15.69
15.88,15.98,16.07,15.69
16.08,16.00,16.21,16.00
15.97,15.71,16.05,15.60
15.99,16.00,16.16,15.92
16.00,16.10,16.17,16.00
16.18,15.90,16.18,15.90
15.80,15.84,16.05,15.80
15.80,16.04,16.10,15.80
16.09,16.11,16.12,15.99
16.08,16.51,16.52,15.99
16.50,16.66,16.80,16.50
16.57,16.17,16.67,16.10
16.06,15.98,16.14,15.90
16.00,16.24,16.25,16.00
16.20,16.31,16.38,16.09
16.21,16.20,16.38,16.10
16.17,16.16,16.34,16.10
16.15,16.19,16.35,16.00
16.05,16.18,16.20,16.05
16.05,15.91,16.20,15.85
15.81,15.77,16.04,15.60
16.00,15.65,16.08,15.55
15.65,15.76,15.98,15.58
15.87,15.86,15.93,15.60
15.85,15.92,15.99,15.69
15.99,15.84,16.00,15.74
15.96,15.72,15.96,15.65
15.70,15.54,15.88,15.38
15.39,15.37,15.65,15.36
15.35,15.31,15.50,15.19
15.25,15.39,15.40,15.10
15.38,15.30,15.49,15.18
15.06,15.07,15.19,15.05
15.07,15.28,15.35,15.07
15.32,15.80,15.84,15.32
15.70,15.75,15.78,15.50
15.94,16.17,16.24,15.81
15.93,16.00,16.25,15.75
15.93,15.88,16.00,15.76
15.61,15.73,15.92,15.50
15.68,15.64,15.73,15.57
15.70,15.64,15.74,15.50
15.77,15.35,15.77,15.35
15.68,15.31,15.68,15.17
15.18,15.40,15.58,15.16
15.46,15.37,15.74,15.35
15.54,15.62,15.70,15.30
15.27,15.81,16.00,15.27
16.00,15.65,16.00,15.56
15.58,15.82,15.90,15.55
15.79,15.71,15.79,15.50
15.62,15.89,16.08,15.62
15.91,16.11,16.20,15.67
15.90,15.96,16.14,15.60
15.87,16.21,16.24,15.71
16.16,15.80,16.16,15.69
15.53,15.71,15.93,15.53
15.76,15.73,15.85,15.66
15.73,15.46,15.73,15.42
15.61,15.54,15.72,15.43
15.60,15.76,15.82,15.60
15.68,15.60,15.80,15.50
15.67,15.60,15.74,15.52
15.54,15.73,15.80,15.50
15.72,15.20,15.83,15.20
15.28,15.70,15.79,15.20
15.61,15.49,15.61,15.37
15.59,15.22,15.59,15.14
15.13,14.95,15.31,14.92
15.00,14.93,15.00,14.89
14.88,14.95,14.99,14.76
15.00,14.69,15.00,14.67
14.85,14.97,15.01,14.73
14.94,14.26,14.94,13.76
14.11,13.16,14.40,12.82
13.20,13.02,13.29,12.89
13.05,13.13,13.17,12.95
13.20,13.13,13.20,13.00
13.00,13.30,13.58,13.00
13.45,13.98,14.29,13.25
14.06,13.60,14.06,13.58
13.64,13.53,13.92,13.49
13.46,13.39,13.50,13.31
13.35,13.50,13.53,13.35
13.56,13.64,13.75,13.39
13.50,13.11,13.73,13.05
13.00,12.69,13.28,12.68
12.57,12.51,12.99,12.35
12.47,12.36,12.66,12.35
12.30,12.14,12.48,12.00
12.25,12.50,12.67,12.10
12.54,12.60,12.65,12.20
12.51,12.14,12.51,12.11
12.15,12.22,12.36,12.15
12.27,12.00,12.42,12.00
12.06,11.98,12.20,11.77
12.05,12.20,12.33,11.85
12.22,12.00,12.43,12.00
12.10,12.41,12.45,11.98
12.32,11.50,12.32,11.50
11.54,11.42,11.87,11.07
11.56,12.13,12.40,11.27
12.06,12.07,12.25,11.95
12.12,12.82,12.83,12.12
12.80,12.70,12.80,12.45
12.76,13.36,13.41,12.71
13.49,13.19,13.59,13.02
13.10,13.08,13.28,13.04
13.22,13.48,13.55,13.10
13.49,13.47,13.49,13.39
13.37,13.39,13.45,13.17
13.36,13.40,13.44,13.35
13.45,13.10,13.45,13.05
13.12,13.37,13.40,13.12
13.45,13.40,13.50,13.31
13.49,13.36,13.50,13.32
13.26,13.02,13.41,13.02
13.27,13.41,13.44,13.00
13.48,13.42,13.48,13.17
13.45,13.40,13.49,13.20
13.33,13.43,13.44,13.26
13.42,13.46,13.47,13.30
13.50,13.55,13.56,13.26
13.48,13.37,13.50,13.28
13.50,13.37,13.50,13.29
13.29,13.16,13.36,13.09
13.31,12.78,13.31,12.60
12.75,12.47,12.78,12.33
12.55,12.47,12.65,12.29
12.39,12.29,12.39,12.15
12.33,12.42,12.53,12.15
12.38,12.45,12.54,12.30
12.59,12.61,12.74,12.47
12.69,12.79,12.80,12.57
12.65,12.62,13.01,12.60
12.67,12.42,12.67,12.42
12.38,12.27,12.60,12.20
12.29,12.43,12.70,12.29
12.56,12.11,12.56,12.00
12.05,12.57,12.58,12.00
12.46,12.57,12.63,12.40
12.69,12.84,13.00,12.56
12.82,12.96,13.07,12.82
12.90,12.88,13.04,12.80
13.05,13.00,13.10,12.89
13.05,13.00,13.05,12.80
13.00,13.04,13.06,12.93
13.07,13.02,13.25,12.96
13.00,13.03,13.15,12.96
13.00,13.00,13.05,12.95
13.02,13.29,13.29,12.96
13.21,14.12,14.40,13.20
14.00,14.21,14.48,13.86
14.23,14.46,14.75,14.17
14.37,14.00,14.54,13.92
14.03,13.98,14.10,13.75
14.08,14.02,14.08,13.82
13.98,14.04,14.09,13.80
13.96,14.15,14.17,13.95
14.02,14.07,14.14,13.91
14.14,14.11,14.14,13.68
14.03,14.17,14.19,13.82
14.07,14.41,14.45,13.88
14.28,13.62,14.74,13.37
13.78,14.38,14.45,13.66
14.36,14.27,14.36,14.05
14.24,14.54,14.55,13.99
14.49,14.48,14.55,14.40
14.56,14.48,14.63,14.41
14.48,14.35,14.59,14.34
14.44,14.69,14.75,14.30
14.55,15.00,15.14,14.49
15.00,14.89,15.10,14.57
14.88,14.63,14.88,14.58
14.57,14.46,14.62,14.25
14.22,14.49,14.57,13.64
14.48,14.89,14.91,14.19
14.65,14.80,14.93,14.60
14.82,15.00,15.00,14.74
15.00,15.11,15.12,14.66
15.07,15.00,15.15,14.99
15.00,15.14,15.24,14.98
15.22,15.23,15.33,15.00
15.16,15.31,15.35,15.16
15.25,15.37,15.39,15.25
15.31,15.24,15.39,15.23
15.30,15.57,15.60,15.22
15.58,15.49,15.58,15.05
15.41,15.53,15.64,15.41
15.47,15.90,15.96,15.38
15.84,15.59,15.84,15.34
15.61,15.74,15.74,15.34
15.89,15.51,16.11,15.50
15.67,15.09,15.67,14.88
15.01,14.83,15.01,14.60
14.84,15.04,15.25,14.60
14.85,15.17,15.57,14.85
15.12,14.80,15.12,14.76
14.80,14.25,14.95,14.25
14.33,13.61,14.54,13.60
13.70,13.45,13.76,13.38
13.36,13.74,13.77,13.36
13.62,13.84,14.06,13.62
13.86,13.71,14.06,13.70
13.65,13.08,13.71,13.07
13.34,12.99,13.34,12.96
13.09,13.68,13.74,13.00
13.68,13.46,13.94,13.30
13.50,13.70,13.76,13.44
13.90,13.64,14.07,13.61
13.61,13.62,13.95,13.51
13.66,13.62,13.66,13.45
13.52,13.80,13.80,13.41
13.76,13.88,13.92,13.75
13.79,14.20,14.21,13.79
14.13,14.49,14.71,14.03
14.44,14.69,14.81,14.26
14.69,15.09,15.10,14.61
14.86,15.05,15.09,14.80
15.15,15.15,15.19,15.05
14.88,15.00,15.17,14.87
15.00,15.00,15.05,14.87
15.06,14.37,15.06,14.16
14.34,14.20,14.34,13.50
14.10,14.29,14.57,13.91
14.41,14.30,14.43,14.15
14.30,14.23,14.31,13.82
14.43,14.58,14.60,14.28
14.59,14.66,14.75,14.53
14.72,14.49,14.72,14.34
14.36,14.61,14.64,14.36
14.63,14.35,14.63,14.35
14.23,14.15,14.24,13.98
14.02,14.07,14.19,13.99
14.20,13.96,14.25,13.94
13.81,13.92,14.04,13.80
13.86,13.99,14.04,13.70
14.17,13.75,14.32,13.72
13.82,13.94,14.16,13.71
14.09,14.00,14.18,13.87
14.00,14.10,14.16,13.89
14.14,13.95,14.14,13.80
14.00,13.80,14.00,13.80
13.89,13.68,13.99,13.66
13.75,13.58,13.80,13.55
13.63,13.63,13.69,13.51
13.65,13.68,13.75,13.62
13.60,13.60,13.68,13.50
13.62,13.59,13.74,13.53
13.60,13.52,13.67,13.48
13.55,13.55,13.87,13.50
13.49,13.63,13.65,13.49
13.60,13.53,13.70,13.52
13.64,13.36,13.65,13.36
13.35,13.32,13.36,13.20
13.24,13.24,13.40,13.13
13.35,13.33,13.39,13.24
13.25,13.28,13.41,13.14
13.28,13.32,13.40,13.15
13.23,13.37,13.39,13.16
13.30,13.30,13.35,13.22
13.40,13.40,13.40,13.25
13.40,13.40,13.40,13.22
13.36,13.29,13.36,13.18
13.40,13.19,13.76,13.14
13.25,13.26,13.48,13.25
13.29,13.39,13.40,13.13
13.40,13.68,13.80,13.40
13.58,13.57,13.90,13.41
13.51,13.70,13.83,13.51
13.22,13.37,13.67,13.22
13.33,13.40,13.58,13.31
13.51,13.16,13.51,13.16
13.19,13.27,13.28,13.13
13.25,13.64,13.64,13.25
13.65,13.26,13.65,13.24
13.20,13.45,13.52,13.20
13.51,13.34,13.65,13.25
13.29,13.20,13.47,13.17
13.16,13.29,13.38,13.08
13.29,13.81,13.81,13.26
13.82,13.68,13.82,13.60
13.61,13.41,13.61,13.41
13.27,13.25,13.38,13.22
13.25,13.25,13.34,13.21
13.18,13.35,13.43,13.18
13.30,13.32,13.45,13.11
13.37,13.49,13.62,13.33
13.61,14.20,14.20,13.43
14.12,13.65,14.12,13.65
13.65,13.71,13.89,13.65
13.58,13.60,13.90,13.43
13.56,13.53,13.68,13.37
13.65,13.55,13.79,13.50
