FLXS,Flexsteel Industries,NASDAQ
10.19,9.80,10.19,9.73
9.95,10.05,10.20,9.75
9.61,9.60,9.78,9.60
9.50,9.43,9.95,9.33
9.43,9.72,9.72,9.43
9.74,9.60,10.08,9.60
9.97,10.00,10.00,9.97
10.19,11.75,12.10,10.19
11.79,11.70,11.90,11.30
11.75,11.30,11.75,11.17
11.30,10.88,11.44,10.81
11.05,11.18,11.31,10.90
11.23,11.13,11.51,11.00
11.13,11.09,11.55,11.01
11.50,11.41,11.50,11.41
11.43,11.50,11.50,11.43
11.71,11.38,11.80,11.25
11.27,11.42,11.45,11.27
11.60,11.67,11.75,11.60
11.61,11.26,11.61,11.26
11.33,11.42,11.42,11.25
11.20,11.20,11.20,11.20
11.20,11.61,11.65,11.20
11.62,11.31,11.75,11.30
11.40,11.52,11.52,11.30
11.35,11.27,11.52,11.20
11.56,11.40,11.58,11.40
11.33,11.30,11.33,11.30
11.30,11.30,11.33,11.28
11.30,11.27,11.40,11.26
11.35,11.80,11.80,11.35
11.80,11.41,11.80,11.41
11.66,11.65,11.99,11.50
11.77,11.80,12.00,11.77
11.38,11.51,11.86,11.37
11.64,11.80,11.82,11.60
11.95,11.99,11.99,11.95
12.00,11.83,12.00,11.78
12.00,12.03,12.05,11.81
12.01,12.74,12.90,12.01
12.87,13.27,13.50,12.87
13.46,12.99,13.50,12.78
13.06,13.41,13.51,13.06
14.96,15.40,16.31,14.69
15.99,15.65,15.99,15.50
15.79,15.63,16.00,15.41
15.64,15.60,15.84,15.47
15.74,15.91,15.92,15.53
16.01,15.98,16.27,15.85
15.98,16.15,16.50,15.98
16.42,16.39,16.42,15.80
16.42,16.25,16.42,16.01
16.05,16.32,16.32,15.86
15.99,16.20,16.30,15.60
16.15,16.05,16.15,15.70
16.00,15.84,16.00,15.66
15.60,15.37,15.74,15.34
15.42,14.20,15.42,14.10
13.61,13.35,13.72,13.21
13.26,12.92,13.37,12.82
12.83,13.59,13.59,12.80
13.36,13.60,13.65,13.24
13.60,13.87,13.87,13.31
13.75,13.94,13.94,13.75
13.99,14.63,14.63,13.96
14.63,14.95,15.12,14.27
15.05,15.08,15.29,14.90
15.15,15.45,15.45,15.15
15.38,15.45,15.45,15.00
15.44,15.36,15.48,15.20
15.43,15.41,15.44,15.20
15.40,15.30,15.40,14.64
15.34,15.17,15.34,15.01
15.26,15.43,15.49,15.09
15.65,15.39,15.74,15.04
15.35,15.45,15.74,15.22
15.59,15.45,15.59,15.32
15.50,15.44,15.52,15.28
15.40,15.40,15.40,15.04
15.11,15.21,15.70,15.05
15.41,14.94,15.41,14.94
14.94,14.01,14.94,13.80
13.95,13.42,13.95,13.24
13.25,13.47,13.85,13.02
13.18,12.61,13.18,12.44
12.98,12.61,13.16,12.56
13.44,12.60,13.44,12.51
12.75,13.36,13.55,12.75
13.54,13.85,14.09,13.21
13.74,13.25,13.76,13.07
13.42,12.87,13.42,12.83
12.77,12.75,12.95,12.63
13.08,13.24,13.27,13.08
13.27,12.71,13.27,12.63
12.62,12.31,12.66,12.22
12.27,12.05,12.44,12.05
12.20,12.05,12.44,12.00
12.10,11.77,12.10,11.58
11.35,11.85,11.87,11.35
11.88,12.93,13.55,11.88
12.49,12.85,13.57,12.40
12.37,11.78,12.37,11.58
11.78,11.14,11.78,10.80
11.14,11.64,11.71,11.00
11.70,11.40,11.71,11.06
11.38,11.46,11.60,11.13
11.59,11.23,11.60,11.23
11.26,11.29,11.58,11.26
11.36,11.70,11.94,11.30
11.52,11.70,11.88,11.47
11.82,11.69,11.87,11.64
11.48,11.90,11.90,11.48
11.80,11.97,11.97,11.80
11.60,11.06,11.75,11.06
11.09,11.14,11.48,11.09
11.19,11.38,11.78,11.19
11.75,11.67,11.75,11.33
11.85,11.42,11.85,11.42
11.40,11.49,11.50,11.29
11.51,11.25,11.51,11.21
11.25,11.07,11.25,11.00
11.48,11.08,11.48,11.07
11.46,10.91,11.46,10.90
10.91,11.00,11.10,10.75
10.59,10.65,10.96,10.54
10.70,10.50,10.99,10.50
10.50,10.36,10.68,10.08
10.45,10.69,10.73,10.19
11.02,10.58,11.02,10.39
10.65,10.89,10.89,10.43
10.71,10.86,10.87,10.42
10.95,10.89,11.59,10.71
10.68,10.46,10.71,10.31
10.51,10.21,10.51,10.21
10.25,10.30,10.31,10.25
10.44,10.22,10.44,10.22
10.46,10.45,10.46,10.45
10.30,10.26,10.35,10.24
10.40,10.46,10.46,10.40
10.38,10.48,10.48,10.38
10.22,10.36,10.47,10.21
10.41,10.43,10.47,10.25
10.45,10.65,10.77,10.45
10.80,10.88,10.96,10.80
10.95,11.21,11.24,10.95
11.26,11.45,11.76,11.22
11.53,11.70,11.70,10.85
11.75,12.23,12.51,11.75
12.25,13.10,13.11,12.25
13.33,12.90,13.47,12.90
13.01,13.06,13.11,12.92
13.15,12.90,13.15,12.58
12.98,12.17,13.01,12.16
12.17,11.73,12.17,11.43
11.59,11.65,11.65,11.40
11.97,11.68,11.97,11.53
12.05,12.42,12.77,12.00
12.17,12.04,12.73,12.03
13.02,13.20,14.00,13.02
13.29,13.40,13.97,13.29
13.31,13.90,14.00,13.30
13.72,13.80,13.80,13.65
13.80,13.80,13.82,13.59
13.91,13.94,13.95,13.90
13.70,14.00,14.00,13.70
14.12,14.20,14.24,14.07
14.25,14.15,14.25,14.00
14.10,14.15,14.20,14.08
14.17,14.20,14.30,14.03
14.15,14.30,14.30,14.15
14.55,14.64,14.64,14.39
14.65,14.20,14.65,14.20
14.57,14.51,14.57,14.38
14.52,14.72,14.75,14.52
14.75,14.84,14.84,14.50
14.96,14.75,14.96,14.54
14.83,14.94,15.08,14.61
14.76,14.98,14.98,14.76
15.21,14.60,15.84,14.54
14.83,14.83,15.09,14.67
14.46,15.08,15.09,14.02
15.00,15.00,15.00,14.64
15.08,15.08,15.42,15.08
15.13,14.90,15.13,14.90
14.99,14.52,15.10,14.52
14.65,14.76,14.98,14.65
14.69,14.22,15.18,14.12
14.35,15.34,15.34,14.27
15.23,15.06,15.36,14.77
15.21,14.95,15.58,14.79
15.48,15.25,15.59,14.51
15.37,14.95,15.37,14.58
14.80,14.89,15.00,14.76
14.75,14.76,15.08,14.75
14.49,14.54,14.97,14.49
14.58,15.15,15.20,14.22
15.20,15.03,15.20,14.82
15.23,14.97,15.23,14.78
14.99,15.31,15.31,14.52
15.33,15.13,15.35,14.93
15.18,15.23,15.23,14.93
15.10,14.96,15.29,14.51
15.18,15.25,15.26,14.99
15.18,15.00,15.18,14.95
14.99,14.99,15.24,14.99
15.00,15.00,15.10,14.99
14.96,14.99,15.09,14.75
15.08,15.00,15.16,15.00
15.12,15.12,15.12,15.00
14.97,15.00,15.25,14.97
15.24,15.04,15.24,15.04
15.25,15.15,15.25,15.01
15.11,15.19,15.25,14.95
15.01,15.58,15.72,14.99
15.37,15.73,16.02,15.35
15.65,15.50,15.98,15.50
15.64,15.37,15.64,15.37
15.45,15.40,15.45,15.05
15.41,15.11,15.84,15.11
15.32,15.42,15.45,15.15
15.47,15.17,15.54,14.99
15.20,15.28,15.40,15.11
15.56,15.93,15.97,15.48
15.98,16.82,17.00,15.85
16.82,17.50,17.50,16.82
17.40,17.20,17.40,17.07
17.25,17.24,17.30,17.10
17.34,17.34,17.37,17.34
17.36,17.31,17.38,17.21
17.35,17.30,17.47,17.20
17.20,17.24,17.31,17.10
17.27,17.19,17.35,16.74
17.20,17.16,17.35,17.09
17.16,17.23,17.34,17.11
17.18,17.23,17.35,17.11
17.31,17.21,17.37,17.17
17.21,17.20,17.40,17.13
17.36,17.39,17.39,17.20
17.50,17.31,17.50,17.17
17.17,17.23,17.31,17.14
17.15,17.25,17.25,17.11
17.16,16.84,17.27,16.71
16.61,16.89,16.90,16.43
16.87,16.73,17.00,16.71
16.73,16.73,16.73,16.73
16.88,16.84,16.88,16.73
16.74,16.71,16.75,16.54
16.49,16.47,16.66,16.47
16.73,16.56,16.73,16.56
16.97,18.21,18.60,16.85
18.46,18.05,18.75,18.01
17.94,17.75,18.08,17.61
17.95,17.96,18.37,17.33
18.00,17.80,18.00,17.56
17.80,17.77,17.96,17.55
17.78,17.97,18.09,17.70
17.98,17.92,18.48,17.91
17.92,18.30,18.94,17.85
18.71,18.48,19.69,18.33
18.45,18.60,18.70,18.45
18.49,18.69,18.69,18.36
18.39,18.24,18.39,18.24
18.24,18.10,18.30,17.80
18.20,18.00,18.23,17.84
