FNGN,Financial Engines,NASDAQ
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
15.00,17.25,17.36,14.90
17.12,16.69,17.25,16.58
16.96,17.05,17.75,16.65
17.18,17.60,18.15,17.01
17.61,18.55,18.91,17.08
18.89,18.05,18.96,18.00
17.90,17.39,18.10,17.20
17.65,17.00,17.97,16.90
17.19,17.28,17.49,16.78
17.16,17.03,17.50,16.95
17.11,17.08,17.33,16.81
17.22,16.90,17.27,16.78
16.88,16.57,16.91,16.40
16.55,16.25,16.60,16.08
16.17,16.20,16.50,16.10
16.17,16.40,16.49,16.17
16.30,16.73,16.84,16.29
16.74,16.67,16.88,16.35
16.56,17.18,17.25,16.40
17.06,17.22,17.27,16.60
17.29,16.50,17.29,16.43
16.42,16.50,16.80,16.25
16.60,15.93,16.60,15.61
15.81,16.07,16.16,15.31
16.24,16.17,16.24,15.69
16.12,15.51,16.32,15.50
15.53,15.60,15.82,15.31
15.64,16.76,16.77,15.27
16.55,16.74,16.99,15.79
16.50,16.24,16.50,16.11
16.27,16.01,16.32,16.00
16.00,16.66,16.75,15.91
16.64,15.92,16.87,15.85
15.93,16.12,16.18,15.77
16.00,15.52,16.24,15.50
15.51,15.59,15.99,15.50
15.50,15.57,15.84,14.80
15.71,15.52,15.71,15.01
15.71,15.64,15.99,15.50
15.52,15.65,15.86,15.30
15.90,15.85,15.95,15.55
15.75,15.69,15.96,15.55
15.55,15.54,15.67,15.50
15.85,15.76,15.85,15.50
15.91,15.82,15.96,15.66
15.64,15.50,15.80,15.37
15.50,15.30,15.66,15.15
15.50,15.66,15.87,15.50
15.63,15.50,15.81,15.50
15.43,15.13,15.43,15.05
15.30,14.96,15.57,14.71
15.15,15.22,15.36,14.80
15.34,15.24,15.40,15.10
15.18,14.96,15.40,14.81
15.00,15.00,15.15,14.65
14.90,15.25,16.09,14.44
15.07,14.82,15.25,14.80
14.88,14.60,15.12,14.38
14.55,13.92,14.67,13.70
14.14,13.41,14.62,13.09
13.53,13.97,14.00,13.50
14.00,13.92,14.15,13.52
14.07,14.01,14.80,13.60
13.98,14.46,14.66,13.92
14.45,15.18,15.18,14.36
15.14,15.24,15.25,14.91
15.25,15.83,15.90,15.14
15.88,15.28,15.88,15.00
15.26,14.50,15.26,14.05
14.44,14.43,14.58,14.02
14.36,14.78,14.98,14.25
14.87,15.29,15.48,13.67
15.25,15.19,15.50,14.52
15.07,14.69,15.07,14.50
14.74,13.60,14.78,13.26
13.67,12.47,13.67,12.40
12.60,12.60,12.97,12.51
12.77,12.56,12.95,12.47
12.64,12.35,12.64,12.28
12.51,12.59,12.64,12.27
12.60,13.00,13.00,12.56
12.92,13.08,13.18,12.77
13.23,13.09,13.35,12.91
13.00,13.19,13.46,12.88
13.32,13.42,13.64,12.97
13.41,13.15,13.45,13.02
13.24,13.20,13.43,12.95
13.02,13.96,13.97,12.96
14.00,13.70,14.00,13.49
13.90,14.95,15.09,13.78
14.92,14.75,14.92,14.62
14.86,14.29,15.31,14.06
14.43,14.21,14.75,13.84
14.21,13.84,14.21,13.75
13.92,14.47,14.57,13.92
14.25,14.65,14.75,14.23
14.75,14.81,15.23,13.94
14.74,15.24,15.75,14.24
15.30,15.43,15.50,15.23
15.34,15.76,16.16,15.31
15.57,15.26,15.80,14.80
15.41,15.58,15.71,15.31
15.40,15.23,15.50,14.98
14.88,15.03,15.19,14.26
14.79,14.77,15.82,14.50
14.69,14.88,14.95,13.79
14.76,15.34,15.43,14.76
15.46,15.68,15.73,14.75
15.61,15.05,15.61,15.00
15.00,14.50,15.30,14.31
14.37,14.52,14.65,14.09
14.55,14.39,14.80,14.36
14.19,14.49,14.69,14.13
14.47,14.73,14.80,14.31
14.76,14.26,14.80,14.09
14.44,14.17,14.44,14.07
13.23,13.26,13.72,12.70
13.25,13.30,13.38,12.88
13.50,13.45,13.89,13.06
13.50,13.33,13.51,13.23
13.46,13.58,13.60,13.00
13.56,13.51,13.60,13.20
13.58,13.18,13.58,13.01
13.29,13.89,13.96,13.17
13.87,13.56,13.87,13.44
13.66,13.89,13.94,13.39
13.88,13.76,13.95,13.55
13.74,13.86,13.87,13.41
13.85,13.84,13.91,13.55
13.95,13.87,13.95,13.68
13.87,13.87,13.99,13.76
13.90,13.87,13.97,13.77
13.79,13.75,13.90,13.64
13.70,13.81,13.91,13.67
13.99,13.79,13.99,13.71
13.76,13.74,13.94,13.53
13.76,13.48,13.76,13.45
13.46,13.48,13.61,13.40
13.50,13.28,13.50,13.19
13.40,13.30,13.49,13.24
13.20,13.27,13.34,13.08
13.41,13.70,13.77,13.27
13.72,13.60,13.72,13.31
13.66,13.25,14.03,13.20
13.29,13.63,13.66,13.09
13.58,13.38,13.60,13.24
13.30,14.08,14.13,13.29
14.10,14.40,14.50,14.10
14.40,14.18,14.56,13.95
14.30,14.19,14.34,13.97
14.22,14.20,14.29,13.85
14.03,14.18,14.41,13.95
14.25,14.24,14.32,14.14
14.25,14.20,14.38,13.96
14.21,14.50,14.55,14.10
14.56,14.46,14.63,14.31
14.38,14.63,14.90,14.38
14.54,14.68,14.82,14.24
14.77,14.54,14.77,14.30
14.46,14.73,14.79,14.07
14.74,14.38,14.88,14.30
14.51,14.63,14.75,14.48
14.62,14.29,14.65,14.07
14.49,14.74,14.99,14.36
14.72,15.04,15.45,14.56
15.09,14.96,15.27,14.91
15.25,16.99,17.51,15.24
17.08,16.91,17.22,16.78
16.45,16.40,16.90,16.07
16.12,15.89,16.13,15.58
15.94,15.98,16.00,15.62
15.79,15.74,15.96,15.50
15.59,15.50,15.74,14.75
15.58,15.82,15.84,15.46
15.85,15.85,15.92,15.57
15.95,16.19,16.43,15.56
15.98,16.65,16.70,15.72
16.66,16.70,16.86,16.47
16.32,16.74,16.80,16.25
16.63,16.81,16.81,16.46
16.66,16.92,17.04,16.62
17.00,17.12,17.25,16.86
17.12,17.00,17.17,16.78
16.87,16.82,17.00,16.62
16.74,16.77,16.81,16.35
16.80,17.70,18.07,16.66
17.72,17.61,17.75,17.35
17.64,17.52,17.66,17.30
17.50,17.92,17.92,16.94
17.94,17.92,18.14,17.62
18.01,17.53,18.01,17.42
17.47,17.22,17.60,17.04
17.23,17.07,17.25,16.73
17.03,17.77,17.80,16.81
17.79,19.11,19.19,17.36
19.13,19.40,19.50,18.92
19.41,19.32,19.45,19.10
19.32,19.48,19.66,19.18
19.50,19.87,19.93,18.99
19.94,19.97,20.41,19.70
20.08,19.87,20.21,19.41
19.94,19.74,20.05,19.68
19.75,19.83,20.35,19.26
19.85,19.84,20.05,19.42
19.93,19.44,19.93,19.09
19.45,20.11,20.22,19.11
20.03,20.29,20.34,19.81
20.25,20.99,21.00,19.99
21.00,20.60,21.00,20.50
20.60,20.88,20.96,20.45
21.00,21.34,21.61,20.75
21.37,22.90,23.61,21.02
22.92,23.77,23.98,22.40
23.57,23.42,23.86,22.63
23.36,23.91,24.20,23.36
24.03,24.10,24.32,23.50
24.09,23.88,24.09,23.56
23.82,23.55,23.87,23.28
23.36,23.49,23.64,23.23
23.50,23.64,24.52,23.47
23.60,23.30,23.75,23.15
23.17,22.95,23.26,22.76
23.00,22.68,23.33,22.57
22.75,23.30,23.71,22.50
23.15,22.90,23.43,22.68
22.82,22.88,23.12,22.38
22.83,22.06,22.83,21.99
22.04,22.42,22.46,21.66
22.37,22.98,23.02,21.88
22.95,22.86,23.40,22.51
22.81,24.40,24.81,22.81
24.39,24.56,24.56,24.00
24.50,25.79,25.85,24.45
25.82,25.27,25.90,25.18
25.59,26.30,26.32,22.88
25.93,26.17,26.74,25.65
25.59,25.20,25.85,24.88
25.03,24.85,25.20,24.60
24.55,24.81,25.06,24.00
24.70,24.20,24.77,24.17
24.24,24.02,24.43,23.56
24.21,24.41,24.54,23.91
24.45,25.00,25.04,24.01
25.01,24.99,25.27,24.86
25.16,25.00,25.20,24.86
25.05,25.01,25.07,24.75
25.01,24.64,25.23,24.38
24.65,24.69,24.80,24.52
24.60,24.62,24.75,24.54
24.36,23.85,24.43,23.52
23.83,23.89,24.11,23.59
23.69,23.76,23.94,23.20
23.27,23.64,23.88,22.82
23.58,23.30,23.64,23.06
23.50,23.91,24.00,23.30
24.02,24.29,24.38,23.82
24.40,25.02,25.12,24.32
25.09,25.10,25.39,24.96
25.20,25.41,25.44,24.98
25.50,25.35,25.50,25.28
25.47,25.26,25.49,25.25
25.27,26.30,26.48,25.19
26.35,26.91,27.19,25.83
26.99,27.53,27.64,26.42
27.52,27.56,27.94,27.18
27.80,27.98,28.04,27.44
28.15,28.08,28.23,27.97
28.10,28.08,28.36,27.84
28.25,28.15,28.25,27.84
28.21,28.38,28.85,27.83
28.54,28.19,28.54,28.07
28.14,27.61,28.14,26.73
27.56,27.54,27.79,26.58
27.66,26.96,27.69,26.90
26.96,27.07,27.56,26.69
27.01,27.62,27.67,26.97
27.38,27.33,27.43,26.98
27.44,28.42,28.48,27.25
28.52,28.31,28.72,27.92
28.50,27.86,28.50,27.47
27.73,28.24,28.28,27.00
27.89,28.01,28.23,27.66
28.07,28.35,28.50,27.67
28.01,28.38,28.51,27.95
28.45,28.43,28.50,28.08
28.50,28.22,29.00,27.97
28.35,27.90,28.49,27.74
28.00,27.78,28.11,27.70
27.75,27.62,27.81,27.21
27.80,27.88,28.12,27.70
27.91,28.68,28.96,27.91
28.77,27.57,28.99,26.75
27.58,27.66,27.78,27.30
26.89,27.17,27.24,26.81
27.17,26.81,27.30,26.50
26.60,26.40,26.60,26.22
26.05,26.17,26.89,26.04
25.91,25.40,26.00,25.10
25.46,25.35,25.81,25.22
25.21,25.44,25.61,24.83
25.17,24.90,25.41,24.67
24.95,25.15,25.26,24.61
25.15,25.06,25.38,24.82
24.81,25.13,25.18,24.65
25.18,25.02,25.21,24.96
25.21,24.90,25.38,24.60
24.98,24.01,25.11,23.90
24.18,23.78,24.53,23.61
23.68,23.72,23.92,23.48
23.65,23.43,23.82,23.38
23.57,23.39,23.96,23.32
23.25,22.90,23.40,22.64
