FOLD,Amicus Therapeutics,NASDAQ
4.03,3.84,4.07,3.70
3.85,3.79,3.85,3.77
3.76,3.73,3.92,3.70
3.73,3.77,3.89,3.70
3.75,3.78,3.83,3.67
3.84,4.10,4.47,3.82
4.00,3.96,4.09,3.85
3.96,3.87,3.96,3.66
3.95,3.83,3.95,3.80
3.88,3.91,3.95,3.85
3.94,3.98,4.00,3.75
3.94,3.92,3.99,3.85
3.92,3.79,4.09,3.74
3.79,3.93,3.99,3.79
3.97,3.86,3.97,3.75
3.84,3.76,3.97,3.74
3.74,3.92,3.96,3.74
3.94,3.85,3.94,3.77
3.86,3.77,3.95,3.76
3.80,3.94,3.94,3.74
3.93,3.71,3.93,3.70
3.70,3.77,3.82,3.67
3.73,3.61,3.83,3.61
3.63,3.52,3.63,3.42
3.50,3.44,3.52,3.43
3.50,3.49,3.70,3.43
3.47,3.34,3.71,3.30
3.35,3.72,4.13,3.35
3.75,3.62,3.75,3.54
4.08,3.84,4.08,3.60
4.09,3.91,4.10,3.64
3.94,3.96,3.96,3.89
3.95,3.87,3.98,3.85
3.87,3.85,3.95,3.81
3.84,3.76,3.93,3.71
3.76,3.69,3.77,3.65
3.63,3.51,3.65,3.37
3.45,3.31,3.50,3.30
3.33,3.40,3.42,3.32
3.43,3.32,3.47,3.26
3.33,3.20,3.44,3.14
3.30,3.20,3.30,3.18
3.21,3.21,3.29,3.17
3.22,3.12,3.23,3.06
3.16,3.30,3.40,3.04
3.29,3.32,3.34,3.29
3.29,3.40,3.40,3.29
3.42,3.43,3.48,3.38
3.41,3.37,3.41,3.32
3.37,3.32,3.39,3.26
3.32,3.36,3.39,3.26
3.33,3.31,3.37,3.27
3.33,3.33,3.36,3.23
3.31,3.33,3.33,3.21
3.31,3.31,3.34,3.28
3.29,3.26,3.33,3.22
3.27,3.33,3.34,3.27
3.36,3.38,3.39,3.33
3.43,3.36,3.44,3.32
3.38,3.38,3.40,3.31
3.35,3.19,3.40,3.19
3.21,3.28,3.29,3.20
3.29,3.30,3.32,3.24
3.35,3.30,3.38,3.26
3.30,3.27,3.30,3.23
3.25,3.23,3.30,3.23
3.21,3.28,3.30,3.21
3.29,3.32,3.37,3.21
3.30,3.30,3.35,3.27
3.30,3.30,3.30,3.28
3.29,3.29,3.31,3.23
3.29,3.26,3.30,3.15
3.26,3.26,3.35,3.19
3.28,3.30,3.30,3.24
3.30,3.30,3.31,3.27
3.28,3.30,3.30,3.21
3.27,3.30,3.30,3.20
3.27,3.29,3.34,3.25
3.27,3.21,3.30,3.21
3.20,3.21,3.24,3.19
3.32,3.31,3.32,3.22
3.30,3.25,3.30,3.20
3.27,3.25,3.31,3.16
3.20,3.21,3.29,3.16
3.16,3.17,3.24,3.08
3.15,3.05,3.24,2.90
3.02,2.79,3.04,2.75
2.99,3.01,3.04,2.85
2.98,3.10,3.15,2.92
3.12,3.30,3.30,3.11
3.30,3.30,3.30,3.23
3.27,3.21,3.30,3.15
3.21,3.28,3.29,3.15
3.30,3.22,3.33,3.14
3.20,3.17,3.29,3.17
3.12,2.99,3.31,2.91
2.98,2.92,3.16,2.90
2.93,2.99,3.17,2.85
2.94,2.86,3.05,2.85
2.90,2.98,3.10,2.90
3.10,3.09,3.10,2.92
3.06,2.99,3.11,2.90
2.95,2.83,3.20,2.81
2.83,3.03,3.08,2.82
3.01,3.02,3.16,2.93
2.95,2.80,3.04,2.80
2.82,2.83,2.88,2.80
2.81,2.77,2.90,2.67
2.80,2.66,2.84,2.58
2.71,2.74,2.78,2.58
2.70,2.71,2.76,2.62
2.74,2.73,2.93,2.66
2.75,2.81,2.93,2.68
2.78,2.73,2.93,2.71
2.76,2.77,2.83,2.73
2.79,2.78,2.91,2.71
2.80,2.67,2.80,2.59
2.69,2.65,2.78,2.61
2.65,2.62,2.73,2.57
2.60,2.57,2.66,2.55
2.59,2.53,2.82,2.49
2.58,2.29,2.58,2.29
2.26,2.05,2.32,1.98
2.05,2.24,2.24,2.05
2.21,2.20,2.24,2.10
2.18,2.11,2.23,2.11
2.15,2.18,2.26,2.14
2.19,1.95,2.19,1.88
1.97,2.04,2.04,1.95
2.04,2.03,2.07,1.98
2.01,2.07,2.07,1.89
2.07,2.04,2.17,1.92
1.99,2.01,2.07,1.99
2.00,2.20,2.24,1.97
2.21,2.26,2.30,2.19
2.23,2.29,2.30,2.13
2.25,2.45,2.45,2.25
2.45,2.63,2.70,2.45
2.73,2.61,2.74,2.54
2.63,2.57,2.65,2.56
2.58,2.49,2.60,2.49
2.36,2.48,2.60,2.36
2.47,2.52,2.53,2.47
2.52,2.50,2.53,2.49
2.49,2.53,2.60,2.49
2.56,2.63,2.78,2.56
2.66,2.60,2.71,2.45
2.59,2.65,2.66,2.55
2.66,2.51,2.69,2.49
2.51,2.68,2.94,2.51
2.73,2.76,2.78,2.71
2.75,2.88,2.91,2.60
2.84,3.05,3.15,2.84
3.01,3.31,3.85,3.01
3.31,3.02,3.31,3.02
3.03,2.96,3.03,2.90
3.02,3.14,3.18,2.93
3.17,3.03,3.18,3.01
3.02,3.06,3.19,2.99
3.07,3.00,3.09,3.00
3.00,2.96,3.13,2.96
2.92,3.09,3.11,2.90
3.05,3.17,3.30,2.90
3.20,3.20,3.40,3.11
3.22,3.26,3.28,3.15
3.27,3.27,3.30,3.11
3.21,3.28,3.34,3.17
3.36,3.18,3.36,3.18
3.20,3.16,3.20,2.96
3.16,3.16,3.20,3.03
3.15,3.18,3.18,3.10
3.16,3.28,3.29,3.15
3.28,3.29,3.34,3.22
3.28,3.29,3.32,3.27
3.29,3.35,3.35,3.29
3.36,3.40,3.45,3.28
3.42,3.55,3.58,3.40
3.50,3.75,3.77,3.50
3.78,3.97,4.03,3.54
4.00,4.02,4.05,3.80
4.01,4.00,4.05,3.96
3.77,3.95,3.99,3.77
3.85,3.99,4.01,3.77
3.78,3.82,3.86,3.78
3.87,3.82,3.88,3.78
3.78,3.77,3.97,3.76
3.76,3.80,3.84,3.76
3.87,3.92,3.95,3.82
4.00,3.67,4.00,3.61
3.72,3.78,3.85,3.65
3.80,3.86,3.87,3.79
3.81,3.85,3.89,3.78
3.92,3.80,4.00,3.74
3.76,3.84,3.84,3.76
3.89,3.92,3.94,3.83
4.00,4.04,4.05,3.92
4.00,3.96,4.05,3.89
4.05,3.94,4.05,3.94
3.99,4.00,4.00,3.94
4.06,4.04,4.20,4.01
3.96,3.88,4.09,3.86
3.91,3.85,3.92,3.83
3.85,3.91,3.99,3.81
3.99,3.89,3.99,3.85
3.81,3.76,3.86,3.75
3.67,4.29,4.36,3.55
4.35,4.09,4.35,4.06
3.94,3.95,4.13,3.94
4.50,4.11,4.53,4.11
4.13,4.05,4.25,4.03
4.15,4.40,4.42,4.11
4.34,4.35,4.41,4.18
4.41,4.31,4.42,4.20
4.32,4.30,4.49,4.26
4.40,4.35,4.40,4.25
4.49,4.32,4.50,4.22
4.34,4.24,4.34,4.24
4.28,4.30,4.37,4.14
4.33,4.45,4.45,4.11
4.38,4.23,4.38,4.23
4.26,4.21,4.30,4.09
4.20,4.08,4.20,3.98
4.17,4.18,4.18,4.06
4.12,4.18,4.18,3.98
4.18,4.16,4.20,4.06
4.23,4.25,4.28,4.18
4.25,4.28,4.30,4.21
4.35,4.35,4.40,4.28
4.32,4.27,4.33,4.27
4.30,4.15,4.35,4.15
4.13,4.09,4.24,4.02
4.10,4.12,4.15,4.02
4.18,4.03,4.18,4.02
4.01,4.00,4.09,4.00
4.00,3.87,4.04,3.86
3.93,3.80,3.93,3.78
3.84,4.01,4.17,3.80
4.09,4.05,4.10,4.01
4.01,3.98,4.01,3.98
3.98,4.01,4.05,3.91
4.00,4.04,4.05,3.99
4.05,4.05,4.05,4.00
4.04,4.16,4.24,4.04
4.24,4.33,4.37,4.18
4.37,4.48,4.48,4.35
4.50,4.51,4.67,4.45
4.51,4.50,4.57,4.46
4.47,4.59,4.62,4.47
4.62,4.56,4.64,4.52
4.77,4.80,4.84,4.55
4.67,4.79,4.80,4.67
4.77,4.70,4.77,4.54
4.63,4.56,4.69,4.56
4.59,4.17,4.59,3.94
4.45,4.25,4.45,4.22
4.40,4.38,4.40,4.25
4.30,4.26,4.30,4.25
4.26,4.29,4.30,4.26
4.37,4.59,4.60,4.29
4.61,4.69,4.77,4.56
4.74,5.35,5.40,4.73
5.24,5.88,6.37,5.00
5.81,6.32,6.36,5.81
6.45,5.96,6.45,5.91
5.91,5.79,6.00,5.50
5.96,6.21,6.46,5.84
6.22,6.15,6.31,6.01
6.00,6.08,6.08,5.89
6.10,6.03,6.14,5.91
5.91,5.73,5.96,5.67
5.73,5.42,5.75,5.35
5.34,5.69,5.72,5.17
5.70,5.92,5.99,5.70
6.01,5.92,6.19,5.92
5.94,5.99,6.08,5.89
6.08,6.14,6.18,5.97
6.18,6.11,6.23,6.07
