FORM,FormFactor,NASDAQ
21.84,21.92,22.10,21.79
21.81,21.62,21.84,21.30
21.54,21.11,21.75,21.02
21.08,20.86,21.15,20.60
20.75,20.95,21.03,20.60
21.12,20.58,21.25,20.43
18.45,19.05,19.42,18.02
19.05,19.38,19.65,18.98
19.23,18.75,19.23,18.27
18.50,17.55,18.85,17.49
18.00,17.76,18.00,17.37
17.61,17.13,17.67,16.94
17.22,16.75,17.49,16.51
16.76,16.46,17.01,16.35
16.63,16.46,17.06,16.28
16.37,16.30,16.60,16.10
16.28,17.05,17.12,16.22
17.03,16.50,17.26,16.42
16.63,15.47,17.02,15.44
15.57,15.90,15.96,15.45
15.96,15.78,16.06,15.54
15.72,15.91,15.97,15.63
15.76,15.20,15.81,15.18
15.29,15.42,15.45,14.82
15.42,15.20,15.58,15.11
15.39,15.60,15.62,15.12
15.51,15.90,15.91,15.48
15.91,16.22,16.24,15.63
16.08,16.17,16.40,15.90
16.33,16.56,16.57,16.22
16.60,16.54,16.65,16.26
16.58,17.05,17.05,16.35
16.99,16.82,16.99,16.53
16.93,16.82,17.24,16.77
16.75,16.02,16.79,16.00
16.11,16.31,16.58,16.07
16.08,16.75,16.75,15.87
16.75,16.45,16.75,16.33
16.52,16.80,16.81,16.52
16.89,17.11,17.29,16.77
17.19,16.93,17.24,16.90
17.01,16.76,17.01,16.58
16.86,17.28,17.38,16.81
17.35,17.38,17.50,17.26
17.40,17.49,17.63,17.32
17.58,17.96,17.96,17.51
17.90,18.20,18.21,17.70
18.18,17.93,18.45,17.88
18.06,17.55,18.18,17.43
17.65,17.88,17.88,17.45
17.85,18.83,18.89,17.85
18.87,18.17,18.87,18.16
17.86,17.86,18.30,17.65
17.80,18.26,18.29,17.59
18.25,18.54,18.57,18.06
18.46,18.15,18.63,18.10
18.33,18.00,18.64,18.00
18.05,17.60,18.38,17.59
17.64,17.78,18.03,17.61
17.76,18.00,18.05,17.60
17.86,17.76,18.10,17.76
17.83,17.89,18.14,17.74
17.93,18.35,18.37,17.76
18.30,18.48,18.50,18.11
18.41,19.02,19.25,18.14
18.90,18.19,18.90,18.18
18.19,18.37,18.38,17.88
18.43,18.77,18.97,18.38
18.55,18.79,18.86,18.48
19.01,20.27,20.28,19.01
20.29,20.47,20.99,19.97
20.43,20.23,20.47,19.87
20.10,19.60,20.10,19.38
19.73,19.81,19.98,19.41
19.85,19.72,20.00,19.35
19.50,20.13,20.25,19.17
20.16,19.83,20.25,19.57
19.77,19.36,20.02,19.19
18.97,16.00,19.06,15.60
15.87,15.69,16.25,15.41
15.81,15.71,16.14,15.59
15.76,15.00,15.85,14.75
15.05,15.02,15.14,14.62
14.83,14.41,14.85,14.09
14.27,14.66,14.75,14.02
14.56,14.15,14.72,13.34
14.03,13.65,14.47,13.33
14.36,13.85,14.36,13.72
13.69,14.04,14.27,13.52
14.14,14.40,14.61,14.07
14.42,14.02,14.57,13.92
13.86,13.76,13.88,13.52
13.87,13.97,14.02,13.60
14.18,13.41,14.41,13.31
13.31,13.60,13.80,13.16
13.21,12.94,13.55,12.82
12.52,13.08,13.55,12.52
13.08,12.64,13.20,12.62
12.43,12.81,12.85,12.09
12.97,12.50,13.40,12.45
12.91,13.40,13.40,12.71
13.35,12.87,13.41,12.75
12.75,12.18,12.93,12.17
12.29,12.75,12.75,12.23
12.75,12.97,13.03,12.59
12.70,12.11,12.84,12.07
12.20,11.72,12.30,11.67
11.81,11.63,11.90,11.31
11.74,11.27,11.95,11.22
11.33,11.19,11.53,11.09
11.06,11.10,11.31,11.02
11.25,10.80,11.37,10.58
10.85,11.84,11.91,10.82
11.71,11.84,11.96,11.52
11.86,11.74,11.94,11.50
11.82,11.30,11.82,11.29
11.42,11.04,11.61,10.95
11.01,10.67,11.18,10.63
10.62,10.94,11.09,10.52
10.83,10.86,11.04,10.70
10.88,11.07,11.08,10.64
11.01,11.35,11.53,11.00
11.06,10.90,11.12,10.73
10.78,10.80,11.19,10.75
10.79,10.52,10.86,10.18
10.60,10.53,10.65,10.36
10.72,10.17,10.85,10.09
10.18,10.47,10.52,10.17
10.60,10.58,10.68,10.38
10.56,10.66,10.67,10.47
10.59,10.46,10.89,10.31
10.65,10.82,10.84,10.53
10.83,10.57,11.06,10.44
10.56,10.55,10.72,10.23
10.45,10.22,10.45,10.12
10.28,10.31,10.43,10.02
10.16,10.45,10.48,10.05
10.54,10.13,10.54,10.13
10.31,10.89,10.91,10.30
10.85,11.30,11.33,10.70
11.32,11.32,11.40,11.07
11.39,11.17,11.39,11.10
10.86,9.87,10.98,9.34
9.88,9.71,9.90,9.43
9.56,9.68,9.75,9.51
9.80,9.72,9.89,9.69
9.65,9.47,9.73,9.40
9.54,9.53,9.64,9.39
9.48,9.56,9.65,9.40
9.46,9.59,9.66,9.37
9.65,9.53,9.65,9.47
9.41,9.14,9.41,9.12
8.91,8.80,8.96,8.68
8.64,8.61,8.74,8.45
8.60,8.63,8.71,8.56
8.56,9.21,9.21,8.56
9.31,9.04,9.38,9.03
9.02,9.00,9.11,8.91
8.93,8.70,9.00,8.66
8.70,8.80,8.85,8.66
8.84,8.25,8.96,8.23
8.13,7.94,8.20,7.92
7.90,8.09,8.17,7.80
8.15,7.79,8.23,7.77
7.87,7.43,7.87,7.38
7.42,7.24,7.45,7.15
7.21,7.00,7.26,6.98
7.10,6.95,7.13,6.89
7.09,7.19,7.55,7.09
7.27,7.23,7.40,7.10
7.21,7.14,7.23,7.05
7.18,7.44,7.44,7.15
7.51,7.61,7.94,7.47
7.61,7.43,7.66,7.26
7.47,7.52,7.62,7.32
7.53,7.59,7.64,7.41
7.56,8.70,8.98,7.56
8.63,8.23,8.63,8.06
8.33,8.25,8.45,8.10
8.24,8.40,8.43,8.01
8.36,8.64,8.77,8.27
8.56,8.35,8.65,8.21
8.26,8.46,8.77,8.25
8.61,8.96,8.97,8.53
8.99,8.64,9.00,8.55
8.64,8.66,8.69,8.32
8.60,8.68,8.89,8.54
8.78,8.60,8.89,8.49
8.70,8.61,8.73,8.47
8.57,8.28,8.58,8.27
8.40,8.68,8.72,8.40
8.64,8.51,8.64,8.36
8.60,8.32,8.60,8.28
8.30,8.31,8.39,8.05
8.34,8.38,8.57,8.30
8.36,8.65,8.68,8.32
8.72,9.03,9.14,8.56
9.05,9.19,9.50,9.04
9.33,9.18,9.40,9.17
9.20,8.98,9.25,8.89
8.88,8.91,9.23,8.69
8.96,8.83,9.03,8.79
8.85,8.58,8.90,8.51
8.59,8.70,8.72,8.55
8.77,8.92,9.04,8.70
8.90,8.37,8.90,8.34
8.70,9.54,9.61,8.65
9.65,9.59,9.74,9.25
9.60,9.73,10.03,9.48
9.81,9.36,9.85,9.26
9.49,9.70,9.73,9.33
9.74,9.87,9.87,9.60
10.00,10.65,10.74,9.94
10.62,10.53,10.74,10.36
10.40,10.71,10.73,10.36
10.77,10.32,10.80,10.28
10.32,10.30,10.41,9.94
10.14,10.44,10.58,10.10
10.33,10.11,10.65,9.98
10.27,9.91,10.45,9.89
9.88,9.52,10.00,9.43
9.55,9.40,9.56,9.30
9.54,9.51,9.62,9.41
9.52,9.45,9.52,9.30
9.39,9.49,9.70,9.39
9.35,9.20,9.48,9.15
9.31,9.30,9.37,9.22
9.25,9.40,9.42,9.22
9.37,9.42,9.50,9.24
9.31,9.28,9.38,9.18
9.48,9.65,9.68,9.25
9.64,9.64,9.67,9.49
9.56,9.80,9.98,9.52
9.77,9.85,9.98,9.75
9.97,9.83,10.07,9.79
9.75,10.02,10.06,9.73
10.07,10.21,10.26,9.98
10.07,10.32,10.35,10.07
10.30,10.20,10.48,10.16
10.20,9.47,10.20,9.36
9.41,8.89,9.43,8.82
8.88,9.00,9.04,8.63
9.01,9.00,9.24,8.93
8.97,8.93,9.04,8.88
8.94,9.00,9.04,8.93
8.99,8.96,9.10,8.92
8.99,8.81,9.03,8.80
8.77,8.96,9.00,8.70
9.00,8.99,9.03,8.79
8.99,8.97,9.03,8.96
8.91,8.84,8.98,8.84
8.84,8.88,8.90,8.80
8.66,8.83,8.91,8.62
8.85,8.89,8.96,8.80
8.84,9.00,9.08,8.76
8.95,9.07,9.08,8.88
9.13,9.69,9.81,9.11
9.67,9.50,9.84,9.47
9.50,9.28,9.50,9.08
9.32,9.46,9.50,9.19
9.50,9.51,9.68,9.44
9.58,10.25,10.32,9.41
10.19,10.25,10.34,10.10
10.19,9.49,10.21,9.48
9.42,9.03,9.46,8.96
9.11,8.81,9.21,8.80
8.85,8.83,8.87,8.63
8.83,8.91,9.00,8.74
8.95,9.08,9.09,8.80
9.18,9.12,9.27,9.07
9.09,8.61,9.09,8.60
8.65,8.55,8.80,8.45
8.66,8.56,8.81,8.55
8.56,9.39,9.68,8.50
9.40,9.30,9.50,9.20
9.25,9.40,9.47,9.25
9.38,9.30,9.54,9.20
9.27,9.29,9.37,9.04
9.20,9.28,9.38,9.20
9.18,9.28,9.40,9.05
9.22,9.37,9.38,9.15
9.34,9.51,9.60,9.31
9.43,9.32,9.55,9.32
9.37,9.16,9.47,9.11
9.16,9.15,9.26,9.11
9.20,9.06,9.20,8.99
8.95,8.74,9.02,8.69
8.75,8.55,8.87,8.55
