FTA,First Trust Large Cap Value AlphaDEX Fund,NASDAQ
22.96,22.94,23.01,22.90
22.91,22.94,22.98,22.87
23.02,23.06,23.07,23.00
23.00,23.14,23.14,22.97
23.06,23.21,23.22,23.05
23.27,23.25,23.27,23.21
23.15,23.10,23.19,23.00
23.07,23.28,23.28,23.07
23.20,23.26,23.31,23.20
23.02,23.10,23.10,22.99
23.15,23.42,23.42,23.15
23.29,23.22,23.29,23.04
23.08,22.88,23.08,22.81
22.81,22.53,22.83,22.53
22.68,22.56,22.68,22.48
22.46,22.58,22.61,22.45
22.46,22.47,22.48,22.26
22.50,22.32,22.60,22.26
22.37,22.13,22.51,22.11
22.22,22.27,22.34,22.22
22.43,22.70,22.71,22.39
22.62,22.58,22.68,22.54
22.35,21.89,22.38,21.89
21.96,21.91,21.96,21.56
21.92,21.79,22.01,21.79
22.01,22.12,22.18,21.91
22.00,21.96,22.01,21.79
21.92,22.12,22.14,21.87
21.90,22.07,22.07,21.86
22.25,22.46,22.48,22.23
22.55,22.56,22.57,22.49
22.55,22.68,22.70,22.55
22.73,22.86,22.89,22.65
22.96,22.84,22.96,22.82
22.74,22.68,22.75,22.59
22.68,22.81,22.81,22.59
22.52,22.68,22.72,22.45
22.76,22.81,22.85,22.76
22.88,23.03,23.05,22.87
23.14,23.14,23.20,23.14
23.20,23.17,23.28,23.11
23.23,23.18,23.23,23.12
23.35,23.54,23.55,23.35
23.54,23.58,23.60,23.54
23.52,23.58,23.63,23.52
23.65,23.60,23.68,23.59
23.63,23.76,23.77,23.55
23.84,23.73,23.84,23.71
23.74,23.64,23.74,23.60
23.79,23.90,23.90,23.77
24.06,24.13,24.15,24.05
24.15,24.14,24.16,24.05
24.00,24.00,24.21,24.00
23.92,24.15,24.17,23.92
24.21,24.34,24.34,24.12
24.28,24.14,24.28,24.11
24.24,24.03,24.25,24.03
24.09,24.08,24.17,23.97
24.16,24.23,24.25,24.16
24.27,24.26,24.33,24.20
24.15,24.19,24.26,24.13
24.38,24.38,24.40,24.30
24.44,24.51,24.53,24.44
24.48,24.62,24.62,24.48
24.54,24.42,24.58,24.42
24.39,24.47,24.48,24.29
24.53,24.62,24.63,24.43
24.64,24.69,24.71,24.62
24.56,24.71,24.72,24.54
24.73,24.90,24.90,24.68
24.89,24.92,24.95,24.81
24.83,24.60,24.84,24.45
24.58,24.58,24.59,24.46
24.80,24.89,24.89,24.79
24.88,24.88,24.89,24.77
24.68,24.96,24.96,24.68
24.97,25.09,25.10,24.88
25.16,25.02,25.17,25.00
24.92,24.48,25.00,24.48
24.55,24.62,24.68,24.55
24.81,24.96,24.99,24.81
24.93,24.65,25.01,24.65
24.76,24.93,24.93,24.74
24.73,24.38,24.73,24.33
24.19,24.25,24.31,24.13
24.13,23.54,38.83,15.00
23.24,23.14,23.50,22.85
23.96,23.77,23.96,23.72
23.81,23.93,24.07,23.78
24.10,24.28,24.29,24.10
24.26,24.10,24.35,24.10
23.92,23.60,23.92,23.55
23.77,23.80,23.80,23.44
23.97,23.55,24.06,23.53
23.50,23.45,23.51,23.14
23.00,22.53,23.00,22.52
22.22,22.79,22.79,22.13
22.66,22.60,22.88,22.60
22.11,22.57,22.57,21.85
22.77,22.56,22.89,22.52
22.87,23.18,23.18,22.87
23.19,23.18,23.28,22.96
22.82,22.87,23.12,22.82
22.65,23.02,23.02,22.65
23.26,23.24,23.30,23.10
22.90,22.51,22.99,22.46
22.49,22.31,22.65,22.31
22.34,22.50,22.51,22.14
22.61,22.37,22.83,22.37
22.95,23.06,23.06,22.80
22.95,23.15,23.15,22.84
23.36,23.27,23.46,23.21
23.40,23.67,23.67,23.36
23.58,23.68,23.78,23.57
23.74,23.77,23.78,23.54
23.78,23.74,23.83,23.72
24.05,23.58,24.05,23.57
23.47,22.97,23.54,22.95
23.08,22.90,23.08,22.74
22.87,22.53,22.88,22.53
22.49,22.66,22.73,22.46
22.57,22.74,22.75,22.57
22.48,21.91,22.48,21.91
21.98,21.79,22.14,21.73
21.59,21.65,21.70,21.34
21.69,21.61,21.71,21.50
21.78,21.64,21.97,21.57
21.76,22.33,22.33,21.76
22.44,22.57,22.57,22.38
22.59,22.76,22.76,22.54
22.75,22.72,22.75,22.56
22.92,23.07,23.10,22.92
22.95,23.03,23.11,22.85
22.83,23.11,23.11,22.83
22.83,22.46,22.83,22.46
22.63,22.68,22.73,22.55
22.44,22.94,22.94,22.44
22.95,22.58,22.95,22.52
22.89,23.08,23.16,22.89
23.07,23.28,23.33,23.04
23.33,23.60,23.60,23.33
23.73,23.59,23.73,23.54
23.67,23.36,23.67,23.32
23.54,23.22,23.56,23.05
23.00,23.27,23.35,22.94
23.64,23.74,23.74,23.64
23.79,23.61,23.79,23.58
23.59,23.75,23.76,23.59
23.61,23.71,23.74,23.61
23.44,23.62,23.65,23.37
23.78,23.81,23.81,23.67
23.52,23.66,23.71,23.48
23.22,22.98,23.22,22.97
22.67,22.87,22.91,22.59
22.73,22.83,22.94,22.73
22.66,22.79,22.85,22.59
23.02,23.07,23.23,22.96
23.06,23.19,23.22,23.05
23.04,22.72,23.04,22.65
22.63,22.64,22.65,22.44
22.68,22.59,22.71,22.59
22.31,22.32,22.41,22.25
22.24,22.41,22.47,22.09
22.47,22.29,22.50,22.23
22.30,22.64,22.64,22.13
22.62,22.33,22.62,22.33
22.24,22.22,22.36,22.13
22.62,22.92,22.99,22.57
23.15,23.21,23.23,23.00
23.48,23.50,24.37,23.32
23.35,23.18,23.35,23.18
23.18,23.23,23.36,23.18
23.58,23.44,23.58,23.37
23.46,23.49,23.53,23.38
23.76,23.77,23.79,23.66
23.76,23.75,23.85,23.70
23.78,23.75,23.78,23.65
23.82,23.71,23.82,23.60
24.07,23.73,24.07,23.67
23.88,24.14,24.14,23.75
24.26,24.06,24.26,24.00
24.14,23.96,24.15,23.89
23.77,23.77,23.98,23.73
24.12,24.26,24.28,24.06
24.33,24.17,24.33,24.17
24.18,24.40,24.40,24.07
24.29,24.35,24.42,24.26
24.56,24.34,24.56,24.22
24.51,24.43,24.51,24.32
24.39,24.18,24.45,24.10
24.44,24.68,24.69,24.40
24.70,24.62,24.70,24.54
24.64,24.63,24.67,24.50
24.78,24.88,24.92,24.64
24.92,24.89,25.00,24.87
24.96,25.04,25.08,24.81
25.14,25.21,25.30,25.14
25.20,25.06,25.21,24.98
24.98,25.10,25.12,24.94
25.13,25.23,25.23,25.09
24.93,24.83,25.08,24.74
24.86,25.05,25.13,24.86
25.14,25.08,25.30,25.07
25.06,25.08,25.14,25.02
25.27,25.13,25.35,25.12
24.99,25.00,25.04,24.89
24.89,24.94,24.94,24.68
25.09,25.01,25.11,24.87
24.95,25.02,25.03,24.88
25.19,24.97,25.26,24.88
25.13,25.17,25.22,25.13
25.24,25.24,25.25,25.02
25.56,25.69,25.70,25.49
25.72,25.82,25.86,25.69
25.75,25.76,25.78,25.67
25.82,25.49,25.82,25.49
25.30,25.54,25.54,25.27
25.35,25.51,25.54,25.35
25.22,25.23,25.28,25.14
25.30,25.20,25.40,25.19
25.05,24.81,25.05,24.72
24.85,24.87,24.93,24.80
25.15,25.15,25.21,25.15
25.00,25.22,25.22,24.99
25.18,25.20,25.23,25.02
24.98,24.93,25.00,24.88
25.10,25.28,25.28,25.09
25.05,25.09,25.16,25.03
24.92,25.05,25.05,24.75
24.80,24.92,25.04,24.80
25.28,25.37,25.42,25.26
25.46,25.73,25.75,25.46
25.69,25.81,25.81,25.62
25.74,25.79,25.82,25.71
25.98,25.84,26.03,25.82
25.87,25.89,25.94,25.76
26.06,25.98,26.06,25.92
26.02,26.16,26.16,26.01
26.30,26.16,26.30,26.16
26.18,26.19,26.29,26.14
26.18,26.02,26.23,26.02
26.05,26.22,26.22,25.97
26.21,26.26,26.26,26.15
26.46,26.36,26.46,26.24
26.32,26.35,26.36,26.24
26.35,26.47,26.50,26.35
26.49,26.44,26.50,26.40
26.40,26.46,26.46,26.29
26.56,26.45,26.56,26.39
26.55,26.46,26.55,26.45
26.50,26.44,26.50,26.40
26.41,26.45,26.51,26.40
26.63,26.76,26.84,26.63
