FXH,First Trust Health Care AlphaDEX,NASDAQ
21.94,21.98,21.98,21.75
21.93,21.97,22.05,21.93
21.95,21.97,22.06,21.95
22.04,22.21,22.22,22.04
22.13,22.31,22.31,22.13
22.38,22.40,22.45,22.33
22.33,22.14,22.33,22.09
22.18,22.52,22.55,22.18
22.50,22.69,22.70,22.45
22.69,22.44,22.69,22.38
22.55,22.77,22.78,22.55
22.71,22.50,22.75,22.38
22.48,22.06,22.58,22.03
22.09,21.79,22.23,21.79
21.97,21.83,21.97,21.79
21.81,21.87,21.97,21.66
21.79,21.77,21.82,21.63
21.86,21.61,21.88,21.58
21.70,21.52,21.81,21.52
21.55,21.65,21.65,21.39
21.70,22.16,22.16,21.70
22.05,21.92,22.07,21.88
21.76,21.34,21.76,21.34
21.24,21.21,21.30,20.81
21.28,21.17,21.36,21.13
21.41,21.46,21.51,21.25
21.48,21.36,21.48,21.20
21.35,21.59,21.60,21.29
21.52,21.63,21.63,20.93
21.56,21.83,21.83,21.56
21.91,22.01,22.12,21.91
22.10,22.15,22.15,22.04
22.13,22.20,22.21,22.07
22.19,22.25,22.29,22.08
22.18,21.93,22.18,21.90
21.95,22.05,22.06,21.95
21.79,22.15,22.15,21.78
22.29,22.32,22.34,22.22
22.42,22.69,22.69,22.42
22.75,22.89,22.94,22.69
22.99,22.81,22.99,22.79
22.85,22.78,22.85,22.66
22.86,23.06,23.07,22.83
23.07,22.95,23.07,22.95
22.89,22.86,22.95,22.84
22.89,23.09,23.09,22.81
22.98,23.23,23.23,22.96
23.33,23.14,23.33,23.06
23.20,23.28,23.28,23.05
23.40,23.42,23.46,23.24
23.50,23.48,23.54,23.18
23.55,23.67,23.67,22.80
23.71,23.71,23.79,23.63
23.63,24.11,24.11,23.55
24.20,24.18,24.60,23.98
24.14,23.85,24.14,23.85
23.99,23.77,23.99,23.77
23.78,23.65,23.82,23.55
23.77,23.89,23.90,23.73
23.94,23.97,23.99,23.85
23.89,23.81,23.92,23.77
24.32,24.04,24.32,23.90
24.12,24.09,24.20,24.04
24.10,24.10,24.17,24.03
24.09,23.94,24.09,23.83
23.91,23.86,23.91,23.70
23.91,23.92,23.92,23.81
23.97,23.92,23.99,23.91
23.86,23.93,23.93,23.80
23.97,23.90,23.97,23.78
23.89,23.85,23.90,23.76
23.80,23.64,23.87,23.45
23.52,23.74,23.84,23.52
23.82,24.06,24.06,23.80
24.09,23.78,24.09,23.74
23.70,23.78,23.78,23.48
23.82,23.95,23.95,23.71
23.99,23.65,23.99,23.64
23.60,23.32,23.77,23.32
23.43,23.56,23.61,23.40
23.68,24.08,24.16,23.68
24.14,23.71,24.17,23.71
23.79,23.89,23.92,23.73
23.71,23.50,23.76,23.43
23.38,23.46,23.51,23.15
23.38,22.76,23.43,10.00
22.54,22.28,22.71,22.06
23.28,23.04,24.03,22.91
22.90,23.18,23.34,22.90
23.17,23.46,23.48,23.17
23.44,23.30,23.55,23.28
23.14,22.93,23.14,22.70
23.00,23.00,23.04,22.66
23.14,22.84,23.21,22.81
22.75,22.78,22.86,22.55
22.31,22.01,22.46,22.00
21.66,22.04,22.21,21.49
21.89,22.03,22.33,21.89
21.56,21.83,21.85,21.40
21.99,21.96,22.32,21.94
22.43,22.58,22.58,22.31
22.64,22.49,22.68,22.41
22.43,22.10,22.57,22.10
22.15,22.69,22.69,22.13
22.69,22.97,22.97,22.69
22.62,22.22,22.78,22.20
22.33,21.96,22.33,21.96
21.93,21.89,21.96,21.69
22.09,21.92,22.29,21.92
22.35,22.45,22.45,22.26
22.31,22.65,22.65,22.31
22.78,22.74,22.94,22.74
22.81,23.10,23.10,22.81
22.98,23.04,23.10,22.98
23.15,23.07,23.20,22.91
23.15,23.00,23.15,22.95
23.32,22.86,23.32,22.78
22.91,22.61,22.98,22.59
22.67,22.53,22.67,22.44
22.50,22.33,22.52,22.26
22.33,22.50,22.53,22.30
22.44,22.46,22.61,22.35
22.18,21.93,22.18,21.90
21.86,21.82,22.11,21.82
21.57,21.46,21.57,21.05
21.54,21.36,21.54,21.27
21.61,21.41,21.75,21.34
21.41,21.78,21.78,21.41
21.98,21.87,22.05,21.82
21.95,22.01,22.01,21.89
21.88,21.89,21.96,21.83
22.06,22.16,22.21,22.06
22.16,22.15,22.27,22.01
22.23,22.35,22.35,22.07
22.29,21.83,22.29,21.80
21.79,21.78,21.89,21.70
21.53,21.77,21.77,21.45
21.96,21.38,21.96,21.33
21.61,21.47,21.74,21.47
21.48,21.54,21.59,21.43
21.63,21.99,21.99,21.63
22.05,21.83,22.05,21.76
21.78,21.40,21.83,21.40
21.64,21.40,21.65,21.23
21.17,21.57,21.59,21.08
21.88,21.89,21.89,21.81
21.79,22.01,22.09,21.79
22.15,22.30,22.33,22.04
22.22,22.31,22.37,22.15
22.24,22.33,22.33,22.04
22.54,22.45,22.54,22.34
22.23,22.43,22.45,22.20
22.12,21.80,22.12,21.75
21.61,21.84,21.91,21.61
21.75,21.76,21.82,21.73
21.61,21.70,21.78,21.50
21.82,22.02,22.08,21.80
21.98,22.11,22.20,21.86
21.98,21.70,22.00,21.66
21.52,21.63,21.65,21.45
21.88,21.57,21.88,21.57
21.22,21.15,21.26,21.15
21.02,21.40,21.42,20.89
21.44,21.16,21.44,21.13
21.28,21.39,21.42,21.03
21.34,21.11,21.41,21.11
21.07,20.97,21.16,20.95
21.25,21.51,21.51,21.23
21.56,21.76,21.77,21.56
22.02,22.04,22.09,21.94
21.85,21.92,21.99,21.85
21.96,21.94,22.02,21.93
22.12,22.17,22.22,22.10
22.27,22.32,22.37,22.19
22.51,22.44,22.51,22.40
22.44,22.56,22.62,22.39
22.55,22.93,22.93,22.55
22.75,22.75,22.80,22.72
22.94,22.79,22.94,22.69
22.82,23.08,23.09,22.80
22.97,23.08,23.24,22.97
23.02,23.02,23.14,22.93
22.90,22.98,23.20,22.90
23.27,23.33,23.35,23.19
23.30,23.23,23.34,23.19
23.26,23.43,23.46,23.13
23.43,23.40,23.49,23.39
23.55,23.41,23.63,23.34
23.56,23.39,23.56,23.26
23.34,23.14,23.45,23.13
23.37,23.57,23.63,23.37
23.53,23.42,23.56,23.38
23.58,23.45,23.58,23.37
23.59,23.64,23.64,23.43
23.58,23.64,23.69,23.56
23.61,23.89,23.89,23.61
23.97,24.03,24.07,23.89
24.01,23.90,24.04,23.83
24.07,23.94,24.07,23.84
24.01,24.09,24.11,23.96
23.84,23.63,23.85,23.54
23.59,23.88,23.97,23.59
24.02,23.92,24.05,23.72
23.97,24.04,24.04,23.93
24.18,24.16,24.24,24.13
23.98,24.08,24.14,23.98
