GAM,General American Investors,NASDAQ
23.54,23.73,23.75,23.54
23.66,23.83,23.87,23.66
23.72,23.92,23.93,23.72
23.83,24.09,24.09,23.83
24.04,24.23,24.24,24.04
24.39,24.35,24.39,24.20
24.14,24.03,24.19,23.94
24.05,24.18,24.22,24.05
24.11,24.27,24.28,24.11
24.17,23.92,24.23,23.87
23.88,24.25,24.29,23.83
24.15,23.98,24.15,23.68
23.91,23.52,23.99,23.48
23.46,23.08,23.59,22.81
23.18,23.08,23.46,23.05
22.86,23.05,23.28,22.86
22.80,23.03,23.03,22.73
23.10,22.83,23.12,22.69
22.80,22.48,22.99,22.40
22.41,22.85,22.85,22.41
22.76,23.08,23.09,22.76
22.92,22.95,23.04,22.85
22.58,22.18,22.66,22.15
22.03,22.03,22.20,21.58
22.06,21.89,22.10,21.89
22.03,22.08,22.28,21.97
22.04,22.09,22.18,21.94
22.06,22.32,22.33,22.05
22.16,22.25,22.28,22.04
22.32,22.69,22.76,22.31
22.77,22.93,22.96,22.76
22.86,23.14,23.15,22.86
23.10,23.26,23.32,23.06
23.33,23.31,23.41,23.23
23.18,23.03,23.28,22.98
23.07,23.13,23.22,23.06
22.95,23.18,23.18,22.81
23.16,23.36,23.40,23.16
23.42,23.62,23.63,23.42
23.82,23.74,23.88,23.72
23.74,23.81,23.95,23.73
23.86,23.95,24.01,23.86
24.03,24.34,24.36,24.03
24.30,24.29,24.34,24.28
24.17,24.38,24.46,24.17
24.32,24.52,24.53,24.31
24.41,24.47,24.47,24.30
24.52,24.57,24.57,24.48
24.52,24.58,24.58,24.42
24.60,24.72,24.77,24.53
24.76,24.91,24.98,24.76
24.87,24.88,25.14,24.77
24.59,24.59,24.93,24.49
24.42,24.69,25.10,24.40
24.69,24.88,24.88,24.58
24.78,24.70,24.84,24.68
24.79,24.71,24.95,24.71
24.66,24.66,24.91,24.65
24.62,24.81,24.87,24.61
24.76,24.85,24.94,24.76
24.79,24.78,24.87,24.66
24.84,24.90,24.98,24.79
24.86,25.18,25.20,24.86
25.12,25.26,25.34,25.11
25.21,25.16,25.34,25.10
25.08,25.23,25.28,24.93
25.24,25.27,25.32,25.20
25.27,25.33,25.38,25.17
25.32,25.41,25.44,25.25
25.50,25.75,25.75,25.50
25.71,25.73,25.82,25.69
25.67,25.38,25.78,25.21
25.20,25.35,25.49,25.17
25.42,25.56,25.59,25.42
25.55,25.64,25.73,25.47
25.44,25.69,25.69,25.33
25.65,25.82,25.84,25.61
25.85,26.08,26.16,25.85
25.97,25.65,26.12,25.57
25.69,25.79,25.87,25.54
25.83,26.18,26.24,25.83
26.18,25.89,26.18,25.67
25.88,26.10,26.16,25.71
25.80,25.57,25.80,25.41
24.80,24.96,25.17,24.63
24.81,23.75,24.92,23.34
23.64,22.94,23.92,22.69
24.16,24.23,24.26,23.75
23.85,24.09,24.58,23.85
24.10,24.58,24.71,24.10
24.48,24.30,24.63,24.19
24.00,23.83,24.07,23.60
23.68,23.79,23.91,23.39
23.80,23.48,24.14,23.47
23.29,23.22,23.49,23.02
22.54,22.11,22.65,21.95
21.83,22.39,22.62,21.54
22.27,22.37,22.60,22.27
21.88,22.18,22.20,21.60
22.36,22.20,22.72,22.18
22.50,22.90,22.93,22.41
22.72,22.76,22.85,22.60
22.40,22.57,22.92,22.40
22.62,22.97,22.97,22.47
23.00,23.05,23.17,22.90
22.72,22.30,22.80,22.10
22.22,21.91,22.38,21.86
21.91,22.00,22.02,21.71
22.10,22.04,22.40,22.04
22.22,22.70,22.71,22.22
22.38,22.54,22.76,22.30
22.63,22.70,22.98,22.63
22.70,23.16,23.16,22.70
23.03,23.34,23.48,23.03
23.39,23.30,23.39,23.17
23.34,23.35,23.70,23.25
23.67,23.37,23.76,23.25
23.32,22.89,23.43,22.82
22.94,22.95,23.05,22.77
22.81,22.51,22.87,22.49
22.54,22.60,22.68,22.39
22.57,22.64,22.77,22.51
22.23,21.73,22.23,21.64
21.63,21.40,21.81,21.40
21.29,21.28,21.37,20.78
21.32,21.35,21.42,21.02
21.53,21.31,21.70,21.07
21.16,21.96,21.96,21.16
22.08,22.14,22.15,21.94
22.09,22.22,22.31,22.07
22.15,22.23,22.28,22.08
22.46,22.67,22.72,22.45
22.57,22.66,22.80,22.51
22.70,22.71,22.74,22.21
22.60,22.14,22.60,22.01
22.18,22.16,22.25,21.92
21.70,22.43,22.47,21.70
22.58,22.18,22.60,21.70
22.49,22.73,22.80,22.46
22.74,23.08,23.16,22.70
23.12,23.44,23.44,23.12
23.52,23.36,23.61,23.31
23.14,23.16,23.35,23.04
23.28,22.99,23.33,22.75
22.78,23.00,23.09,22.75
23.42,23.59,23.60,23.35
23.48,23.45,23.70,23.40
23.46,23.61,23.62,23.46
23.51,23.59,23.60,23.40
23.21,23.50,23.54,23.16
23.55,23.59,23.63,23.48
23.42,23.45,23.54,23.23
22.91,22.68,22.91,22.58
22.30,22.45,22.58,22.26
22.48,22.32,22.48,22.30
22.15,22.22,22.34,22.04
22.33,22.54,22.74,22.33
22.56,22.62,22.75,22.45
22.53,22.26,22.60,22.15
22.20,22.23,22.30,22.02
22.34,22.23,22.50,22.23
22.00,21.90,22.06,21.66
21.77,22.04,22.10,21.66
22.03,21.83,22.21,21.79
21.76,22.22,22.24,21.70
22.21,21.90,22.25,21.90
21.86,21.87,22.00,21.74
22.13,22.55,22.56,22.08
22.57,22.90,22.90,22.57
23.03,23.16,23.21,22.95
23.04,22.89,23.05,22.86
22.85,22.92,23.06,22.81
23.28,23.04,23.33,22.97
22.98,23.24,23.27,22.98
23.36,23.48,23.57,23.36
23.43,23.56,23.62,23.38
23.52,23.60,23.64,23.44
23.45,23.64,23.67,23.45
23.75,23.72,23.79,23.59
23.77,24.07,24.12,23.73
24.12,24.07,24.27,23.96
24.05,23.92,24.20,23.90
23.81,23.68,23.96,23.64
23.93,24.21,24.26,23.93
24.26,24.19,24.33,24.17
24.23,24.43,24.43,23.93
24.32,24.40,24.48,24.27
24.50,24.38,24.66,24.24
24.45,24.44,24.53,24.30
