GBX,Greenbrier Companies,NASDAQ
10.67,10.97,11.05,10.50
10.92,10.39,10.92,10.34
10.33,10.22,10.38,10.00
10.16,10.40,10.46,10.01
10.29,10.32,10.52,10.23
10.41,9.88,10.41,9.85
9.76,9.52,10.00,9.42
9.56,9.83,9.94,9.55
9.81,9.91,10.03,9.80
9.96,9.55,9.96,9.51
9.61,9.78,9.95,9.50
9.70,9.45,9.71,9.41
9.46,8.84,9.55,8.75
8.80,8.81,9.07,8.73
8.93,8.45,8.93,8.39
8.30,8.26,8.52,8.19
8.20,8.49,8.56,8.16
8.62,8.14,8.62,8.02
8.24,8.15,8.48,8.12
8.23,8.21,8.34,8.14
8.32,8.36,8.43,8.10
8.30,8.23,8.45,8.12
8.13,7.70,8.13,7.65
7.75,7.93,8.01,7.42
8.16,8.21,8.45,8.11
8.49,8.93,9.05,8.19
8.85,8.61,8.88,8.41
8.60,8.94,8.98,8.39
8.76,9.00,9.00,8.68
9.05,9.40,9.42,9.05
9.43,9.59,9.69,9.40
9.60,9.81,9.82,9.44
9.78,9.52,9.87,9.47
9.55,9.39,9.62,9.25
9.38,9.17,9.38,9.08
9.20,9.28,9.30,9.07
9.03,9.43,9.45,8.92
9.47,9.19,9.52,9.15
9.32,9.36,9.65,9.26
9.37,9.52,9.65,9.32
9.57,9.45,9.61,9.40
9.48,9.42,9.56,9.23
9.50,9.88,9.91,9.42
9.85,9.86,9.96,9.65
9.81,10.19,10.50,9.81
10.29,9.97,10.36,9.84
9.85,10.48,10.53,9.76
10.51,10.36,10.60,10.26
10.86,10.92,11.04,10.71
10.93,10.73,11.07,10.46
10.81,10.68,10.93,10.67
10.76,10.70,10.96,10.67
10.64,10.64,10.79,10.37
10.49,10.80,10.92,10.44
10.78,10.90,11.00,10.70
10.78,10.70,10.95,10.68
10.82,10.52,10.98,10.51
10.56,10.81,10.91,10.56
10.84,10.81,10.94,10.59
10.85,10.83,10.99,10.64
10.78,11.01,11.20,10.76
11.28,11.12,11.30,10.89
11.11,11.99,12.05,11.08
11.83,12.07,12.47,11.50
11.88,12.50,12.52,11.88
12.45,13.60,13.69,12.20
13.62,13.38,13.68,12.94
13.37,14.93,15.18,13.30
14.78,15.07,15.47,14.78
15.14,16.05,16.29,15.00
16.03,16.81,17.07,15.80
16.68,16.59,17.22,16.39
16.40,16.14,16.60,15.85
16.24,16.34,16.77,15.94
16.34,16.59,16.72,16.23
16.31,17.45,17.48,16.09
17.39,17.37,18.00,17.29
17.33,17.13,17.48,17.08
17.02,16.51,17.32,16.34
16.67,16.74,16.87,16.25
16.95,17.05,17.38,16.70
17.00,16.28,17.01,16.12
15.46,15.66,15.90,15.25
15.32,15.08,15.32,14.61
14.90,14.19,14.95,13.82
13.98,13.63,14.39,13.08
12.90,12.55,13.40,12.48
13.27,13.49,14.00,12.90
13.33,14.27,14.50,13.04
14.23,15.48,15.57,14.13
15.34,15.35,15.64,14.98
15.10,14.79,15.11,14.42
15.07,14.82,15.25,14.18
15.14,14.44,15.40,14.21
14.31,14.18,14.59,13.74
13.55,12.92,13.69,12.79
12.58,13.16,13.60,12.51
13.10,13.02,13.42,12.88
12.53,12.95,12.99,12.31
13.08,13.53,14.23,13.08
14.03,14.85,14.92,13.86
14.85,14.31,15.10,14.05
14.05,13.06,14.14,13.03
13.17,13.65,13.71,12.79
13.57,13.93,14.00,13.41
13.31,12.51,13.51,12.45
12.60,12.12,12.86,12.10
12.17,11.54,12.29,11.17
11.73,11.53,12.07,11.40
11.94,12.40,12.42,11.70
12.13,12.77,12.79,12.10
13.04,12.68,13.48,12.57
12.87,13.59,13.69,12.76
13.37,13.36,13.79,13.18
13.40,13.47,13.89,13.24
13.57,13.54,13.82,13.22
13.88,13.33,13.88,13.18
13.36,12.78,13.59,12.73
12.64,12.56,12.75,12.35
12.42,12.52,13.02,12.09
12.62,12.65,12.89,12.13
12.70,12.47,12.79,12.23
12.21,11.49,12.23,11.35
11.44,11.20,11.83,11.00
11.19,10.75,11.36,10.41
10.94,10.29,10.94,10.12
10.59,10.04,10.81,9.90
