GEL,Genesis Energy,NASDAQ
19.95,19.47,19.95,19.21
19.35,19.53,19.95,19.35
19.84,19.59,19.92,19.59
19.75,19.68,19.89,19.62
19.80,19.70,20.34,19.55
19.63,19.91,20.00,19.63
19.90,19.96,20.00,19.79
20.18,19.34,20.18,19.34
19.51,20.16,20.35,19.51
20.15,19.88,20.34,19.50
19.74,20.85,20.95,19.74
20.61,20.89,21.00,20.51
20.96,20.31,21.00,20.13
20.18,20.15,20.39,19.83
20.32,19.91,20.32,19.73
20.02,20.30,20.44,19.87
20.30,19.72,20.39,19.65
19.74,19.49,19.88,19.29
19.71,19.67,20.00,19.56
19.84,20.02,20.35,19.65
19.98,20.12,20.32,19.70
19.60,19.61,19.83,19.39
19.50,19.40,19.53,18.64
19.10,18.64,19.25,17.94
18.65,18.81,19.01,18.50
19.13,19.05,19.20,18.80
19.10,18.59,19.13,18.59
18.63,19.09,19.09,18.54
19.13,19.37,19.43,18.80
19.50,19.96,20.09,19.46
20.10,20.10,20.39,19.91
20.10,20.11,20.30,20.00
19.97,19.88,20.15,19.62
20.00,19.88,20.10,19.65
19.92,19.77,20.06,19.70
19.83,19.35,19.99,19.24
19.29,19.92,19.97,19.02
20.00,19.81,20.00,19.76
19.85,20.26,20.26,19.83
20.12,20.08,20.23,20.05
20.09,20.27,20.27,20.08
20.34,20.08,20.35,19.86
20.35,20.98,20.99,20.15
21.05,21.44,21.59,21.00
21.40,21.59,21.67,21.28
21.64,21.52,21.64,21.30
21.50,21.48,21.54,21.14
21.50,21.55,21.67,21.23
21.50,21.63,21.65,21.10
20.32,20.45,20.55,20.25
20.31,20.55,20.57,20.31
20.57,20.55,20.57,20.46
20.57,20.57,20.60,20.40
20.55,20.60,20.60,20.37
20.47,20.38,20.63,20.38
20.29,19.78,20.40,19.73
19.73,19.70,19.96,19.55
19.68,19.25,19.68,19.01
19.27,19.56,19.70,19.15
19.50,19.49,19.70,19.40
19.49,19.49,19.69,19.34
19.61,19.78,19.91,19.44
19.80,20.10,20.27,19.80
20.01,20.30,20.55,20.01
20.29,20.14,20.31,20.03
20.01,20.00,20.10,19.70
19.91,19.94,20.07,19.73
19.95,20.10,20.23,19.85
20.17,20.16,20.17,19.75
20.11,20.33,20.55,20.11
20.30,20.40,20.48,20.01
20.23,20.01,20.30,19.67
19.91,20.12,20.18,19.76
20.22,20.54,20.56,20.22
20.60,20.26,20.60,20.23
20.22,20.30,20.30,19.91
20.13,20.51,20.57,20.13
20.47,20.50,20.64,20.45
20.47,20.19,20.56,20.18
20.32,20.03,20.57,19.82
20.02,19.87,20.45,19.87
19.80,19.64,19.97,19.54
19.62,19.70,19.70,19.20
19.50,18.98,19.50,18.66
18.82,17.60,18.82,15.47
17.56,17.50,18.43,15.89
16.65,17.62,18.08,16.65
18.30,18.25,18.61,18.14
18.44,18.59,18.85,18.25
18.52,18.91,19.10,18.28
18.64,18.43,19.37,17.95
18.48,18.35,18.78,17.98
18.48,17.76,18.51,17.50
18.12,17.86,18.12,17.78
17.80,17.54,17.94,17.17
17.29,16.99,17.49,15.93
16.41,17.65,17.65,16.37
17.35,17.51,18.14,17.35
17.06,17.75,17.89,16.98
17.99,18.00,18.29,17.79
18.21,18.15,18.48,18.08
18.14,17.68,18.36,17.68
17.51,17.96,17.96,17.40
17.70,17.96,18.07,16.46
18.03,18.27,18.30,17.82
17.69,18.13,18.37,17.69
18.18,18.06,18.43,17.99
18.16,17.99,18.42,17.95
18.15,17.96,18.15,17.95
18.14,18.49,18.56,18.01
18.38,19.02,19.08,18.38
18.95,19.04,19.46,18.95
19.07,19.31,19.43,19.04
19.27,19.41,19.49,19.14
19.49,19.34,19.49,19.22
19.44,19.28,19.46,19.25
19.48,19.15,19.65,19.15
19.18,19.39,19.73,19.12
19.27,19.10,19.31,18.89
19.06,19.30,19.44,18.88
19.40,19.55,19.75,19.13
19.55,19.33,19.64,19.28
19.28,18.87,19.28,18.78
18.94,19.15,19.21,18.78
18.96,19.30,19.30,18.43
19.37,19.30,19.46,19.12
19.41,19.15,19.55,19.00
19.14,19.99,19.99,19.14
19.98,19.95,20.10,19.75
19.90,20.01,20.15,19.90
20.04,19.90,20.15,19.83
20.12,20.29,20.43,20.01
20.23,20.33,20.45,20.22
20.39,20.56,20.56,20.25
20.40,20.44,20.56,20.33
20.42,20.54,20.70,20.25
20.44,20.70,20.74,20.40
20.75,20.58,20.85,20.58
20.74,20.71,20.88,20.69
20.83,20.86,20.95,20.58
20.95,20.85,21.00,20.60
20.89,20.62,20.99,20.48
20.62,20.62,20.95,20.40
20.65,20.75,20.86,20.21
19.99,20.59,20.59,19.99
20.74,20.75,20.90,20.61
20.55,20.85,20.88,20.17
20.88,20.76,20.98,20.67
20.74,20.90,21.00,20.74
20.85,21.27,21.28,20.78
21.39,21.08,21.41,20.90
20.86,20.82,21.00,20.65
20.47,20.24,20.66,19.98
19.74,20.03,20.11,19.50
20.08,20.48,20.52,20.08
20.45,20.65,20.72,20.30
20.75,20.51,20.89,20.51
20.39,20.36,20.46,20.24
20.37,20.50,20.54,20.33
20.50,20.57,20.59,20.10
20.53,20.80,20.84,20.38
20.55,20.36,20.66,20.07
20.25,20.98,20.98,20.17
20.80,20.98,20.98,20.62
20.90,21.19,21.19,20.83
21.18,21.25,21.25,21.02
21.15,21.15,21.31,21.05
21.29,21.45,21.48,21.11
21.49,21.49,21.50,21.27
21.50,21.44,21.50,21.19
21.47,21.83,21.83,21.34
21.69,21.45,21.89,21.43
21.55,21.89,21.95,21.52
21.95,22.20,22.31,21.75
22.47,22.72,22.81,22.23
22.80,23.20,23.35,22.67
23.19,22.73,23.21,22.43
22.78,23.01,23.20,22.68
23.01,22.97,23.26,22.97
23.00,23.27,23.48,22.93
23.25,22.89,23.25,22.81
22.90,22.95,23.17,22.81
22.81,22.77,23.15,22.62
22.90,22.41,23.00,22.21
22.44,22.34,22.79,22.22
22.25,23.00,23.00,22.25
22.94,23.15,23.37,22.94
23.27,23.52,23.52,22.92
23.37,23.71,23.71,23.08
23.61,23.34,23.68,23.28
23.54,24.03,24.04,23.48
24.04,23.97,24.23,23.70
24.04,24.85,24.85,23.74
24.73,24.94,24.99,24.27
24.88,24.66,24.98,24.62
24.60,24.53,24.69,24.26
24.80,25.20,25.20,24.59
