GIS,General Mills,NASDAQ
71.19,70.90,71.28,70.63
71.16,70.24,71.18,69.61
70.31,70.66,70.92,69.94
70.20,71.30,71.43,69.95
71.40,70.72,71.40,70.26
70.65,70.79,70.92,70.30
70.70,71.32,71.44,70.55
71.24,71.64,71.91,70.86
71.66,71.64,71.79,71.19
71.66,71.33,71.97,71.11
71.71,71.91,72.25,71.45
71.54,71.43,71.54,71.06
71.50,71.12,71.93,70.86
71.15,70.96,71.85,70.86
71.27,70.77,71.74,70.64
70.50,70.96,71.05,69.95
70.98,71.52,71.79,70.61
71.88,71.95,72.46,71.69
72.30,71.31,72.31,71.27
71.83,71.03,71.83,70.74
71.20,71.03,71.62,70.69
71.15,70.54,71.15,70.20
70.15,69.00,70.25,68.98
68.74,68.63,69.08,68.07
68.71,68.58,69.26,68.52
68.87,69.45,69.82,68.87
69.51,69.47,69.73,68.94
69.26,69.43,69.45,68.70
69.06,69.49,69.66,68.50
69.55,70.62,70.66,69.15
70.64,70.97,71.15,70.58
70.95,72.03,72.04,70.95
71.99,72.36,72.47,71.70
72.39,72.29,72.48,71.96
72.11,71.88,72.40,71.68
72.10,71.92,72.34,71.68
71.57,71.69,71.78,70.88
71.78,72.01,72.39,71.13
71.99,72.45,72.78,71.99
72.60,72.70,72.98,72.51
72.73,72.96,73.26,72.61
73.18,72.38,73.23,71.70
72.36,72.69,72.89,72.30
72.81,72.15,72.81,71.83
72.01,72.07,72.60,72.00
72.11,72.25,72.42,71.89
71.99,72.62,72.62,71.80
72.78,72.37,73.00,72.05
72.34,72.56,72.69,72.27
72.62,73.27,73.39,72.55
73.27,73.17,73.33,72.75
73.19,73.64,73.74,72.99
73.34,73.34,73.95,73.24
73.12,72.98,73.25,72.67
73.17,73.57,73.68,73.02
72.99,72.18,73.30,72.05
72.52,71.15,72.55,71.00
71.26,70.48,71.26,70.27
70.67,70.86,71.07,70.30
70.90,71.17,71.36,70.87
71.17,70.79,71.21,70.60
71.09,71.38,71.69,71.09
71.48,70.84,71.66,70.49
70.65,70.51,70.91,70.41
70.48,70.13,70.49,69.91
69.79,70.16,70.31,69.35
70.26,70.82,70.87,70.21
70.88,70.36,71.04,70.13
70.16,70.68,70.86,69.75
70.66,70.87,71.15,70.17
70.63,70.61,70.90,70.13
70.35,70.20,70.81,69.97
70.19,70.31,70.36,69.86
70.37,70.49,70.53,70.02
70.63,70.63,70.90,70.42
70.25,70.40,70.89,69.94
70.50,70.63,70.63,69.84
70.67,70.61,70.99,70.42
70.36,69.47,70.44,69.41
69.52,70.30,70.33,68.54
70.31,71.19,71.38,70.31
71.39,71.16,71.78,71.14
71.58,71.47,71.68,70.88
71.90,71.58,72.00,71.11
71.41,72.55,72.85,71.33
72.45,70.91,72.89,69.50
71.01,69.67,71.01,69.41
72.09,71.93,72.09,70.89
71.64,72.32,72.78,71.36
72.56,73.51,73.51,72.15
73.29,73.43,74.20,73.00
73.19,72.74,73.34,72.36
72.92,73.91,73.98,72.62
74.23,73.71,74.45,73.68
73.48,73.55,73.79,73.05
72.64,71.52,72.88,71.37
70.06,71.72,71.72,70.06
71.43,71.57,72.30,71.05
70.14,70.87,70.95,69.92
71.31,70.50,71.43,70.43
71.57,71.40,71.61,70.79
71.60,71.23,71.84,71.19
71.05,72.00,72.70,71.01
72.08,74.30,74.30,72.08
74.56,74.74,75.14,74.41
74.28,73.30,74.28,73.04
73.30,74.55,75.68,73.25
74.74,75.14,75.39,74.36
37.40,37.50,37.71,37.33
37.70,37.92,38.04,37.57
37.78,37.66,37.78,37.46
37.98,38.09,38.32,37.76
38.46,38.17,38.46,37.96
37.96,38.33,38.40,37.84
38.55,38.93,38.98,38.37
38.94,38.54,38.98,38.44
38.79,37.95,38.85,37.82
37.97,37.71,38.14,37.66
37.64,37.84,37.99,37.50
37.80,37.57,38.01,37.50
37.70,37.34,37.80,37.29
37.31,37.40,37.64,37.09
37.24,36.90,37.43,36.69
35.05,35.52,35.90,34.95
35.61,35.45,35.68,35.13
35.45,35.42,35.64,35.20
35.76,35.81,35.93,35.55
35.81,36.44,36.46,35.68
36.49,36.72,36.83,36.23
36.64,36.15,36.72,36.15
36.02,36.22,36.27,35.80
36.38,36.38,36.61,36.27
36.34,36.25,36.41,36.02
36.18,36.07,36.31,35.86
35.92,35.54,36.08,35.43
35.70,35.39,35.70,35.26
35.10,35.36,35.42,35.00
35.56,35.03,35.56,34.94
35.24,35.36,35.48,35.09
35.42,35.52,35.58,35.22
35.40,35.44,35.69,35.36
35.50,35.89,36.00,35.30
35.91,35.44,35.91,35.38
35.03,34.13,35.11,34.13
33.97,34.20,34.48,33.84
35.03,34.35,35.03,34.31
34.42,33.98,34.42,33.97
34.00,34.62,34.70,34.00
34.52,33.85,34.52,33.53
33.73,33.57,33.73,33.11
33.62,33.70,33.87,33.52
33.42,33.98,34.15,33.42
33.72,33.81,33.98,33.48
33.61,34.43,34.44,33.51
34.40,34.86,35.17,34.24
34.77,35.15,35.16,34.50
35.28,35.38,35.54,34.94
35.44,35.41,35.54,35.14
35.14,35.13,35.29,34.91
34.87,35.14,35.20,34.87
35.17,35.41,35.62,35.03
35.20,35.51,35.70,35.16
35.30,35.25,35.58,35.19
35.25,35.21,35.41,34.94
35.33,36.00,36.02,35.31
35.89,35.66,36.20,35.66
35.61,36.16,36.20,35.54
36.41,36.06,36.49,35.99
36.12,36.17,36.31,36.00
36.33,36.06,36.33,35.82
35.99,35.95,36.17,35.84
