GLNG,Golar LNG Limited - Common Shares,NASDAQ
12.92,12.96,13.10,12.85
12.89,12.72,12.95,12.66
12.76,12.86,13.01,12.66
12.88,12.79,12.92,12.61
12.97,12.98,12.98,12.68
13.10,12.83,13.40,12.82
12.76,12.55,12.96,12.50
12.60,12.54,12.75,12.43
12.72,12.80,12.86,12.52
12.85,12.56,12.99,12.45
12.71,12.91,12.92,12.64
12.78,12.30,12.80,12.20
12.32,11.99,12.49,11.66
12.09,11.81,12.24,11.75
12.03,11.92,12.11,11.83
11.82,11.70,11.88,11.60
11.92,12.19,12.23,11.80
12.19,11.78,12.27,11.71
11.89,11.72,12.22,11.70
11.78,11.88,12.12,11.76
11.95,11.63,12.06,11.62
11.74,11.63,11.87,11.60
11.55,10.91,11.56,10.76
10.85,11.06,11.12,10.73
11.01,10.61,11.04,10.61
10.77,10.90,11.04,10.67
10.80,11.02,11.07,10.60
10.96,11.24,11.28,10.88
11.08,11.28,11.36,11.00
11.38,11.61,11.61,11.33
11.61,11.53,11.65,11.30
11.48,11.65,11.65,11.32
11.52,11.66,11.66,11.44
11.68,11.64,11.74,11.55
11.58,11.42,11.58,11.25
11.42,11.43,11.63,11.34
11.22,11.39,11.43,11.06
11.38,11.20,11.49,11.10
11.38,11.61,11.65,11.35
11.76,11.60,11.81,11.55
11.62,11.96,12.03,11.62
11.98,12.17,12.23,11.83
12.16,12.75,12.77,12.07
12.70,12.65,12.75,12.29
12.49,12.51,12.75,12.41
12.50,12.70,12.79,12.42
12.55,12.85,12.85,12.42
12.81,12.75,12.81,12.47
12.67,12.63,12.68,12.39
12.64,12.35,12.64,12.17
12.44,12.47,12.66,12.33
12.41,12.48,12.52,12.32
11.84,11.84,12.57,11.75
11.67,11.81,11.98,11.54
11.78,12.02,12.07,11.77
11.90,11.97,12.06,11.90
12.07,11.82,12.18,11.80
11.86,11.77,11.96,11.72
11.79,11.86,12.06,11.79
11.85,11.90,12.07,11.70
11.79,11.70,11.96,11.67
11.77,12.14,12.21,11.62
12.24,12.67,12.74,12.22
12.35,12.81,12.92,12.24
12.71,12.66,12.98,12.56
12.54,12.52,12.67,12.33
12.50,12.87,12.88,12.31
12.64,12.72,12.85,12.48
12.71,12.78,12.81,12.52
12.80,13.06,13.06,12.71
12.99,13.25,13.25,12.99
13.17,13.09,13.23,12.92
13.03,13.11,13.23,12.96
13.24,13.15,13.33,13.00
13.21,13.18,13.28,13.01
12.95,13.25,13.41,12.95
13.22,13.15,13.25,12.87
13.15,13.00,13.32,12.94
12.97,13.00,13.15,12.95
13.09,13.04,13.17,12.99
13.16,13.05,13.20,12.96
13.11,12.99,13.16,12.90
13.05,13.14,13.16,13.00
12.87,13.03,13.18,12.87
12.92,13.02,13.20,12.79
12.93,13.00,13.17,12.15
12.90,13.00,13.15,12.85
13.49,13.25,13.57,13.01
13.05,13.26,13.40,13.03
13.37,13.81,13.98,13.25
13.78,13.69,13.82,13.58
13.55,13.50,13.68,13.03
13.57,13.21,13.75,13.00
13.41,13.02,13.41,12.85
12.35,12.36,12.59,12.10
11.94,11.25,12.03,11.25
11.03,11.39,11.80,10.90
11.41,10.91,11.41,10.87
10.57,11.09,11.11,10.22
10.81,11.35,11.65,10.69
11.28,11.63,11.74,11.10
11.46,11.43,11.64,11.11
11.28,10.86,11.54,10.86
10.88,11.16,11.16,10.72
11.22,11.34,11.43,10.98
10.97,10.68,11.10,10.51
10.68,10.20,10.89,10.17
10.27,10.07,10.44,9.89
10.17,10.09,10.45,10.00
10.31,10.54,10.56,10.13
10.38,10.94,10.96,10.38
11.09,11.01,11.17,10.93
11.03,10.95,11.18,10.89
10.78,10.60,10.78,10.50
10.63,10.57,10.78,10.50
10.65,10.54,10.79,10.50
10.77,10.71,11.08,10.62
10.72,10.49,10.82,10.48
10.49,10.45,10.62,10.43
10.38,10.15,10.54,10.12
10.23,10.30,10.44,10.12
10.28,10.18,10.35,10.18
9.96,9.90,10.04,9.68
9.91,9.87,10.01,9.71
9.87,9.99,10.15,9.69
10.11,9.86,10.22,9.78
10.09,9.77,10.25,9.72
9.81,10.17,10.22,9.73
10.33,10.19,10.33,10.04
10.20,10.28,10.30,10.13
10.24,10.02,10.42,10.01
10.21,10.26,10.32,10.09
10.18,10.44,10.50,10.16
10.48,10.29,10.55,10.18
10.21,9.66,10.44,9.63
9.73,9.56,9.96,9.46
9.59,9.69,9.71,9.42
9.80,9.70,9.91,9.64
9.82,10.15,10.19,9.58
10.08,10.38,10.49,10.03
10.45,10.83,10.86,10.37
10.95,11.00,11.09,10.91
11.00,10.80,11.13,10.76
10.88,10.88,10.96,10.58
10.68,10.78,11.02,10.63
10.98,11.18,11.23,10.90
11.15,11.04,11.31,10.93
11.08,11.05,11.27,11.03
10.91,11.03,11.09,10.91
10.85,10.97,11.19,10.82
11.04,11.23,11.31,10.93
11.02,10.86,11.02,10.73
10.59,10.21,10.75,10.16
10.03,10.11,10.17,9.96
9.87,10.15,10.32,9.87
10.06,10.43,10.51,10.06
10.59,10.97,11.11,10.53
10.90,10.79,10.90,10.56
10.76,10.44,10.79,10.40
10.36,10.37,10.41,10.22
10.41,10.20,10.56,10.15
10.01,9.96,10.13,9.93
9.90,10.08,10.11,9.66
10.07,9.99,10.14,9.87
10.11,10.60,10.64,10.04
10.55,10.22,10.69,10.22
10.19,10.38,10.44,10.11
10.56,11.05,11.06,10.46
10.97,11.04,11.10,10.88
11.17,11.37,11.54,10.98
11.26,11.12,11.31,10.86
11.15,11.56,11.63,11.06
11.78,11.74,11.83,11.60
11.83,11.81,11.89,11.69
11.90,12.26,12.34,11.83
12.25,12.65,12.76,12.22
12.56,12.40,12.56,12.30
12.34,12.10,12.51,12.00
12.26,12.01,12.32,11.91
12.08,12.39,12.43,11.99
12.34,12.08,12.39,12.07
12.05,12.23,12.45,12.05
12.05,12.12,12.33,12.04
12.32,12.40,12.43,12.17
12.41,12.38,12.47,12.31
12.41,12.49,12.50,12.10
12.50,12.50,12.59,12.28
12.57,12.52,12.78,12.28
12.66,12.56,12.71,12.46
12.50,12.11,12.60,12.08
12.29,12.47,12.51,12.15
12.40,12.40,12.45,12.36
12.46,12.31,12.46,12.13
12.35,12.50,12.56,12.30
12.45,12.86,12.91,12.31
