GLQ,Clough Global Equity Fund Clough Global Equity Fund Common Shares of Beneficial Interest,NASDAQ
14.19,14.34,14.34,14.10
14.34,14.40,14.46,14.31
14.43,14.69,14.71,14.43
14.64,14.88,14.89,14.64
14.86,14.81,14.86,14.75
14.82,14.88,15.08,14.82
14.80,14.73,14.83,14.70
14.78,14.82,14.82,14.61
14.75,14.91,14.91,14.71
14.91,14.80,14.92,14.75
14.80,14.95,15.00,14.80
14.55,14.50,14.57,14.41
14.50,14.25,14.62,14.23
14.24,13.91,14.24,13.90
14.06,13.94,14.12,13.92
13.94,13.94,13.98,13.86
13.88,13.83,13.95,13.64
13.83,13.64,13.91,13.57
13.71,13.55,13.75,13.44
13.57,13.71,13.75,13.51
13.70,13.92,13.93,13.66
13.83,13.87,13.90,13.70
13.79,13.40,13.81,13.40
13.53,13.20,13.53,13.08
13.14,13.20,13.31,13.08
13.29,13.35,13.43,13.20
13.32,13.37,13.37,13.19
13.33,13.53,13.54,13.27
13.42,13.43,13.48,13.26
13.50,13.72,13.75,13.50
13.73,13.86,13.86,13.71
13.82,13.89,13.91,13.82
13.86,13.78,13.90,13.78
13.85,13.82,13.90,13.80
13.82,13.69,13.84,13.65
13.74,13.70,13.83,13.67
13.61,13.68,13.73,13.50
13.70,13.88,13.90,13.68
13.88,13.89,14.00,13.88
13.97,13.95,14.00,13.88
13.97,14.04,14.11,13.93
14.07,14.02,14.09,13.94
14.05,14.19,14.19,14.05
14.15,14.23,14.24,14.15
14.19,14.18,14.28,14.16
14.20,14.27,14.31,14.20
14.26,14.29,14.36,14.16
14.31,14.23,14.38,14.23
14.24,14.19,14.31,14.12
14.20,14.30,14.34,14.20
14.34,14.39,14.53,14.34
14.42,14.44,14.44,14.30
14.23,14.23,14.48,14.21
14.17,14.31,14.31,14.10
14.29,14.32,14.35,14.19
14.28,14.33,14.41,14.27
14.36,14.38,14.48,14.36
14.44,14.38,14.44,14.28
14.38,14.36,14.40,14.32
14.35,14.33,14.41,14.30
14.32,14.33,14.37,14.28
14.35,14.41,14.45,14.25
14.61,14.63,14.64,14.41
14.63,14.74,14.80,14.60
14.74,14.65,14.76,14.59
14.64,14.64,14.68,14.56
14.61,14.76,14.90,14.61
14.78,14.80,14.89,14.76
14.77,14.80,14.84,14.75
14.55,14.77,14.79,14.55
14.75,14.80,14.88,14.70
14.75,14.69,14.85,14.60
14.61,14.49,14.64,14.38
14.54,14.58,14.65,14.51
14.61,14.63,14.66,14.40
14.56,14.57,14.65,14.53
14.58,14.83,14.83,14.58
14.81,14.88,14.90,14.76
14.85,14.64,14.87,14.64
14.66,14.64,14.72,14.60
14.68,14.80,14.84,14.64
14.87,14.59,14.87,14.59
14.63,14.74,14.77,14.63
14.65,14.55,14.65,14.50
14.40,14.27,14.46,14.25
14.30,13.75,14.30,12.92
13.75,13.24,13.75,12.97
13.65,13.95,13.99,13.40
13.88,13.86,13.98,13.76
13.86,13.94,13.99,13.72
13.88,13.86,14.00,13.85
13.78,13.57,13.85,13.52
13.61,13.51,13.62,13.24
13.58,13.17,13.60,13.15
13.00,12.96,13.17,12.69
12.78,12.12,12.78,12.08
11.90,12.14,12.25,11.35
12.06,12.20,12.63,12.01
11.88,12.13,12.13,11.75
12.29,12.19,12.51,12.14
12.40,12.72,12.74,12.40
12.65,12.63,12.71,12.50
12.49,12.50,12.73,12.46
12.51,12.77,12.77,12.45
12.83,12.81,12.86,12.65
12.56,12.46,12.66,12.37
12.46,12.34,12.63,12.33
12.32,12.51,12.51,12.27
12.54,12.45,12.60,12.44
12.50,12.81,12.81,12.50
12.73,12.92,12.95,12.58
12.99,12.94,13.05,12.91
13.02,13.14,13.15,12.95
13.10,13.13,13.15,12.88
13.17,13.19,13.19,13.05
13.19,13.19,13.24,13.07
13.26,13.16,13.40,13.15
13.14,12.95,13.20,12.95
12.96,12.86,12.97,12.86
12.80,12.63,12.94,12.63
