GPS,Gap,NASDAQ
20.73,20.54,20.73,20.45
20.60,20.79,21.06,20.47
20.70,21.04,21.08,20.58
21.39,20.27,21.39,19.96
20.30,20.40,20.45,20.08
20.51,20.62,20.66,20.27
20.09,19.96,20.33,19.75
20.06,19.98,20.06,19.87
20.08,19.74,20.10,19.62
19.79,19.56,19.89,19.56
19.51,19.99,19.99,19.47
19.80,19.78,19.83,19.60
19.76,19.19,19.86,19.10
19.09,18.86,19.35,18.80
19.00,19.00,19.11,18.64
18.92,18.95,19.26,18.91
19.01,19.20,19.26,18.81
19.35,19.03,19.37,18.96
19.16,19.08,19.35,19.02
19.21,19.16,19.34,19.10
19.22,19.47,19.55,19.21
19.33,19.02,19.49,19.02
19.57,19.48,20.00,19.25
19.73,19.88,19.95,19.60
19.85,19.67,19.93,19.66
19.86,19.93,20.00,19.74
19.84,19.89,19.99,19.60
19.82,20.13,20.20,19.76
19.95,19.95,20.02,19.68
19.74,19.77,19.78,19.52
19.84,19.90,19.97,19.74
19.90,19.99,20.05,19.82
19.91,19.85,20.11,19.78
19.92,19.77,20.01,19.71
19.74,19.88,19.94,19.56
19.93,20.29,20.30,19.89
20.02,20.39,20.51,19.88
21.06,21.50,21.76,20.85
21.52,21.60,21.70,21.41
21.64,21.55,21.74,21.36
21.58,21.76,21.86,21.45
22.04,22.05,22.24,21.86
21.96,22.32,22.35,21.90
22.16,22.33,22.38,22.07
22.14,22.24,22.32,22.09
22.33,22.37,22.39,22.12
22.19,22.68,22.71,22.09
22.75,22.80,22.87,22.67
22.44,23.07,23.07,22.44
23.04,23.30,23.30,23.01
23.21,23.15,23.26,23.03
23.03,23.31,23.34,22.95
23.22,23.22,23.42,23.07
23.04,23.40,23.51,22.98
23.36,23.21,23.45,23.12
23.08,23.06,23.21,22.95
23.15,23.40,23.63,23.07
23.43,23.42,23.55,23.17
23.43,23.23,23.58,23.04
23.28,23.25,23.49,23.16
23.15,23.11,23.29,23.05
23.33,23.63,23.66,23.30
23.62,23.78,23.79,23.41
23.76,23.84,23.85,23.46
23.73,23.86,23.96,23.62
25.00,24.59,25.02,24.33
24.62,24.85,24.86,24.50
25.06,24.93,25.19,24.82
24.92,25.02,25.27,24.88
25.03,25.24,25.24,24.82
25.25,25.34,25.40,25.09
25.25,25.00,25.31,24.82
24.78,25.04,25.13,24.59
25.21,25.02,25.44,24.99
24.97,25.62,25.72,24.97
25.49,26.07,26.18,25.28
26.14,26.06,26.29,25.82
26.17,26.21,26.34,26.00
26.17,25.14,26.17,25.14
25.15,25.21,25.69,25.05
25.34,25.63,25.83,25.26
25.57,24.73,25.75,24.65
24.86,25.70,26.04,24.73
25.47,24.71,25.70,24.69
24.53,24.68,25.15,24.29
23.89,22.91,24.00,21.67
22.87,22.27,23.50,21.83
23.39,23.75,23.86,23.20
23.39,23.83,24.14,23.24
23.84,24.17,24.19,23.61
24.05,23.11,24.06,23.05
23.01,22.96,23.25,22.72
23.04,23.22,23.35,22.52
23.26,22.58,23.46,22.45
22.47,22.34,22.83,22.04
21.70,21.74,22.30,21.57
21.15,22.15,22.48,20.99
22.09,21.67,22.15,21.63
20.94,21.93,21.98,20.94
21.99,21.22,22.16,21.16
21.55,21.99,22.00,21.36
21.95,21.80,22.01,21.60
21.60,21.39,22.03,21.38
21.38,21.93,21.95,21.38
22.07,21.80,22.36,21.53
21.28,20.96,21.55,20.77
20.96,20.72,21.37,20.72
20.67,21.13,21.16,20.52
21.13,21.20,21.75,21.05
21.48,22.06,22.08,21.48
21.66,21.99,22.16,21.65
22.19,22.03,22.24,21.96
22.12,22.18,22.25,21.83
21.93,21.67,22.08,21.57
21.70,21.22,21.81,21.06
21.29,21.24,21.60,21.24
21.47,20.94,21.65,20.83
20.97,20.44,21.31,20.37
20.25,20.47,20.61,20.07
20.36,20.10,20.37,19.89
20.15,20.20,20.45,19.94
20.12,20.17,20.55,20.08
19.96,19.55,19.96,19.40
19.48,19.46,19.98,19.41
19.41,19.90,19.98,19.27
19.89,19.48,19.97,19.45
19.76,19.37,20.04,19.10
19.39,19.72,19.84,19.02
19.17,18.22,19.26,17.77
18.26,18.53,18.70,18.20
18.44,18.81,19.01,18.44
18.97,18.89,19.01,18.62
18.80,18.62,18.84,18.52
18.64,18.79,18.84,18.38
18.65,18.13,18.71,18.06
18.12,18.29,18.46,18.08
18.12,18.48,18.56,18.03
18.57,18.11,18.65,18.01
18.31,18.33,18.50,18.16
18.29,18.41,18.45,18.06
18.38,19.04,19.04,18.32
19.18,18.29,19.22,18.26
18.28,17.95,18.45,17.95
18.09,18.01,18.27,17.75
17.79,18.11,18.17,17.45
18.49,18.45,18.50,18.17
18.37,17.69,18.40,17.62
17.77,18.13,18.31,17.77
18.40,18.46,18.66,18.03
18.25,18.28,18.30,17.99
18.43,18.56,18.65,18.39
18.44,18.25,18.58,18.13
17.81,17.87,18.07,17.67
17.53,17.95,18.02,17.38
17.92,17.67,18.03,17.64
17.56,17.63,17.93,17.46
17.81,17.64,17.94,17.64
17.64,17.98,18.10,17.59
17.94,17.71,18.20,17.59
18.02,17.32,18.20,17.03
17.35,17.14,17.51,17.11
16.93,16.86,17.02,16.65
16.72,16.96,17.08,16.66
16.98,16.91,17.09,16.78
16.99,17.03,17.05,16.62
16.98,16.90,17.11,16.86
17.03,16.89,17.41,16.81
17.02,17.21,17.51,17.02
17.37,17.43,17.77,17.28
17.41,17.65,17.83,17.41
17.71,17.23,17.71,17.16
17.22,17.24,17.37,17.14
17.57,17.34,17.66,17.24
17.38,17.37,17.51,17.30
17.54,17.81,17.85,17.53
17.86,18.50,18.61,17.82
18.34,18.60,18.66,18.23
18.52,18.58,18.58,18.18
18.66,18.91,18.99,18.47
19.17,19.16,19.21,18.80
19.18,18.79,19.18,18.68
18.73,18.63,18.81,18.42
18.52,18.51,18.72,18.33
18.71,18.83,18.94,18.57
18.79,18.61,18.86,18.55
18.67,18.91,18.94,18.39
18.86,18.77,18.90,18.62
18.89,18.64,19.02,18.50
18.64,18.51,18.82,18.38
18.41,18.40,18.62,18.26
18.49,18.68,18.82,18.41
18.61,18.67,18.73,18.50
18.36,18.12,18.63,18.07
18.08,18.21,18.53,17.69
18.36,18.27,18.61,18.24
18.23,18.71,18.81,18.12
18.77,18.99,19.20,18.77
19.08,19.06,19.32,18.89
19.17,19.52,19.77,19.05
19.74,19.81,20.09,19.72
19.55,19.55,19.87,19.40
19.58,19.32,19.80,19.25
19.41,19.05,19.52,18.99
19.04,19.15,19.22,18.85
19.28,19.36,19.55,19.25
19.30,19.68,19.75,19.18
19.58,19.34,19.58,19.03
19.35,19.15,19.48,18.93
19.16,19.01,19.30,18.91
19.11,19.13,19.22,18.90
19.23,19.27,19.42,19.07
19.31,19.26,19.38,18.89
20.81,20.43,21.00,20.26
20.48,20.81,20.87,20.47
20.77,20.71,20.90,20.46
20.80,20.19,20.80,20.10
20.13,20.12,20.30,19.97
19.95,20.53,20.67,19.82
20.42,20.49,20.56,20.24
20.48,20.32,20.60,20.20
20.25,20.28,20.80,20.16
20.37,20.69,20.84,20.36
20.93,20.91,21.03,20.71
20.38,20.70,20.80,20.03
20.61,20.59,20.76,20.39
20.60,20.59,20.97,20.40
20.58,20.80,20.89,20.54
20.70,20.90,20.94,20.70
20.71,20.72,20.87,20.45
20.47,21.36,21.54,20.45
21.44,21.56,21.69,21.20
21.39,21.67,21.98,21.28
21.46,21.44,21.56,21.15
21.43,21.41,21.59,21.25
21.65,21.23,21.67,21.20
21.17,21.33,21.55,21.17
21.45,21.33,21.52,21.19
21.42,21.48,21.56,21.31
21.48,21.18,21.70,21.12
21.15,20.91,21.20,20.87
21.04,20.94,21.06,20.90
20.95,21.25,21.40,20.95
21.11,21.19,21.46,21.05
21.26,21.16,21.37,21.12
21.26,21.16,21.29,20.98
21.18,21.20,21.44,21.13
21.23,21.46,21.50,21.11
21.34,21.51,21.57,21.30
21.47,21.65,21.72,21.41
21.68,21.93,21.99,21.57
21.87,22.46,22.50,21.80
22.39,22.14,22.51,22.10
22.32,22.22,22.34,22.04
22.24,21.96,22.30,21.76
21.84,22.23,22.24,21.40
20.74,20.70,20.92,20.25
20.55,20.51,20.75,20.25
20.37,20.53,20.57,20.37
20.61,20.32,20.62,20.27
20.45,20.38,20.50,20.33
20.24,20.29,20.47,20.14
20.23,20.41,20.43,20.20
20.30,20.29,20.41,20.25
20.29,20.14,20.38,20.10
20.10,20.22,20.36,20.01
20.25,20.10,20.28,19.61
20.00,20.21,20.26,19.93
20.13,20.16,20.19,19.83
20.21,20.02,20.22,19.89
19.93,19.36,20.01,19.27
19.36,19.20,19.49,19.15
19.20,19.27,19.41,19.12
19.41,19.52,19.64,19.30
19.21,19.03,19.41,18.94
19.73,19.83,20.25,19.57
19.85,20.10,20.16,19.74
20.18,20.34,20.39,20.05
20.41,20.94,20.95,20.28
20.87,21.19,21.45,20.87
21.14,21.22,21.24,21.02
21.11,21.40,21.45,21.11
21.36,21.47,21.54,21.31
22.34,22.78,22.95,22.06
22.81,22.85,23.09,22.64
22.80,23.03,23.22,22.65
23.13,23.05,23.16,22.87
22.72,22.70,23.11,22.62
22.64,22.33,22.75,22.02
22.56,22.49,22.68,22.20
22.78,22.75,23.19,22.28
22.70,22.53,22.72,22.38
22.53,22.20,22.75,22.14
22.20,22.21,22.35,21.81
21.86,21.78,22.19,21.42
21.82,21.59,22.07,21.48
21.69,21.26,21.71,21.20
21.26,21.30,21.45,21.12
21.25,21.46,21.51,21.20
21.01,21.43,21.59,21.01
21.26,21.97,22.03,21.26
21.63,21.79,22.12,21.52
21.41,21.72,21.86,21.17
21.71,21.53,21.93,21.37
21.77,21.68,21.80,21.57
21.81,21.87,21.91,21.59
21.74,21.91,21.99,21.64
21.92,21.85,22.02,21.75
21.80,22.02,22.10,21.60
22.09,22.54,22.59,22.04
22.58,22.56,22.63,22.41
22.56,22.17,22.68,22.16
22.10,22.28,22.30,22.10
22.40,22.64,22.71,22.29
22.60,22.66,22.73,22.46
22.74,22.63,22.99,22.56
22.59,22.53,22.66,22.38
22.25,23.10,23.28,22.23
23.13,23.06,23.20,22.73
22.09,22.72,23.33,21.97
22.86,22.25,22.86,22.10
22.18,22.17,22.28,22.02
22.13,22.17,22.56,22.01
22.25,22.53,22.58,22.09
22.49,22.23,22.52,22.15
22.34,22.47,22.50,22.19
21.46,21.79,22.04,21.46
21.82,21.72,21.92,21.61
21.99,21.89,22.10,21.85
21.99,21.99,22.13,21.87
21.97,22.28,22.31,21.93
22.29,22.79,22.91,22.23
22.78,23.04,23.17,22.63
22.94,23.26,23.27,22.88
23.23,23.24,23.35,23.05
23.23,22.96,23.28,22.91
22.97,22.93,23.18,22.80
23.07,23.13,23.73,22.94
22.91,22.93,23.45,22.87
22.83,22.60,22.98,22.51
22.46,22.57,22.65,22.35
22.72,22.98,23.11,22.62
22.94,22.87,23.00,22.48
22.84,23.10,23.16,22.73
23.14,23.05,23.27,22.97
22.96,22.95,23.14,22.80
22.88,22.99,23.16,22.73
22.99,23.08,23.37,22.94
23.13,23.29,23.37,22.90
19.19,19.22,19.82,19.09
19.01,19.28,19.72,19.00
19.17,18.73,19.31,18.60
18.65,18.77,19.06,18.61
18.68,19.03,19.12,18.66
19.06,19.20,19.24,19.02
19.17,19.40,19.44,18.97
19.30,18.90,19.33,18.88
18.54,18.12,18.77,17.97
17.97,17.92,18.23,17.84
17.93,17.83,18.15,17.82
17.98,17.91,18.23,17.85
17.47,17.49,17.70,17.41
17.64,17.81,17.95,17.53
17.76,17.72,17.93,17.56
17.79,17.50,17.85,17.45
17.74,17.87,18.01,17.67
17.74,17.72,17.89,17.54
17.65,17.70,17.87,17.46
17.83,17.83,18.10,17.61
17.71,18.13,18.19,17.56
18.00,18.15,18.22,17.89
18.11,17.74,18.13,17.72
17.56,17.98,18.05,17.56
18.02,17.66,18.05,17.60
17.70,17.74,17.84,17.57
17.77,17.93,17.95,17.74
18.00,17.96,18.16,17.80
18.00,18.10,18.28,17.88
18.06,18.28,18.30,17.87
18.34,18.17,18.50,18.14
18.10,18.33,18.38,17.82
18.87,19.28,19.37,18.82
19.04,18.98,19.12,18.91
18.71,18.64,19.05,18.56
18.55,18.75,18.95,18.50
18.86,18.72,18.96,18.69
18.81,18.81,19.05,18.59
18.85,18.91,19.03,18.71
18.88,18.84,19.09,18.79
18.97,19.27,19.33,18.96
19.29,19.23,19.43,19.09
19.35,19.46,19.61,19.34
19.47,19.66,19.85,19.47
19.41,19.51,19.67,19.38
19.49,19.58,19.60,19.28
19.49,18.96,19.57,18.94
19.68,19.52,20.00,19.50
19.32,19.29,19.56,19.24
19.46,19.33,19.52,18.99
19.16,18.78,19.41,18.72
18.76,19.21,19.25,18.45
18.16,16.98,18.53,16.78
16.88,16.75,16.99,16.35
16.37,15.61,16.59,15.50
15.94,16.32,16.33,15.34
15.68,15.53,16.16,15.50
15.37,16.30,16.59,15.26
16.40,16.49,16.72,16.04
16.64,16.43,16.72,16.17
16.12,16.44,16.52,16.00
16.75,16.42,16.84,16.23
15.92,15.52,16.05,15.39
16.17,15.69,16.43,15.64
16.06,16.09,16.32,15.92
16.11,16.46,16.50,15.94
16.41,16.38,16.58,16.15
16.43,16.02,16.57,15.96
15.93,16.28,16.46,15.74
16.56,16.74,16.74,16.44
16.67,16.72,16.83,16.41
16.83,16.52,17.06,16.43
15.96,16.03,16.31,15.94
15.79,15.60,15.92,15.52
15.08,15.69,15.81,15.08
15.90,16.28,16.39,15.81
16.22,16.01,16.31,15.96
15.84,16.00,16.20,15.84
15.77,16.20,16.21,15.75
16.29,16.37,16.67,16.19
16.53,16.71,16.92,16.18
16.89,17.18,17.23,16.80
17.28,17.04,17.50,17.04
16.76,17.03,17.12,16.58
17.08,16.72,17.14,16.71
16.68,16.19,16.80,16.18
15.73,16.00,16.20,15.64
15.93,16.31,16.47,15.87
16.47,17.21,17.26,16.47
17.46,17.23,17.62,17.13
17.34,16.81,17.43,16.77
17.26,16.77,17.26,16.31
16.59,16.24,16.83,16.19
16.00,15.93,16.39,15.91
15.76,16.73,16.75,15.71
16.92,16.92,17.00,16.53
16.87,17.26,17.36,16.51
17.26,17.30,17.75,17.17
17.59,17.94,17.95,17.54
17.74,17.58,17.83,17.44
17.77,17.85,18.08,17.46
17.78,17.92,18.12,17.72
17.39,17.78,18.03,17.32
17.63,17.25,17.89,17.20
17.23,17.83,17.98,17.03
17.75,18.02,18.19,17.75
18.00,18.26,18.27,17.72
18.50,18.71,18.73,18.43
18.71,18.99,19.13,18.64
18.84,18.65,18.99,18.58
18.96,18.64,18.96,18.25
19.39,19.43,19.63,18.89
19.44,19.33,19.68,19.22
19.14,18.90,19.20,18.90
18.36,18.57,18.89,18.21
19.38,18.95,19.38,18.65
19.52,19.71,19.81,18.93
19.47,19.65,19.89,19.37
19.41,19.90,20.10,19.41
19.92,19.99,20.07,19.50
19.61,19.46,20.00,19.41
19.60,19.68,19.88,19.53
19.92,20.33,20.41,19.87
20.24,20.17,20.39,20.05
20.01,20.15,20.26,19.95
19.83,19.48,20.11,19.48
19.49,19.25,19.69,19.00
19.40,18.76,19.48,18.39
18.50,18.49,18.69,18.06
18.40,18.13,18.51,18.06
18.00,17.80,18.08,17.80
17.76,17.62,17.95,17.62
18.21,17.99,18.24,17.83
18.01,17.97,18.30,17.82
18.53,18.69,18.76,18.43
18.58,18.81,18.90,18.47
18.92,18.70,19.04,18.70
18.96,19.04,19.25,18.82
19.10,18.86,19.10,18.69
18.90,19.05,19.18,18.75
19.10,18.59,19.10,18.56
18.66,18.85,18.90,18.54
18.65,18.79,18.81,18.47
18.99,18.38,18.99,18.27
18.22,18.31,18.49,18.08
18.49,18.36,18.57,18.34
18.54,18.30,18.72,18.24
18.39,17.76,18.43,17.71
17.97,18.39,18.43,17.92
18.40,18.51,18.55,18.14
18.63,18.55,18.65,18.39
18.65,18.61,18.71,18.52
18.73,19.06,19.10,18.67
19.15,18.90,19.18,18.86
18.92,18.82,18.97,18.74
18.70,18.55,18.74,18.51
18.80,18.55,18.90,18.49
18.48,18.88,19.04,18.48
18.31,18.27,18.51,17.76
18.19,18.00,18.36,17.97
17.97,18.06,18.10,17.75
18.24,18.14,18.24,17.93
18.04,17.94,18.10,17.80
18.00,18.14,18.19,17.81
18.02,18.26,18.39,17.99
18.63,18.26,18.71,18.24
18.23,18.64,18.68,18.17
18.67,19.37,19.67,18.60
19.42,18.63,19.44,18.43
18.62,18.68,18.81,18.46
18.54,18.63,18.66,18.40
18.62,19.00,19.05,18.56
19.02,18.78,19.17,18.68
18.74,18.93,19.00,18.68
18.81,18.83,18.90,18.53
18.90,18.98,19.19,18.77
19.10,19.45,19.56,19.09
21.06,21.52,21.65,20.42
21.48,21.71,21.86,21.33
21.45,21.67,21.69,21.36
21.62,21.68,21.88,21.48
21.65,21.28,21.66,21.23
21.33,21.41,21.45,21.15
21.35,21.59,21.59,21.23
21.67,21.72,21.77,21.50
22.03,22.34,22.53,22.00
22.43,22.40,22.72,22.29
22.40,22.45,22.69,22.29
22.56,22.72,22.88,22.45
22.87,22.83,22.96,22.68
22.86,22.98,23.11,22.81
22.87,23.52,23.57,22.76
22.79,22.57,23.21,22.35
22.58,23.07,23.17,22.53
23.04,23.71,23.77,22.98
23.52,23.36,23.71,23.35
25.43,25.05,26.00,24.86
24.65,24.41,24.97,24.39
24.32,24.61,24.67,24.17
24.32,24.27,24.49,24.18
24.34,24.52,24.59,24.26
24.64,24.89,25.19,24.54
24.94,25.00,25.25,24.88
24.89,25.09,25.15,24.82
25.20,25.45,25.48,25.10
25.48,25.44,25.57,25.15
25.24,25.64,25.67,24.97
25.44,25.39,25.50,25.04
25.63,26.08,26.14,25.55
25.65,26.13,26.30,25.49
26.10,26.06,26.34,25.96
25.91,26.24,26.28,25.75
26.43,26.46,26.49,25.91
26.54,26.87,26.89,26.52
26.85,26.68,26.89,26.62
26.68,26.26,26.69,25.92
26.17,26.10,26.31,25.82
26.90,26.14,27.00,26.14
26.37,26.44,26.75,26.26
25.88,26.05,26.45,25.73
26.26,26.65,26.71,25.98
26.52,26.45,26.85,26.22
26.19,26.12,26.28,25.91
26.03,25.23,26.03,25.19
25.44,25.48,25.64,25.33
25.62,25.96,26.03,25.54
25.94,26.56,26.61,25.94
26.71,26.43,26.96,26.23
26.46,27.02,27.07,26.40
26.94,27.62,27.66,26.83
27.55,27.50,27.82,27.30
27.73,27.85,27.95,27.69
27.52,27.69,27.77,27.37
27.70,27.19,27.75,27.06
27.53,27.89,27.99,27.38
27.82,28.40,28.43,27.69
28.50,28.53,28.77,28.22
28.65,28.50,29.01,28.30
28.61,28.53,29.23,28.45
28.32,29.14,29.19,27.81
28.55,28.67,29.02,28.42
28.49,28.20,28.92,28.14
28.00,28.57,28.69,28.00
28.36,28.05,28.40,27.44
27.76,27.91,28.10,27.37
28.17,28.12,28.40,27.82
27.98,28.00,28.46,27.73
27.72,27.37,27.75,27.34
27.53,27.43,27.88,27.34
27.52,27.10,27.73,27.01
27.17,26.31,27.24,26.19
26.56,25.71,26.72,25.31
25.83,26.51,26.68,25.63
26.80,26.49,27.03,26.38
26.33,26.76,26.86,26.19
26.78,26.99,27.26,26.78
27.00,27.16,27.38,26.99
27.43,27.70,27.73,27.23
27.63,26.67,27.66,26.64
26.47,26.50,26.73,26.12
26.06,25.26,26.19,25.07
25.35,25.48,25.55,25.02
25.26,25.53,25.61,25.18
25.71,25.69,25.85,25.54
25.81,25.70,26.06,25.55
25.52,26.24,26.24,25.45
26.45,25.56,26.47,25.51
25.61,26.05,26.12,25.61
25.89,25.62,26.03,25.55
25.65,26.42,26.50,25.59
26.51,26.73,26.84,26.42
26.67,27.01,27.17,26.50
27.13,27.33,27.45,27.09
27.45,27.60,27.74,27.26
27.64,27.30,27.80,27.21
27.54,27.36,27.57,27.13
27.04,26.48,27.15,26.44
26.50,26.56,26.72,26.25
26.63,26.42,26.85,26.27
26.26,26.36,26.77,25.97
26.67,27.36,27.44,26.67
27.53,27.52,27.68,26.96
27.44,27.69,27.90,27.38
27.61,27.97,28.12,27.61
27.78,27.88,28.03,27.64
27.76,28.19,28.33,27.73
28.36,27.70,28.53,27.55
27.39,27.16,27.64,27.00
26.96,27.18,27.29,26.57
27.20,27.90,27.96,27.18
27.82,27.97,28.22,27.66
28.14,28.47,28.60,28.05
28.38,29.12,29.28,28.33
29.25,29.48,29.54,29.11
29.13,29.20,29.33,28.92
28.65,29.17,29.29,28.45
29.23,28.92,29.32,28.64
29.12,29.29,29.59,29.06
29.75,29.65,29.94,29.24
29.91,29.91,30.17,29.74
29.93,29.82,30.20,29.76
29.69,29.49,29.74,29.39
29.63,29.42,29.92,29.40
31.96,33.17,33.69,31.51
32.98,33.46,33.99,32.85
33.43,33.75,33.88,33.37
33.84,33.94,34.12,33.82
33.78,34.64,34.92,33.75
34.57,34.42,34.66,34.17
34.55,34.21,34.55,33.89
34.20,34.63,34.63,34.16
34.76,34.61,34.89,34.51
34.74,34.61,34.89,34.55
34.69,34.34,34.83,33.35
35.89,35.99,36.23,35.84
35.94,35.34,36.03,35.14
35.63,35.32,35.78,35.13
35.17,35.30,35.48,35.13
35.07,34.97,35.20,34.85
34.67,35.12,35.17,34.67
35.10,35.09,35.24,35.04
35.12,35.11,35.29,34.90
35.09,35.17,35.26,35.03
35.70,36.11,36.60,35.38
36.11,35.82,36.24,35.68
35.71,35.81,35.90,35.53
35.57,35.45,35.69,35.23
35.57,36.09,36.13,35.57
36.19,35.93,36.31,35.92
35.84,35.48,35.91,35.46
35.39,35.13,35.63,35.11
35.30,35.54,35.68,35.30
35.44,35.65,35.90,35.26
35.63,35.20,35.77,35.08
35.01,36.05,36.14,34.79
35.86,36.01,36.19,35.64
35.99,35.93,36.23,35.80
35.82,36.14,36.18,35.52
36.47,36.19,36.73,36.06
36.00,35.89,36.15,35.64
35.96,35.46,36.21,35.46
35.42,35.27,35.78,34.95
35.38,35.38,35.61,35.00
35.33,35.78,35.92,35.24
35.98,36.10,36.34,35.89
36.49,36.14,36.49,35.95
36.24,36.75,36.76,36.18
37.11,37.10,37.43,36.62
37.71,37.10,37.85,36.94
36.94,37.27,37.44,36.94
37.30,36.70,37.39,36.67
36.77,36.62,36.98,36.50
36.88,36.34,37.05,36.34
36.30,36.10,36.45,35.88
36.32,36.28,36.44,36.06
36.59,36.96,37.00,36.49
37.00,36.79,37.12,36.54
36.79,37.18,37.24,36.78
37.24,36.37,37.25,36.17
36.51,36.16,36.51,35.76
35.78,35.47,35.78,35.10
35.62,35.51,35.85,35.25
35.71,35.17,35.85,34.80
35.28,35.41,35.45,34.88
34.90,35.72,35.86,34.57
35.73,35.65,35.82,35.05
35.78,35.11,35.81,35.09
34.79,35.37,35.39,34.57
35.41,35.94,36.15,35.32
35.64,35.26,35.87,34.88
35.20,34.07,35.32,34.06
34.05,33.62,34.13,33.47
33.79,33.50,33.82,33.18
33.40,33.69,34.15,33.22
34.30,33.63,34.87,33.50
33.27,33.26,33.48,32.54
34.46,33.59,34.73,33.18
33.83,34.43,34.43,33.78
34.40,34.90,35.09,34.37
34.90,35.15,35.44,34.90
35.32,35.50,35.61,35.26
35.31,35.62,35.70,35.08
35.68,35.15,35.84,35.13
35.12,35.82,35.83,34.98
34.84,34.36,35.53,34.31
34.28,34.46,34.64,34.12
34.52,34.51,34.69,34.14
34.56,30.94,34.57,30.53
31.13,31.81,31.95,31.12
31.47,31.96,32.04,31.09
32.10,31.81,32.15,31.58
31.52,30.89,31.60,30.22
31.57,31.82,32.15,31.28
31.74,31.43,31.80,31.39
31.42,31.47,31.66,31.34
31.35,31.45,31.59,31.34
31.55,31.91,31.91,31.29
31.68,32.02,32.27,31.45
32.11,32.16,32.62,32.00
32.19,31.75,32.19,31.25
31.37,31.37,31.53,31.09
31.41,31.37,31.65,31.30
31.37,30.40,31.49,30.27
30.46,30.69,30.75,30.15
30.28,30.43,31.13,29.84
30.44,31.04,31.06,30.23
31.57,31.37,31.84,30.65
33.11,32.09,33.11,31.12
32.27,32.10,32.58,31.90
31.87,31.20,31.90,31.11
30.88,32.01,32.06,30.73
31.80,31.81,32.00,31.53
31.63,31.35,31.73,30.91
31.41,31.71,31.79,31.29
31.70,31.39,31.89,31.30
31.43,32.46,32.57,31.31
32.30,32.61,32.80,32.04
32.73,32.84,32.88,32.48
32.82,32.96,33.20,32.29
32.83,32.85,33.01,32.63
32.80,32.64,32.93,32.52
32.70,33.18,33.46,32.70
33.30,33.54,33.55,33.05
33.59,33.04,33.59,33.01
32.97,32.75,33.02,32.54
32.76,32.84,32.94,32.63
32.75,32.68,32.94,32.59
32.89,32.97,33.07,32.49
32.78,32.59,33.06,32.55
32.64,33.29,33.52,32.64
33.22,33.22,33.88,32.93
33.30,32.23,33.33,31.55
32.30,32.23,32.47,31.91
32.26,32.58,32.91,32.20
32.54,32.11,32.72,32.03
32.17,31.84,32.42,31.79
31.72,31.36,31.82,31.19
31.34,32.88,33.80,31.29
32.83,32.64,32.90,32.04
32.70,32.29,32.92,32.26
32.12,32.05,32.26,31.70
32.08,31.96,32.09,31.44
32.10,31.22,32.18,31.22
31.39,31.79,31.99,31.28
31.87,32.51,32.63,31.61
32.46,32.92,33.36,32.35
33.70,33.87,34.29,32.91
