GRBK,Green Brick Partners,NASDAQ
2.67,2.99,2.99,2.67
2.98,3.47,3.49,2.90
3.49,3.49,3.49,3.25
3.50,3.26,3.53,3.06
3.21,3.42,3.50,3.16
3.45,4.13,4.15,3.42
3.94,3.80,4.40,3.75
3.87,3.60,4.25,3.60
3.62,3.35,3.63,3.35
3.30,3.37,3.50,3.26
3.41,3.35,3.62,3.25
3.30,3.22,3.34,3.16
3.20,3.33,3.48,3.01
3.28,3.15,3.30,3.08
3.18,3.03,3.33,3.03
3.03,3.15,3.19,3.02
3.11,3.09,3.17,3.03
3.16,3.12,3.16,3.04
3.19,3.08,3.22,3.04
3.14,3.04,3.18,3.04
3.07,3.30,3.31,3.05
3.35,3.15,3.64,3.15
3.12,3.06,3.16,2.90
3.02,2.77,3.02,2.65
2.86,2.84,2.90,2.73
3.01,3.02,3.02,2.67
2.94,2.82,2.99,2.82
2.87,2.80,2.87,2.75
2.80,2.76,2.82,2.75
2.83,2.84,2.91,2.79
2.87,2.80,2.89,2.77
2.76,2.77,2.82,2.72
2.79,2.78,2.83,2.72
2.84,2.99,3.12,2.82
3.04,2.95,3.12,2.90
2.95,2.92,3.05,2.91
2.98,2.82,2.98,2.78
2.87,2.90,2.96,2.76
2.88,2.76,2.88,2.73
2.77,2.79,2.92,2.73
2.81,2.83,2.86,2.81
2.80,2.82,2.86,2.77
2.80,2.92,2.92,2.77
2.93,2.94,2.99,2.87
2.98,2.82,2.98,2.82
2.78,2.75,2.90,2.72
2.71,2.86,2.86,2.71
2.85,2.89,2.99,2.85
2.89,2.85,2.90,2.81
2.84,2.83,2.90,2.80
2.81,2.80,2.81,2.75
2.83,2.83,2.85,2.80
2.83,2.83,2.84,2.78
2.80,2.98,3.05,2.75
3.00,3.19,3.22,2.92
3.14,3.10,3.18,3.06
3.13,2.95,3.13,2.86
2.95,2.94,3.02,2.90
2.90,3.08,3.19,2.90
3.39,3.28,3.84,3.26
3.24,2.94,3.29,2.86
2.96,2.91,3.07,2.91
2.90,3.14,3.23,2.88
3.18,3.09,3.22,3.00
3.05,2.98,3.12,2.94
2.98,3.03,3.06,2.93
3.11,3.00,3.11,2.89
3.10,3.04,3.13,3.01
3.03,2.98,3.05,2.95
2.98,2.99,3.05,2.98
3.03,2.99,3.05,2.99
2.96,2.94,3.03,2.93
2.89,2.97,3.02,2.88
2.96,2.92,3.07,2.88
2.90,2.85,2.92,2.80
2.84,2.88,2.93,2.81
2.86,2.92,2.92,2.81
2.95,2.87,2.96,2.82
2.91,2.82,2.91,2.80
2.88,2.74,2.88,2.53
2.74,2.72,2.95,2.58
2.77,2.62,2.77,2.62
2.62,2.37,2.62,2.37
2.36,2.12,2.37,2.09
2.12,2.08,2.18,2.02
2.11,1.97,2.14,1.58
1.94,1.99,2.05,1.76
2.34,2.49,2.64,2.10
2.49,2.40,2.62,2.36
2.38,2.57,2.59,2.29
2.59,2.60,2.70,2.54
2.20,2.24,2.45,2.03
2.24,2.20,2.34,2.14
2.23,2.15,2.31,2.11
2.11,1.96,2.17,1.90
1.90,1.72,1.91,1.68
1.66,1.81,1.84,1.65
1.77,1.77,1.83,1.71
1.74,1.66,1.74,1.65
1.70,1.78,1.83,1.70
1.87,2.15,2.17,1.87
2.19,2.05,2.20,1.97
2.00,1.89,2.05,1.87
1.93,1.97,2.00,1.88
2.05,2.00,2.12,1.85
2.03,1.91,2.03,1.87
1.91,1.78,1.94,1.78
1.75,1.48,1.75,1.42
1.54,1.55,1.67,1.50
1.61,1.69,1.72,1.57
1.73,1.65,1.73,1.63
1.65,1.69,1.73,1.62
1.73,1.70,1.75,1.67
1.72,1.73,1.74,1.67
1.72,1.67,1.72,1.66
1.65,1.66,1.67,1.59
1.70,1.58,1.71,1.57
1.58,1.71,1.74,1.58
