GRID,First Trust NASDAQ Clean Edge Smart Grid Infrastructure Index Fund,NASDAQ
32.48,32.82,32.85,32.48
33.00,33.05,33.18,32.90
33.10,33.36,33.48,33.10
33.28,33.37,33.38,32.91
33.32,33.50,33.50,33.07
33.72,33.36,33.72,33.21
33.37,33.02,33.37,32.83
33.21,33.37,33.40,32.63
33.40,33.30,33.46,33.25
33.06,32.40,33.06,32.17
32.37,32.67,32.67,32.14
32.20,31.93,32.25,31.62
32.10,31.12,32.10,30.95
31.19,30.07,31.19,30.07
31.30,30.35,31.30,30.19
30.37,30.17,30.60,30.00
30.28,30.26,30.28,29.61
30.31,29.64,30.37,29.44
29.65,29.43,30.16,29.38
29.82,29.89,29.98,29.65
30.01,30.38,30.40,29.90
30.09,30.05,30.36,29.97
29.52,28.90,29.52,28.90
28.90,28.63,28.90,28.00
28.77,28.46,28.96,28.45
28.59,28.99,29.26,28.59
28.84,28.84,28.94,28.56
29.02,29.22,29.32,28.60
29.10,28.98,29.10,28.58
29.01,29.40,29.79,29.01
29.58,29.47,29.62,29.43
29.24,30.00,30.05,29.24
29.67,29.98,29.98,29.52
30.25,29.94,30.25,29.87
29.56,29.38,29.56,29.26
29.38,29.45,29.61,29.38
28.98,29.00,29.00,28.69
28.95,29.07,29.08,28.94
30.52,29.63,30.52,29.28
29.86,29.93,30.07,29.78
30.09,30.16,30.43,30.06
30.29,30.13,30.31,29.92
30.37,30.42,30.47,30.16
30.67,30.48,30.67,30.39
30.45,30.33,30.52,30.20
30.55,30.54,30.66,30.38
30.49,30.79,30.79,30.38
31.00,30.89,31.00,30.68
30.93,30.50,30.93,30.39
30.73,30.84,30.84,30.56
31.02,30.96,31.12,30.96
31.02,30.86,31.02,30.71
30.40,30.40,30.68,30.33
30.25,30.76,30.76,30.21
30.89,31.18,31.18,30.73
31.12,30.76,31.12,30.75
30.88,30.72,31.19,30.72
31.05,30.79,31.05,30.70
30.96,31.06,31.06,30.96
31.25,30.87,31.25,30.81
30.66,30.74,31.04,30.66
31.02,31.06,31.11,30.93
31.31,31.32,31.33,31.20
31.34,31.54,31.54,31.30
31.55,31.48,31.58,31.42
31.30,31.66,31.66,31.27
31.65,31.76,31.79,31.65
31.78,31.80,31.86,31.74
31.76,31.76,31.76,31.45
31.85,31.87,31.87,31.85
31.94,32.34,32.35,31.94
32.14,31.65,32.14,31.55
31.27,31.30,31.36,30.98
31.55,32.08,32.10,31.55
32.02,31.88,32.03,31.78
31.61,31.88,31.88,31.34
31.89,32.23,32.23,31.89
32.07,32.14,32.42,32.07
31.91,31.18,32.02,31.12
31.25,31.07,31.25,30.77
31.39,32.03,32.03,31.39
32.25,31.73,32.25,31.73
31.86,32.27,32.27,31.86
31.70,30.78,31.70,30.75
30.42,30.34,30.60,29.87
30.18,29.02,30.85,27.51
29.33,28.88,29.50,28.49
30.77,30.41,30.77,30.23
30.40,30.48,30.85,30.13
30.86,31.25,31.25,30.86
31.49,31.35,31.71,31.32
31.00,30.42,31.00,30.31
30.49,30.37,30.52,29.74
30.83,29.95,30.97,29.87
30.00,29.66,30.00,29.13
29.00,28.29,29.00,28.05
28.00,28.66,28.90,27.98
28.51,28.32,28.69,28.32
27.53,27.98,28.09,27.00
28.65,28.19,28.70,28.19
29.01,29.25,29.25,28.98
29.41,28.91,29.41,28.80
28.89,28.50,29.30,28.48
28.58,29.06,29.07,28.36
29.49,29.37,29.49,29.19
29.29,28.25,29.29,28.25
28.38,27.43,28.38,27.42
27.50,27.24,27.52,27.09
27.75,27.46,27.96,27.34
27.99,28.45,28.45,27.99
28.40,28.88,28.88,28.40
29.26,29.06,29.41,29.06
29.50,30.00,30.00,29.43
29.89,30.06,30.24,29.89
30.33,29.98,30.33,29.77
29.98,29.94,29.98,29.94
30.46,29.79,30.47,29.76
29.78,29.30,29.91,29.24
28.91,29.15,29.35,28.75
29.11,28.46,29.11,28.46
28.65,28.84,28.84,28.36
28.90,28.75,29.08,28.58
28.36,27.49,28.36,27.41
27.59,27.28,27.84,27.27
27.49,27.47,27.59,26.84
27.48,27.50,27.50,27.21
28.25,27.92,28.50,27.92
27.92,28.64,28.64,27.91
28.92,29.04,29.05,28.74
29.06,29.30,29.30,29.01
29.38,29.03,29.38,29.03
29.58,29.86,29.86,29.57
29.78,29.85,30.00,29.74
30.15,29.99,30.15,29.46
29.75,28.74,29.77,28.66
28.61,29.01,29.01,28.61
28.46,29.09,29.09,28.40
29.15,28.80,29.28,28.78
29.32,30.25,30.25,29.32
30.15,30.75,30.80,30.15
30.98,31.22,31.22,30.71
31.15,30.96,31.15,30.88
31.00,30.47,31.00,30.42
