GSBC,Great Southern Bancorp,NASDAQ
21.46,22.09,22.09,21.46
22.03,21.05,22.23,21.05
21.01,20.66,21.47,20.66
20.71,21.09,21.20,20.35
21.10,21.02,21.30,20.97
21.17,21.03,21.27,20.82
20.86,21.10,21.23,20.70
21.30,21.73,21.88,21.10
21.36,22.07,22.21,21.36
22.18,22.21,22.23,21.94
21.99,22.74,22.88,21.93
22.54,22.59,22.81,22.21
22.37,22.50,22.70,22.23
22.55,22.53,22.57,22.16
22.61,22.38,22.71,22.16
22.38,22.51,22.88,22.38
22.34,22.92,23.00,22.00
22.99,22.16,22.99,21.72
22.07,22.47,22.81,22.07
22.64,22.50,22.99,22.28
22.48,21.80,22.81,21.65
21.81,21.42,21.96,21.26
21.36,21.25,21.36,21.07
21.35,21.85,21.89,21.26
21.89,21.92,22.18,21.54
22.10,22.11,22.67,21.62
21.99,22.07,22.33,21.79
21.95,22.30,22.38,21.95
22.20,22.18,22.49,22.00
22.13,22.23,22.33,21.85
22.36,22.50,22.75,22.03
22.43,22.62,22.62,22.01
22.64,22.70,22.78,22.53
22.26,22.69,22.70,22.00
22.54,22.81,22.82,22.41
22.61,22.89,22.99,22.61
22.74,22.92,22.94,22.58
22.73,22.85,22.94,22.73
22.88,23.13,23.44,22.75
23.00,23.05,23.07,22.66
23.12,23.11,23.33,23.00
23.11,23.62,23.70,23.11
23.77,24.38,24.38,23.47
24.41,24.00,24.50,23.70
23.92,23.91,24.15,23.74
23.84,23.54,24.17,23.00
23.40,23.80,24.02,23.29
23.57,23.62,23.90,23.34
23.61,23.49,23.86,23.35
23.51,23.07,23.75,22.77
23.02,22.91,23.27,22.77
22.89,22.71,23.07,22.49
22.87,23.50,23.50,22.87
23.27,23.98,24.15,23.27
23.95,23.80,23.96,23.29
23.79,23.97,24.03,23.73
24.02,23.51,24.02,23.50
23.56,22.81,23.67,22.68
22.73,22.35,22.93,22.30
22.44,22.60,23.59,22.38
22.50,22.44,23.02,22.23
22.46,22.19,22.55,21.72
22.11,22.41,22.41,22.10
22.35,22.79,22.80,22.20
22.68,22.83,23.27,22.68
22.71,23.00,23.16,22.69
23.06,22.80,23.06,22.70
22.95,22.57,23.17,22.57
22.60,22.68,22.80,22.34
23.08,23.96,24.15,22.90
24.02,24.11,24.19,23.90
24.14,23.39,24.28,23.30
23.40,23.41,24.11,23.39
23.73,23.73,23.99,23.32
23.68,23.92,23.92,23.65
23.70,23.49,23.90,23.07
23.45,23.92,24.05,23.37
23.89,24.58,24.65,23.89
24.56,24.02,24.74,24.02
24.09,24.28,24.37,24.09
24.43,24.72,24.73,24.16
24.40,24.39,24.66,24.35
24.42,24.81,24.81,24.30
24.64,24.56,24.75,24.40
24.54,24.38,24.75,24.30
24.36,24.25,24.75,23.99
24.25,24.00,24.59,23.68
24.99,24.95,24.99,24.40
24.79,25.01,25.33,24.58
24.99,25.69,25.73,24.53
25.50,25.91,26.32,25.32
25.92,25.35,25.99,25.18
25.41,25.85,26.03,25.41
26.03,25.13,26.03,25.05
25.24,24.58,25.31,24.16
24.25,24.00,24.45,23.89
23.85,24.03,24.74,23.84
23.94,23.65,24.08,23.50
23.34,23.44,23.67,23.10
23.50,23.49,23.93,23.20
23.88,24.81,24.92,23.74
24.80,24.69,25.20,24.59
24.58,23.65,24.76,23.60
23.71,24.39,24.40,23.65
24.33,24.29,24.82,24.15
24.21,22.61,24.21,22.61
22.74,22.21,22.74,22.13
22.19,22.27,22.40,21.75
22.50,22.27,22.50,22.09
22.44,22.29,22.52,22.27
22.39,22.42,22.42,21.98
22.65,22.43,23.63,22.27
22.39,22.54,22.59,22.01
22.31,22.92,22.99,22.31
22.89,22.69,22.93,22.42
22.70,22.60,22.83,22.45
22.72,22.42,22.95,22.35
22.41,22.07,22.55,22.06
22.06,21.87,22.21,21.82
21.82,21.48,21.82,21.44
21.48,21.97,22.07,21.44
21.77,21.63,21.85,21.63
21.33,20.83,21.61,20.76
20.80,20.31,21.00,20.30
20.45,19.92,20.45,19.57
20.07,19.61,20.07,19.54
19.64,19.51,19.74,19.39
19.62,19.76,19.76,19.37
19.88,20.27,20.29,19.80
20.30,20.76,20.80,20.30
20.76,20.47,21.12,20.46
20.76,21.23,21.24,20.64
21.19,21.55,22.00,21.19
21.64,20.97,21.80,20.77
20.75,19.50,20.75,19.41
20.01,19.69,20.01,19.52
19.50,20.14,20.18,19.50
