GSIT,GSI Technology,NASDAQ
4.47,4.74,4.79,4.47
4.72,4.70,4.74,4.65
4.70,5.00,5.15,4.65
5.01,4.99,5.08,4.96
4.97,4.99,5.00,4.86
4.99,5.00,5.04,4.83
4.98,4.82,4.98,4.75
4.86,5.21,5.45,4.76
5.13,5.38,5.43,5.11
5.40,5.08,5.40,5.00
5.05,4.94,5.11,4.90
4.90,4.83,4.97,4.80
4.83,4.49,5.00,4.45
4.43,4.45,4.56,4.43
4.48,4.47,4.50,4.45
4.47,4.52,4.57,4.45
4.54,4.49,4.54,4.46
4.50,4.33,4.60,4.30
4.34,4.46,4.46,4.30
4.45,4.42,4.50,4.34
4.41,4.40,4.49,4.38
4.41,4.64,4.79,4.41
4.71,4.63,4.81,4.61
4.54,4.50,4.70,4.10
4.51,4.43,4.61,4.39
4.49,4.33,4.49,4.26
4.30,4.33,4.37,4.30
4.32,4.34,4.34,4.28
4.34,4.36,4.36,4.27
4.38,4.49,4.50,4.26
4.48,4.58,4.58,4.46
4.48,4.51,4.51,4.33
4.50,4.56,4.61,4.45
4.47,4.64,4.64,4.47
4.64,4.65,4.69,4.50
4.65,4.59,4.68,4.57
4.55,4.43,4.56,4.40
4.43,4.47,4.55,4.41
4.53,4.58,4.59,4.48
4.60,4.73,4.85,4.60
4.75,4.64,4.75,4.62
4.55,4.68,4.69,4.55
4.69,4.71,4.84,4.63
4.74,4.76,4.76,4.66
4.75,4.92,5.00,4.67
4.91,4.95,4.95,4.87
4.92,4.93,4.95,4.81
4.95,4.83,4.95,4.81
4.83,4.65,4.86,4.63
4.70,4.72,4.72,4.59
4.74,4.72,4.77,4.72
4.74,4.75,4.77,4.73
4.60,4.60,4.78,4.57
4.61,4.47,4.61,4.46
4.48,4.77,4.79,4.48
4.77,4.90,4.90,4.77
4.90,4.76,4.90,4.75
4.77,4.67,4.82,4.65
4.69,4.70,4.74,4.68
4.70,4.75,4.77,4.70
4.73,4.66,4.75,4.65
4.68,4.80,4.88,4.65
4.89,4.66,4.89,4.65
4.65,4.67,4.80,4.65
4.67,4.82,4.88,4.67
4.81,4.90,5.05,4.76
4.93,4.91,5.05,4.85
5.21,5.25,5.40,5.17
5.30,5.37,5.40,5.25
5.44,5.75,5.80,5.42
5.74,5.80,5.90,5.66
5.80,5.73,5.80,5.55
5.67,5.72,5.78,5.43
5.75,6.00,6.02,5.70
6.03,5.83,6.03,5.75
5.77,6.10,6.20,5.63
6.12,6.04,6.12,5.96
6.05,5.99,6.05,5.92
5.97,6.04,6.10,5.85
6.05,6.01,6.08,5.85
6.09,6.73,6.75,6.06
6.69,6.47,6.73,6.26
6.51,6.70,6.73,6.48
6.66,6.26,6.66,6.20
6.26,6.08,6.26,5.90
6.01,5.98,6.10,5.55
5.90,5.47,5.97,5.26
5.82,6.00,6.02,5.67
6.01,6.29,6.34,5.79
6.37,6.60,6.65,6.31
6.62,6.49,6.72,6.47
6.40,6.23,6.43,6.05
6.30,6.28,6.40,5.96
6.31,6.03,6.32,6.01
6.03,6.19,6.27,5.75
6.01,5.80,6.04,5.80
5.71,5.83,5.99,5.55
5.84,5.67,5.92,5.66
5.50,5.64,5.66,5.36
5.65,5.77,5.94,5.65
5.91,6.04,6.04,5.78
6.06,5.92,6.06,5.90
5.81,6.01,6.06,5.70
6.01,6.43,6.43,6.01
6.43,6.38,6.44,6.30
6.38,6.23,6.42,6.15
6.30,5.80,6.35,5.78
5.80,5.60,6.00,5.55
5.69,5.69,5.84,5.40
5.78,5.84,6.01,5.65
5.74,5.80,6.02,5.66
5.87,5.96,6.16,5.66
6.05,6.33,6.35,5.87
6.24,6.31,6.35,6.03
6.35,6.44,6.45,6.16
6.48,6.58,6.70,6.37
6.70,6.47,6.93,6.26
6.50,6.31,6.73,6.29
6.29,6.16,6.29,6.05
6.14,6.10,6.25,6.01
6.16,6.44,6.46,6.15
6.38,6.54,6.72,6.28
6.38,5.85,6.38,5.83
5.88,5.72,6.08,5.70
5.72,5.64,5.77,5.50
5.73,5.80,5.85,5.56
5.81,5.51,5.96,5.50
5.57,5.93,5.95,5.51
5.98,5.88,5.99,5.74
5.84,5.97,5.97,5.63
5.99,6.05,6.15,5.99
6.16,6.38,6.39,6.10
6.40,6.15,6.40,6.05
6.16,6.00,6.16,5.84
5.95,5.84,6.00,5.75
5.89,6.17,6.20,5.84
6.06,6.19,6.20,6.01
6.25,6.15,6.29,6.07
6.28,6.49,6.49,6.17
6.45,6.49,6.58,6.38
6.54,6.38,6.54,6.25
6.42,6.47,6.51,6.40
6.47,6.49,6.65,6.43
6.50,6.28,6.50,6.11
6.44,6.80,6.80,6.30
6.85,7.00,7.08,6.81
7.00,6.94,7.00,6.93
6.97,6.76,6.98,6.65
6.72,6.82,6.89,6.70
6.71,6.66,6.88,6.25
6.70,6.82,6.82,6.63
6.73,6.50,6.77,6.38
6.36,6.17,6.45,6.00
6.05,6.00,6.13,5.91
6.00,6.03,6.16,5.92
5.93,6.19,6.25,5.86
6.26,6.17,6.26,6.05
6.15,6.13,6.21,5.89
6.09,6.14,6.20,5.95
6.11,6.22,6.22,5.90
6.24,6.05,6.30,6.04
5.95,6.07,6.27,5.75
6.04,6.15,6.15,5.76
6.16,5.81,6.16,5.80
5.91,5.89,5.98,5.78
5.87,5.71,5.95,5.65
5.69,5.80,6.05,5.69
5.92,6.07,6.07,5.82
6.03,6.04,6.11,5.96
6.11,6.14,6.15,6.00
6.08,5.84,6.11,5.83
5.87,5.75,5.95,5.70
5.85,5.62,5.85,5.50
5.62,5.59,5.72,5.54
5.64,5.80,5.92,5.61
5.80,6.01,6.03,5.76
6.00,6.06,6.10,5.97
6.00,5.87,6.06,5.86
5.96,5.78,5.96,5.70
5.76,5.81,5.85,5.74
5.79,5.93,5.95,5.79
5.92,5.80,5.95,5.71
5.74,5.73,5.85,5.71
5.83,5.90,5.95,5.80
5.88,5.74,5.89,5.68
5.75,5.81,5.88,5.73
5.78,5.84,5.88,5.78
5.88,5.74,5.89,5.70
5.79,5.81,5.87,5.61
5.79,5.75,5.79,5.67
5.79,5.93,5.98,5.79
5.90,5.70,5.92,5.65
5.76,5.66,5.80,5.66
5.65,5.78,5.83,5.63
5.78,5.81,5.84,5.78
5.77,6.00,6.03,5.77
6.02,6.31,6.40,6.00
6.29,6.39,6.40,6.19
6.45,6.54,6.60,6.21
6.59,6.50,6.71,6.47
6.38,6.31,6.51,6.26
6.33,6.44,6.50,6.32
6.50,6.19,6.50,6.11
6.20,6.39,6.43,6.19
6.45,6.30,6.47,6.27
6.29,6.22,6.29,6.18
6.17,6.20,6.24,6.10
6.21,6.12,6.24,5.90
6.15,6.95,6.99,6.15
6.97,6.82,7.09,6.67
6.82,6.67,6.85,6.61
6.70,6.90,6.91,6.54
6.95,7.12,7.15,6.85
7.10,7.17,7.18,7.03
7.17,7.23,7.23,7.08
7.22,7.04,7.23,7.00
7.03,7.07,7.11,6.91
6.90,6.99,7.03,6.89
6.95,6.93,7.01,6.78
6.96,7.06,7.10,6.93
7.02,7.01,7.03,6.90
7.05,7.01,7.06,6.98
7.06,7.24,7.25,7.04
7.25,7.27,7.50,7.20
7.26,7.40,7.40,7.10
7.32,7.33,7.41,7.20
7.35,7.50,7.54,7.35
7.49,7.49,7.50,7.45
7.47,7.47,7.50,7.32
7.34,7.40,7.48,7.31
7.44,7.50,7.68,7.40
7.55,7.51,7.55,7.40
7.49,7.58,7.58,7.45
7.60,7.76,7.78,7.51
7.88,7.82,7.89,7.76
7.82,7.83,7.87,7.78
7.90,7.99,8.00,7.82
8.00,7.93,8.00,7.84
7.95,7.85,7.95,7.67
7.87,7.71,7.94,7.61
7.73,7.76,7.76,7.51
7.80,7.90,7.91,7.75
7.90,7.88,7.92,7.79
7.88,7.89,7.91,7.35
7.89,7.94,7.95,7.76
7.95,7.98,8.00,7.77
7.96,8.10,8.10,7.88
8.10,8.18,8.20,8.08
8.20,8.20,8.24,8.14
8.20,8.20,8.24,8.13
8.20,8.19,8.24,8.15
8.19,8.10,8.19,8.10
8.43,8.28,8.43,8.08
8.30,8.20,8.30,8.09
8.13,8.22,8.22,8.08
8.25,8.40,8.40,8.22
8.40,8.40,8.50,8.33
8.80,9.17,9.20,8.77
9.30,9.51,9.55,9.18
9.49,9.54,9.60,9.46
9.50,9.70,9.70,9.47
9.70,9.96,9.96,9.65
9.99,10.09,10.15,9.86
10.15,9.47,10.15,9.30
9.37,9.20,9.44,8.95
9.25,9.48,9.59,9.25
9.54,9.56,9.59,9.41
9.55,9.47,9.59,9.39
9.52,9.70,9.73,9.45
9.75,9.96,10.05,9.72
9.82,9.27,9.82,8.60
9.29,9.20,9.49,9.15
9.25,9.32,9.49,9.21
9.31,9.34,9.45,9.25
9.37,9.37,9.39,9.25
9.39,9.27,9.40,9.25
9.25,9.42,9.58,9.23
9.43,9.43,9.48,9.29
9.44,9.37,9.47,9.29
9.30,9.30,9.40,9.25
9.32,9.38,9.40,9.25
9.42,9.39,9.44,9.25
9.39,9.32,9.44,9.30
9.33,9.37,9.37,9.25
9.38,9.40,9.45,9.31
9.42,9.78,10.20,9.41
9.69,9.27,9.69,9.18
9.26,8.94,9.44,8.80
8.99,9.29,9.33,8.95
9.33,9.45,9.48,9.25
9.56,9.41,9.69,9.25
9.41,9.20,9.41,9.20
9.18,9.18,9.35,9.15
9.21,9.49,9.50,9.21
9.53,9.61,9.66,9.51
9.63,9.00,9.63,8.90
9.00,9.02,9.11,8.99
8.95,8.83,9.01,8.81
8.80,8.42,8.84,8.32
8.31,8.41,8.42,8.02
8.34,8.40,8.42,8.22
8.13,8.38,8.44,8.10
8.38,8.25,8.50,8.18
8.37,8.33,8.50,8.27
8.44,8.30,8.51,8.25
8.42,8.41,8.44,8.33
8.44,8.55,8.64,8.40
8.55,8.73,8.80,8.47
8.83,9.02,9.11,8.82
9.03,8.65,9.21,8.56
8.71,8.96,9.01,8.60
8.97,9.13,9.18,8.77
9.17,9.17,9.25,9.13
9.21,9.09,9.22,9.00
9.15,8.91,9.20,8.87
8.74,8.34,8.91,8.16
8.29,8.52,8.63,8.29
8.59,8.60,8.63,8.48
8.57,8.51,8.61,8.50
8.60,8.47,8.60,8.40
8.37,8.40,8.46,8.35
8.34,8.35,8.37,8.27
8.38,8.41,8.52,8.38
8.35,8.29,8.40,8.25
8.28,8.41,8.41,8.19
8.27,8.24,8.33,8.20
8.26,8.25,8.32,8.20
8.35,8.51,8.51,8.33
8.55,8.59,8.61,8.50
8.56,8.87,8.88,8.53
8.93,8.91,8.94,8.77
8.92,9.08,9.10,8.65
8.93,9.00,9.09,8.93
9.00,8.90,9.00,8.66
8.58,8.40,8.59,8.05
8.35,8.32,8.40,8.14
8.28,8.32,8.54,8.20
8.20,8.33,8.45,8.08
6.68,6.50,6.69,6.22
6.58,6.54,6.71,6.49
6.55,6.97,7.03,6.53
6.97,6.92,6.97,6.74
6.90,7.01,7.12,6.85
7.03,7.00,7.07,6.98
6.97,6.65,6.97,6.65
6.66,6.58,6.70,6.56
6.61,6.84,6.89,6.61
6.85,6.85,6.93,6.82
6.86,6.87,6.91,6.74
6.75,6.80,6.85,6.69
6.83,6.81,6.85,6.79
6.79,7.04,7.04,6.70
7.00,7.02,7.07,6.80
7.04,6.99,7.05,6.94
7.05,7.01,7.20,7.00
7.04,6.93,7.05,6.92
6.92,6.97,7.03,6.86
6.85,6.98,7.17,6.85
6.96,6.92,7.13,6.90
6.99,6.90,7.03,6.87
6.86,6.65,6.96,6.56
6.66,6.66,6.87,6.62
6.63,6.55,6.66,6.40
6.57,6.43,6.68,6.42
6.48,6.33,6.55,6.30
6.28,6.25,6.43,6.25
6.24,6.36,6.36,6.17
6.40,6.38,6.54,6.24
6.36,6.45,6.53,6.31
6.48,6.65,6.66,6.41
6.60,6.60,6.76,6.54
6.50,6.66,6.68,6.45
6.65,6.90,6.94,6.58
6.90,7.20,7.25,6.70
7.23,7.09,7.24,7.04
7.13,7.04,7.13,6.98
7.03,7.20,7.28,6.84
7.19,7.35,7.39,7.00
7.35,7.11,7.35,7.07
7.12,7.03,7.12,6.99
7.11,7.31,7.39,7.09
7.23,7.12,7.23,7.09
7.07,7.00,7.21,7.00
6.99,7.00,7.05,6.96
7.02,7.05,7.39,6.99
7.05,6.98,7.05,6.85
7.01,7.00,7.06,6.97
6.99,6.90,7.00,6.80
6.97,6.85,6.97,6.75
6.86,6.78,6.86,6.70
6.74,6.82,6.84,6.51
6.80,6.85,6.95,6.74
6.76,6.89,6.90,6.71
6.92,7.00,7.05,6.71
6.93,6.72,6.93,6.66
6.75,6.77,6.87,6.73
6.24,6.42,6.67,6.23
