GSM,Ferroglobe PLC - Ordinary Shares,NASDAQ
9.50,9.65,9.75,9.50
9.65,9.90,9.98,9.64
9.94,9.87,10.13,9.85
10.00,9.91,10.11,9.65
9.99,10.25,10.38,9.93
10.38,10.48,10.48,10.00
10.45,10.46,10.68,10.22
10.52,10.68,10.68,10.38
10.77,10.47,10.82,10.41
10.54,10.48,10.66,10.23
10.58,10.70,10.78,10.51
10.66,10.72,10.78,10.53
10.75,10.23,10.78,10.21
10.20,9.84,10.38,9.79
9.90,9.80,10.10,9.67
9.80,9.77,10.00,9.50
9.86,9.50,10.02,9.50
9.80,9.40,9.85,9.37
9.43,9.29,9.55,9.20
9.34,9.41,9.73,9.29
9.40,9.97,10.09,9.40
10.00,10.15,10.37,9.96
10.01,9.36,10.07,9.24
9.47,9.33,9.66,9.23
9.40,9.28,9.46,9.20
9.46,9.44,9.59,9.20
9.51,9.44,9.51,9.30
9.51,9.48,9.53,9.42
9.51,9.72,9.74,9.30
9.97,9.73,10.20,9.72
9.85,9.85,9.94,9.73
9.77,9.95,10.02,9.66
9.96,10.54,10.67,9.94
10.50,10.69,10.78,10.41
10.60,10.44,10.75,10.27
10.45,10.31,10.45,10.17
10.16,10.37,10.48,10.00
9.60,10.26,10.42,9.55
10.25,10.33,10.54,10.16
10.36,10.40,10.43,10.10
10.45,10.38,10.45,10.36
10.43,10.60,10.60,10.36
10.74,10.71,10.78,10.65
10.75,11.05,11.27,10.71
11.04,11.01,11.24,10.76
11.10,11.04,11.25,10.80
11.09,11.14,11.33,10.95
11.18,11.11,11.18,11.05
11.03,10.94,11.16,10.84
10.92,10.95,11.00,10.86
11.03,10.97,11.03,10.90
10.92,11.01,11.02,10.85
11.35,11.35,11.40,10.91
11.35,11.29,11.35,11.00
11.22,11.08,11.22,11.00
11.04,11.10,11.15,11.03
11.15,11.12,11.30,11.10
11.10,11.06,11.15,10.95
11.10,11.01,11.10,10.90
10.97,10.93,10.98,10.86
10.86,11.19,11.30,10.79
11.15,11.35,11.53,11.00
11.40,11.24,11.40,11.19
11.14,11.25,11.30,11.01
11.20,11.36,11.49,11.18
11.30,11.28,11.34,11.06
11.25,11.30,11.35,11.20
11.30,11.56,11.80,11.25
11.59,11.54,11.61,11.47
11.54,11.65,11.65,11.48
11.58,12.15,12.32,11.55
12.17,12.15,12.30,11.98
12.16,11.90,12.16,11.74
11.90,11.93,11.97,11.75
11.90,11.85,11.99,11.82
11.78,11.92,11.97,11.75
11.96,11.97,12.03,11.82
12.00,12.38,12.49,12.00
12.30,11.85,12.39,11.66
11.87,12.14,12.19,11.86
12.22,12.74,12.74,12.05
12.70,12.41,12.70,12.20
12.40,12.28,12.56,12.20
12.13,11.99,12.17,11.75
11.89,11.77,11.91,11.50
11.61,11.22,11.69,10.90
11.06,10.75,11.43,10.36
11.53,11.52,11.68,11.09
11.56,11.60,11.96,11.38
11.02,12.08,12.20,10.85
12.17,12.25,12.52,12.15
12.25,12.05,12.36,11.80
12.22,12.00,12.22,11.87
12.02,11.65,12.02,11.45
11.50,11.44,11.59,10.76
11.13,10.99,11.26,10.00
10.44,11.55,11.69,10.25
11.43,11.34,11.60,11.29
10.79,11.30,11.33,10.38
11.40,11.14,11.83,11.09
11.47,11.54,11.85,11.29
11.57,11.67,11.77,11.50
11.46,11.08,11.60,11.08
11.10,11.59,11.61,11.08
11.03,11.65,11.72,11.01
11.36,11.08,11.44,10.93
11.05,10.56,11.08,10.42
10.56,10.13,10.57,9.86
10.05,10.20,10.52,9.78
10.33,10.04,10.55,9.59
9.96,10.31,10.37,9.87
11.00,10.77,11.35,10.74
10.90,11.10,11.16,10.87
11.08,11.11,11.25,11.00
11.08,11.02,11.16,10.97
11.08,11.16,11.29,11.00
11.39,11.50,11.82,11.28
11.58,11.33,11.69,11.17
11.29,11.26,11.56,10.90
11.23,10.94,11.34,10.91
11.00,11.10,11.29,10.62
11.04,11.17,11.54,10.94
11.04,10.41,11.27,10.34
10.37,10.33,10.50,10.24
10.29,10.32,10.33,9.92
10.42,9.95,10.53,9.85
10.14,9.80,10.46,9.73
9.88,10.57,10.59,9.78
10.60,10.71,10.74,10.31
10.73,10.87,10.93,10.44
10.84,10.64,10.94,10.53
10.81,10.83,10.90,10.69
10.76,10.79,11.00,10.69
10.81,10.47,10.99,10.30
10.37,10.05,10.63,10.00
10.06,9.99,10.16,9.81
9.88,10.79,10.81,9.80
10.89,10.93,11.20,10.61
11.11,11.40,11.54,11.11
11.31,11.63,11.74,10.84
11.70,11.31,11.70,11.27
11.42,11.64,11.70,11.15
11.58,11.36,11.70,11.34
11.44,11.62,11.76,11.25
11.41,11.53,11.74,11.10
11.73,11.71,11.98,11.48
11.63,11.32,11.87,11.22
11.32,11.38,11.46,11.00
11.30,11.55,11.59,11.30
11.38,11.54,11.61,11.20
11.58,11.63,11.70,11.47
11.47,11.56,11.77,11.27
11.72,10.98,11.72,10.94
10.84,11.05,11.18,10.79
11.09,10.86,11.09,10.77
10.85,11.38,11.55,10.81
11.55,11.60,11.74,11.38
11.63,11.65,11.89,11.40
11.58,11.41,11.77,11.30
11.33,11.37,11.55,11.08
11.48,11.15,11.65,11.10
11.01,10.81,11.01,10.65
10.75,10.82,10.97,10.55
10.85,10.56,10.94,10.48
10.71,10.69,10.73,10.40
10.68,10.66,10.91,10.62
10.67,10.87,10.97,10.67
11.08,11.71,11.82,11.02
11.63,11.75,11.78,11.30
11.86,11.96,12.00,11.63
11.95,11.59,11.95,11.55
11.68,11.81,12.00,11.68
12.00,11.94,12.02,11.76
12.00,11.99,12.01,11.74
12.01,12.66,12.76,11.94
12.65,12.61,12.75,12.26
12.58,12.55,12.60,12.41
12.57,12.52,12.75,12.33
13.11,13.79,14.00,12.90
13.94,13.80,13.94,13.53
13.80,13.37,13.80,13.36
13.35,13.31,13.76,13.16
13.24,13.35,13.66,13.17
13.51,14.06,14.07,13.51
14.21,14.14,14.27,13.95
14.11,14.18,14.22,13.79
14.18,14.10,14.24,14.05
14.15,14.04,14.23,13.96
14.11,14.20,14.41,14.01
14.21,14.23,14.31,14.10
14.28,14.21,14.28,14.13
14.20,14.66,15.08,14.15
14.68,15.08,15.18,14.31
15.15,15.49,15.51,15.01
15.50,15.34,15.87,15.23
15.39,15.47,15.57,15.22
15.51,15.54,16.03,15.49
15.61,15.11,15.76,15.00
15.40,15.54,15.94,15.24
15.62,15.69,15.84,15.53
15.43,14.79,15.43,14.62
14.91,15.03,15.23,14.75
15.18,14.91,15.36,14.54
14.87,15.15,15.20,14.49
15.35,15.16,15.59,15.11
14.93,15.27,15.39,14.75
15.17,14.93,15.20,14.77
15.00,14.94,15.23,14.73
14.81,15.54,15.68,14.81
15.67,15.59,16.26,15.28
15.70,15.95,16.00,15.63
16.01,15.95,16.01,15.56
16.05,16.40,16.55,16.05
16.40,16.88,16.90,16.27
16.88,17.10,17.10,16.78
17.09,16.17,17.20,15.95
16.24,16.39,16.65,15.61
15.93,16.54,16.75,15.27
17.00,16.59,17.06,16.57
16.79,16.41,16.93,16.00
16.24,15.93,16.25,15.75
16.00,16.14,16.25,15.93
16.40,16.75,16.92,16.23
16.77,16.63,16.86,16.50
16.64,16.79,16.89,16.50
16.52,16.43,16.52,16.20
16.55,17.10,17.12,16.55
17.00,16.71,17.10,16.70
16.70,16.51,16.73,16.13
16.39,16.23,16.39,16.08
16.60,16.54,16.62,16.38
16.59,16.58,16.68,16.46
16.43,17.23,17.25,16.40
17.28,17.27,17.46,16.99
17.41,17.49,17.74,17.32
17.50,17.60,17.69,17.40
17.70,17.76,17.80,17.46
17.80,17.92,17.98,17.60
17.95,17.60,17.99,17.50
17.70,17.60,17.74,17.50
17.65,17.69,17.77,17.54
17.75,17.32,17.75,17.27
17.31,17.57,17.70,17.10
17.70,17.53,17.76,17.43
17.65,17.88,17.91,17.50
17.90,17.67,17.90,17.40
17.62,17.54,17.70,17.49
17.51,17.61,17.73,17.28
17.63,16.94,17.70,16.75
17.00,17.23,17.50,17.00
17.23,17.11,17.44,17.09
17.04,17.09,17.26,17.00
17.27,17.27,17.48,17.14
17.34,16.85,17.34,16.32
16.74,17.51,17.51,16.48
17.43,17.90,17.94,17.33
17.93,18.40,18.45,17.81
18.40,18.72,18.74,18.18
18.77,19.00,19.09,18.73
19.18,19.00,19.40,18.91
19.19,18.96,19.22,18.84
18.90,19.19,19.19,18.81
19.20,19.69,19.71,19.14
19.40,18.90,19.53,18.80
18.58,18.20,18.77,17.82
18.37,18.01,18.37,18.00
18.08,18.20,18.46,18.08
18.08,18.00,18.29,17.87
18.14,18.42,18.56,18.00
18.41,18.13,18.64,17.94
18.17,18.04,18.29,17.83
18.29,18.36,18.49,18.04
18.58,19.40,19.52,18.42
19.30,19.25,19.50,19.23
19.19,19.45,19.45,18.81
19.42,19.32,19.60,19.14
19.31,19.49,19.68,19.23
19.57,19.93,19.94,19.34
20.01,20.20,20.88,19.52
20.20,20.28,20.54,20.01
20.24,21.08,21.08,20.10
21.02,20.80,21.40,20.80
21.31,20.49,21.36,20.46
20.51,20.77,21.00,20.51
21.01,23.22,23.23,20.78
23.28,22.90,23.64,22.78
22.55,21.71,22.74,21.67
21.60,21.63,21.94,21.05
21.64,21.20,21.67,20.72
21.17,22.41,22.62,21.17
22.67,23.29,23.45,21.94
24.19,23.46,24.23,23.03
23.55,22.81,23.55,22.72
23.45,23.61,23.92,23.27
23.89,23.64,23.89,23.30
23.66,22.83,23.78,22.65
22.76,22.78,23.52,22.35
22.80,22.22,22.98,22.08
21.80,21.12,21.94,20.86
20.07,21.69,21.94,19.85
21.46,20.98,21.46,20.83
19.82,21.05,21.21,19.17
20.90,20.63,21.21,20.30
21.06,21.26,21.42,20.95
21.56,21.87,22.43,21.49
22.70,22.04,22.75,21.88
21.98,22.65,22.67,21.91
22.49,22.93,23.11,22.17
22.97,23.12,23.50,22.65
23.29,22.57,23.36,22.57
22.57,22.32,22.82,22.25
22.25,22.38,22.68,22.03
22.40,22.48,22.66,21.64
22.34,22.76,23.03,22.24
22.89,23.35,23.92,22.79
23.50,23.61,23.75,23.46
23.85,24.38,24.43,23.50
24.54,23.69,24.80,23.61
23.76,23.30,24.12,22.99
23.65,22.70,23.65,22.50
22.48,22.39,22.76,22.02
22.04,21.97,22.44,21.77
22.04,21.78,22.13,21.40
21.54,21.50,22.03,21.29
21.39,21.49,21.54,21.04
