GST,Gastar Exploration Inc Common Stock,NASDAQ
4.80,4.87,4.97,4.80
4.87,4.97,4.97,4.87
4.93,4.87,4.94,4.83
4.90,4.29,4.90,4.29
4.34,4.40,4.45,4.29
4.37,4.45,4.47,4.35
4.34,4.28,4.38,4.25
4.35,4.27,4.35,4.26
4.28,4.34,4.36,4.27
4.29,4.30,4.35,4.28
4.30,4.33,4.41,4.26
4.31,4.43,4.48,4.31
4.44,4.91,4.96,4.27
4.82,4.77,4.90,4.51
4.83,4.90,4.92,4.69
4.90,4.88,4.90,4.78
4.78,4.79,4.79,4.65
4.84,4.78,4.85,4.61
4.76,4.53,4.76,4.40
4.53,4.74,4.75,4.53
4.66,4.80,4.90,4.59
4.87,4.82,4.91,4.63
4.81,4.61,4.86,4.58
4.60,4.61,4.62,4.36
4.64,4.59,4.67,4.54
4.59,4.37,4.59,4.36
4.46,4.44,4.52,4.30
4.41,4.49,4.58,4.40
4.50,4.56,4.57,4.40
4.64,4.69,4.88,4.52
4.66,4.90,4.90,4.66
4.82,5.00,5.00,4.77
5.02,5.34,5.44,4.96
5.45,5.25,5.47,5.17
5.21,5.10,5.23,5.00
5.08,5.04,5.13,5.00
5.04,4.94,5.04,4.83
4.96,4.94,5.02,4.89
5.02,5.07,5.14,4.97
5.12,5.18,5.18,5.10
5.20,5.20,5.22,5.11
5.24,5.23,5.40,5.17
5.29,5.37,5.40,5.25
5.39,5.17,5.41,5.13
5.14,5.20,5.27,5.10
5.21,5.15,5.27,5.10
5.40,5.50,5.67,5.25
5.69,5.39,5.70,5.35
5.44,5.25,5.46,5.21
5.15,5.15,5.24,5.00
5.17,5.12,5.33,5.10
5.10,4.96,5.15,4.92
4.96,4.96,5.03,4.77
4.93,4.97,5.00,4.86
5.02,5.00,5.05,4.94
4.82,4.98,5.10,4.82
4.96,4.88,5.01,4.87
4.88,4.98,5.01,4.88
5.00,4.97,5.00,4.90
5.00,4.89,5.00,4.75
4.90,4.86,4.90,4.77
4.81,5.07,5.10,4.77
5.09,5.12,5.20,4.97
5.20,5.26,5.40,5.14
5.33,5.38,5.38,5.22
5.36,5.17,5.38,5.11
5.17,5.40,5.45,5.17
5.45,5.32,5.50,5.25
5.30,5.24,5.31,5.19
5.30,5.49,5.51,5.30
5.43,5.46,5.55,5.33
5.40,5.38,5.44,5.18
5.32,5.19,5.40,5.12
5.25,5.23,5.34,5.16
5.26,5.27,5.30,5.17
5.28,5.27,5.29,5.16
5.19,5.40,5.45,5.16
5.55,5.44,5.62,5.43
5.35,5.31,5.45,5.25
5.35,5.36,5.41,5.30
5.45,5.31,5.45,5.24
5.36,5.32,5.36,5.25
5.38,5.47,5.55,5.31
5.44,5.49,5.53,5.40
5.45,5.60,5.77,5.35
5.55,5.12,5.55,4.75
5.10,4.49,5.11,4.24
4.78,4.47,4.82,4.35
4.47,4.66,4.79,4.37
4.62,4.74,4.74,4.42
4.76,4.52,4.82,4.47
4.50,4.29,4.51,4.16
4.38,4.11,4.45,4.00
4.13,4.00,4.24,3.92
3.40,4.06,4.08,3.40
4.00,3.81,4.00,3.76
3.70,3.90,3.94,3.62
3.90,3.84,3.97,3.81
3.75,3.81,3.83,3.56
3.82,4.02,4.02,3.80
4.08,4.15,4.18,4.03
4.16,4.21,4.30,4.11
4.16,4.00,4.18,3.99
4.06,4.25,4.25,3.96
4.29,4.42,4.47,4.03
4.22,4.07,4.36,4.00
4.15,4.10,4.55,4.00
4.13,4.08,4.15,3.91
4.13,4.01,4.20,3.97
4.06,4.13,4.14,4.01
4.11,4.26,4.26,4.08
4.33,4.15,4.35,4.15
4.19,4.44,4.44,4.13
4.36,4.40,4.46,4.26
4.39,4.35,4.41,4.30
4.33,4.40,4.45,4.31
4.38,4.45,4.48,4.34
4.44,4.27,4.48,4.25
4.23,4.19,4.31,4.16
4.15,4.20,4.21,4.13
4.21,4.05,4.21,3.86
4.00,3.88,4.05,3.83
3.68,3.67,3.86,3.64
3.68,3.61,3.72,3.59
3.60,3.59,3.68,3.45
3.61,3.66,3.70,3.52
3.68,3.62,3.79,3.59
3.67,3.73,3.75,3.67
3.84,3.65,3.85,3.63
3.62,3.75,3.76,3.60
3.72,3.85,3.87,3.69
3.93,4.13,4.13,3.73
4.13,4.07,4.15,4.03
4.11,3.97,4.11,3.87
3.95,3.78,3.95,3.76
3.78,3.72,3.79,3.67
3.65,3.87,3.87,3.65
3.87,3.70,3.95,3.69
3.76,3.89,3.89,3.72
3.85,4.03,4.05,3.84
4.01,4.05,4.07,3.95
4.08,3.97,4.08,3.97
3.92,3.99,3.99,3.80
3.99,4.08,4.10,3.90
4.02,4.09,4.10,3.79
4.10,4.00,4.27,3.98
4.01,4.01,4.16,3.99
4.02,4.08,4.12,3.90
4.03,4.02,4.07,3.96
3.95,4.04,4.04,3.80
4.04,3.89,4.06,3.86
3.86,3.74,3.86,3.74
3.67,3.53,3.68,3.37
3.45,3.41,3.46,3.30
3.41,3.50,3.56,3.41
3.50,3.49,3.55,3.45
3.53,3.56,3.60,3.49
3.57,3.48,3.57,3.40
3.46,3.34,3.49,3.30
3.38,3.23,3.41,3.23
3.24,3.20,3.33,3.18
3.17,3.12,3.19,3.08
3.08,3.06,3.11,3.04
3.12,3.01,3.12,3.00
3.05,3.09,3.11,3.01
3.00,2.89,3.01,2.88
2.87,3.00,3.07,2.85
3.04,3.09,3.09,2.95
3.09,2.99,3.09,2.97
3.03,3.25,3.29,2.85
3.23,3.15,3.34,3.14
3.22,3.28,3.28,3.15
3.33,3.30,3.39,3.29
3.30,3.26,3.30,3.23
3.31,3.29,3.31,3.22
3.28,3.32,3.36,3.19
3.28,3.39,3.42,3.25
3.40,3.45,3.48,3.36
3.50,3.50,3.55,3.42
3.52,3.67,3.67,3.42
3.70,3.67,3.75,3.62
3.89,3.85,3.89,3.74
3.77,3.90,3.90,3.77
3.93,3.93,3.96,3.85
3.92,3.96,3.96,3.86
4.00,3.92,4.00,3.81
3.87,3.90,3.90,3.84
3.90,4.02,4.07,3.90
4.06,3.88,4.08,3.85
3.85,3.75,3.85,3.74
3.78,3.94,3.94,3.75
3.95,3.84,3.97,3.82
3.87,3.69,3.87,3.65
3.70,3.80,3.83,3.65
3.76,3.79,3.83,3.76
3.75,3.74,3.79,3.70
3.74,3.88,3.95,3.73
3.89,3.86,3.91,3.82
3.90,3.90,3.90,3.84
3.86,3.87,3.93,3.83
3.80,3.71,3.84,3.69
3.75,3.74,3.81,3.72
3.77,3.60,3.77,3.59
3.63,3.64,3.71,3.60
3.66,3.65,3.69,3.60
3.61,3.59,3.65,3.57
3.56,3.57,3.58,3.46
3.59,3.56,3.59,3.55
3.55,3.68,3.68,3.54
3.68,3.55,3.70,3.51
3.61,3.74,3.74,3.55
3.71,3.68,3.74,3.66
3.66,3.87,3.87,3.65
3.89,3.78,3.89,3.65
3.80,3.91,3.92,3.74
3.92,3.97,4.04,3.91
4.00,4.14,4.14,4.00
4.16,4.18,4.23,4.08
4.13,4.13,4.18,4.10
4.14,4.14,4.20,4.10
4.16,4.11,4.16,4.04
4.11,4.14,4.17,4.11
4.20,4.29,4.36,4.18
4.62,4.64,4.74,4.51
4.64,4.73,4.81,4.60
4.70,4.61,4.72,4.60
4.68,4.74,4.76,4.62
4.73,4.74,4.76,4.70
4.70,4.84,4.85,4.66
4.79,4.71,4.80,4.65
4.80,4.90,4.91,4.80
5.04,5.14,5.15,4.93
5.12,5.29,5.33,5.10
5.37,5.27,5.44,5.25
5.16,4.35,5.16,4.24
4.18,4.18,4.23,4.01
4.25,4.24,4.29,4.20
4.25,4.33,4.36,4.20
4.41,4.31,4.41,4.27
4.34,4.20,4.35,4.18
4.20,4.06,4.24,4.06
4.16,4.12,4.16,4.03
4.13,4.12,4.14,4.06
4.07,4.01,4.15,3.97
4.04,4.17,4.18,3.99
4.19,4.25,4.29,4.14
4.26,4.19,4.30,4.15
4.11,4.21,4.21,4.09
4.20,4.23,4.25,4.18
4.14,4.26,4.29,4.14
4.25,4.30,4.30,4.21
4.30,4.30,4.34,4.27
4.35,4.48,4.49,4.33
4.48,4.34,4.49,4.28
4.32,4.39,4.46,4.31
4.46,4.44,4.55,4.30
4.49,4.58,4.59,4.46
4.51,4.51,4.58,4.37
4.32,4.82,4.84,4.25
4.80,4.76,4.82,4.71
4.75,4.72,4.96,4.58
4.76,4.74,4.80,4.72
4.74,4.77,4.80,4.72
4.75,4.52,4.80,4.52
4.50,4.41,4.52,4.25
4.46,4.28,4.52,4.25
