GTE,Gran Tierra Energy Inc. Common Stock,NASDAQ
5.82,6.08,6.08,5.82
6.11,6.02,6.13,5.99
5.65,5.58,5.74,5.35
5.61,5.60,5.70,5.52
5.60,5.58,5.67,5.56
5.59,5.53,5.65,5.38
5.50,5.42,5.65,5.36
5.42,5.39,5.44,5.32
5.36,5.29,5.44,5.22
5.34,5.12,5.34,5.06
5.13,5.23,5.29,5.10
5.16,5.09,5.17,5.04
5.11,4.89,5.16,4.84
4.85,4.88,4.98,4.70
4.92,5.10,5.14,4.81
5.06,4.98,5.08,4.94
5.00,4.97,5.02,4.85
5.00,4.85,5.09,4.80
4.86,4.89,5.07,4.86
4.93,4.92,4.97,4.82
4.92,4.90,4.94,4.85
4.86,4.85,4.93,4.84
4.82,4.68,4.85,4.58
4.70,4.80,4.81,4.59
4.84,4.93,5.08,4.76
5.00,5.05,5.13,4.99
5.04,5.10,5.12,4.94
5.10,5.37,5.43,5.00
5.32,5.37,5.47,5.23
5.42,5.60,5.64,5.42
5.61,5.32,5.62,5.32
5.23,5.33,5.39,5.23
5.25,5.41,5.45,5.23
5.53,5.47,5.55,5.43
5.39,5.22,5.50,5.20
5.25,5.49,5.52,5.22
5.35,5.51,5.51,5.26
5.54,5.49,5.57,5.44
5.55,5.90,5.91,5.54
5.90,5.92,6.15,5.90
5.93,5.90,5.97,5.85
5.83,5.89,5.91,5.71
5.94,5.99,6.00,5.88
5.89,5.93,6.05,5.89
5.85,5.90,5.98,5.81
5.87,5.95,5.99,5.86
5.84,5.90,5.98,5.77
5.95,5.95,5.97,5.89
6.04,5.84,6.04,5.72
5.82,5.79,5.95,5.73
5.84,5.97,5.99,5.79
5.94,5.86,5.96,5.81
5.59,5.59,5.80,5.48
5.54,5.44,5.55,5.32
5.40,5.75,5.79,5.39
5.66,5.68,5.73,5.57
5.72,5.71,5.85,5.68
5.72,5.84,5.86,5.67
5.86,5.92,5.93,5.86
5.92,5.91,6.01,5.88
5.94,5.90,5.99,5.90
5.90,5.98,6.02,5.89
6.02,6.30,6.30,6.00
6.30,6.23,6.38,6.21
6.25,6.18,6.35,6.14
6.09,6.06,6.13,5.92
6.10,5.96,6.10,5.94
6.00,6.04,6.06,5.96
5.98,6.12,6.12,5.94
6.10,6.46,6.49,6.10
6.40,6.64,6.75,6.36
6.64,6.27,6.65,6.20
6.20,6.20,6.27,6.05
6.19,6.32,6.50,6.19
6.28,6.24,6.38,6.20
6.18,6.30,6.30,6.07
6.26,6.34,6.34,6.17
6.34,6.22,6.38,6.21
6.23,6.00,6.28,5.98
6.05,6.13,6.17,5.96
6.20,6.26,6.33,6.19
6.14,6.06,6.37,6.06
6.16,6.29,6.32,6.05
6.20,6.02,6.22,5.96
5.83,5.69,5.95,5.62
5.68,5.36,5.72,4.93
5.20,5.14,5.45,4.98
5.65,5.52,5.72,5.40
5.44,5.42,5.46,5.25
5.44,5.83,5.88,5.44
5.77,5.65,5.77,5.60
5.60,5.44,5.61,5.31
5.40,5.18,5.49,4.89
5.34,5.12,5.42,5.10
4.99,5.06,5.11,4.78
4.79,4.78,4.88,4.62
4.57,4.89,4.95,4.57
4.91,4.70,4.95,4.68
4.55,4.87,4.90,4.52
5.01,5.09,5.17,4.98
5.29,5.40,5.42,5.25
5.41,5.28,5.45,5.19
5.20,5.00,5.37,5.00
5.06,5.34,5.34,5.01
5.30,5.43,5.45,5.18
5.19,5.04,5.35,5.01
5.20,5.09,5.41,5.08
5.13,5.07,5.23,4.99
5.15,4.99,5.18,4.93
5.18,5.04,5.20,4.95
5.01,5.01,5.03,4.92
5.10,4.98,5.11,4.95
5.03,5.24,5.29,5.01
5.23,5.23,5.31,5.14
5.20,5.22,5.31,5.18
5.26,5.33,5.38,5.22
5.40,5.29,5.55,5.25
5.34,5.19,5.42,5.15
5.14,5.07,5.21,5.04
5.14,5.07,5.17,4.96
5.07,5.14,5.42,5.07
5.27,5.08,5.39,5.08
4.99,5.06,5.19,4.84
5.08,4.96,5.21,4.96
4.95,5.06,5.12,4.87
5.06,5.14,5.19,5.04
5.20,5.09,5.22,4.99
5.09,5.20,5.20,5.06
5.20,5.20,5.27,5.09
5.26,5.22,5.27,5.18
5.21,5.18,5.25,4.99
5.24,5.24,5.31,5.16
5.22,5.26,5.41,5.19
5.30,5.36,5.42,5.25
5.30,5.27,5.33,5.17
5.31,5.19,5.33,5.13
5.11,5.34,5.34,5.11
5.35,5.29,5.42,5.27
5.36,5.79,5.80,5.35
5.72,5.80,5.82,5.60
5.70,5.75,5.86,5.69
5.73,5.66,5.80,5.65
5.62,5.63,5.71,5.55
5.65,5.65,5.84,5.58
5.60,5.58,5.69,5.56
5.66,5.86,5.86,5.48
5.78,5.88,6.01,5.78
5.99,6.12,6.18,5.95
6.13,6.13,6.18,6.04
6.01,6.17,6.17,5.97
6.19,6.10,6.22,6.06
5.91,6.03,6.09,5.91
5.80,5.95,5.97,5.64
5.81,5.97,5.99,5.68
5.99,5.95,5.99,5.90
5.90,5.95,5.95,5.82
6.06,5.95,6.06,5.90
5.95,5.96,6.02,5.94
5.95,5.98,6.03,5.95
5.92,5.90,5.96,5.85
5.95,6.00,6.00,5.92
5.85,5.92,5.98,5.77
5.94,5.99,6.07,5.73
6.18,5.89,6.25,5.89
5.91,6.17,6.25,5.80
6.17,6.28,6.33,6.16
6.25,6.30,6.30,6.19
6.35,6.59,6.78,6.35
6.59,6.69,6.77,6.59
6.82,6.87,7.00,6.73
6.86,6.70,6.86,6.65
6.72,6.57,6.82,6.57
6.68,6.62,6.78,6.59
6.68,6.69,6.70,6.61
6.75,6.73,6.78,6.68
6.72,6.74,6.85,6.69
6.64,6.63,6.74,6.62
6.63,6.68,6.68,6.53
6.64,6.83,6.83,6.62
6.86,7.10,7.10,6.85
7.09,6.91,7.09,6.85
6.91,7.04,7.04,6.91
6.97,6.89,7.06,6.88
6.98,7.03,7.08,6.96
7.06,6.91,7.06,6.91
6.92,6.94,7.01,6.86
6.98,7.02,7.05,6.93
7.09,7.72,7.72,7.09
7.81,7.76,7.87,7.46
7.70,7.54,7.70,7.39
7.56,7.48,7.62,7.48
7.44,7.55,7.62,7.44
7.60,7.34,7.60,7.25
7.47,7.48,7.85,7.47
7.45,7.47,7.60,7.45
7.48,7.49,7.52,7.29
7.61,7.79,7.80,7.60
7.84,7.65,7.84,7.52
7.72,7.58,7.95,7.56
7.63,7.64,7.68,7.56
7.42,7.23,7.45,7.07
7.24,7.35,7.42,7.23
7.35,7.40,7.70,7.34
7.38,7.40,7.52,7.36
7.66,7.66,7.77,7.60
7.63,7.83,7.92,7.63
7.67,7.86,7.86,7.62
7.82,7.64,7.82,7.55
7.66,7.46,7.66,7.42
7.49,7.43,7.62,7.28
7.47,7.64,7.64,7.24
7.67,7.59,7.73,7.45
7.72,7.74,7.94,7.66
7.65,7.46,7.70,7.44
7.51,7.49,7.51,7.31
7.46,7.42,7.64,7.35
7.46,7.86,7.86,7.44
7.74,7.83,7.85,7.66
7.54,7.65,7.74,7.47
7.68,7.85,8.09,7.65
7.75,7.64,7.78,7.48
7.67,7.61,7.74,7.58
7.76,7.59,7.80,7.59
7.58,7.53,7.64,7.48
7.60,7.67,7.73,7.52
7.59,7.63,7.63,7.49
7.66,7.60,7.75,7.55
7.52,7.52,7.60,7.35
7.37,7.54,7.66,7.32
7.49,7.47,7.53,7.35
7.49,7.54,7.70,7.39
7.56,7.72,7.77,7.56
7.62,7.85,7.85,7.62
7.78,7.90,7.90,7.77
7.90,7.97,8.10,7.90
7.95,7.89,8.06,7.84
7.98,8.22,8.27,7.91
8.24,8.38,8.46,8.18
8.50,8.39,8.58,8.39
8.55,8.31,8.55,8.20
8.21,8.01,8.31,8.01
8.02,8.04,8.11,7.85
8.00,7.90,8.12,7.90
7.88,7.82,7.92,7.78
7.86,8.04,8.10,7.80
8.16,7.92,8.16,7.90
7.89,8.03,8.05,7.85
7.93,7.97,8.05,7.89
8.00,7.92,8.02,7.85
7.99,8.09,8.16,7.96
8.11,7.94,8.14,7.94
7.99,8.05,8.13,7.99
8.17,8.18,8.26,8.12
8.23,8.12,8.24,7.88
8.05,8.07,8.21,8.02
8.07,7.98,8.16,7.98
7.98,8.09,8.12,7.97
8.04,8.22,8.22,8.00
8.26,8.52,8.60,8.22
8.64,8.55,8.70,8.47
8.55,8.48,8.61,8.40
8.36,8.47,8.47,8.33
8.45,8.44,8.45,8.12
8.40,8.40,8.45,8.30
8.38,8.23,8.38,8.17
8.26,8.19,8.32,8.18
8.20,8.17,8.31,8.13
8.14,8.20,8.30,8.10
8.20,8.49,8.49,8.19
8.51,8.35,8.51,8.28
8.33,8.55,8.55,8.27
8.58,9.03,9.03,8.56
9.08,9.00,9.19,8.81
8.97,8.85,9.01,8.79
8.83,8.67,8.87,8.66
8.75,9.00,9.15,8.69
9.05,9.30,9.33,9.05
9.30,8.90,9.34,8.84
9.01,8.89,9.01,8.73
8.79,8.87,8.87,8.71
