GUT,Gabelli Utility Trust (The) Common Stock,NASDAQ
9.08,8.90,9.08,8.65
8.90,9.02,9.09,8.82
9.00,9.12,9.13,8.97
9.09,9.09,9.14,9.00
9.00,8.98,9.11,8.94
9.09,8.98,9.10,8.94
9.03,8.90,9.05,8.83
8.84,8.95,9.07,8.77
8.80,8.86,8.91,8.80
8.81,8.88,8.94,8.80
9.10,9.00,9.13,8.96
9.00,8.93,9.06,8.84
9.07,8.89,9.10,8.79
8.90,8.78,8.93,8.70
8.98,8.83,8.98,8.70
8.76,8.86,8.92,8.71
8.92,8.87,8.92,8.74
8.78,8.45,8.91,8.44
8.49,7.72,8.50,7.60
7.41,7.28,7.45,6.94
7.25,7.49,7.54,7.25
7.54,7.52,7.60,7.43
7.60,7.42,7.60,7.33
7.51,7.45,7.51,7.16
7.54,7.58,7.60,7.49
7.62,7.58,7.64,7.56
7.63,7.47,7.63,7.44
7.55,7.49,7.55,7.35
7.35,7.58,7.59,7.34
7.64,7.68,7.77,7.52
7.72,7.70,7.86,7.64
7.76,7.94,8.00,7.61
7.93,8.24,8.30,7.93
8.29,7.85,8.29,7.73
7.74,7.72,7.93,7.70
7.72,7.65,7.75,7.52
7.70,7.71,7.90,7.60
7.64,7.55,7.82,7.45
7.47,7.37,7.63,7.32
7.47,7.26,7.49,7.25
7.27,7.34,7.35,7.11
7.27,7.43,7.48,7.26
7.45,7.62,7.68,7.45
7.70,7.73,7.75,7.64
7.73,7.72,7.80,7.70
7.66,7.78,7.78,7.66
7.75,7.80,7.82,7.75
7.80,7.80,7.83,7.75
7.80,7.69,7.82,7.60
7.69,7.73,7.84,7.66
7.72,7.74,7.78,7.56
7.71,7.75,7.79,7.68
7.61,7.61,7.79,7.55
7.60,7.74,7.75,7.59
7.75,7.70,7.75,7.70
7.74,7.72,7.82,7.71
7.80,7.71,7.81,7.70
7.70,7.76,7.81,7.70
7.82,7.89,7.95,7.74
7.94,7.70,7.94,7.70
7.74,7.78,7.80,7.68
7.79,7.83,7.89,7.79
7.89,7.87,8.00,7.80
7.88,7.80,7.99,7.73
7.80,7.89,8.00,7.77
7.88,7.89,7.98,7.78
7.94,7.97,7.97,7.88
7.92,8.16,8.20,7.92
8.10,8.21,8.26,8.10
8.15,8.13,8.20,8.01
8.11,8.21,8.27,8.07
8.24,8.16,8.28,8.12
8.14,8.16,8.18,8.01
8.12,8.28,8.39,8.10
8.24,8.28,8.28,8.11
8.16,8.08,8.18,8.00
8.14,8.22,8.30,8.10
8.28,8.16,8.28,8.11
8.10,8.17,8.24,8.10
8.14,8.21,8.21,8.11
8.25,8.09,8.25,8.07
8.10,8.10,8.21,8.05
8.13,8.24,8.25,8.13
8.20,8.16,8.24,8.05
8.12,8.07,8.17,8.05
8.03,7.78,8.11,7.73
7.80,8.06,8.09,7.80
8.21,8.30,8.30,8.13
8.09,8.23,8.26,7.98
8.22,8.31,8.44,8.20
8.33,8.38,8.43,8.14
8.35,8.31,8.39,8.22
8.25,8.15,8.25,8.01
8.15,8.11,8.28,8.08
8.01,7.83,8.10,7.63
7.62,7.71,7.82,7.15
7.40,7.55,7.71,7.25
7.50,7.89,7.99,7.48
7.79,7.70,7.80,7.50
7.70,7.62,7.77,7.56
7.76,7.82,7.90,7.65
7.70,7.65,7.78,7.62
7.67,7.78,7.84,7.65
7.89,7.93,7.93,7.74
7.98,8.15,8.15,7.82
7.71,8.02,8.13,7.71
8.00,8.01,8.04,7.86
7.95,7.77,7.95,7.66
7.92,7.72,7.92,7.70
7.77,7.90,7.99,7.68
7.80,8.16,8.36,7.79
8.19,8.10,8.23,7.97
8.08,8.14,8.17,8.00
8.08,8.30,8.30,7.97
8.25,8.29,8.40,8.15
8.23,8.21,8.40,8.08
8.21,8.07,8.29,8.00
8.09,8.01,8.24,7.99
8.09,7.98,8.13,7.98
7.97,8.10,8.15,7.97
8.12,8.07,8.12,7.95
8.10,8.00,8.14,7.95
7.96,7.83,8.15,7.82
7.91,7.98,8.03,7.86
7.90,7.79,7.98,7.75
7.89,7.85,8.21,7.78
7.89,7.84,7.97,7.80
7.83,8.17,8.25,7.83
8.19,8.17,8.25,8.04
8.07,8.00,8.20,7.90
8.00,7.93,8.11,7.88
8.10,7.81,8.10,7.80
7.80,7.85,7.97,7.77
7.92,7.69,7.92,7.64
7.57,7.53,7.74,7.50
7.56,7.73,7.85,7.54
7.79,7.79,7.80,7.55
7.73,7.69,7.76,7.66
7.70,7.77,7.79,7.66
7.89,7.84,7.91,7.75
7.91,7.94,8.00,7.79
8.07,8.00,8.07,7.93
7.98,7.94,8.01,7.89
7.96,7.91,8.00,7.90
7.92,7.95,7.98,7.89
8.00,8.00,8.00,7.97
7.95,7.95,8.02,7.92
8.00,7.97,8.00,7.93
7.90,7.99,8.00,7.90
7.95,7.95,8.02,7.89
8.05,8.02,8.05,7.93
7.98,8.05,8.05,7.93
8.01,8.03,8.08,7.86
7.96,8.12,8.13,7.95
8.05,7.97,8.05,7.94
7.93,8.20,8.20,7.93
8.25,8.02,8.25,8.01
8.01,8.05,8.12,8.00
8.05,8.18,8.23,8.00
8.02,7.59,8.02,7.59
7.52,6.27,7.52,6.27
6.33,6.00,6.33,5.80
6.20,6.23,6.48,6.12
6.15,6.16,6.32,6.10
6.12,6.04,6.28,5.87
6.00,5.60,6.00,5.52
5.55,5.58,5.70,5.50
5.66,5.80,5.86,5.66
5.91,5.85,5.99,5.81
5.93,5.98,6.04,5.90
6.08,6.21,6.24,6.08
6.16,6.33,6.39,6.16
6.35,6.40,6.40,6.23
6.40,6.44,6.45,6.32
6.42,6.34,6.42,6.06
6.23,6.13,6.26,6.07
6.08,6.15,6.18,6.06
6.10,6.18,6.19,6.08
6.29,6.18,6.29,6.14
6.22,6.17,6.22,6.10
6.10,6.04,6.15,6.04
6.05,6.15,6.17,6.05
6.15,6.16,6.17,6.10
