GWR,Genesee & Wyoming Inc. Class A Common Stock,NASDAQ
32.94,33.10,33.16,32.58
33.11,32.32,34.00,31.49
32.38,31.87,32.42,31.44
31.88,31.44,31.95,31.29
31.24,32.34,32.50,31.24
32.42,32.34,33.03,32.32
32.00,31.61,32.10,31.50
31.64,31.59,31.75,31.00
31.58,31.44,31.80,31.41
31.53,30.90,31.61,30.61
30.80,30.70,31.13,30.41
30.36,30.31,30.36,29.11
30.29,30.21,31.05,29.94
30.11,30.17,31.00,30.03
30.43,30.17,30.60,29.95
30.00,29.86,30.36,29.84
29.79,30.38,30.51,29.50
30.50,29.86,30.50,29.61
29.92,29.47,30.34,29.04
29.63,30.13,30.36,29.60
29.94,29.80,30.42,29.74
29.59,29.36,30.07,29.20
29.06,28.93,29.30,28.75
29.00,29.32,29.34,28.67
29.74,29.10,29.99,28.41
29.37,29.51,30.20,29.33
29.46,30.07,30.20,29.16
30.00,30.53,30.67,30.00
30.14,31.04,31.07,30.06
31.39,31.63,31.65,31.10
31.83,31.60,31.90,31.30
31.61,31.69,31.75,31.51
31.70,31.90,32.10,31.59
31.90,31.94,31.99,31.34
31.79,32.14,32.34,31.35
32.16,32.34,32.49,32.03
31.82,32.00,32.10,31.55
31.91,31.85,32.10,31.53
31.94,32.31,32.39,31.88
32.45,32.25,32.63,32.14
32.33,32.46,32.62,32.05
32.51,32.58,32.72,32.43
32.71,33.20,33.27,32.60
33.12,33.03,33.40,33.01
33.01,33.53,33.75,32.95
33.43,33.69,33.99,33.26
33.47,34.22,34.28,33.41
34.25,33.92,34.29,33.75
33.86,33.70,34.09,33.66
33.83,34.35,34.39,33.48
34.33,34.45,34.76,34.07
34.27,34.59,34.75,34.17
34.18,34.18,34.61,33.23
34.01,34.35,34.51,33.77
34.31,34.44,34.53,33.84
34.24,33.95,34.45,33.76
34.08,33.71,34.69,33.70
33.73,33.85,34.08,33.56
33.86,33.99,34.32,33.75
34.12,34.49,34.58,33.93
34.50,34.12,34.92,34.09
34.25,34.24,34.61,33.92
34.45,34.76,34.82,34.10
34.66,34.83,34.93,34.55
34.69,34.43,34.77,34.14
34.22,34.81,34.88,34.05
34.74,34.61,34.82,34.35
34.57,34.61,34.65,34.17
34.55,36.30,36.39,34.55
36.56,37.22,37.22,36.41
37.33,37.19,37.79,37.16
37.05,37.12,37.53,36.46
36.97,36.93,37.27,36.58
37.15,37.14,37.70,36.94
