HAP,VanEck Vectors Natural Resources ETF,NASDAQ
33.85,34.67,34.70,33.85
34.90,35.02,35.07,34.67
34.99,35.45,35.63,34.99
35.56,35.51,35.66,35.16
35.51,35.74,35.77,35.32
36.12,35.90,36.27,35.75
35.57,35.06,35.57,34.92
34.95,35.34,35.45,34.64
35.34,35.27,35.42,35.01
35.12,34.80,35.18,34.63
34.86,35.18,35.18,34.78
34.68,34.34,34.68,34.00
34.17,33.26,34.17,33.25
33.02,32.66,33.21,32.36
33.12,32.71,33.12,32.63
32.69,32.60,32.81,32.17
32.41,32.18,32.41,31.75
32.40,31.68,32.40,31.38
31.79,31.13,32.17,30.96
31.42,32.07,32.09,31.42
32.25,32.44,32.51,32.00
32.58,32.35,32.59,32.24
31.95,30.91,32.10,30.88
30.85,30.78,30.92,29.95
30.76,30.50,31.00,30.49
31.14,31.22,31.70,31.05
31.45,31.14,31.45,30.90
31.33,31.96,32.00,31.18
31.56,31.75,31.85,31.08
32.26,32.64,32.69,32.13
32.74,32.69,32.90,32.46
32.65,32.93,32.96,32.55
32.53,32.68,32.96,32.50
32.91,32.68,32.91,32.57
32.59,32.02,32.60,31.91
32.10,31.98,32.21,31.83
31.41,31.98,31.99,31.01
32.03,32.12,32.13,31.75
32.50,32.48,32.62,32.20
32.78,32.96,33.06,32.68
33.15,33.18,33.48,33.14
33.31,33.15,33.43,32.99
33.49,33.72,33.72,33.42
33.83,33.72,33.92,33.52
33.45,33.51,33.83,33.24
33.72,33.84,33.90,33.48
33.51,33.66,33.66,33.38
33.95,33.92,34.08,33.85
33.78,33.54,33.80,33.32
33.64,33.99,34.03,33.64
34.05,34.16,34.35,34.05
34.20,33.96,34.20,33.84
33.62,33.62,33.97,33.37
33.35,33.70,33.74,32.77
33.78,33.90,33.95,33.58
33.61,33.48,33.65,33.40
33.60,33.11,33.73,33.11
33.35,33.33,33.50,33.11
33.53,33.82,33.82,33.51
33.99,33.89,33.99,33.75
33.90,33.93,34.02,33.73
34.01,34.34,34.60,34.01
34.50,34.72,34.75,34.48
34.64,34.76,34.84,34.63
34.67,34.44,34.70,34.36
34.29,34.53,34.65,34.06
34.63,34.99,34.99,34.63
34.90,34.85,35.07,34.85
34.81,34.63,34.81,34.32
34.69,34.84,34.91,34.64
34.82,34.86,35.00,34.80
34.75,34.16,34.75,33.94
33.78,34.00,34.00,33.50
