HCKT,The Hackett Group,NASDAQ
2.84,2.82,2.88,2.72
2.80,2.64,2.80,2.62
2.65,2.57,2.71,2.48
2.56,2.67,2.68,2.54
2.67,2.63,2.68,2.61
2.64,2.70,2.73,2.63
2.66,2.63,2.70,2.59
2.65,2.68,2.69,2.56
2.68,2.70,2.74,2.66
2.73,2.61,2.75,2.61
2.62,2.63,2.68,2.59
2.60,2.61,2.65,2.58
2.62,2.59,2.62,2.41
2.61,2.53,2.64,2.51
2.55,2.54,2.55,2.44
2.52,2.51,2.59,2.47
2.48,2.57,2.59,2.48
2.58,2.48,2.58,2.48
2.50,2.32,2.54,2.32
2.34,2.65,2.77,2.28
2.64,2.60,2.75,2.50
2.58,2.62,2.70,2.52
2.60,2.50,2.61,2.50
2.50,2.54,2.54,2.45
2.55,2.39,2.55,2.39
2.44,2.46,2.48,2.39
2.44,2.52,2.54,2.39
2.50,2.63,2.64,2.40
2.59,2.53,2.59,2.46
2.56,2.59,2.60,2.52
2.61,2.69,2.69,2.55
2.68,2.73,2.75,2.61
2.73,2.67,2.80,2.65
2.73,2.72,2.73,2.65
2.72,2.74,2.78,2.67
2.79,2.71,2.79,2.67
2.68,2.75,2.76,2.65
2.76,2.75,2.77,2.71
2.76,2.76,2.78,2.70
2.76,2.83,2.85,2.72
2.85,2.83,2.85,2.75
2.83,2.86,2.86,2.81
2.84,2.92,2.95,2.77
2.91,2.94,2.98,2.88
2.93,2.93,2.97,2.87
2.92,2.87,2.92,2.81
2.84,2.82,2.87,2.76
2.83,2.84,2.85,2.76
2.82,2.83,2.85,2.80
2.84,2.85,2.85,2.80
2.84,2.82,2.85,2.82
2.82,2.82,2.90,2.81
2.84,2.85,2.85,2.82
2.82,2.87,2.87,2.80
2.86,2.89,2.90,2.81
2.88,2.88,2.92,2.86
2.89,2.89,2.98,2.86
2.90,2.88,2.94,2.86
2.90,2.99,2.99,2.88
3.00,3.00,3.01,2.92
2.98,2.78,3.00,2.78
2.81,2.91,2.98,2.76
2.91,2.98,2.98,2.86
2.95,2.91,2.96,2.86
2.90,2.88,2.93,2.88
2.86,2.90,3.00,2.86
2.90,2.90,2.92,2.88
2.89,2.92,2.92,2.88
2.93,2.89,2.93,2.88
2.90,2.94,2.94,2.83
2.92,2.97,2.98,2.89
2.97,2.98,3.00,2.95
2.95,2.90,2.99,2.90
2.93,2.93,2.95,2.90
2.93,2.90,2.95,2.85
2.86,2.95,2.96,2.86
2.95,2.95,2.96,2.92
2.94,2.95,2.96,2.93
2.92,2.88,2.97,2.88
2.86,2.89,2.95,2.86
2.91,2.94,2.99,2.89
2.93,2.81,2.97,2.81
2.82,2.88,2.88,2.82
2.83,2.81,2.85,2.77
2.78,2.81,2.84,2.75
2.79,2.73,2.85,2.72
2.72,2.73,2.85,2.72
2.84,2.76,2.86,2.70
2.71,2.81,2.82,2.65
3.13,3.38,3.38,3.13
3.32,3.38,3.38,3.19
3.34,3.34,3.34,3.24
3.38,3.56,3.57,3.22
3.60,3.72,3.79,3.46
3.69,3.63,3.71,3.50
3.51,3.36,3.56,3.29
