HD,Home Depot,NASDAQ
29.15,28.67,29.15,28.55
28.73,28.88,28.99,28.29
28.88,28.78,29.00,28.70
28.86,29.12,29.22,28.73
29.00,28.98,29.24,28.69
29.00,28.16,29.02,28.08
28.15,27.98,28.35,27.89
28.00,28.13,28.25,28.00
28.12,28.30,28.44,28.12
28.31,28.57,28.69,28.00
28.46,28.88,28.95,28.35
28.70,28.66,28.84,28.35
28.63,28.48,29.06,28.32
28.24,27.72,28.55,27.68
27.95,27.62,27.95,27.51
27.50,27.73,27.95,27.50
27.62,27.84,27.92,27.49
27.93,27.34,27.95,27.19
27.57,28.01,28.09,27.38
28.01,28.39,28.45,27.91
28.39,29.03,29.05,28.30
28.94,28.47,28.94,28.26
28.24,27.93,28.53,27.84
27.85,27.98,28.07,27.53
28.53,28.59,28.94,28.47
28.87,28.87,29.09,28.57
28.84,28.65,28.96,28.40
28.71,28.99,29.07,28.54
28.75,29.00,29.00,28.55
29.12,29.44,29.50,28.93
29.76,30.02,30.06,29.75
30.02,30.30,30.38,29.87
30.21,30.15,30.45,30.00
30.40,30.32,30.55,30.20
30.56,30.75,31.03,30.35
30.78,31.36,31.42,30.74
31.07,31.36,31.45,30.99
31.36,31.20,31.36,30.95
31.24,31.43,31.55,31.09
31.39,31.36,31.58,31.27
31.43,31.47,31.81,31.32
31.54,31.44,31.58,31.30
31.55,31.80,31.91,31.49
31.68,31.96,32.04,31.68
31.70,31.68,31.95,31.67
31.59,31.71,31.88,31.45
31.58,32.13,32.22,31.52
32.23,32.45,32.60,32.12
32.49,32.69,32.71,32.28
32.61,32.55,32.81,32.35
32.49,32.52,32.64,32.34
32.45,32.40,32.56,32.23
32.36,32.36,32.57,32.10
32.14,32.67,32.79,32.14
32.59,32.59,32.63,32.27
32.44,32.32,32.60,32.24
32.50,32.62,32.92,32.46
32.67,32.75,32.98,32.63
32.78,32.60,32.89,32.50
32.56,32.69,32.88,32.50
32.54,32.35,32.64,32.20
32.41,32.38,32.63,32.16
32.35,32.66,32.74,32.16
32.62,32.55,32.73,32.42
32.50,32.61,32.72,32.38
32.46,32.97,33.08,32.40
33.03,33.25,33.40,32.84
33.22,33.48,33.57,33.14
33.41,34.34,34.62,33.41
34.32,34.98,35.07,34.30
34.94,35.14,35.15,34.74
34.99,35.01,35.08,34.71
34.92,35.17,35.27,34.74
35.32,35.18,35.49,35.01
35.15,35.27,35.44,35.09
35.15,35.72,35.89,35.03
35.76,36.39,36.44,35.70
36.52,36.49,37.03,36.46
36.38,35.29,36.38,35.21
35.43,35.19,35.65,35.03
35.45,35.56,35.96,35.40
35.70,35.23,35.99,35.23
35.39,35.87,36.06,35.17
35.56,35.42,35.59,34.79
35.23,35.24,35.67,35.03
34.92,33.96,35.38,32.07
33.74,33.43,34.32,32.63
34.64,35.29,35.40,34.58
35.13,35.63,35.96,35.07
35.67,35.89,35.94,35.38
35.85,35.27,36.00,35.12
35.26,35.20,35.47,34.76
34.97,35.59,35.69,34.08
35.81,34.73,36.30,34.23
34.38,34.38,34.57,33.65
33.66,32.89,33.89,32.79
32.26,33.02,33.48,32.25
32.85,33.22,33.57,32.76
32.54,33.98,34.04,32.42
34.55,34.04,34.95,33.93
34.51,34.55,34.68,34.18
34.57,33.86,34.64,33.82
33.42,33.54,34.17,33.22
33.62,33.87,33.88,33.39
33.90,33.43,34.06,33.17
32.88,32.15,32.90,31.94
32.26,31.55,32.42,31.50
31.53,31.81,31.86,31.25
31.87,31.76,32.40,31.62
32.24,32.72,32.76,32.09
32.31,32.22,32.50,31.78
32.48,32.06,32.64,31.99
32.09,32.26,32.38,31.55
31.96,32.14,32.26,31.68
32.19,31.91,32.30,31.45
31.95,31.94,32.29,31.79
32.17,31.43,32.20,31.24
31.46,30.61,31.60,30.53
30.58,30.50,30.79,30.27
30.14,29.67,30.19,29.57
29.58,30.20,30.25,29.58
30.15,29.59,30.23,29.58
29.15,28.63,29.15,28.42
28.53,28.07,28.86,27.99
28.41,27.92,28.50,27.49
28.01,27.76,28.01,27.58
27.99,27.34,28.13,27.10
27.49,28.01,28.09,27.31
28.35,28.15,28.38,27.72
28.10,28.26,28.32,27.93
28.23,28.31,28.76,28.23
28.49,28.64,28.94,28.29
28.55,28.28,28.55,28.09
28.22,28.34,28.41,27.92
28.15,27.11,28.28,27.05
