HES,Hess Corporation Common Stock,NASDAQ
61.84,63.16,63.43,61.77
63.60,63.55,64.22,63.14
63.31,63.72,64.51,63.31
63.56,64.94,65.27,63.08
64.62,65.83,65.90,64.08
66.48,65.14,66.49,64.60
64.48,62.53,64.48,62.37
62.70,62.94,63.10,61.00
62.89,63.01,63.21,62.31
62.89,62.43,63.41,61.11
62.13,63.04,63.04,61.65
62.25,62.04,62.38,60.86
62.30,60.19,62.77,59.91
59.75,58.69,61.50,58.69
59.46,59.99,60.58,59.46
59.11,59.09,60.42,58.42
59.65,58.89,61.75,57.20
59.26,57.87,59.46,57.47
58.43,57.79,59.86,57.36
58.45,59.72,59.89,58.18
59.66,61.21,61.28,59.66
60.90,60.07,61.17,59.60
59.75,57.32,59.76,56.99
57.56,57.98,58.04,55.89
57.91,57.03,58.48,56.91
58.05,57.69,58.94,57.31
57.69,57.87,58.65,56.56
57.88,59.03,59.20,57.53
58.00,58.42,58.83,57.63
59.82,60.46,60.62,59.20
60.82,60.76,61.26,60.26
60.54,60.68,61.14,59.65
60.51,60.84,61.09,60.00
61.31,60.13,61.31,59.93
59.78,58.73,59.94,58.37
58.97,59.00,59.52,58.34
57.99,58.66,58.71,57.01
58.73,58.80,59.08,58.22
59.14,60.00,60.11,59.13
60.33,60.22,61.00,59.98
60.49,60.55,61.05,60.37
60.69,60.42,60.89,59.81
60.99,61.54,61.58,60.64
61.69,61.25,61.81,60.62
60.83,60.50,60.97,60.06
60.36,61.27,61.57,60.36
60.91,60.95,61.17,60.50
61.32,61.26,61.66,61.00
60.87,60.43,61.08,60.03
60.78,61.65,61.76,60.34
62.02,62.65,63.11,61.99
62.45,61.66,62.54,60.80
61.19,61.19,62.13,60.46
60.49,61.38,61.63,60.28
61.23,61.43,61.63,60.79
60.92,61.44,61.89,60.65
62.02,60.25,62.02,60.17
60.64,59.67,60.81,59.33
60.10,61.08,61.44,59.73
61.25,62.12,62.39,60.82
62.23,62.55,63.15,61.80
63.08,63.70,64.24,63.06
64.27,64.28,64.61,64.00
64.01,64.29,64.52,63.85
64.13,63.07,64.23,62.77
62.59,64.19,64.49,61.97
64.77,64.75,65.15,64.31
65.21,65.28,65.58,64.77
65.25,65.07,65.60,63.93
65.61,65.56,66.15,64.44
65.50,64.91,65.50,64.34
64.41,63.65,64.96,62.84
62.99,63.48,63.55,62.25
63.90,65.30,65.77,63.90
65.18,64.75,65.53,64.17
63.40,64.20,64.33,63.05
64.25,65.53,65.53,63.65
65.41,65.35,65.90,64.97
64.87,63.35,66.22,63.28
64.27,63.67,64.95,62.34
64.12,64.32,64.84,63.39
64.41,63.55,64.75,62.08
63.93,64.03,64.62,62.72
63.22,62.38,63.29,61.01
61.14,61.41,62.39,60.06
60.80,58.21,61.20,55.05
58.31,56.74,58.59,56.00
59.47,59.95,60.46,58.21
58.97,58.61,60.19,58.27
58.97,58.84,59.36,57.82
58.78,58.00,58.94,57.71
57.34,56.06,57.43,55.23
56.37,55.50,56.63,53.92
56.44,55.20,57.02,54.81
54.76,55.00,55.46,53.56
53.59,51.52,53.59,51.43
50.44,52.91,53.33,50.10
52.68,51.28,52.68,51.25
49.76,52.24,52.37,49.50
53.17,51.62,53.25,51.39
53.00,54.55,54.63,52.89
54.30,53.20,54.64,52.82
52.36,50.49,53.10,50.39
50.33,52.13,52.13,49.88
52.25,52.59,52.80,51.44
51.39,50.50,52.21,50.12
50.68,50.37,51.95,50.21
49.79,49.69,50.10,48.70
50.17,49.88,51.46,49.61
51.05,52.66,52.70,50.88
51.78,53.45,53.57,51.78
54.19,53.67,54.75,53.56
54.24,55.31,55.39,53.97
54.85,55.00,55.48,54.57
55.15,54.69,55.21,54.17
54.90,56.18,56.22,54.27
57.09,56.01,57.45,55.59
55.90,54.51,56.06,54.34
54.46,55.07,55.47,53.97
54.82,53.73,54.98,53.38
53.96,53.80,54.48,53.11
53.79,52.97,53.84,52.67
52.18,50.95,52.21,50.78
51.03,50.34,51.86,50.21
49.82,49.96,50.74,48.71
50.17,50.08,50.76,49.64
51.20,50.95,51.92,50.30
51.29,53.22,53.22,51.23
53.79,54.10,54.11,52.76
54.04,53.23,54.11,52.63
53.05,53.69,53.69,52.70
54.39,54.35,54.74,53.99
53.96,53.59,54.49,53.33
53.90,53.32,53.90,52.42
52.49,51.49,52.88,51.26
51.88,51.83,52.38,51.49
51.05,52.88,52.93,51.00
53.59,50.89,53.59,50.41
51.46,52.20,52.89,51.34
52.04,52.70,52.94,51.32
52.61,52.78,53.06,52.20
52.90,53.30,53.36,52.41
53.11,52.47,53.94,52.01
52.51,53.85,54.03,52.49
53.37,53.59,53.91,52.94
54.63,55.94,56.08,54.52
56.06,56.08,56.15,55.07
56.20,56.50,56.56,55.74
56.00,56.31,56.59,55.79
55.82,55.59,56.19,54.65
56.07,56.06,56.20,55.31
55.07,55.56,55.95,54.65
54.41,53.40,54.51,53.04
52.37,53.16,53.48,52.28
52.88,52.77,53.74,52.73
52.49,52.62,52.76,52.05
53.40,53.44,53.62,52.78
53.37,52.90,53.37,52.20
52.51,51.99,52.74,51.89
51.44,51.24,52.00,50.96
51.18,51.23,51.72,51.02
50.55,50.21,50.99,50.12
49.99,50.41,50.66,49.79
50.76,49.88,51.02,49.80
50.20,51.46,51.56,49.60
51.18,50.52,51.49,50.49
50.27,50.25,50.90,49.81
51.32,53.11,53.19,51.18
53.42,54.89,54.91,53.25
55.14,55.29,55.44,54.49
54.82,53.38,54.82,53.00
53.36,54.30,54.80,53.25
54.98,54.12,55.16,53.86
54.54,54.42,55.08,54.30
55.32,54.49,55.32,54.37
54.28,54.80,55.07,53.84
54.39,55.00,55.23,54.00
54.59,55.82,55.88,54.44
56.12,54.97,56.24,54.95
55.25,56.67,56.85,55.18
56.31,56.14,56.86,55.31
56.25,56.40,57.93,56.24
55.68,56.05,56.72,55.46
56.91,57.81,58.17,56.54
57.81,57.67,57.89,57.46
57.74,58.19,58.47,57.18
58.12,58.78,59.35,57.86
59.35,59.12,59.79,58.13
60.00,60.92,61.12,59.99
60.62,59.49,60.97,59.23
60.69,61.42,62.18,60.65
61.15,61.61,62.29,61.15
62.20,61.81,62.33,60.88
61.76,62.53,62.74,61.51
62.52,63.04,63.56,62.52
62.71,62.67,62.98,61.85
63.00,63.37,63.73,62.90
63.30,62.75,63.78,62.38
63.52,63.83,64.04,62.77
63.71,64.36,64.68,63.43
63.52,62.27,63.75,62.07
62.58,63.28,63.84,62.38
63.54,63.12,64.48,62.58
63.22,63.25,63.68,62.48
63.80,62.55,64.10,62.46
62.09,62.51,62.84,61.43
63.19,62.51,64.41,61.30
63.18,63.23,63.75,62.91
62.89,63.03,63.48,62.57
63.72,64.10,64.67,63.72
64.83,65.28,65.97,64.75
65.55,66.44,66.75,65.22
69.25,69.25,69.90,68.89
69.28,69.98,70.23,69.09
69.67,70.47,70.85,69.44
70.96,69.66,71.22,69.18
70.15,71.53,71.53,69.11
70.82,71.90,71.99,69.50
71.01,70.06,71.04,69.15
70.63,69.53,70.67,69.53
68.75,67.78,68.75,67.20
67.13,67.82,68.69,66.51
68.83,69.99,70.39,68.83
69.76,70.40,70.48,69.14
69.78,69.69,70.00,68.42
68.90,69.05,69.33,68.39
69.39,70.94,70.97,69.35
70.08,69.78,70.29,69.33
69.38,70.12,70.42,67.87
69.39,70.05,70.65,69.12
71.59,73.14,73.39,71.46
73.10,74.29,74.55,73.10
73.93,74.30,74.75,73.83
74.42,74.00,74.50,73.18
74.82,75.44,76.37,74.66
75.70,74.34,75.86,73.60
75.07,73.95,75.07,73.61
74.32,74.52,74.73,73.97
74.72,74.12,75.27,73.93
74.19,74.09,74.54,73.62
73.77,73.21,74.37,72.91
73.45,74.42,74.44,72.57
74.75,75.44,75.91,74.47
74.99,74.60,75.29,74.25
74.73,76.01,76.05,74.57
75.98,76.18,76.54,75.51
75.74,75.84,76.02,75.43
75.38,75.27,75.49,74.63
75.64,75.12,75.64,74.94
75.59,76.44,76.53,75.08
76.50,76.44,76.98,76.22
76.44,76.54,76.90,75.85
77.94,77.42,78.39,77.09
78.17,77.75,78.36,77.20
78.27,79.47,79.52,77.36
80.27,79.21,80.45,78.70
79.19,79.17,79.34,78.11
79.18,77.99,79.26,77.00
78.57,80.99,81.61,78.41
82.23,80.19,82.38,79.80
80.89,79.92,81.07,79.44
79.95,82.13,82.33,79.67
82.72,82.03,82.75,81.93
82.16,80.50,82.47,80.36
79.95,79.44,80.04,77.76
79.02,78.65,80.14,78.41
78.74,78.94,79.29,78.36
78.58,77.17,78.75,76.29
76.79,79.35,79.77,76.00
79.58,79.25,79.91,78.45
78.93,81.51,82.23,78.25
81.70,84.12,84.19,81.46
84.32,85.36,86.12,84.31
84.83,83.88,85.20,83.76
83.71,83.14,84.00,81.75
84.35,82.34,84.35,81.91
82.66,83.15,83.91,82.53
82.80,82.67,82.81,81.77
82.15,80.09,82.47,79.86
79.89,81.29,81.40,79.75
81.09,80.60,81.29,79.88
80.49,82.33,82.45,80.33
82.07,81.19,82.27,81.00
81.60,83.84,83.98,81.41
83.69,84.13,84.42,82.82
83.92,85.00,85.02,83.27
84.35,80.76,85.00,80.63
81.10,84.95,85.21,81.10
84.69,83.73,85.40,82.82
84.04,84.80,84.85,82.79
85.50,87.03,87.03,85.00
87.17,84.66,87.40,84.00
84.65,84.51,84.95,83.00
85.44,85.20,85.69,84.40
85.40,84.24,85.50,83.63
84.95,84.36,85.97,83.55
84.36,83.81,84.53,82.35
83.29,83.10,84.18,82.66
81.74,78.74,81.97,78.66
78.13,80.18,80.72,78.00
79.29,79.35,79.68,78.26
76.36,78.53,79.30,76.21
78.95,78.31,80.67,76.92
79.14,80.31,80.93,78.73
81.67,79.59,81.88,79.59
81.34,82.17,82.35,80.92
82.26,82.10,82.49,81.04
81.88,80.66,82.09,80.05
81.21,82.15,82.16,80.13
82.23,84.36,84.62,81.37
84.42,82.97,85.00,82.93
82.80,83.37,83.67,81.93
83.89,83.81,84.85,83.21
84.76,85.21,86.11,84.63
85.82,86.74,87.19,85.81
86.52,85.88,86.98,85.50
86.25,86.35,86.88,85.55
86.89,84.81,87.00,84.01
85.39,84.53,85.55,83.41
85.17,84.24,85.50,83.81
83.97,81.78,84.56,81.54
80.84,80.31,80.93,78.76
80.59,79.67,81.30,78.46
79.37,79.65,79.86,78.65
79.39,78.88,79.64,78.51
77.44,77.21,77.85,76.61
77.21,78.56,78.71,76.74
80.29,80.55,80.65,79.83
80.49,80.68,81.10,79.65
80.73,80.00,80.89,79.63
80.16,80.67,80.92,79.60
84.15,82.74,84.80,82.28
