HIW,Highwoods Properties,NASDAQ
33.58,32.37,33.98,32.12
32.15,31.50,32.31,31.25
31.57,31.37,32.00,31.16
31.61,31.95,32.03,30.90
31.76,31.73,31.93,31.39
31.97,31.91,32.01,31.63
31.60,31.45,31.89,31.22
31.53,31.77,31.84,31.04
31.57,31.64,31.85,31.25
31.58,31.48,31.76,31.36
31.55,32.16,32.23,31.44
31.75,32.15,32.28,31.46
32.27,31.52,32.38,31.44
31.57,30.96,31.92,30.94
31.32,30.99,31.35,30.52
30.78,30.23,31.03,30.19
30.02,30.56,30.62,29.78
30.69,30.23,30.75,29.86
30.29,30.21,30.58,29.96
30.32,30.65,30.66,30.21
30.64,30.72,30.91,30.09
30.48,30.18,30.52,29.82
29.89,29.05,30.01,28.96
29.10,29.54,29.67,28.62
29.49,28.54,29.69,28.47
28.98,28.12,29.14,27.97
27.85,27.53,27.95,27.09
28.35,27.85,28.35,27.34
27.44,28.24,28.27,27.35
28.62,28.82,28.95,28.43
28.81,29.05,29.16,28.75
29.10,29.86,29.99,28.91
29.87,29.76,30.03,29.58
29.93,29.99,30.15,29.63
29.38,29.36,29.74,29.23
29.37,29.27,29.41,29.09
28.82,29.13,29.13,28.65
29.17,29.05,29.47,28.97
29.30,29.49,29.58,29.07
29.67,29.41,29.67,29.27
29.50,29.29,29.59,29.19
29.31,29.48,29.52,29.14
29.66,30.00,30.05,29.49
29.95,30.46,30.57,29.79
30.33,30.41,31.05,30.18
30.40,30.81,30.81,30.26
30.57,31.30,31.34,30.48
31.48,31.29,31.50,31.04
31.26,31.12,31.35,30.80
31.26,31.67,31.75,30.99
31.74,31.85,31.98,31.52
31.85,31.75,32.28,31.67
31.52,31.52,31.85,31.33
31.32,31.95,32.05,31.32
32.01,31.89,32.04,31.57
31.73,32.08,32.30,31.68
32.37,32.18,32.62,32.15
32.32,32.16,32.49,31.89
32.30,32.52,32.52,31.97
32.57,32.14,32.65,32.08
31.94,31.73,32.30,31.70
31.87,31.62,31.92,31.26
31.75,32.06,32.21,31.51
31.83,32.46,32.73,31.72
32.21,31.57,32.49,31.35
31.44,31.32,31.57,31.13
31.31,31.84,32.02,31.20
32.59,32.24,32.97,32.10
32.24,32.94,33.06,31.93
33.20,32.94,33.23,32.66
32.88,32.01,33.03,31.90
31.90,31.06,32.09,31.01
31.13,31.28,31.57,30.73
31.37,31.68,31.74,30.98
31.71,32.49,32.60,31.62
32.09,33.21,33.26,31.90
33.34,33.25,33.87,33.01
33.24,33.29,33.60,33.16
33.11,32.45,33.37,32.38
32.79,32.54,33.05,32.44
33.03,33.43,33.65,32.77
33.41,31.97,33.63,31.91
32.15,32.87,33.02,32.00
32.33,32.20,32.57,31.87
31.92,31.93,32.61,31.67
31.79,30.96,31.96,29.05
30.95,29.96,31.72,29.79
31.31,32.19,32.21,31.09
31.79,32.53,33.08,31.65
32.57,33.35,33.53,32.43
33.14,32.14,33.47,31.97
31.79,31.23,31.86,30.95
31.43,31.50,32.02,30.28
31.58,30.48,31.70,30.20
30.32,30.32,30.94,29.57
29.40,28.73,30.00,28.71
28.32,29.56,29.66,28.12
29.51,28.89,29.71,28.84
28.04,29.03,29.15,27.57
29.28,28.75,29.77,28.65
29.51,29.91,30.04,28.91
29.81,29.46,30.29,29.34
29.26,28.85,29.64,28.78
29.01,29.01,29.18,28.35
29.16,29.07,29.25,28.57
28.40,28.00,28.61,27.85
28.05,28.25,28.89,27.97
28.41,29.14,29.21,27.90
29.38,29.72,30.31,29.36
30.31,30.43,30.47,29.81
29.98,30.74,30.75,29.82
31.05,30.65,31.31,30.43
30.74,31.73,31.86,30.74
