HRC,Hill-Rom Holdings Inc Common Stock,NASDAQ
24.07,24.43,24.88,23.66
24.45,24.31,24.45,24.07
24.24,24.39,24.54,24.15
24.29,24.06,24.40,23.90
24.13,23.92,24.15,23.69
23.98,23.81,24.18,23.53
23.67,23.68,24.01,23.51
23.80,24.05,24.11,23.67
23.93,24.28,24.40,23.93
24.32,23.43,24.32,23.35
23.33,24.38,24.40,23.33
24.30,24.05,24.40,23.61
24.14,24.01,24.14,23.61
23.93,23.97,24.38,23.85
24.10,24.09,24.27,23.85
24.10,24.25,24.39,23.79
24.10,24.08,24.40,23.77
24.09,23.86,24.29,23.67
23.85,23.37,24.13,23.37
23.52,23.70,23.70,23.11
23.65,24.11,24.19,23.55
23.95,23.69,24.21,23.23
23.67,23.55,23.82,23.16
24.31,23.94,24.50,23.54
24.04,23.84,24.21,23.75
24.10,23.88,24.23,23.76
23.73,24.34,24.38,23.73
24.18,24.34,24.36,23.97
24.30,24.63,24.65,24.15
24.83,25.05,25.10,24.70
25.10,25.89,25.90,24.99
25.96,25.93,26.23,25.87
25.83,25.95,26.02,25.69
26.09,26.07,26.18,25.78
26.10,25.96,26.18,25.65
25.99,26.02,26.19,25.81
25.68,26.04,26.09,25.53
26.16,26.24,26.51,26.02
26.23,26.60,26.68,26.12
26.60,26.92,26.98,26.57
26.84,26.52,26.98,26.43
26.50,26.57,26.68,26.35
26.67,26.86,26.92,26.53
26.76,26.83,26.92,26.76
26.80,26.91,26.94,26.52
26.82,27.27,27.27,26.82
27.12,27.43,27.46,27.12
27.43,27.26,27.47,26.77
27.16,27.37,27.42,27.10
27.35,27.40,27.48,27.24
27.51,27.40,27.53,27.28
27.47,27.50,27.61,27.15
27.09,27.09,27.62,27.07
26.93,27.67,27.76,26.90
27.72,27.44,27.72,27.32
27.41,27.40,27.55,27.37
27.58,27.25,27.59,27.24
27.38,27.05,27.38,26.77
27.06,27.20,27.32,27.05
27.29,27.15,27.37,27.05
27.06,27.21,27.39,26.97
27.44,27.64,27.91,27.44
27.62,28.40,28.40,27.62
28.21,28.44,28.54,28.21
28.31,28.69,28.69,28.31
28.52,28.60,28.69,28.30
28.60,28.91,28.91,28.52
28.90,29.29,29.33,28.88
29.30,29.42,29.63,29.29
29.66,30.38,30.46,29.49
30.20,30.44,30.75,30.20
30.43,30.21,30.60,30.08
30.32,30.27,30.88,30.15
30.49,31.48,31.56,30.36
31.62,31.41,31.65,31.25
31.29,31.55,31.55,30.96
31.57,32.04,32.16,31.55
31.91,32.09,32.30,31.81
31.92,31.44,32.37,31.35
31.62,31.86,31.95,31.55
32.13,32.76,32.85,31.92
31.99,31.71,32.46,30.79
31.91,32.15,32.37,31.77
31.70,31.60,31.75,31.08
31.99,32.08,32.60,31.13
32.05,30.74,32.77,30.60
30.93,29.93,31.02,29.67
31.23,30.49,31.23,30.19
30.23,31.40,31.79,30.23
31.57,31.76,32.00,31.22
31.79,31.92,32.56,31.75
31.71,31.35,31.85,30.78
31.47,31.04,31.75,30.57
31.22,30.86,31.44,30.81
30.69,30.86,31.06,30.36
30.21,29.55,30.32,29.35
29.11,28.59,29.69,28.31
28.49,27.95,28.91,27.88
27.45,27.43,27.74,26.81
27.50,27.47,28.18,27.31
27.98,28.30,28.31,27.52
28.29,27.88,28.31,27.59
27.74,27.48,28.25,27.48
27.43,27.84,27.84,27.11
28.06,29.01,29.07,27.99
28.63,28.31,28.67,28.17
28.29,27.50,28.29,27.41
27.47,28.02,28.10,27.36
