HSY,The Hershey Company Common Stock,NASDAQ
36.01,36.22,36.26,35.76
36.24,37.17,37.91,36.00
37.32,36.85,37.53,36.75
37.02,36.49,37.02,36.36
36.55,36.38,36.63,36.20
36.42,36.18,36.42,35.83
36.20,37.75,37.80,36.15
37.37,36.61,38.05,36.46
36.73,36.96,37.08,36.51
36.64,36.25,36.86,35.97
37.26,37.35,38.01,37.26
37.32,37.08,37.32,36.72
37.34,36.19,37.34,36.18
36.53,36.28,36.89,36.10
36.40,36.45,36.82,36.15
35.95,36.50,36.55,35.95
36.43,37.29,37.35,36.40
37.29,37.13,37.38,36.83
37.20,36.43,37.23,36.43
36.59,36.81,36.81,36.06
37.85,37.20,37.96,36.95
37.23,37.15,37.57,36.95
37.01,36.90,37.16,36.75
36.83,37.35,37.50,36.77
37.46,36.95,37.46,36.90
37.24,37.20,37.37,37.05
37.07,37.22,37.28,36.75
37.23,37.40,37.45,36.84
37.25,37.60,37.73,37.03
37.61,38.38,38.38,37.53
38.31,38.39,38.48,38.22
37.92,38.83,38.84,37.81
38.90,39.97,40.01,38.50
39.98,39.74,40.10,39.55
39.39,39.26,39.67,39.09
39.34,39.64,39.69,39.25
39.41,39.73,39.75,39.25
39.71,39.76,39.99,39.66
39.91,39.91,40.21,39.79
40.01,40.17,40.33,39.91
40.27,40.76,40.81,40.05
40.78,41.10,41.23,40.76
41.29,41.45,41.46,40.97
41.30,41.20,41.50,40.85
41.01,41.57,41.72,40.95
41.61,41.50,41.65,41.26
41.35,41.68,41.68,41.27
41.75,42.65,42.66,41.65
42.55,42.98,42.98,42.38
42.93,43.52,43.56,42.68
43.58,43.15,43.58,43.04
43.24,42.98,43.30,42.78
42.44,42.44,43.14,42.35
42.22,42.88,42.92,42.17
42.98,43.15,43.19,42.68
43.03,42.69,43.03,42.53
42.90,42.64,42.90,42.47
42.68,42.49,42.92,42.36
42.61,42.87,42.96,42.37
42.84,43.05,43.17,42.79
42.93,42.81,43.07,42.79
43.00,43.06,43.29,42.79
43.17,43.24,43.43,43.04
43.07,43.35,43.35,42.94
43.34,43.33,43.40,43.01
43.28,43.48,43.58,43.06
43.42,44.12,44.12,43.27
44.04,44.27,44.47,44.04
44.19,43.93,44.22,43.80
43.89,44.14,44.15,43.52
44.01,44.26,44.38,43.57
44.08,43.87,44.28,43.58
43.88,44.31,44.33,43.68
44.47,44.91,44.91,44.26
44.94,44.84,45.23,44.57
45.82,48.08,48.23,45.62
48.22,48.72,48.75,47.46
46.86,47.84,48.22,46.81
47.78,47.08,47.78,46.99
47.13,46.88,47.27,46.76
47.03,47.22,47.29,46.58
47.25,47.01,47.50,46.90
47.29,47.56,47.67,46.94
47.26,47.02,47.35,46.78
46.90,47.02,47.38,46.75
46.97,46.33,47.33,44.75
46.00,46.42,46.93,45.88
47.89,47.92,47.92,47.05
47.41,47.88,48.20,47.27
47.83,47.96,48.16,47.72
47.90,47.56,48.08,47.52
47.60,47.22,47.62,46.92
47.34,48.05,48.06,47.08
48.34,47.85,48.34,47.80
47.75,47.79,47.98,47.44
47.30,46.63,47.53,46.62
46.44,46.56,46.63,45.59
46.29,46.67,46.93,46.10
45.76,46.07,46.13,45.37
46.29,45.90,46.54,45.86
46.40,47.29,47.31,46.35
47.18,46.80,47.28,46.80
46.55,48.00,48.61,46.24
48.13,48.70,48.70,47.86
48.75,49.41,49.61,48.70
48.92,48.29,49.02,48.18
48.28,48.64,49.21,48.04
48.73,50.47,50.48,48.73
50.37,51.15,51.54,50.10
51.62,51.76,52.10,51.45
51.39,50.77,51.44,50.40
51.06,50.88,51.33,50.75
51.03,50.05,51.06,49.92
49.68,49.89,50.00,48.94
49.90,50.44,50.54,49.58
51.10,50.22,51.10,50.17
50.62,49.32,50.86,49.12
49.33,49.16,49.90,49.12
49.10,49.34,49.72,48.73
49.38,49.40,49.82,49.20
49.38,48.38,49.44,48.23
48.62,49.01,49.22,48.35
48.75,48.23,48.77,47.99
47.90,47.93,48.45,47.78
47.68,47.68,48.09,47.02
47.89,48.21,48.49,47.75
48.62,49.40,49.46,48.45
49.43,49.98,50.03,49.03
50.10,50.44,50.44,49.67
50.32,50.72,50.82,50.29
50.62,50.69,50.86,50.40
50.95,51.23,51.42,50.77
51.07,51.38,51.47,51.00
51.28,51.61,51.67,50.93
51.56,50.81,51.60,50.69
50.88,50.55,51.16,50.49
50.08,49.95,50.34,49.74
50.20,49.82,50.33,49.50
50.55,47.75,51.39,47.33
47.81,47.21,47.97,46.76
47.34,47.58,47.95,47.14
47.62,47.03,47.82,46.84
47.07,46.41,47.11,46.30
46.57,46.32,46.84,45.77
45.95,47.00,47.39,45.53
47.35,46.53,47.35,46.47
46.52,46.24,46.54,46.14
46.20,46.17,46.45,46.01
46.03,46.14,46.23,45.60
45.93,46.18,46.24,45.65
45.99,46.27,46.56,45.99
46.15,46.34,46.57,45.89
45.92,46.10,46.20,45.63
45.74,46.04,46.37,45.54
46.04,46.35,46.57,45.83
46.15,46.35,46.39,45.77
46.56,46.85,47.13,46.29
46.92,47.65,47.83,46.83
47.59,47.15,47.65,47.03
47.05,47.74,47.96,46.97
47.59,47.51,47.80,47.40
47.15,46.80,47.35,46.63
46.74,46.41,46.79,46.16
46.42,46.49,46.71,46.25
46.56,47.09,47.09,46.26
46.81,45.78,46.81,45.78
45.75,46.47,46.85,45.73
46.84,47.17,47.33,46.75
47.32,46.99,47.38,46.44
47.16,47.14,47.18,46.71
46.95,46.43,47.05,46.18
46.43,46.43,46.57,46.19
46.68,46.33,46.85,46.24
46.35,45.94,46.42,45.53
