HTD,John Hancock Tax Advantaged Dividend Income Fund Common Shares of Beneficial Interest,NASDAQ
12.91,13.10,13.10,12.91
13.17,13.14,13.17,13.02
13.18,13.13,13.21,13.09
13.16,13.06,13.19,13.03
13.04,13.19,13.19,13.04
13.22,13.27,13.27,13.18
13.52,13.09,13.52,13.04
13.23,13.16,13.23,13.12
13.20,13.19,13.25,13.16
13.21,13.16,13.25,13.00
13.23,13.22,13.28,13.14
13.22,13.28,13.28,13.08
13.24,13.20,13.34,13.08
13.20,13.02,13.21,12.97
13.06,13.02,13.16,12.98
13.09,13.02,13.10,12.99
13.04,12.96,13.04,12.76
13.05,12.89,13.05,12.78
13.00,12.79,13.00,12.75
12.81,13.02,13.03,12.81
13.00,13.14,13.14,12.91
13.42,13.09,13.42,12.98
13.05,12.74,13.05,12.72
12.74,12.46,12.74,12.11
12.57,12.33,12.57,12.32
12.35,12.46,12.46,12.20
12.50,12.46,12.50,12.34
12.56,12.71,12.77,12.50
12.67,12.55,12.70,12.54
12.70,12.73,12.76,12.62
12.86,12.78,12.86,12.73
12.80,12.98,12.99,12.76
12.96,13.12,13.12,12.90
13.22,13.33,13.36,13.21
13.35,13.35,13.40,13.20
13.40,13.35,13.40,13.27
13.31,13.24,13.32,13.19
13.50,13.39,13.50,13.24
13.39,13.38,13.96,13.38
13.49,13.52,13.78,13.34
13.57,13.43,13.65,13.40
13.40,13.43,13.51,13.39
13.48,13.68,13.74,13.48
13.74,13.67,13.74,13.63
13.48,13.54,13.70,13.48
13.56,13.84,13.89,13.56
13.84,13.95,14.13,13.73
13.99,13.71,14.01,13.66
13.74,13.86,13.97,13.69
13.95,14.06,14.15,13.85
14.12,14.07,14.17,14.01
14.13,13.96,14.25,13.96
13.73,13.73,14.04,13.61
13.73,13.90,13.94,13.69
13.95,14.06,14.15,13.90
13.96,14.06,14.18,13.96
14.19,14.12,14.29,14.10
14.11,14.03,14.14,13.91
14.11,14.15,14.15,13.94
14.21,14.20,14.24,14.12
14.25,13.97,14.25,13.96
14.11,14.11,14.11,14.00
